# _root_ Addig is egy sebtében összehívott " kinevezési bizottság " kapta feladatul , hogy november 30-áig három jelölt nevét tegye le a végső döntést meghozó kuratórium asztalára , ki legyen az új művészeti vezető .
#goldHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,19,29,19,33,33,33,29,10,
#predictedHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,10,29,10,33,33,33,29,10,
(8,27),0.680932 # DEPENDENCYPART_ARC
(8,29),-0.965245 # DEPENDENCYPART_ARC
(8,34),1.15734 # DEPENDENCYPART_ARC
(10,1),0.493868 # DEPENDENCYPART_ARC
(10,2),0.89849 # DEPENDENCYPART_ARC
(10,3),-0.523737 # DEPENDENCYPART_ARC
(10,4),0.166307 # DEPENDENCYPART_ARC
(10,5),-0.684646 # DEPENDENCYPART_ARC
(10,6),0.741745 # DEPENDENCYPART_ARC
(10,7),-0.0880246 # DEPENDENCYPART_ARC
(10,8),1.05823 # DEPENDENCYPART_ARC
(10,9),1.37784 # DEPENDENCYPART_ARC
(10,11),3.31822 # DEPENDENCYPART_ARC
(10,12),2.06407 # DEPENDENCYPART_ARC
(10,13),2.91488 # DEPENDENCYPART_ARC
(10,14),0.243454 # DEPENDENCYPART_ARC
(10,15),0.184728 # DEPENDENCYPART_ARC
(10,16),-0.674097 # DEPENDENCYPART_ARC
(10,17),-0.379847 # DEPENDENCYPART_ARC
(10,18),0.637332 # DEPENDENCYPART_ARC
(10,19),2.06626 # DEPENDENCYPART_ARC
(10,20),0.458689 # DEPENDENCYPART_ARC
(10,22),-1.39641 # DEPENDENCYPART_ARC
(10,23),-0.595165 # DEPENDENCYPART_ARC
(10,24),-1.31199 # DEPENDENCYPART_ARC
(10,25),-0.660794 # DEPENDENCYPART_ARC
(10,26),0.429761 # DEPENDENCYPART_ARC
(10,27),2.75702 # DEPENDENCYPART_ARC
(10,28),-1.78385 # DEPENDENCYPART_ARC
(10,29),1.50602 # DEPENDENCYPART_ARC
(10,31),-1.7257 # DEPENDENCYPART_ARC
(10,33),-0.260274 # DEPENDENCYPART_ARC
(10,34),5.00137 # DEPENDENCYPART_ARC
(11,3),0.0275655 # DEPENDENCYPART_ARC
(11,5),-1.2479 # DEPENDENCYPART_ARC
(11,6),-0.230172 # DEPENDENCYPART_ARC
(11,7),-0.718838 # DEPENDENCYPART_ARC
(11,8),-3.06016 # DEPENDENCYPART_ARC
(11,9),-0.517546 # DEPENDENCYPART_ARC
(11,10),0.254903 # DEPENDENCYPART_ARC
(11,12),-0.286594 # DEPENDENCYPART_ARC
(11,15),-1.99946 # DEPENDENCYPART_ARC
(11,19),-1.43022 # DEPENDENCYPART_ARC
(13,1),0.0869483 # DEPENDENCYPART_ARC
(13,2),0.527466 # DEPENDENCYPART_ARC
(13,4),-0.188347 # DEPENDENCYPART_ARC
(13,5),-0.167471 # DEPENDENCYPART_ARC
(13,6),-0.136684 # DEPENDENCYPART_ARC
(13,7),0.0275737 # DEPENDENCYPART_ARC
(13,8),-0.398171 # DEPENDENCYPART_ARC
(13,9),-0.464609 # DEPENDENCYPART_ARC
(13,10),-0.235065 # DEPENDENCYPART_ARC
(13,11),0.425358 # DEPENDENCYPART_ARC
(13,12),0.76302 # DEPENDENCYPART_ARC
(13,14),-0.80032 # DEPENDENCYPART_ARC
(13,15),-1.1276 # DEPENDENCYPART_ARC
(13,17),-1.24336 # DEPENDENCYPART_ARC
(13,18),-1.75635 # DEPENDENCYPART_ARC
(13,19),0.756791 # DEPENDENCYPART_ARC
(13,20),-0.464665 # DEPENDENCYPART_ARC
(13,27),-0.151641 # DEPENDENCYPART_ARC
(13,29),-0.654674 # DEPENDENCYPART_ARC
(13,34),1.72804 # DEPENDENCYPART_ARC
(14,3),-0.752521 # DEPENDENCYPART_ARC
(14,11),-2.0032 # DEPENDENCYPART_ARC
(14,12),-0.49681 # DEPENDENCYPART_ARC
(14,13),-0.985739 # DEPENDENCYPART_ARC
(14,18),-1.5234 # DEPENDENCYPART_ARC
(15,3),-0.0778533 # DEPENDENCYPART_ARC
(15,5),-1.38953 # DEPENDENCYPART_ARC
(15,6),-0.44171 # DEPENDENCYPART_ARC
(15,7),-0.937949 # DEPENDENCYPART_ARC
(15,8),-0.855122 # DEPENDENCYPART_ARC
(15,9),-0.28026 # DEPENDENCYPART_ARC
(15,10),-1.22848 # DEPENDENCYPART_ARC
(15,11),-1.32034 # DEPENDENCYPART_ARC
(15,12),0.943807 # DEPENDENCYPART_ARC
(15,13),0.0987556 # DEPENDENCYPART_ARC
(15,14),3.37358 # DEPENDENCYPART_ARC
(15,16),-0.832528 # DEPENDENCYPART_ARC
(15,17),-0.749892 # DEPENDENCYPART_ARC
(15,18),-1.46958 # DEPENDENCYPART_ARC
(15,19),-2.06359 # DEPENDENCYPART_ARC
(15,25),-1.56261 # DEPENDENCYPART_ARC
(15,26),-2.08342 # DEPENDENCYPART_ARC
(15,29),-2.22485 # DEPENDENCYPART_ARC
(15,33),-1.99364 # DEPENDENCYPART_ARC
(15,34),0.547403 # DEPENDENCYPART_ARC
(16,13),-0.325566 # DEPENDENCYPART_ARC
(16,14),-0.589322 # DEPENDENCYPART_ARC
(16,15),-1.02087 # DEPENDENCYPART_ARC
(16,34),-0.0675399 # DEPENDENCYPART_ARC
(17,3),0.191631 # DEPENDENCYPART_ARC
(17,11),-2.29313 # DEPENDENCYPART_ARC
(17,12),0.0933632 # DEPENDENCYPART_ARC
(17,13),-0.544298 # DEPENDENCYPART_ARC
(17,14),-0.102649 # DEPENDENCYPART_ARC
(17,15),-1.50916 # DEPENDENCYPART_ARC
(17,16),2.58392 # DEPENDENCYPART_ARC
(18,3),-0.366059 # DEPENDENCYPART_ARC
(18,4),-0.549218 # DEPENDENCYPART_ARC
(18,8),-0.525001 # DEPENDENCYPART_ARC
(18,11),-1.6006 # DEPENDENCYPART_ARC
(18,12),0.778372 # DEPENDENCYPART_ARC
(18,13),-0.236162 # DEPENDENCYPART_ARC
(18,14),2.06762 # DEPENDENCYPART_ARC
(18,15),-2.23324 # DEPENDENCYPART_ARC
(18,16),1.71853 # DEPENDENCYPART_ARC
(18,17),4.69047 # DEPENDENCYPART_ARC
(18,23),-1.97906 # DEPENDENCYPART_ARC
(18,26),-2.22654 # DEPENDENCYPART_ARC
(18,33),-2.44918 # DEPENDENCYPART_ARC
(19,1),-0.758809 # DEPENDENCYPART_ARC
(19,2),-0.90512 # DEPENDENCYPART_ARC
(19,4),-1.35401 # DEPENDENCYPART_ARC
(19,6),-0.393278 # DEPENDENCYPART_ARC
(19,7),-1.65853 # DEPENDENCYPART_ARC
(19,8),-0.476933 # DEPENDENCYPART_ARC
(19,9),-0.224768 # DEPENDENCYPART_ARC
(19,10),-1.40379 # DEPENDENCYPART_ARC
(19,11),0.142813 # DEPENDENCYPART_ARC
(19,12),0.676774 # DEPENDENCYPART_ARC
(19,13),-0.373427 # DEPENDENCYPART_ARC
(19,14),1.29054 # DEPENDENCYPART_ARC
(19,15),1.66437 # DEPENDENCYPART_ARC
(19,16),0.326292 # DEPENDENCYPART_ARC
(19,17),1.36816 # DEPENDENCYPART_ARC
(19,18),3.46939 # DEPENDENCYPART_ARC
(19,20),2.48272 # DEPENDENCYPART_ARC
(19,21),-0.577421 # DEPENDENCYPART_ARC
(19,22),-0.301962 # DEPENDENCYPART_ARC
(19,23),1.49516 # DEPENDENCYPART_ARC
(19,24),-0.267644 # DEPENDENCYPART_ARC
(19,25),0.68465 # DEPENDENCYPART_ARC
(19,26),2.01443 # DEPENDENCYPART_ARC
(19,27),1.68934 # DEPENDENCYPART_ARC
(19,28),-0.858517 # DEPENDENCYPART_ARC
(19,29),0.924048 # DEPENDENCYPART_ARC
(19,31),-1.47615 # DEPENDENCYPART_ARC
(19,32),-1.34312 # DEPENDENCYPART_ARC
(19,33),0.0724109 # DEPENDENCYPART_ARC
(19,34),2.15479 # DEPENDENCYPART_ARC
(20,14),-0.19847 # DEPENDENCYPART_ARC
(20,15),-0.171875 # DEPENDENCYPART_ARC
(20,17),0.150244 # DEPENDENCYPART_ARC
(20,18),0.134731 # DEPENDENCYPART_ARC
(20,23),-0.478386 # DEPENDENCYPART_ARC
(20,25),-0.628546 # DEPENDENCYPART_ARC
(20,26),-0.563749 # DEPENDENCYPART_ARC
(20,27),-0.326693 # DEPENDENCYPART_ARC
(20,33),-1.53953 # DEPENDENCYPART_ARC
(21,22),0.1984 # DEPENDENCYPART_ARC
(21,24),-0.505379 # DEPENDENCYPART_ARC
(22,20),-0.757118 # DEPENDENCYPART_ARC
(22,21),0.255728 # DEPENDENCYPART_ARC
(23,16),-0.989054 # DEPENDENCYPART_ARC
(23,21),2.4613 # DEPENDENCYPART_ARC
(23,22),3.90306 # DEPENDENCYPART_ARC
(23,25),-0.613503 # DEPENDENCYPART_ARC
(23,26),-1.17005 # DEPENDENCYPART_ARC
(23,27),0.00117236 # DEPENDENCYPART_ARC
(23,29),-1.20416 # DEPENDENCYPART_ARC
(23,33),-1.63832 # DEPENDENCYPART_ARC
(24,2),-0.739932 # DEPENDENCYPART_ARC
(24,14),-1.08831 # DEPENDENCYPART_ARC
(24,15),-0.550136 # DEPENDENCYPART_ARC
(24,16),-0.889191 # DEPENDENCYPART_ARC
(24,17),-0.946996 # DEPENDENCYPART_ARC
(24,18),-0.667474 # DEPENDENCYPART_ARC
(24,21),0.113613 # DEPENDENCYPART_ARC
(24,22),0.583855 # DEPENDENCYPART_ARC
(24,23),2.26422 # DEPENDENCYPART_ARC
(24,29),-1.21252 # DEPENDENCYPART_ARC
(25,16),-0.814924 # DEPENDENCYPART_ARC
(25,17),-1.8049 # DEPENDENCYPART_ARC
(25,18),-5.11334 # DEPENDENCYPART_ARC
(25,21),1.70107 # DEPENDENCYPART_ARC
(25,22),2.35793 # DEPENDENCYPART_ARC
(25,23),-0.528126 # DEPENDENCYPART_ARC
(25,24),3.58338 # DEPENDENCYPART_ARC
(25,33),-1.44162 # DEPENDENCYPART_ARC
(26,16),-1.09194 # DEPENDENCYPART_ARC
(26,17),-0.439322 # DEPENDENCYPART_ARC
(26,18),-5.7167 # DEPENDENCYPART_ARC
(26,21),0.109603 # DEPENDENCYPART_ARC
(26,22),0.595736 # DEPENDENCYPART_ARC
(26,23),-1.83993 # DEPENDENCYPART_ARC
(26,24),1.71345 # DEPENDENCYPART_ARC
(26,25),3.94592 # DEPENDENCYPART_ARC
(26,27),0.106638 # DEPENDENCYPART_ARC
(26,29),-1.58818 # DEPENDENCYPART_ARC
(26,31),-1.02258 # DEPENDENCYPART_ARC
(26,33),-1.34269 # DEPENDENCYPART_ARC
(28,27),-0.0499545 # DEPENDENCYPART_ARC
(28,31),-0.34497 # DEPENDENCYPART_ARC
(28,32),-0.187457 # DEPENDENCYPART_ARC
(28,33),0.00125083 # DEPENDENCYPART_ARC
(29,1),-1.33511 # DEPENDENCYPART_ARC
(29,4),-1.399 # DEPENDENCYPART_ARC
(29,8),-1.57471 # DEPENDENCYPART_ARC
(29,9),-0.796483 # DEPENDENCYPART_ARC
(29,10),-2.21119 # DEPENDENCYPART_ARC
(29,11),-1.27882 # DEPENDENCYPART_ARC
(29,12),-0.830114 # DEPENDENCYPART_ARC
(29,13),-0.483168 # DEPENDENCYPART_ARC
(29,14),-0.817484 # DEPENDENCYPART_ARC
(29,15),-0.575476 # DEPENDENCYPART_ARC
(29,16),-1.94162 # DEPENDENCYPART_ARC
(29,17),-0.986531 # DEPENDENCYPART_ARC
(29,18),-0.740809 # DEPENDENCYPART_ARC
(29,19),-1.24921 # DEPENDENCYPART_ARC
(29,21),-1.68793 # DEPENDENCYPART_ARC
(29,22),-1.1502 # DEPENDENCYPART_ARC
(29,23),-0.564722 # DEPENDENCYPART_ARC
(29,24),-0.60732 # DEPENDENCYPART_ARC
(29,25),0.203667 # DEPENDENCYPART_ARC
(29,26),-0.0174845 # DEPENDENCYPART_ARC
(29,27),0.47648 # DEPENDENCYPART_ARC
(29,28),2.11205 # DEPENDENCYPART_ARC
(29,30),-0.495082 # DEPENDENCYPART_ARC
(29,31),0.0821479 # DEPENDENCYPART_ARC
(29,32),-0.427817 # DEPENDENCYPART_ARC
(29,33),2.40746 # DEPENDENCYPART_ARC
(29,34),1.16735 # DEPENDENCYPART_ARC
(30,31),0.295616 # DEPENDENCYPART_ARC
(30,32),0.0117992 # DEPENDENCYPART_ARC
(31,30),-0.261183 # DEPENDENCYPART_ARC
(32,23),-1.29895 # DEPENDENCYPART_ARC
(32,25),-2.62375 # DEPENDENCYPART_ARC
(32,26),-2.01304 # DEPENDENCYPART_ARC
(32,30),-0.0605311 # DEPENDENCYPART_ARC
(32,31),1.52311 # DEPENDENCYPART_ARC
(33,21),-0.348402 # DEPENDENCYPART_ARC
(33,22),0.126958 # DEPENDENCYPART_ARC
(33,23),-4.04023 # DEPENDENCYPART_ARC
(33,24),0.0110505 # DEPENDENCYPART_ARC
(33,25),-1.75674 # DEPENDENCYPART_ARC
(33,26),-4.03175 # DEPENDENCYPART_ARC
(33,27),-1.0609 # DEPENDENCYPART_ARC
(33,28),-0.367859 # DEPENDENCYPART_ARC
(33,30),2.02141 # DEPENDENCYPART_ARC
(33,31),2.91968 # DEPENDENCYPART_ARC
(33,32),3.53603 # DEPENDENCYPART_ARC
