# _root_ A kft. másik társtulajdonosa Rózsavölgyi_Sándor , aki korábban maga is futballozott , később pedig a játékvezetésre adta a fejét .
#goldHeads=2,4,4,5,0,5,11,11,11,11,5,5,17,17,16,17,5,19,17,5,
#predictedHeads=2,4,4,5,11,11,11,11,11,11,0,11,17,17,16,17,11,19,17,11,
(10,11),0.279231 # DEPENDENCYPART_ARC
(10,12),0.183605 # DEPENDENCYPART_ARC
(10,13),-1.12006 # DEPENDENCYPART_ARC
(10,14),-0.773394 # DEPENDENCYPART_ARC
(10,17),-0.867493 # DEPENDENCYPART_ARC
(10,19),-1.89904 # DEPENDENCYPART_ARC
(10,20),0.549981 # DEPENDENCYPART_ARC
(11,1),-1.18215 # DEPENDENCYPART_ARC
(11,2),0.258891 # DEPENDENCYPART_ARC
(11,3),-0.515637 # DEPENDENCYPART_ARC
(11,4),0.6304 # DEPENDENCYPART_ARC
(11,5),-0.0560745 # DEPENDENCYPART_ARC
(11,6),0.524802 # DEPENDENCYPART_ARC
(11,7),1.83453 # DEPENDENCYPART_ARC
(11,8),2.11238 # DEPENDENCYPART_ARC
(11,9),1.8311 # DEPENDENCYPART_ARC
(11,10),2.97798 # DEPENDENCYPART_ARC
(11,12),1.68739 # DEPENDENCYPART_ARC
(11,13),0.583589 # DEPENDENCYPART_ARC
(11,14),0.418734 # DEPENDENCYPART_ARC
(11,15),-0.861895 # DEPENDENCYPART_ARC
(11,16),-1.06543 # DEPENDENCYPART_ARC
(11,17),1.13904 # DEPENDENCYPART_ARC
(11,18),-1.11075 # DEPENDENCYPART_ARC
(11,19),-0.953484 # DEPENDENCYPART_ARC
(11,20),2.14766 # DEPENDENCYPART_ARC
(13,2),-1.75576 # DEPENDENCYPART_ARC
(13,4),-1.6082 # DEPENDENCYPART_ARC
(13,5),-1.94521 # DEPENDENCYPART_ARC
(13,6),-1.17268 # DEPENDENCYPART_ARC
(13,8),-0.823432 # DEPENDENCYPART_ARC
(13,10),-0.555438 # DEPENDENCYPART_ARC
(13,11),-0.350298 # DEPENDENCYPART_ARC
(13,12),-0.416293 # DEPENDENCYPART_ARC
(13,14),-0.273356 # DEPENDENCYPART_ARC
(13,16),-0.883973 # DEPENDENCYPART_ARC
(13,17),-0.335497 # DEPENDENCYPART_ARC
(13,19),-1.59376 # DEPENDENCYPART_ARC
(13,20),-0.407386 # DEPENDENCYPART_ARC
(14,2),-2.01628 # DEPENDENCYPART_ARC
(14,3),-2.43281 # DEPENDENCYPART_ARC
(14,4),-2.11866 # DEPENDENCYPART_ARC
(14,5),-1.95427 # DEPENDENCYPART_ARC
(14,6),-0.521725 # DEPENDENCYPART_ARC
(14,8),-1.16497 # DEPENDENCYPART_ARC
(14,9),-1.94959 # DEPENDENCYPART_ARC
(14,10),-0.220411 # DEPENDENCYPART_ARC
(14,11),-0.255928 # DEPENDENCYPART_ARC
(14,12),-0.14082 # DEPENDENCYPART_ARC
(14,13),-0.143096 # DEPENDENCYPART_ARC
(14,15),-0.907341 # DEPENDENCYPART_ARC
(14,16),-0.420935 # DEPENDENCYPART_ARC
(14,17),0.484793 # DEPENDENCYPART_ARC
(14,19),-0.750802 # DEPENDENCYPART_ARC
(14,20),0.620806 # DEPENDENCYPART_ARC
(15,14),-0.566186 # DEPENDENCYPART_ARC
(15,19),-1.74379 # DEPENDENCYPART_ARC
(16,8),-2.06527 # DEPENDENCYPART_ARC
(16,9),-2.39333 # DEPENDENCYPART_ARC
(16,12),-1.26388 # DEPENDENCYPART_ARC
(16,13),-1.09885 # DEPENDENCYPART_ARC
(16,14),-0.765776 # DEPENDENCYPART_ARC
(16,15),2.29724 # DEPENDENCYPART_ARC
(16,19),-2.21817 # DEPENDENCYPART_ARC
(17,2),-0.644744 # DEPENDENCYPART_ARC
(17,3),-1.60898 # DEPENDENCYPART_ARC
(17,4),-0.26424 # DEPENDENCYPART_ARC
(17,5),-1.08904 # DEPENDENCYPART_ARC
(17,6),0.432765 # DEPENDENCYPART_ARC
(17,7),0.365916 # DEPENDENCYPART_ARC
(17,8),0.670187 # DEPENDENCYPART_ARC
(17,9),0.0525277 # DEPENDENCYPART_ARC
(17,10),0.886107 # DEPENDENCYPART_ARC
(17,11),-0.131601 # DEPENDENCYPART_ARC
(17,12),1.10509 # DEPENDENCYPART_ARC
(17,13),2.17127 # DEPENDENCYPART_ARC
(17,14),2.51611 # DEPENDENCYPART_ARC
(17,15),-0.328966 # DEPENDENCYPART_ARC
(17,16),2.98525 # DEPENDENCYPART_ARC
(17,18),-0.428691 # DEPENDENCYPART_ARC
(17,19),3.34456 # DEPENDENCYPART_ARC
(17,20),1.66434 # DEPENDENCYPART_ARC
(19,13),-1.6433 # DEPENDENCYPART_ARC
(19,14),-1.67392 # DEPENDENCYPART_ARC
(19,15),-1.54443 # DEPENDENCYPART_ARC
(19,16),-2.10732 # DEPENDENCYPART_ARC
(19,18),1.88752 # DEPENDENCYPART_ARC
