# _root_ Mert csupán úgy adták elő a falhoz tapadó , földön vonagló vagy ölelkező " koreográfiákat " , amilyen szinten prózai színészektől kitelik .
#goldHeads=4,4,4,0,4,7,8,15,15,11,15,15,15,15,4,15,4,19,22,21,22,4,4,
#predictedHeads=4,4,4,0,4,7,8,15,4,11,15,15,15,15,4,15,4,22,22,21,22,4,4,
(4,14),0.777465 # DEPENDENCYPART_ARC
(4,15),2.43419 # DEPENDENCYPART_ARC
(4,16),0.817204 # DEPENDENCYPART_ARC
(4,17),2.00677 # DEPENDENCYPART_ARC
(4,18),-1.25121 # DEPENDENCYPART_ARC
(4,19),-0.972779 # DEPENDENCYPART_ARC
(4,20),-0.470267 # DEPENDENCYPART_ARC
(4,21),-0.461627 # DEPENDENCYPART_ARC
(4,22),2.34655 # DEPENDENCYPART_ARC
(4,23),2.33191 # DEPENDENCYPART_ARC
(5,1),-0.0717627 # DEPENDENCYPART_ARC
(5,2),0.350966 # DEPENDENCYPART_ARC
(5,4),0.253727 # DEPENDENCYPART_ARC
(5,7),-0.314034 # DEPENDENCYPART_ARC
(5,10),-0.844699 # DEPENDENCYPART_ARC
(5,15),-1.1035 # DEPENDENCYPART_ARC
(5,16),-0.523048 # DEPENDENCYPART_ARC
(5,17),-0.908637 # DEPENDENCYPART_ARC
(5,19),-1.8883 # DEPENDENCYPART_ARC
(5,23),-0.029926 # DEPENDENCYPART_ARC
(7,5),-0.730027 # DEPENDENCYPART_ARC
(7,6),2.83992 # DEPENDENCYPART_ARC
(8,1),-0.366021 # DEPENDENCYPART_ARC
(8,2),-0.321101 # DEPENDENCYPART_ARC
(8,3),-0.0960308 # DEPENDENCYPART_ARC
(8,4),-0.569151 # DEPENDENCYPART_ARC
(8,6),0.503537 # DEPENDENCYPART_ARC
(8,7),2.61196 # DEPENDENCYPART_ARC
(8,9),0.572995 # DEPENDENCYPART_ARC
(8,10),-0.270133 # DEPENDENCYPART_ARC
(8,11),-0.80744 # DEPENDENCYPART_ARC
(8,13),-1.00169 # DEPENDENCYPART_ARC
(8,14),0.236947 # DEPENDENCYPART_ARC
(8,15),-2.11889 # DEPENDENCYPART_ARC
(8,22),-0.898712 # DEPENDENCYPART_ARC
(8,23),0.382816 # DEPENDENCYPART_ARC
(10,3),-0.718612 # DEPENDENCYPART_ARC
(10,6),1.25476 # DEPENDENCYPART_ARC
(10,7),-0.964441 # DEPENDENCYPART_ARC
(10,8),1.01881 # DEPENDENCYPART_ARC
(10,9),0.829923 # DEPENDENCYPART_ARC
(10,11),-0.842302 # DEPENDENCYPART_ARC
(10,13),-0.874232 # DEPENDENCYPART_ARC
(10,14),0.258128 # DEPENDENCYPART_ARC
(10,15),-1.05666 # DEPENDENCYPART_ARC
(10,16),0.442929 # DEPENDENCYPART_ARC
(10,17),-0.156858 # DEPENDENCYPART_ARC
(10,19),-1.68363 # DEPENDENCYPART_ARC
(10,22),-0.396748 # DEPENDENCYPART_ARC
(11,2),-0.723351 # DEPENDENCYPART_ARC
(11,3),-0.745767 # DEPENDENCYPART_ARC
(11,4),-1.17422 # DEPENDENCYPART_ARC
(11,6),-0.628379 # DEPENDENCYPART_ARC
(11,7),0.724763 # DEPENDENCYPART_ARC
(11,8),-0.935181 # DEPENDENCYPART_ARC
(11,9),0.00145102 # DEPENDENCYPART_ARC
(11,10),1.70378 # DEPENDENCYPART_ARC
(11,12),-1.11494 # DEPENDENCYPART_ARC
(11,13),-1.10915 # DEPENDENCYPART_ARC
(11,22),-1.33137 # DEPENDENCYPART_ARC
(12,1),-0.270603 # DEPENDENCYPART_ARC
(12,2),-0.818237 # DEPENDENCYPART_ARC
(12,3),-0.981299 # DEPENDENCYPART_ARC
(12,4),-0.524403 # DEPENDENCYPART_ARC
(12,8),-0.694766 # DEPENDENCYPART_ARC
(12,9),-0.442218 # DEPENDENCYPART_ARC
(12,10),-0.568794 # DEPENDENCYPART_ARC
(12,11),0.0445973 # DEPENDENCYPART_ARC
(12,13),-0.47613 # DEPENDENCYPART_ARC
(12,14),-0.254718 # DEPENDENCYPART_ARC
(12,15),-0.719368 # DEPENDENCYPART_ARC
(12,19),-1.61661 # DEPENDENCYPART_ARC
(12,22),-0.995309 # DEPENDENCYPART_ARC
(12,23),-0.491742 # DEPENDENCYPART_ARC
(13,1),-0.249872 # DEPENDENCYPART_ARC
(13,2),-0.0534875 # DEPENDENCYPART_ARC
(13,3),-0.0535258 # DEPENDENCYPART_ARC
(13,4),-0.362593 # DEPENDENCYPART_ARC
(13,6),-0.264563 # DEPENDENCYPART_ARC
(13,7),1.08749 # DEPENDENCYPART_ARC
(13,8),-0.0770514 # DEPENDENCYPART_ARC
(13,9),0.92375 # DEPENDENCYPART_ARC
(13,10),1.33952 # DEPENDENCYPART_ARC
(13,11),0.84385 # DEPENDENCYPART_ARC
(13,12),1.59651 # DEPENDENCYPART_ARC
(13,14),0.915636 # DEPENDENCYPART_ARC
(13,15),-0.815199 # DEPENDENCYPART_ARC
(13,16),0.244124 # DEPENDENCYPART_ARC
(13,17),-0.02001 # DEPENDENCYPART_ARC
(13,19),-0.759337 # DEPENDENCYPART_ARC
(13,20),-0.909903 # DEPENDENCYPART_ARC
(13,21),-1.15942 # DEPENDENCYPART_ARC
(13,22),-0.406356 # DEPENDENCYPART_ARC
(13,23),0.65703 # DEPENDENCYPART_ARC
(15,1),-0.493479 # DEPENDENCYPART_ARC
(15,6),1.48519 # DEPENDENCYPART_ARC
(15,7),-0.453329 # DEPENDENCYPART_ARC
(15,8),1.27161 # DEPENDENCYPART_ARC
(15,9),1.75988 # DEPENDENCYPART_ARC
(15,10),0.172878 # DEPENDENCYPART_ARC
(15,11),1.7663 # DEPENDENCYPART_ARC
(15,12),1.95517 # DEPENDENCYPART_ARC
(15,13),2.2734 # DEPENDENCYPART_ARC
(15,14),2.72133 # DEPENDENCYPART_ARC
(15,16),1.80626 # DEPENDENCYPART_ARC
(15,17),0.118088 # DEPENDENCYPART_ARC
(15,19),-1.312 # DEPENDENCYPART_ARC
(15,20),-0.595851 # DEPENDENCYPART_ARC
(15,21),-0.331674 # DEPENDENCYPART_ARC
(15,22),-0.373024 # DEPENDENCYPART_ARC
(15,23),0.642193 # DEPENDENCYPART_ARC
(18,19),-0.351368 # DEPENDENCYPART_ARC
(18,20),-0.729737 # DEPENDENCYPART_ARC
(18,21),-1.11443 # DEPENDENCYPART_ARC
(19,6),-0.262812 # DEPENDENCYPART_ARC
(19,8),-0.899297 # DEPENDENCYPART_ARC
(19,11),-0.470331 # DEPENDENCYPART_ARC
(19,12),-0.326722 # DEPENDENCYPART_ARC
(19,13),-1.08849 # DEPENDENCYPART_ARC
(19,14),-0.452562 # DEPENDENCYPART_ARC
(19,15),-4.24145 # DEPENDENCYPART_ARC
(19,16),-0.212968 # DEPENDENCYPART_ARC
(19,17),-0.761032 # DEPENDENCYPART_ARC
(19,18),1.43776 # DEPENDENCYPART_ARC
(19,20),-1.06282 # DEPENDENCYPART_ARC
(19,21),-0.525748 # DEPENDENCYPART_ARC
(20,3),-0.730622 # DEPENDENCYPART_ARC
(20,7),0.316644 # DEPENDENCYPART_ARC
(20,10),0.0768199 # DEPENDENCYPART_ARC
(20,11),-1.40255 # DEPENDENCYPART_ARC
(20,12),-0.0890066 # DEPENDENCYPART_ARC
(20,13),-1.11886 # DEPENDENCYPART_ARC
(20,14),-0.0849913 # DEPENDENCYPART_ARC
(20,15),-0.523809 # DEPENDENCYPART_ARC
(20,16),0.058472 # DEPENDENCYPART_ARC
(20,17),-0.0940734 # DEPENDENCYPART_ARC
(20,18),-0.195001 # DEPENDENCYPART_ARC
(20,19),2.22917 # DEPENDENCYPART_ARC
(21,6),0.305206 # DEPENDENCYPART_ARC
(21,7),-1.59261 # DEPENDENCYPART_ARC
(21,8),1.07784 # DEPENDENCYPART_ARC
(21,9),1.09611 # DEPENDENCYPART_ARC
(21,10),-1.61551 # DEPENDENCYPART_ARC
(21,11),0.9742 # DEPENDENCYPART_ARC
(21,12),1.12158 # DEPENDENCYPART_ARC
(21,13),0.82461 # DEPENDENCYPART_ARC
(21,14),1.00034 # DEPENDENCYPART_ARC
(21,15),-2.80031 # DEPENDENCYPART_ARC
(21,16),-0.117563 # DEPENDENCYPART_ARC
(21,17),0.156537 # DEPENDENCYPART_ARC
(21,18),0.154776 # DEPENDENCYPART_ARC
(21,19),-0.220216 # DEPENDENCYPART_ARC
(21,20),3.3263 # DEPENDENCYPART_ARC
(22,1),-0.55859 # DEPENDENCYPART_ARC
(22,2),-0.06856 # DEPENDENCYPART_ARC
(22,3),-1.01986 # DEPENDENCYPART_ARC
(22,4),-0.501684 # DEPENDENCYPART_ARC
(22,6),-0.87712 # DEPENDENCYPART_ARC
(22,7),-0.895706 # DEPENDENCYPART_ARC
(22,8),-1.26776 # DEPENDENCYPART_ARC
(22,9),0.0858686 # DEPENDENCYPART_ARC
(22,10),0.0624223 # DEPENDENCYPART_ARC
(22,11),-0.753266 # DEPENDENCYPART_ARC
(22,12),0.858637 # DEPENDENCYPART_ARC
(22,13),-0.947587 # DEPENDENCYPART_ARC
(22,14),0.333204 # DEPENDENCYPART_ARC
(22,15),-0.310921 # DEPENDENCYPART_ARC
(22,16),0.726925 # DEPENDENCYPART_ARC
(22,17),0.624415 # DEPENDENCYPART_ARC
(22,18),1.97121 # DEPENDENCYPART_ARC
(22,19),2.2437 # DEPENDENCYPART_ARC
(22,20),0.975288 # DEPENDENCYPART_ARC
(22,21),3.25603 # DEPENDENCYPART_ARC
(22,23),1.44607 # DEPENDENCYPART_ARC
