# _root_ Nem volt nagy , ám a másodikhoz már elkelt a segítség , én nyúltam alá a merítőhálóval .
#goldHeads=2,5,2,5,0,7,9,9,5,11,9,5,14,5,14,17,14,5,
#predictedHeads=2,5,2,5,0,7,9,9,5,11,9,9,14,5,14,17,14,5,
(5,8),0.222903 # DEPENDENCYPART_ARC
(5,9),1.77263 # DEPENDENCYPART_ARC
(5,11),-0.578484 # DEPENDENCYPART_ARC
(5,12),0.686964 # DEPENDENCYPART_ARC
(5,14),1.26339 # DEPENDENCYPART_ARC
(5,17),-1.41477 # DEPENDENCYPART_ARC
(5,18),4.3924 # DEPENDENCYPART_ARC
(6,3),-1.32418 # DEPENDENCYPART_ARC
(6,5),-0.450557 # DEPENDENCYPART_ARC
(6,11),-1.33201 # DEPENDENCYPART_ARC
(7,2),-2.27848 # DEPENDENCYPART_ARC
(7,3),-1.33875 # DEPENDENCYPART_ARC
(7,4),-0.459199 # DEPENDENCYPART_ARC
(7,5),-0.796264 # DEPENDENCYPART_ARC
(7,6),2.8887 # DEPENDENCYPART_ARC
(7,8),-0.841852 # DEPENDENCYPART_ARC
(7,9),-1.10068 # DEPENDENCYPART_ARC
(7,11),-1.55982 # DEPENDENCYPART_ARC
(7,17),-2.6293 # DEPENDENCYPART_ARC
(8,1),-0.894736 # DEPENDENCYPART_ARC
(8,2),-0.937996 # DEPENDENCYPART_ARC
(8,3),-0.942371 # DEPENDENCYPART_ARC
(8,4),-0.533999 # DEPENDENCYPART_ARC
(8,5),-0.712247 # DEPENDENCYPART_ARC
(8,7),0.0592052 # DEPENDENCYPART_ARC
(8,11),-0.68933 # DEPENDENCYPART_ARC
(8,12),-0.290902 # DEPENDENCYPART_ARC
(8,14),-0.767476 # DEPENDENCYPART_ARC
(8,17),-1.4313 # DEPENDENCYPART_ARC
(8,18),-0.117354 # DEPENDENCYPART_ARC
(9,1),0.335348 # DEPENDENCYPART_ARC
(9,2),-0.35001 # DEPENDENCYPART_ARC
(9,3),-0.768891 # DEPENDENCYPART_ARC
(9,4),0.105023 # DEPENDENCYPART_ARC
(9,5),0.842253 # DEPENDENCYPART_ARC
(9,6),-1.01445 # DEPENDENCYPART_ARC
(9,7),1.58215 # DEPENDENCYPART_ARC
(9,8),3.17397 # DEPENDENCYPART_ARC
(9,10),-0.382831 # DEPENDENCYPART_ARC
(9,11),2.64665 # DEPENDENCYPART_ARC
(9,12),1.80827 # DEPENDENCYPART_ARC
(9,13),-0.255416 # DEPENDENCYPART_ARC
(9,14),1.06226 # DEPENDENCYPART_ARC
(9,15),0.479157 # DEPENDENCYPART_ARC
(9,16),-0.895324 # DEPENDENCYPART_ARC
(9,17),-0.384012 # DEPENDENCYPART_ARC
(9,18),2.11227 # DEPENDENCYPART_ARC
(11,4),-1.37403 # DEPENDENCYPART_ARC
(11,6),-0.783405 # DEPENDENCYPART_ARC
(11,7),-3.53767 # DEPENDENCYPART_ARC
(11,8),-1.35794 # DEPENDENCYPART_ARC
(11,9),-0.576145 # DEPENDENCYPART_ARC
(11,10),2.8374 # DEPENDENCYPART_ARC
(11,12),-0.0270261 # DEPENDENCYPART_ARC
(11,14),-0.649245 # DEPENDENCYPART_ARC
(11,17),-2.4088 # DEPENDENCYPART_ARC
(11,18),0.140067 # DEPENDENCYPART_ARC
(13,2),-0.0730696 # DEPENDENCYPART_ARC
(13,9),0.275044 # DEPENDENCYPART_ARC
(13,12),0.385767 # DEPENDENCYPART_ARC
(13,14),-2.02655 # DEPENDENCYPART_ARC
(13,17),-1.1979 # DEPENDENCYPART_ARC
(13,18),-0.230955 # DEPENDENCYPART_ARC
(14,1),-0.592673 # DEPENDENCYPART_ARC
(14,2),-0.312155 # DEPENDENCYPART_ARC
(14,3),-2.08433 # DEPENDENCYPART_ARC
(14,4),-0.29532 # DEPENDENCYPART_ARC
(14,5),0.507882 # DEPENDENCYPART_ARC
(14,6),-1.67654 # DEPENDENCYPART_ARC
(14,7),-0.290495 # DEPENDENCYPART_ARC
(14,8),0.696635 # DEPENDENCYPART_ARC
(14,9),0.0449451 # DEPENDENCYPART_ARC
(14,10),-1.08626 # DEPENDENCYPART_ARC
(14,11),-0.143998 # DEPENDENCYPART_ARC
(14,12),1.08534 # DEPENDENCYPART_ARC
(14,13),3.47661 # DEPENDENCYPART_ARC
(14,15),2.24212 # DEPENDENCYPART_ARC
(14,16),-0.340218 # DEPENDENCYPART_ARC
(14,17),1.49433 # DEPENDENCYPART_ARC
(14,18),1.67061 # DEPENDENCYPART_ARC
(15,2),-0.781791 # DEPENDENCYPART_ARC
(15,3),-0.641718 # DEPENDENCYPART_ARC
(15,4),-0.79677 # DEPENDENCYPART_ARC
(15,5),-0.6516 # DEPENDENCYPART_ARC
(15,7),-1.01708 # DEPENDENCYPART_ARC
(15,9),-0.778299 # DEPENDENCYPART_ARC
(15,11),-1.01335 # DEPENDENCYPART_ARC
(15,12),-0.539414 # DEPENDENCYPART_ARC
(15,13),-0.0706853 # DEPENDENCYPART_ARC
(15,14),0.260456 # DEPENDENCYPART_ARC
(15,17),-0.164767 # DEPENDENCYPART_ARC
(15,18),0.12473 # DEPENDENCYPART_ARC
(17,10),-1.38785 # DEPENDENCYPART_ARC
(17,13),-2.33063 # DEPENDENCYPART_ARC
(17,15),-0.723072 # DEPENDENCYPART_ARC
(17,16),2.53566 # DEPENDENCYPART_ARC
