# _root_ Krőzsel pénzügyi okokkal magyarázta , hogy az ORFK vezetése csökkentette a MESZ létszámát , pedig elégedett volt az eddigi tevékenységével .
#goldHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,4,4,17,4,20,20,17,4,
#predictedHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,10,17,17,4,20,20,17,4,
(4,21),3.66002 # DEPENDENCYPART_ARC
(6,1),0.599111 # DEPENDENCYPART_ARC
(6,2),0.208679 # DEPENDENCYPART_ARC
(6,3),0.167049 # DEPENDENCYPART_ARC
(6,4),-0.133439 # DEPENDENCYPART_ARC
(6,5),0.977196 # DEPENDENCYPART_ARC
(6,8),-0.378897 # DEPENDENCYPART_ARC
(6,9),-0.893543 # DEPENDENCYPART_ARC
(6,10),0.771858 # DEPENDENCYPART_ARC
(6,12),-1.15968 # DEPENDENCYPART_ARC
(6,13),-1.5224 # DEPENDENCYPART_ARC
(6,14),-0.393207 # DEPENDENCYPART_ARC
(6,15),-0.0314973 # DEPENDENCYPART_ARC
(6,16),-1.03438 # DEPENDENCYPART_ARC
(6,17),0.808791 # DEPENDENCYPART_ARC
(6,20),-2.02064 # DEPENDENCYPART_ARC
(6,21),1.76541 # DEPENDENCYPART_ARC
(8,4),-1.027 # DEPENDENCYPART_ARC
(8,6),-1.13878 # DEPENDENCYPART_ARC
(8,7),2.32921 # DEPENDENCYPART_ARC
(8,13),-1.96781 # DEPENDENCYPART_ARC
(9,1),-1.26868 # DEPENDENCYPART_ARC
(9,3),-3.28765 # DEPENDENCYPART_ARC
(9,4),-0.986777 # DEPENDENCYPART_ARC
(9,5),-0.333496 # DEPENDENCYPART_ARC
(9,6),-0.322733 # DEPENDENCYPART_ARC
(9,7),0.660014 # DEPENDENCYPART_ARC
(9,8),4.03294 # DEPENDENCYPART_ARC
(9,12),-1.42269 # DEPENDENCYPART_ARC
(9,13),-2.2434 # DEPENDENCYPART_ARC
(9,14),-0.732261 # DEPENDENCYPART_ARC
(9,15),-1.24381 # DEPENDENCYPART_ARC
(9,17),-1.90356 # DEPENDENCYPART_ARC
(9,20),-2.74822 # DEPENDENCYPART_ARC
(10,1),0.904988 # DEPENDENCYPART_ARC
(10,2),-0.605142 # DEPENDENCYPART_ARC
(10,3),0.260873 # DEPENDENCYPART_ARC
(10,4),-0.201417 # DEPENDENCYPART_ARC
(10,5),0.742335 # DEPENDENCYPART_ARC
(10,6),-0.0255324 # DEPENDENCYPART_ARC
(10,7),-0.458886 # DEPENDENCYPART_ARC
(10,8),2.20582 # DEPENDENCYPART_ARC
(10,9),3.86186 # DEPENDENCYPART_ARC
(10,11),-0.451872 # DEPENDENCYPART_ARC
(10,12),1.06431 # DEPENDENCYPART_ARC
(10,13),3.32991 # DEPENDENCYPART_ARC
(10,14),1.64021 # DEPENDENCYPART_ARC
(10,15),0.600059 # DEPENDENCYPART_ARC
(10,16),-0.632055 # DEPENDENCYPART_ARC
(10,17),1.08889 # DEPENDENCYPART_ARC
(10,18),-1.14125 # DEPENDENCYPART_ARC
(10,19),-1.54265 # DEPENDENCYPART_ARC
(10,20),0.492976 # DEPENDENCYPART_ARC
(10,21),1.93923 # DEPENDENCYPART_ARC
(11,12),-0.0310276 # DEPENDENCYPART_ARC
(11,16),-0.857977 # DEPENDENCYPART_ARC
(12,7),-1.22768 # DEPENDENCYPART_ARC
(12,11),2.36926 # DEPENDENCYPART_ARC
(12,13),-1.21287 # DEPENDENCYPART_ARC
(12,20),-2.52823 # DEPENDENCYPART_ARC
(13,1),-2.17002 # DEPENDENCYPART_ARC
(13,4),-2.21056 # DEPENDENCYPART_ARC
(13,5),-1.26367 # DEPENDENCYPART_ARC
(13,6),-1.27211 # DEPENDENCYPART_ARC
(13,7),-1.89913 # DEPENDENCYPART_ARC
(13,8),-0.170146 # DEPENDENCYPART_ARC
(13,9),-1.67143 # DEPENDENCYPART_ARC
(13,10),-1.03618 # DEPENDENCYPART_ARC
(13,11),1.11181 # DEPENDENCYPART_ARC
(13,12),3.67332 # DEPENDENCYPART_ARC
(13,14),-0.341735 # DEPENDENCYPART_ARC
(13,15),-1.18542 # DEPENDENCYPART_ARC
(13,16),-1.11236 # DEPENDENCYPART_ARC
(13,17),-1.2958 # DEPENDENCYPART_ARC
(13,20),-2.14882 # DEPENDENCYPART_ARC
(15,1),-0.653527 # DEPENDENCYPART_ARC
(15,2),-0.667401 # DEPENDENCYPART_ARC
(15,3),-1.04731 # DEPENDENCYPART_ARC
(15,4),0.892022 # DEPENDENCYPART_ARC
(15,5),0.364364 # DEPENDENCYPART_ARC
(15,6),0.557104 # DEPENDENCYPART_ARC
(15,8),-0.682836 # DEPENDENCYPART_ARC
(15,9),-0.763146 # DEPENDENCYPART_ARC
(15,10),1.45889 # DEPENDENCYPART_ARC
(15,11),-0.56089 # DEPENDENCYPART_ARC
(15,12),0.101128 # DEPENDENCYPART_ARC
(15,13),-0.705721 # DEPENDENCYPART_ARC
(15,14),1.49416 # DEPENDENCYPART_ARC
(15,16),-0.199783 # DEPENDENCYPART_ARC
(15,17),1.37632 # DEPENDENCYPART_ARC
(15,19),-0.421403 # DEPENDENCYPART_ARC
(15,20),-1.055 # DEPENDENCYPART_ARC
(15,21),2.0098 # DEPENDENCYPART_ARC
(16,4),-1.70752 # DEPENDENCYPART_ARC
(16,6),-1.06238 # DEPENDENCYPART_ARC
(16,8),-1.75819 # DEPENDENCYPART_ARC
(16,10),-1.36605 # DEPENDENCYPART_ARC
(16,11),-0.827525 # DEPENDENCYPART_ARC
(16,12),-0.787668 # DEPENDENCYPART_ARC
(16,13),-0.577435 # DEPENDENCYPART_ARC
(16,14),0.0624354 # DEPENDENCYPART_ARC
(16,15),0.0558459 # DEPENDENCYPART_ARC
(16,19),-1.30892 # DEPENDENCYPART_ARC
(16,20),-1.61195 # DEPENDENCYPART_ARC
(16,21),-0.581514 # DEPENDENCYPART_ARC
(17,1),0.0747627 # DEPENDENCYPART_ARC
(17,2),-0.986298 # DEPENDENCYPART_ARC
(17,3),-0.746008 # DEPENDENCYPART_ARC
(17,4),0.138274 # DEPENDENCYPART_ARC
(17,5),0.713118 # DEPENDENCYPART_ARC
(17,6),0.290305 # DEPENDENCYPART_ARC
(17,7),-0.90998 # DEPENDENCYPART_ARC
(17,8),0.542939 # DEPENDENCYPART_ARC
(17,9),1.51933 # DEPENDENCYPART_ARC
(17,10),0.382762 # DEPENDENCYPART_ARC
(17,11),-0.741436 # DEPENDENCYPART_ARC
(17,12),1.39338 # DEPENDENCYPART_ARC
(17,13),0.655233 # DEPENDENCYPART_ARC
(17,14),1.16513 # DEPENDENCYPART_ARC
(17,15),2.24844 # DEPENDENCYPART_ARC
(17,16),2.3706 # DEPENDENCYPART_ARC
(17,18),-0.320352 # DEPENDENCYPART_ARC
(17,19),0.407416 # DEPENDENCYPART_ARC
(17,20),2.35437 # DEPENDENCYPART_ARC
(17,21),1.76335 # DEPENDENCYPART_ARC
(18,16),-1.61772 # DEPENDENCYPART_ARC
(18,19),0.0455741 # DEPENDENCYPART_ARC
(19,15),-1.40478 # DEPENDENCYPART_ARC
(19,16),-1.62591 # DEPENDENCYPART_ARC
(19,18),0.315673 # DEPENDENCYPART_ARC
(20,7),-2.87319 # DEPENDENCYPART_ARC
(20,8),-0.953089 # DEPENDENCYPART_ARC
(20,11),-1.83905 # DEPENDENCYPART_ARC
(20,12),-0.189259 # DEPENDENCYPART_ARC
(20,13),-5.23814 # DEPENDENCYPART_ARC
(20,14),-1.09893 # DEPENDENCYPART_ARC
(20,15),-0.644399 # DEPENDENCYPART_ARC
(20,16),-0.780304 # DEPENDENCYPART_ARC
(20,17),-2.12326 # DEPENDENCYPART_ARC
(20,18),1.31317 # DEPENDENCYPART_ARC
(20,19),3.28457 # DEPENDENCYPART_ARC
(20,21),-0.57773 # DEPENDENCYPART_ARC
