# _root_ Szép_Tibor egyelőre nem kívánt nyilatkozni lapunknak , de annyit elmondott , hogy a munkakör betöltésének napjáig a munkavállaló visszaléphet .
#goldHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
#predictedHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
(16,12),-0.824526 # DEPENDENCYPART_ARC
(16,13),-0.000558243 # DEPENDENCYPART_ARC
(16,14),2.19947 # DEPENDENCYPART_ARC
(16,15),0.530912 # DEPENDENCYPART_ARC
(16,17),-0.999292 # DEPENDENCYPART_ARC
(16,18),-0.545333 # DEPENDENCYPART_ARC
(16,20),0.172845 # DEPENDENCYPART_ARC
(18,13),-0.28968 # DEPENDENCYPART_ARC
(18,14),-1.25531 # DEPENDENCYPART_ARC
(18,15),-2.07809 # DEPENDENCYPART_ARC
(18,16),-2.93269 # DEPENDENCYPART_ARC
(18,17),2.54711 # DEPENDENCYPART_ARC
(19,1),-0.14266 # DEPENDENCYPART_ARC
(19,2),0.152448 # DEPENDENCYPART_ARC
(19,3),-0.773141 # DEPENDENCYPART_ARC
(19,4),-0.869382 # DEPENDENCYPART_ARC
(19,5),-0.101923 # DEPENDENCYPART_ARC
(19,6),-0.266611 # DEPENDENCYPART_ARC
(19,7),0.118712 # DEPENDENCYPART_ARC
(19,8),0.75579 # DEPENDENCYPART_ARC
(19,9),0.0110847 # DEPENDENCYPART_ARC
(19,10),-0.285031 # DEPENDENCYPART_ARC
(19,11),0.425166 # DEPENDENCYPART_ARC
(19,12),-0.138224 # DEPENDENCYPART_ARC
(19,13),-1.00115 # DEPENDENCYPART_ARC
(19,14),1.64016 # DEPENDENCYPART_ARC
(19,15),2.43653 # DEPENDENCYPART_ARC
(19,16),2.54678 # DEPENDENCYPART_ARC
(19,17),-0.394055 # DEPENDENCYPART_ARC
(19,18),3.46075 # DEPENDENCYPART_ARC
(19,20),1.44523 # DEPENDENCYPART_ARC
