# _root_ Fémlemezzel borított , falra és oszlopokra hasonlító elemek szolgálnak díszletül a Kár,_hogy_ká című John_Ford-dráma előadásához .
#goldHeads=2,8,8,7,7,7,8,9,0,9,14,13,14,15,9,9,
#predictedHeads=2,4,8,9,9,9,8,9,0,9,14,13,14,15,9,9,
(6,16),-0.284653 # DEPENDENCYPART_ARC
(7,1),0.176545 # DEPENDENCYPART_ARC
(7,2),-1.09666 # DEPENDENCYPART_ARC
(7,3),0.209547 # DEPENDENCYPART_ARC
(7,4),1.08367 # DEPENDENCYPART_ARC
(7,5),1.13255 # DEPENDENCYPART_ARC
(7,6),2.14027 # DEPENDENCYPART_ARC
(7,12),-1.75529 # DEPENDENCYPART_ARC
(8,1),-1.74067 # DEPENDENCYPART_ARC
(8,2),1.30189 # DEPENDENCYPART_ARC
(8,3),1.53209 # DEPENDENCYPART_ARC
(8,4),-0.879136 # DEPENDENCYPART_ARC
(8,5),0.960311 # DEPENDENCYPART_ARC
(8,6),-0.0439387 # DEPENDENCYPART_ARC
(8,7),3.35298 # DEPENDENCYPART_ARC
(8,9),-0.743511 # DEPENDENCYPART_ARC
(8,10),-1.69826 # DEPENDENCYPART_ARC
(8,12),-1.55771 # DEPENDENCYPART_ARC
(8,14),-1.53657 # DEPENDENCYPART_ARC
(8,15),-2.37068 # DEPENDENCYPART_ARC
(8,16),-0.502164 # DEPENDENCYPART_ARC
(9,1),0.785329 # DEPENDENCYPART_ARC
(9,2),-0.691525 # DEPENDENCYPART_ARC
(9,3),0.749094 # DEPENDENCYPART_ARC
(9,4),1.5066 # DEPENDENCYPART_ARC
(9,5),1.53133 # DEPENDENCYPART_ARC
(9,6),2.51208 # DEPENDENCYPART_ARC
(9,7),0.592146 # DEPENDENCYPART_ARC
(9,8),3.47454 # DEPENDENCYPART_ARC
(9,10),2.73308 # DEPENDENCYPART_ARC
(9,11),-0.362656 # DEPENDENCYPART_ARC
(9,12),-0.363169 # DEPENDENCYPART_ARC
(9,13),-0.531579 # DEPENDENCYPART_ARC
(9,14),0.685674 # DEPENDENCYPART_ARC
(9,15),1.7733 # DEPENDENCYPART_ARC
(9,16),1.66783 # DEPENDENCYPART_ARC
(10,2),-1.3763 # DEPENDENCYPART_ARC
(10,3),-0.602092 # DEPENDENCYPART_ARC
(10,5),-0.947419 # DEPENDENCYPART_ARC
(10,6),-4.42132 # DEPENDENCYPART_ARC
(10,7),-0.44323 # DEPENDENCYPART_ARC
(10,8),-3.02831 # DEPENDENCYPART_ARC
(10,9),-0.770552 # DEPENDENCYPART_ARC
(10,11),-0.961456 # DEPENDENCYPART_ARC
(10,12),-0.786616 # DEPENDENCYPART_ARC
(10,13),-0.964339 # DEPENDENCYPART_ARC
(10,14),-1.11323 # DEPENDENCYPART_ARC
(10,15),-1.61342 # DEPENDENCYPART_ARC
(10,16),0.0452281 # DEPENDENCYPART_ARC
(11,12),-0.13159 # DEPENDENCYPART_ARC
(11,13),-0.286826 # DEPENDENCYPART_ARC
(12,10),-2.80721 # DEPENDENCYPART_ARC
(12,11),1.70773 # DEPENDENCYPART_ARC
(12,14),-0.0103098 # DEPENDENCYPART_ARC
(12,15),-1.37691 # DEPENDENCYPART_ARC
(12,16),-0.825174 # DEPENDENCYPART_ARC
(13,1),-0.589554 # DEPENDENCYPART_ARC
(13,4),0.323633 # DEPENDENCYPART_ARC
(13,5),0.784814 # DEPENDENCYPART_ARC
(13,6),0.300004 # DEPENDENCYPART_ARC
(13,8),-0.904621 # DEPENDENCYPART_ARC
(13,9),-0.126528 # DEPENDENCYPART_ARC
(13,10),0.567321 # DEPENDENCYPART_ARC
(13,11),1.02597 # DEPENDENCYPART_ARC
(13,12),3.06 # DEPENDENCYPART_ARC
(13,15),-1.4581 # DEPENDENCYPART_ARC
(14,1),-3.60618 # DEPENDENCYPART_ARC
(14,2),0.04503 # DEPENDENCYPART_ARC
(14,3),0.75968 # DEPENDENCYPART_ARC
(14,4),-3.17763 # DEPENDENCYPART_ARC
(14,5),-0.0283368 # DEPENDENCYPART_ARC
(14,6),-3.25049 # DEPENDENCYPART_ARC
(14,7),0.225699 # DEPENDENCYPART_ARC
(14,8),-2.80323 # DEPENDENCYPART_ARC
(14,9),-0.890048 # DEPENDENCYPART_ARC
(14,10),-1.78458 # DEPENDENCYPART_ARC
(14,11),1.85447 # DEPENDENCYPART_ARC
(14,12),2.44587 # DEPENDENCYPART_ARC
(14,13),3.66059 # DEPENDENCYPART_ARC
(14,15),-1.19611 # DEPENDENCYPART_ARC
(15,3),0.131731 # DEPENDENCYPART_ARC
(15,4),-2.0531 # DEPENDENCYPART_ARC
(15,5),0.36495 # DEPENDENCYPART_ARC
(15,6),-2.51047 # DEPENDENCYPART_ARC
(15,8),-0.636923 # DEPENDENCYPART_ARC
(15,10),-1.70112 # DEPENDENCYPART_ARC
(15,11),0.398822 # DEPENDENCYPART_ARC
(15,12),1.99556 # DEPENDENCYPART_ARC
(15,13),1.71964 # DEPENDENCYPART_ARC
(15,14),4.27548 # DEPENDENCYPART_ARC
(15,16),-0.154029 # DEPENDENCYPART_ARC
