# _root_ A menekültek között ugyanis főként nőket és gyermekeket látni , és ez is megerősíteni látszik az atlanti szövetséghez érkezett jelentéseket , miszerint a szerbek a koszovói albánokból állítanak " védőgyűrűt " .
#goldHeads=2,3,9,9,9,9,9,9,11,11,0,14,15,15,11,18,18,19,20,14,15,15,24,28,27,27,28,12,28,28,28,11,
#predictedHeads=2,3,9,9,9,9,9,9,11,11,0,14,14,15,11,18,18,19,20,14,28,15,24,28,27,27,28,9,30,28,30,15,
(15,27),-1.06403 # DEPENDENCYPART_ARC
(15,28),0.528915 # DEPENDENCYPART_ARC
(15,29),-0.552571 # DEPENDENCYPART_ARC
(15,30),-0.388543 # DEPENDENCYPART_ARC
(15,31),-0.24014 # DEPENDENCYPART_ARC
(15,32),2.7148 # DEPENDENCYPART_ARC
(16,17),0.170706 # DEPENDENCYPART_ARC
(17,16),0.441651 # DEPENDENCYPART_ARC
(18,12),-1.25919 # DEPENDENCYPART_ARC
(18,16),2.50775 # DEPENDENCYPART_ARC
(18,17),3.81574 # DEPENDENCYPART_ARC
(18,20),-0.470399 # DEPENDENCYPART_ARC
(19,3),-0.571979 # DEPENDENCYPART_ARC
(19,12),-1.33851 # DEPENDENCYPART_ARC
(19,13),0.094206 # DEPENDENCYPART_ARC
(19,16),0.16133 # DEPENDENCYPART_ARC
(19,17),0.580657 # DEPENDENCYPART_ARC
(19,18),2.39461 # DEPENDENCYPART_ARC
(20,7),-0.812106 # DEPENDENCYPART_ARC
(20,11),-0.513175 # DEPENDENCYPART_ARC
(20,12),-1.23967 # DEPENDENCYPART_ARC
(20,16),1.61287 # DEPENDENCYPART_ARC
(20,17),2.0508 # DEPENDENCYPART_ARC
(20,18),0.371973 # DEPENDENCYPART_ARC
(20,19),3.74809 # DEPENDENCYPART_ARC
(20,21),-0.180688 # DEPENDENCYPART_ARC
(20,24),-1.55806 # DEPENDENCYPART_ARC
(20,27),-1.5441 # DEPENDENCYPART_ARC
(22,3),-0.317869 # DEPENDENCYPART_ARC
(22,4),-0.392227 # DEPENDENCYPART_ARC
(22,5),-0.67121 # DEPENDENCYPART_ARC
(22,7),-0.682453 # DEPENDENCYPART_ARC
(22,8),-1.58429 # DEPENDENCYPART_ARC
(22,9),-0.865052 # DEPENDENCYPART_ARC
(22,10),-0.0214906 # DEPENDENCYPART_ARC
(22,11),-0.275809 # DEPENDENCYPART_ARC
(22,12),-0.57121 # DEPENDENCYPART_ARC
(22,13),0.10954 # DEPENDENCYPART_ARC
(22,14),-1.14484 # DEPENDENCYPART_ARC
(22,15),-0.94793 # DEPENDENCYPART_ARC
(22,17),0.0923495 # DEPENDENCYPART_ARC
(22,18),0.390559 # DEPENDENCYPART_ARC
(22,19),0.433439 # DEPENDENCYPART_ARC
(22,20),-0.498035 # DEPENDENCYPART_ARC
(22,21),0.853161 # DEPENDENCYPART_ARC
(22,24),-0.0615236 # DEPENDENCYPART_ARC
(22,26),-0.283051 # DEPENDENCYPART_ARC
(22,27),-0.924318 # DEPENDENCYPART_ARC
(22,28),0.489684 # DEPENDENCYPART_ARC
(22,29),0.508779 # DEPENDENCYPART_ARC
(22,30),-1.33633 # DEPENDENCYPART_ARC
(22,31),0.454178 # DEPENDENCYPART_ARC
(22,32),1.74541 # DEPENDENCYPART_ARC
(24,16),-0.9041 # DEPENDENCYPART_ARC
(24,19),-0.738899 # DEPENDENCYPART_ARC
(24,22),-1.10326 # DEPENDENCYPART_ARC
(24,23),3.13445 # DEPENDENCYPART_ARC
(24,25),-1.04238 # DEPENDENCYPART_ARC
(24,26),-0.580699 # DEPENDENCYPART_ARC
(24,27),-1.09004 # DEPENDENCYPART_ARC
(24,30),-1.80437 # DEPENDENCYPART_ARC
(24,31),0.11866 # DEPENDENCYPART_ARC
(25,26),0.221003 # DEPENDENCYPART_ARC
(25,30),-1.19502 # DEPENDENCYPART_ARC
(26,23),-1.19405 # DEPENDENCYPART_ARC
(26,24),-2.19223 # DEPENDENCYPART_ARC
(26,25),0.0716999 # DEPENDENCYPART_ARC
(27,16),-1.01387 # DEPENDENCYPART_ARC
(27,17),-0.39346 # DEPENDENCYPART_ARC
(27,18),-2.60173 # DEPENDENCYPART_ARC
(27,19),-0.312984 # DEPENDENCYPART_ARC
(27,20),-3.61674 # DEPENDENCYPART_ARC
(27,22),-1.23242 # DEPENDENCYPART_ARC
(27,23),0.286568 # DEPENDENCYPART_ARC
(27,24),-1.51829 # DEPENDENCYPART_ARC
(27,25),2.34336 # DEPENDENCYPART_ARC
(27,26),3.53414 # DEPENDENCYPART_ARC
(27,29),-0.0940435 # DEPENDENCYPART_ARC
(27,30),-2.2929 # DEPENDENCYPART_ARC
(28,2),-0.823511 # DEPENDENCYPART_ARC
(28,3),0.315134 # DEPENDENCYPART_ARC
(28,4),0.271508 # DEPENDENCYPART_ARC
(28,5),-0.182981 # DEPENDENCYPART_ARC
(28,6),0.167046 # DEPENDENCYPART_ARC
(28,7),0.465271 # DEPENDENCYPART_ARC
(28,8),0.72001 # DEPENDENCYPART_ARC
(28,9),-0.0655751 # DEPENDENCYPART_ARC
(28,10),0.128573 # DEPENDENCYPART_ARC
(28,11),-0.122856 # DEPENDENCYPART_ARC
(28,12),-0.65523 # DEPENDENCYPART_ARC
(28,13),0.431778 # DEPENDENCYPART_ARC
(28,14),1.63271 # DEPENDENCYPART_ARC
(28,15),0.0143685 # DEPENDENCYPART_ARC
(28,16),0.11818 # DEPENDENCYPART_ARC
(28,17),-0.518782 # DEPENDENCYPART_ARC
(28,18),0.510337 # DEPENDENCYPART_ARC
(28,19),-0.0782161 # DEPENDENCYPART_ARC
(28,20),1.24114 # DEPENDENCYPART_ARC
(28,21),1.18988 # DEPENDENCYPART_ARC
(28,22),1.20472 # DEPENDENCYPART_ARC
(28,23),-0.117275 # DEPENDENCYPART_ARC
(28,24),3.26466 # DEPENDENCYPART_ARC
(28,25),0.161092 # DEPENDENCYPART_ARC
(28,26),0.866301 # DEPENDENCYPART_ARC
(28,27),4.72195 # DEPENDENCYPART_ARC
(28,29),1.23556 # DEPENDENCYPART_ARC
(28,30),1.4358 # DEPENDENCYPART_ARC
(28,31),1.04825 # DEPENDENCYPART_ARC
(28,32),1.64245 # DEPENDENCYPART_ARC
(30,23),-0.295842 # DEPENDENCYPART_ARC
(30,24),-2.88021 # DEPENDENCYPART_ARC
(30,25),0.399457 # DEPENDENCYPART_ARC
(30,26),0.577553 # DEPENDENCYPART_ARC
(30,27),-3.15865 # DEPENDENCYPART_ARC
(30,28),-0.447193 # DEPENDENCYPART_ARC
(30,29),1.32086 # DEPENDENCYPART_ARC
(30,31),1.38466 # DEPENDENCYPART_ARC
(30,32),-0.100358 # DEPENDENCYPART_ARC
