# _root_ Az oroszok azonban feltűnően békésen viselkednek , s egyelőre semmi jele annak , hogy a katonák erőszakos akcióra készülnének .
#goldHeads=2,6,6,5,6,8,8,0,14,11,14,14,14,8,16,19,18,19,14,8,
#predictedHeads=2,6,6,6,6,8,8,0,14,11,14,14,14,8,16,19,18,19,12,8,
(9,11),0.566195 # DEPENDENCYPART_ARC
(9,13),0.406361 # DEPENDENCYPART_ARC
(9,14),0.680277 # DEPENDENCYPART_ARC
(9,16),-0.586453 # DEPENDENCYPART_ARC
(9,18),-0.44509 # DEPENDENCYPART_ARC
(9,19),0.577628 # DEPENDENCYPART_ARC
(9,20),1.24972 # DEPENDENCYPART_ARC
(10,9),0.131871 # DEPENDENCYPART_ARC
(11,1),-1.60657 # DEPENDENCYPART_ARC
(11,2),-0.116466 # DEPENDENCYPART_ARC
(11,4),-3.7414 # DEPENDENCYPART_ARC
(11,5),-3.56628 # DEPENDENCYPART_ARC
(11,6),-1.99005 # DEPENDENCYPART_ARC
(11,7),0.0551461 # DEPENDENCYPART_ARC
(11,8),0.715804 # DEPENDENCYPART_ARC
(11,9),0.624437 # DEPENDENCYPART_ARC
(11,10),2.73558 # DEPENDENCYPART_ARC
(11,13),-0.341734 # DEPENDENCYPART_ARC
(11,16),-0.936874 # DEPENDENCYPART_ARC
(11,18),-1.43937 # DEPENDENCYPART_ARC
(11,19),-0.851384 # DEPENDENCYPART_ARC
(11,20),0.268376 # DEPENDENCYPART_ARC
(12,2),-0.937328 # DEPENDENCYPART_ARC
(12,3),-0.32628 # DEPENDENCYPART_ARC
(12,4),-0.391819 # DEPENDENCYPART_ARC
(12,5),-0.409735 # DEPENDENCYPART_ARC
(12,6),-0.741527 # DEPENDENCYPART_ARC
(12,7),0.0526384 # DEPENDENCYPART_ARC
(12,8),-0.01047 # DEPENDENCYPART_ARC
(12,9),0.136882 # DEPENDENCYPART_ARC
(12,10),-0.21878 # DEPENDENCYPART_ARC
(12,11),-0.0484742 # DEPENDENCYPART_ARC
(12,13),0.0736052 # DEPENDENCYPART_ARC
(12,14),-0.578415 # DEPENDENCYPART_ARC
(12,16),-0.375836 # DEPENDENCYPART_ARC
(12,17),-0.0973278 # DEPENDENCYPART_ARC
(12,18),-1.01048 # DEPENDENCYPART_ARC
(12,19),1.78714 # DEPENDENCYPART_ARC
(12,20),0.601916 # DEPENDENCYPART_ARC
(14,2),-0.794473 # DEPENDENCYPART_ARC
(14,3),-0.189717 # DEPENDENCYPART_ARC
(14,4),-0.0240126 # DEPENDENCYPART_ARC
(14,5),-0.414982 # DEPENDENCYPART_ARC
(14,6),-0.929025 # DEPENDENCYPART_ARC
(14,7),0.361732 # DEPENDENCYPART_ARC
(14,8),0.839531 # DEPENDENCYPART_ARC
(14,9),1.16763 # DEPENDENCYPART_ARC
(14,11),1.16693 # DEPENDENCYPART_ARC
(14,12),0.534166 # DEPENDENCYPART_ARC
(14,13),1.09136 # DEPENDENCYPART_ARC
(14,16),-0.309209 # DEPENDENCYPART_ARC
(14,17),-0.0843206 # DEPENDENCYPART_ARC
(14,18),-1.25372 # DEPENDENCYPART_ARC
(14,19),1.13328 # DEPENDENCYPART_ARC
(14,20),1.62751 # DEPENDENCYPART_ARC
(16,10),-1.28071 # DEPENDENCYPART_ARC
(16,11),-2.63136 # DEPENDENCYPART_ARC
(16,12),-1.92112 # DEPENDENCYPART_ARC
(16,14),-1.1812 # DEPENDENCYPART_ARC
(16,15),3.01989 # DEPENDENCYPART_ARC
(16,18),-0.998397 # DEPENDENCYPART_ARC
(17,8),-0.706234 # DEPENDENCYPART_ARC
(17,9),-0.495849 # DEPENDENCYPART_ARC
(17,11),-1.80241 # DEPENDENCYPART_ARC
(17,12),-1.40854 # DEPENDENCYPART_ARC
(17,13),-0.238886 # DEPENDENCYPART_ARC
(17,14),-0.468036 # DEPENDENCYPART_ARC
(17,15),0.177861 # DEPENDENCYPART_ARC
(17,16),1.34963 # DEPENDENCYPART_ARC
(18,1),-2.00022 # DEPENDENCYPART_ARC
(18,2),-3.37244 # DEPENDENCYPART_ARC
(18,4),-2.83396 # DEPENDENCYPART_ARC
(18,5),-2.8271 # DEPENDENCYPART_ARC
(18,6),-2.34259 # DEPENDENCYPART_ARC
(18,7),-0.609001 # DEPENDENCYPART_ARC
(18,8),0.74909 # DEPENDENCYPART_ARC
(18,9),-0.261734 # DEPENDENCYPART_ARC
(18,10),-0.127567 # DEPENDENCYPART_ARC
(18,11),-1.87569 # DEPENDENCYPART_ARC
(18,12),-0.087567 # DEPENDENCYPART_ARC
(18,13),0.401556 # DEPENDENCYPART_ARC
(18,14),-0.203472 # DEPENDENCYPART_ARC
(18,15),1.52491 # DEPENDENCYPART_ARC
(18,16),0.505901 # DEPENDENCYPART_ARC
(18,17),3.42721 # DEPENDENCYPART_ARC
(19,2),-0.839837 # DEPENDENCYPART_ARC
(19,3),1.18087 # DEPENDENCYPART_ARC
(19,4),-0.694645 # DEPENDENCYPART_ARC
(19,5),-0.0733527 # DEPENDENCYPART_ARC
(19,6),-1.0133 # DEPENDENCYPART_ARC
(19,7),-0.152516 # DEPENDENCYPART_ARC
(19,8),0.444511 # DEPENDENCYPART_ARC
(19,9),0.756603 # DEPENDENCYPART_ARC
(19,10),-1.08662 # DEPENDENCYPART_ARC
(19,11),0.877462 # DEPENDENCYPART_ARC
(19,12),0.456859 # DEPENDENCYPART_ARC
(19,13),0.796382 # DEPENDENCYPART_ARC
(19,14),0.0583664 # DEPENDENCYPART_ARC
(19,15),0.000971257 # DEPENDENCYPART_ARC
(19,16),2.00663 # DEPENDENCYPART_ARC
(19,17),0.661359 # DEPENDENCYPART_ARC
(19,18),3.47396 # DEPENDENCYPART_ARC
(19,20),1.32146 # DEPENDENCYPART_ARC
