# _root_ Pontbegyűjtő , tömegrajtos városi tájfutó verseny lesz április 5-én , húsvéthétfőn Szentendrén .
#goldHeads=6,6,6,6,6,7,0,9,7,7,7,7,7,
#predictedHeads=6,6,6,6,6,7,0,9,7,7,7,7,7,
(5,11),-1.58452 # DEPENDENCYPART_ARC
(5,13),-1.10985 # DEPENDENCYPART_ARC
(6,1),1.42811 # DEPENDENCYPART_ARC
(6,2),1.92695 # DEPENDENCYPART_ARC
(6,3),1.64257 # DEPENDENCYPART_ARC
(6,4),2.41739 # DEPENDENCYPART_ARC
(6,5),3.50408 # DEPENDENCYPART_ARC
(6,7),-0.592256 # DEPENDENCYPART_ARC
(6,8),-0.955542 # DEPENDENCYPART_ARC
(6,9),-1.84272 # DEPENDENCYPART_ARC
(6,10),-0.274282 # DEPENDENCYPART_ARC
(6,11),-2.16669 # DEPENDENCYPART_ARC
(6,12),-2.35153 # DEPENDENCYPART_ARC
(6,13),-0.488719 # DEPENDENCYPART_ARC
(7,1),-0.28269 # DEPENDENCYPART_ARC
(7,2),0.75993 # DEPENDENCYPART_ARC
(7,3),0.280428 # DEPENDENCYPART_ARC
(7,4),0.451832 # DEPENDENCYPART_ARC
(7,5),0.80535 # DEPENDENCYPART_ARC
(7,6),3.16366 # DEPENDENCYPART_ARC
(7,8),2.47149 # DEPENDENCYPART_ARC
(7,9),3.14139 # DEPENDENCYPART_ARC
(7,10),1.59094 # DEPENDENCYPART_ARC
(7,11),1.06884 # DEPENDENCYPART_ARC
(7,12),0.98326 # DEPENDENCYPART_ARC
(7,13),1.77453 # DEPENDENCYPART_ARC
(8,1),-2.07225 # DEPENDENCYPART_ARC
(8,2),-1.39564 # DEPENDENCYPART_ARC
(8,3),-1.77023 # DEPENDENCYPART_ARC
(8,4),-1.51411 # DEPENDENCYPART_ARC
(8,5),-1.12523 # DEPENDENCYPART_ARC
(8,6),-2.43474 # DEPENDENCYPART_ARC
(8,7),-1.08272 # DEPENDENCYPART_ARC
(8,9),-1.61605 # DEPENDENCYPART_ARC
(8,10),-0.450973 # DEPENDENCYPART_ARC
(8,11),-2.02996 # DEPENDENCYPART_ARC
(8,12),-2.18289 # DEPENDENCYPART_ARC
(8,13),-0.770075 # DEPENDENCYPART_ARC
(9,1),-1.1411 # DEPENDENCYPART_ARC
(9,2),-0.194938 # DEPENDENCYPART_ARC
(9,3),-0.926628 # DEPENDENCYPART_ARC
(9,4),-0.684901 # DEPENDENCYPART_ARC
(9,5),-0.481107 # DEPENDENCYPART_ARC
(9,6),-0.168321 # DEPENDENCYPART_ARC
(9,7),-2.16543 # DEPENDENCYPART_ARC
(9,8),3.90148 # DEPENDENCYPART_ARC
(9,10),-0.140283 # DEPENDENCYPART_ARC
(9,11),-1.75553 # DEPENDENCYPART_ARC
(9,12),-1.25317 # DEPENDENCYPART_ARC
(9,13),-0.47658 # DEPENDENCYPART_ARC
(11,1),-0.549732 # DEPENDENCYPART_ARC
(11,2),0.485766 # DEPENDENCYPART_ARC
(11,3),-0.342149 # DEPENDENCYPART_ARC
(11,4),-0.14222 # DEPENDENCYPART_ARC
(11,5),0.0832715 # DEPENDENCYPART_ARC
(11,6),-1.82772 # DEPENDENCYPART_ARC
(11,7),-1.68153 # DEPENDENCYPART_ARC
(11,8),0.561069 # DEPENDENCYPART_ARC
(11,9),-0.95409 # DEPENDENCYPART_ARC
(11,10),0.60041 # DEPENDENCYPART_ARC
(11,12),-0.83372 # DEPENDENCYPART_ARC
(11,13),-0.870407 # DEPENDENCYPART_ARC
(12,1),-1.30676 # DEPENDENCYPART_ARC
(12,2),-0.12378 # DEPENDENCYPART_ARC
(12,3),-1.3226 # DEPENDENCYPART_ARC
(12,4),-1.09525 # DEPENDENCYPART_ARC
(12,6),-2.74548 # DEPENDENCYPART_ARC
(12,8),0.0816832 # DEPENDENCYPART_ARC
(12,9),-2.14667 # DEPENDENCYPART_ARC
(12,10),0.510738 # DEPENDENCYPART_ARC
(12,11),0.418002 # DEPENDENCYPART_ARC
(12,13),-0.0817164 # DEPENDENCYPART_ARC
