# _root_ Külön biztató , hogy a részvények nemcsak a hazai , hanem a külföldi befektetők számára is újra vonzóak .
#goldHeads=4,4,4,0,6,18,18,18,8,18,18,14,14,15,18,18,18,4,4,
#predictedHeads=4,4,4,0,6,7,18,14,14,11,4,14,14,15,18,18,18,11,11,
(6,5),2.61346 # DEPENDENCYPART_ARC
(6,15),-0.696731 # DEPENDENCYPART_ARC
(6,17),-1.06097 # DEPENDENCYPART_ARC
(7,1),-0.388832 # DEPENDENCYPART_ARC
(7,2),-1.09694 # DEPENDENCYPART_ARC
(7,3),-0.4617 # DEPENDENCYPART_ARC
(7,4),-0.487056 # DEPENDENCYPART_ARC
(7,5),-1.09084 # DEPENDENCYPART_ARC
(7,6),-0.109195 # DEPENDENCYPART_ARC
(7,8),-1.16003 # DEPENDENCYPART_ARC
(7,9),-0.560528 # DEPENDENCYPART_ARC
(7,10),-0.798866 # DEPENDENCYPART_ARC
(7,11),-0.754716 # DEPENDENCYPART_ARC
(7,13),-1.13844 # DEPENDENCYPART_ARC
(7,14),-0.831327 # DEPENDENCYPART_ARC
(7,15),-0.868033 # DEPENDENCYPART_ARC
(7,16),-0.897918 # DEPENDENCYPART_ARC
(7,17),-1.16504 # DEPENDENCYPART_ARC
(7,18),-0.955695 # DEPENDENCYPART_ARC
(7,19),-0.344789 # DEPENDENCYPART_ARC
(8,7),-0.447218 # DEPENDENCYPART_ARC
(8,9),0.209492 # DEPENDENCYPART_ARC
(8,13),-0.683441 # DEPENDENCYPART_ARC
(9,1),-2.02693 # DEPENDENCYPART_ARC
(9,4),-1.95347 # DEPENDENCYPART_ARC
(9,5),-1.72799 # DEPENDENCYPART_ARC
(9,6),-2.26009 # DEPENDENCYPART_ARC
(9,7),-0.876211 # DEPENDENCYPART_ARC
(9,8),-0.00342343 # DEPENDENCYPART_ARC
(9,10),-0.357308 # DEPENDENCYPART_ARC
(9,14),-1.67017 # DEPENDENCYPART_ARC
(9,16),-1.46609 # DEPENDENCYPART_ARC
(9,18),-1.65978 # DEPENDENCYPART_ARC
(9,19),-0.303357 # DEPENDENCYPART_ARC
(11,1),0.662667 # DEPENDENCYPART_ARC
(11,2),-0.425791 # DEPENDENCYPART_ARC
(11,3),0.397404 # DEPENDENCYPART_ARC
(11,4),-0.176037 # DEPENDENCYPART_ARC
(11,6),-0.787207 # DEPENDENCYPART_ARC
(11,7),0.0152259 # DEPENDENCYPART_ARC
(11,8),-0.695548 # DEPENDENCYPART_ARC
(11,9),-0.243411 # DEPENDENCYPART_ARC
(11,10),1.42389 # DEPENDENCYPART_ARC
(11,12),-0.592088 # DEPENDENCYPART_ARC
(11,13),-0.00103148 # DEPENDENCYPART_ARC
(11,14),-0.00744155 # DEPENDENCYPART_ARC
(11,15),0.156408 # DEPENDENCYPART_ARC
(11,16),0.193902 # DEPENDENCYPART_ARC
(11,17),-0.166276 # DEPENDENCYPART_ARC
(11,18),-0.143887 # DEPENDENCYPART_ARC
(11,19),2.20398 # DEPENDENCYPART_ARC
(12,13),0.165723 # DEPENDENCYPART_ARC
(12,18),-0.80386 # DEPENDENCYPART_ARC
(13,8),-1.45491 # DEPENDENCYPART_ARC
(13,12),0.416834 # DEPENDENCYPART_ARC
(13,15),-0.813097 # DEPENDENCYPART_ARC
(14,1),-1.52466 # DEPENDENCYPART_ARC
(14,2),-1.60024 # DEPENDENCYPART_ARC
(14,3),-0.144693 # DEPENDENCYPART_ARC
(14,5),-0.861981 # DEPENDENCYPART_ARC
(14,6),-1.83548 # DEPENDENCYPART_ARC
(14,7),-0.897387 # DEPENDENCYPART_ARC
(14,8),0.448142 # DEPENDENCYPART_ARC
(14,9),0.623412 # DEPENDENCYPART_ARC
(14,10),0.733566 # DEPENDENCYPART_ARC
(14,11),-0.19757 # DEPENDENCYPART_ARC
(14,12),2.70273 # DEPENDENCYPART_ARC
(14,13),3.53151 # DEPENDENCYPART_ARC
(14,15),-0.298931 # DEPENDENCYPART_ARC
(14,17),-0.961192 # DEPENDENCYPART_ARC
(15,2),-0.631951 # DEPENDENCYPART_ARC
(15,3),-0.359932 # DEPENDENCYPART_ARC
(15,6),-0.139938 # DEPENDENCYPART_ARC
(15,7),0.040342 # DEPENDENCYPART_ARC
(15,9),-0.481066 # DEPENDENCYPART_ARC
(15,10),-0.0540517 # DEPENDENCYPART_ARC
(15,11),0.307414 # DEPENDENCYPART_ARC
(15,12),-0.217201 # DEPENDENCYPART_ARC
(15,13),0.338505 # DEPENDENCYPART_ARC
(15,14),3.54282 # DEPENDENCYPART_ARC
(15,16),-0.86349 # DEPENDENCYPART_ARC
(15,17),-0.958948 # DEPENDENCYPART_ARC
(15,18),-0.959976 # DEPENDENCYPART_ARC
(15,19),-1.02415 # DEPENDENCYPART_ARC
(16,1),0.471867 # DEPENDENCYPART_ARC
(16,2),-0.504839 # DEPENDENCYPART_ARC
(16,3),0.115502 # DEPENDENCYPART_ARC
(16,4),-0.534685 # DEPENDENCYPART_ARC
(16,7),0.20796 # DEPENDENCYPART_ARC
(16,9),-0.632848 # DEPENDENCYPART_ARC
(16,10),0.299239 # DEPENDENCYPART_ARC
(16,11),0.260701 # DEPENDENCYPART_ARC
(16,12),-0.960931 # DEPENDENCYPART_ARC
(16,13),-0.135043 # DEPENDENCYPART_ARC
(16,14),-0.404666 # DEPENDENCYPART_ARC
(16,15),0.417139 # DEPENDENCYPART_ARC
(16,17),-0.592981 # DEPENDENCYPART_ARC
(16,18),0.0768873 # DEPENDENCYPART_ARC
(16,19),0.534226 # DEPENDENCYPART_ARC
(17,2),-0.454794 # DEPENDENCYPART_ARC
(17,4),-0.606848 # DEPENDENCYPART_ARC
(17,6),-0.581304 # DEPENDENCYPART_ARC
(17,9),-0.540604 # DEPENDENCYPART_ARC
(17,10),0.103808 # DEPENDENCYPART_ARC
(17,11),-0.166278 # DEPENDENCYPART_ARC
(17,13),-0.303499 # DEPENDENCYPART_ARC
(17,14),-0.0573457 # DEPENDENCYPART_ARC
(17,15),0.0587245 # DEPENDENCYPART_ARC
(17,16),0.516459 # DEPENDENCYPART_ARC
(17,18),-0.395664 # DEPENDENCYPART_ARC
(17,19),-0.476664 # DEPENDENCYPART_ARC
(18,1),-0.684252 # DEPENDENCYPART_ARC
(18,3),-0.0150802 # DEPENDENCYPART_ARC
(18,4),-0.282722 # DEPENDENCYPART_ARC
(18,6),-1.1068 # DEPENDENCYPART_ARC
(18,7),0.302811 # DEPENDENCYPART_ARC
(18,9),-0.15357 # DEPENDENCYPART_ARC
(18,10),0.417797 # DEPENDENCYPART_ARC
(18,11),0.215646 # DEPENDENCYPART_ARC
(18,12),0.692638 # DEPENDENCYPART_ARC
(18,13),0.366121 # DEPENDENCYPART_ARC
(18,14),-0.0811347 # DEPENDENCYPART_ARC
(18,15),1.07424 # DEPENDENCYPART_ARC
(18,16),0.809701 # DEPENDENCYPART_ARC
(18,17),2.00698 # DEPENDENCYPART_ARC
(18,19),0.799187 # DEPENDENCYPART_ARC
