# _root_ A versenyeken továbbra is lassúak voltunk , és egy idő után arra a következtetésre jutottunk , hogy valószínűleg nem bennünk van a hiba .
#goldHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
#predictedHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
(4,18),-1.42242 # DEPENDENCYPART_ARC
(4,19),-1.19166 # DEPENDENCYPART_ARC
(4,21),-1.55472 # DEPENDENCYPART_ARC
(4,24),0.608474 # DEPENDENCYPART_ARC
(5,1),0.768487 # DEPENDENCYPART_ARC
(5,2),0.850424 # DEPENDENCYPART_ARC
(5,3),0.917483 # DEPENDENCYPART_ARC
(5,4),1.32217 # DEPENDENCYPART_ARC
(5,6),0.424409 # DEPENDENCYPART_ARC
(5,7),-0.406673 # DEPENDENCYPART_ARC
(5,8),-0.797601 # DEPENDENCYPART_ARC
(5,10),-1.05047 # DEPENDENCYPART_ARC
(5,14),-0.599281 # DEPENDENCYPART_ARC
(5,15),-0.379349 # DEPENDENCYPART_ARC
(5,16),-0.401687 # DEPENDENCYPART_ARC
(5,21),-0.552348 # DEPENDENCYPART_ARC
(5,23),-1.92682 # DEPENDENCYPART_ARC
(5,24),1.09496 # DEPENDENCYPART_ARC
(6,1),0.0240325 # DEPENDENCYPART_ARC
(6,2),3.59131 # DEPENDENCYPART_ARC
(6,3),2.48607 # DEPENDENCYPART_ARC
(6,4),3.10871 # DEPENDENCYPART_ARC
(6,5),3.29221 # DEPENDENCYPART_ARC
(6,7),1.90714 # DEPENDENCYPART_ARC
(6,8),0.578404 # DEPENDENCYPART_ARC
(6,10),-1.31752 # DEPENDENCYPART_ARC
(6,11),0.37637 # DEPENDENCYPART_ARC
(6,12),-1.62765 # DEPENDENCYPART_ARC
(6,13),-0.494797 # DEPENDENCYPART_ARC
(6,14),-1.34088 # DEPENDENCYPART_ARC
(6,15),1.33228 # DEPENDENCYPART_ARC
(6,16),0.785353 # DEPENDENCYPART_ARC
(6,17),0.942695 # DEPENDENCYPART_ARC
(6,18),-0.819342 # DEPENDENCYPART_ARC
(6,19),-0.618774 # DEPENDENCYPART_ARC
(6,20),-1.04936 # DEPENDENCYPART_ARC
(6,21),0.248317 # DEPENDENCYPART_ARC
(6,24),2.73833 # DEPENDENCYPART_ARC
(8,2),-0.568499 # DEPENDENCYPART_ARC
(8,3),-0.121163 # DEPENDENCYPART_ARC
(8,4),0.897223 # DEPENDENCYPART_ARC
(8,5),-0.108929 # DEPENDENCYPART_ARC
(8,6),2.11077 # DEPENDENCYPART_ARC
(8,7),2.2713 # DEPENDENCYPART_ARC
(8,10),0.680867 # DEPENDENCYPART_ARC
(8,11),0.84312 # DEPENDENCYPART_ARC
(8,12),-0.462644 # DEPENDENCYPART_ARC
(8,14),-0.717456 # DEPENDENCYPART_ARC
(8,15),1.78571 # DEPENDENCYPART_ARC
(8,16),0.408398 # DEPENDENCYPART_ARC
(8,17),0.768449 # DEPENDENCYPART_ARC
(8,18),-0.119678 # DEPENDENCYPART_ARC
(8,19),0.0651731 # DEPENDENCYPART_ARC
(8,21),0.608527 # DEPENDENCYPART_ARC
(8,23),-1.42397 # DEPENDENCYPART_ARC
(8,24),4.1645 # DEPENDENCYPART_ARC
(10,1),-1.7932 # DEPENDENCYPART_ARC
(10,6),-1.81542 # DEPENDENCYPART_ARC
(10,7),-0.920982 # DEPENDENCYPART_ARC
(10,8),-0.281268 # DEPENDENCYPART_ARC
(10,9),2.59756 # DEPENDENCYPART_ARC
(10,14),-1.80742 # DEPENDENCYPART_ARC
(11,2),-0.969102 # DEPENDENCYPART_ARC
(11,3),-0.893785 # DEPENDENCYPART_ARC
(11,4),-1.0597 # DEPENDENCYPART_ARC
(11,5),-0.914726 # DEPENDENCYPART_ARC
(11,7),0.00159465 # DEPENDENCYPART_ARC
(11,8),0.967379 # DEPENDENCYPART_ARC
(11,10),3.10282 # DEPENDENCYPART_ARC
(11,14),-0.670015 # DEPENDENCYPART_ARC
(11,16),-0.333001 # DEPENDENCYPART_ARC
(11,18),-0.477116 # DEPENDENCYPART_ARC
(11,21),-0.328098 # DEPENDENCYPART_ARC
(11,23),-1.34674 # DEPENDENCYPART_ARC
(12,2),-1.56885 # DEPENDENCYPART_ARC
(12,3),-0.248835 # DEPENDENCYPART_ARC
(12,4),0.0256539 # DEPENDENCYPART_ARC
(12,5),-1.36326 # DEPENDENCYPART_ARC
(12,6),-0.348892 # DEPENDENCYPART_ARC
(12,7),0.0803938 # DEPENDENCYPART_ARC
(12,8),-0.0623267 # DEPENDENCYPART_ARC
(12,10),-1.00005 # DEPENDENCYPART_ARC
(12,11),0.189591 # DEPENDENCYPART_ARC
(12,14),0.139319 # DEPENDENCYPART_ARC
(12,15),1.53814 # DEPENDENCYPART_ARC
(12,16),0.570426 # DEPENDENCYPART_ARC
(12,17),0.255219 # DEPENDENCYPART_ARC
(12,18),0.442177 # DEPENDENCYPART_ARC
(12,19),0.493466 # DEPENDENCYPART_ARC
(12,20),0.438571 # DEPENDENCYPART_ARC
(12,21),1.31982 # DEPENDENCYPART_ARC
(12,23),0.427165 # DEPENDENCYPART_ARC
(12,24),1.19171 # DEPENDENCYPART_ARC
(14,9),0.0178452 # DEPENDENCYPART_ARC
(14,10),-2.14993 # DEPENDENCYPART_ARC
(14,11),-0.954046 # DEPENDENCYPART_ARC
(14,12),1.99967 # DEPENDENCYPART_ARC
(14,13),2.43357 # DEPENDENCYPART_ARC
(15,1),-0.797555 # DEPENDENCYPART_ARC
(15,2),1.32892 # DEPENDENCYPART_ARC
(15,3),0.548833 # DEPENDENCYPART_ARC
(15,4),0.388507 # DEPENDENCYPART_ARC
(15,5),0.27877 # DEPENDENCYPART_ARC
(15,6),-1.13217 # DEPENDENCYPART_ARC
(15,7),0.204344 # DEPENDENCYPART_ARC
(15,8),0.144642 # DEPENDENCYPART_ARC
(15,9),-0.395972 # DEPENDENCYPART_ARC
(15,10),-0.655925 # DEPENDENCYPART_ARC
(15,11),2.1663 # DEPENDENCYPART_ARC
(15,12),0.426762 # DEPENDENCYPART_ARC
(15,13),0.239926 # DEPENDENCYPART_ARC
(15,14),3.3712 # DEPENDENCYPART_ARC
(15,16),1.72822 # DEPENDENCYPART_ARC
(15,17),2.63697 # DEPENDENCYPART_ARC
(15,18),0.101802 # DEPENDENCYPART_ARC
(15,19),0.143374 # DEPENDENCYPART_ARC
(15,20),-0.0521273 # DEPENDENCYPART_ARC
(15,21),1.24399 # DEPENDENCYPART_ARC
(15,23),-2.00004 # DEPENDENCYPART_ARC
(15,24),2.06577 # DEPENDENCYPART_ARC
(17,2),-0.992801 # DEPENDENCYPART_ARC
(17,3),0.123488 # DEPENDENCYPART_ARC
(17,4),0.0367345 # DEPENDENCYPART_ARC
(17,5),-0.060491 # DEPENDENCYPART_ARC
(17,6),-0.0275651 # DEPENDENCYPART_ARC
(17,7),0.584312 # DEPENDENCYPART_ARC
(17,8),0.245051 # DEPENDENCYPART_ARC
(17,10),0.0524757 # DEPENDENCYPART_ARC
(17,11),0.461846 # DEPENDENCYPART_ARC
(17,12),-0.630633 # DEPENDENCYPART_ARC
(17,14),0.325682 # DEPENDENCYPART_ARC
(17,15),0.84803 # DEPENDENCYPART_ARC
(17,16),1.56679 # DEPENDENCYPART_ARC
(17,18),-0.19744 # DEPENDENCYPART_ARC
(17,21),0.766798 # DEPENDENCYPART_ARC
(17,23),-1.94901 # DEPENDENCYPART_ARC
(17,24),2.0003 # DEPENDENCYPART_ARC
(18,17),-0.970264 # DEPENDENCYPART_ARC
(18,20),-0.576076 # DEPENDENCYPART_ARC
(18,23),-1.27594 # DEPENDENCYPART_ARC
(19,16),0.311693 # DEPENDENCYPART_ARC
(19,17),-0.270906 # DEPENDENCYPART_ARC
(19,18),0.345484 # DEPENDENCYPART_ARC
(19,21),-0.187701 # DEPENDENCYPART_ARC
(19,23),-0.906199 # DEPENDENCYPART_ARC
(20,6),-0.6576 # DEPENDENCYPART_ARC
(20,15),-0.414219 # DEPENDENCYPART_ARC
(20,16),-0.233364 # DEPENDENCYPART_ARC
(20,17),-0.255049 # DEPENDENCYPART_ARC
(20,18),0.0989202 # DEPENDENCYPART_ARC
(20,19),0.551832 # DEPENDENCYPART_ARC
(20,23),-0.614295 # DEPENDENCYPART_ARC
(20,24),-0.0106552 # DEPENDENCYPART_ARC
(21,2),-1.28381 # DEPENDENCYPART_ARC
(21,3),-0.712691 # DEPENDENCYPART_ARC
(21,4),-1.14218 # DEPENDENCYPART_ARC
(21,5),-1.27513 # DEPENDENCYPART_ARC
(21,6),-1.64733 # DEPENDENCYPART_ARC
(21,7),-0.37737 # DEPENDENCYPART_ARC
(21,8),-0.882097 # DEPENDENCYPART_ARC
(21,10),-1.33604 # DEPENDENCYPART_ARC
(21,11),0.270123 # DEPENDENCYPART_ARC
(21,12),-1.38293 # DEPENDENCYPART_ARC
(21,13),-1.90352 # DEPENDENCYPART_ARC
(21,14),0.279407 # DEPENDENCYPART_ARC
(21,15),-0.825289 # DEPENDENCYPART_ARC
(21,16),0.571513 # DEPENDENCYPART_ARC
(21,17),-0.0865206 # DEPENDENCYPART_ARC
(21,18),1.67548 # DEPENDENCYPART_ARC
(21,19),1.66045 # DEPENDENCYPART_ARC
(21,20),2.38824 # DEPENDENCYPART_ARC
(21,22),-0.527944 # DEPENDENCYPART_ARC
(21,23),2.43329 # DEPENDENCYPART_ARC
(21,24),1.81015 # DEPENDENCYPART_ARC
(23,12),-3.04449 # DEPENDENCYPART_ARC
(23,19),-1.19433 # DEPENDENCYPART_ARC
(23,20),-1.22901 # DEPENDENCYPART_ARC
(23,22),2.6491 # DEPENDENCYPART_ARC
