# _root_ Az események hátterét kutatva folyamatokat , trendeket szándékozik bemutatni , segítve a polgárosulási folyamatot és a város jövőképének közös formálását .
#goldHeads=2,3,4,8,9,9,9,0,8,8,8,14,14,11,11,17,18,20,20,11,8,
#predictedHeads=2,3,9,8,9,8,9,0,8,11,8,14,14,11,18,17,18,19,20,11,11,
(8,20),-1.01365 # DEPENDENCYPART_ARC
(8,21),0.598419 # DEPENDENCYPART_ARC
(9,1),-0.552275 # DEPENDENCYPART_ARC
(9,2),-0.410119 # DEPENDENCYPART_ARC
(9,3),2.57749 # DEPENDENCYPART_ARC
(9,4),1.24048 # DEPENDENCYPART_ARC
(9,5),1.64454 # DEPENDENCYPART_ARC
(9,6),1.11699 # DEPENDENCYPART_ARC
(9,7),3.67321 # DEPENDENCYPART_ARC
(9,8),1.39062 # DEPENDENCYPART_ARC
(9,10),0.411754 # DEPENDENCYPART_ARC
(9,11),-0.388249 # DEPENDENCYPART_ARC
(9,12),-0.965118 # DEPENDENCYPART_ARC
(9,13),-0.356724 # DEPENDENCYPART_ARC
(9,14),0.0654179 # DEPENDENCYPART_ARC
(9,15),-0.895409 # DEPENDENCYPART_ARC
(9,17),-2.6098 # DEPENDENCYPART_ARC
(9,18),-1.62302 # DEPENDENCYPART_ARC
(9,19),-0.714033 # DEPENDENCYPART_ARC
(9,20),0.267966 # DEPENDENCYPART_ARC
(9,21),0.649703 # DEPENDENCYPART_ARC
(11,2),0.0959881 # DEPENDENCYPART_ARC
(11,3),-0.0298024 # DEPENDENCYPART_ARC
(11,5),-0.278345 # DEPENDENCYPART_ARC
(11,6),0.37454 # DEPENDENCYPART_ARC
(11,7),0.507644 # DEPENDENCYPART_ARC
(11,10),0.976956 # DEPENDENCYPART_ARC
(11,13),1.01416 # DEPENDENCYPART_ARC
(11,14),0.774549 # DEPENDENCYPART_ARC
(11,15),1.19724 # DEPENDENCYPART_ARC
(11,17),0.304386 # DEPENDENCYPART_ARC
(11,18),0.317459 # DEPENDENCYPART_ARC
(11,20),0.483475 # DEPENDENCYPART_ARC
(11,21),1.43034 # DEPENDENCYPART_ARC
(12,13),0.24319 # DEPENDENCYPART_ARC
(12,17),-1.15706 # DEPENDENCYPART_ARC
(13,11),-0.74746 # DEPENDENCYPART_ARC
(13,12),0.350584 # DEPENDENCYPART_ARC
(14,4),-1.1468 # DEPENDENCYPART_ARC
(14,8),-2.459 # DEPENDENCYPART_ARC
(14,9),0.00466314 # DEPENDENCYPART_ARC
(14,10),-0.384896 # DEPENDENCYPART_ARC
(14,11),-0.365412 # DEPENDENCYPART_ARC
(14,12),2.34289 # DEPENDENCYPART_ARC
(14,13),3.48261 # DEPENDENCYPART_ARC
(14,17),-2.13332 # DEPENDENCYPART_ARC
(14,18),-2.07676 # DEPENDENCYPART_ARC
(14,20),-2.33117 # DEPENDENCYPART_ARC
(15,3),-1.54553 # DEPENDENCYPART_ARC
(15,4),-1.54266 # DEPENDENCYPART_ARC
(15,5),-1.29996 # DEPENDENCYPART_ARC
(15,6),0.486706 # DEPENDENCYPART_ARC
(15,7),-1.49963 # DEPENDENCYPART_ARC
(15,8),-0.395547 # DEPENDENCYPART_ARC
(15,9),-1.18328 # DEPENDENCYPART_ARC
(15,10),0.415086 # DEPENDENCYPART_ARC
(15,11),-0.330241 # DEPENDENCYPART_ARC
(15,12),-0.741066 # DEPENDENCYPART_ARC
(15,13),-0.499719 # DEPENDENCYPART_ARC
(15,14),0.133695 # DEPENDENCYPART_ARC
(15,16),-0.433899 # DEPENDENCYPART_ARC
(15,17),0.743297 # DEPENDENCYPART_ARC
(15,18),0.187215 # DEPENDENCYPART_ARC
(15,19),-0.422238 # DEPENDENCYPART_ARC
(15,20),-0.320839 # DEPENDENCYPART_ARC
(15,21),-0.0713252 # DEPENDENCYPART_ARC
(16,15),-0.613366 # DEPENDENCYPART_ARC
(17,12),-0.613095 # DEPENDENCYPART_ARC
(17,13),-0.526163 # DEPENDENCYPART_ARC
(17,14),-3.08933 # DEPENDENCYPART_ARC
(17,15),-0.219016 # DEPENDENCYPART_ARC
(17,16),2.96597 # DEPENDENCYPART_ARC
(17,18),-1.34421 # DEPENDENCYPART_ARC
(18,9),-0.578957 # DEPENDENCYPART_ARC
(18,11),-0.672103 # DEPENDENCYPART_ARC
(18,12),-0.989128 # DEPENDENCYPART_ARC
(18,13),-0.269443 # DEPENDENCYPART_ARC
(18,14),-1.59391 # DEPENDENCYPART_ARC
(18,15),1.21651 # DEPENDENCYPART_ARC
(18,16),1.18253 # DEPENDENCYPART_ARC
(18,17),4.49074 # DEPENDENCYPART_ARC
(18,20),-1.3301 # DEPENDENCYPART_ARC
(18,21),-0.511824 # DEPENDENCYPART_ARC
(19,2),-1.95425 # DEPENDENCYPART_ARC
(19,3),-1.57442 # DEPENDENCYPART_ARC
(19,6),-0.578218 # DEPENDENCYPART_ARC
(19,7),-1.81413 # DEPENDENCYPART_ARC
(19,8),-1.49243 # DEPENDENCYPART_ARC
(19,9),-0.696804 # DEPENDENCYPART_ARC
(19,10),-0.502347 # DEPENDENCYPART_ARC
(19,12),-0.868193 # DEPENDENCYPART_ARC
(19,13),-1.04238 # DEPENDENCYPART_ARC
(19,14),0.0255827 # DEPENDENCYPART_ARC
(19,15),0.36696 # DEPENDENCYPART_ARC
(19,16),-0.177514 # DEPENDENCYPART_ARC
(19,17),0.493118 # DEPENDENCYPART_ARC
(19,18),0.573647 # DEPENDENCYPART_ARC
(20,2),-0.427819 # DEPENDENCYPART_ARC
(20,6),-1.09815 # DEPENDENCYPART_ARC
(20,7),-3.49629 # DEPENDENCYPART_ARC
(20,8),-2.8141 # DEPENDENCYPART_ARC
(20,9),0.107022 # DEPENDENCYPART_ARC
(20,10),0.0431987 # DEPENDENCYPART_ARC
(20,11),-0.38354 # DEPENDENCYPART_ARC
(20,12),-0.81443 # DEPENDENCYPART_ARC
(20,13),0.392265 # DEPENDENCYPART_ARC
(20,14),-1.47601 # DEPENDENCYPART_ARC
(20,15),0.432229 # DEPENDENCYPART_ARC
(20,16),0.573238 # DEPENDENCYPART_ARC
(20,17),2.82294 # DEPENDENCYPART_ARC
(20,18),-0.249546 # DEPENDENCYPART_ARC
(20,19),3.13696 # DEPENDENCYPART_ARC
(20,21),-0.368774 # DEPENDENCYPART_ARC
