# _root_ A kiszolgálás pedig csikorog fájdalmasan , minden nehézkesnek , bonyodalmasnak és szögletesnek tűnik .
#goldHeads=2,4,4,0,4,4,13,13,13,13,13,13,4,4,
#predictedHeads=2,4,4,0,4,4,8,4,13,13,13,13,4,13,
(12,11),0.546416 # DEPENDENCYPART_ARC
(12,13),-0.474458 # DEPENDENCYPART_ARC
(12,14),-0.45318 # DEPENDENCYPART_ARC
(13,1),-1.18407 # DEPENDENCYPART_ARC
(13,2),-0.518321 # DEPENDENCYPART_ARC
(13,3),1.55249 # DEPENDENCYPART_ARC
(13,4),0.0303185 # DEPENDENCYPART_ARC
(13,5),0.157904 # DEPENDENCYPART_ARC
(13,6),0.281803 # DEPENDENCYPART_ARC
(13,7),0.324019 # DEPENDENCYPART_ARC
(13,8),0.706075 # DEPENDENCYPART_ARC
(13,9),0.820037 # DEPENDENCYPART_ARC
(13,10),1.43311 # DEPENDENCYPART_ARC
(13,11),1.68646 # DEPENDENCYPART_ARC
(13,12),2.85788 # DEPENDENCYPART_ARC
(13,14),1.83671 # DEPENDENCYPART_ARC
