# _root_ A végső szót a Legfelsőbb_Bíróság mondja majd ki , de nem tudni , mikor .
#goldHeads=3,3,6,5,6,10,6,6,10,0,12,10,12,12,10,
#predictedHeads=3,3,6,5,6,10,6,6,6,0,12,10,12,12,10,
(12,7),1.23703 # DEPENDENCYPART_ARC
(12,8),0.938621 # DEPENDENCYPART_ARC
(12,9),0.922725 # DEPENDENCYPART_ARC
(12,10),0.453142 # DEPENDENCYPART_ARC
(12,11),2.8998 # DEPENDENCYPART_ARC
(12,13),1.39513 # DEPENDENCYPART_ARC
(12,14),0.413725 # DEPENDENCYPART_ARC
(12,15),1.56322 # DEPENDENCYPART_ARC
(14,8),-0.201365 # DEPENDENCYPART_ARC
(14,9),-0.0851324 # DEPENDENCYPART_ARC
(14,13),0.414187 # DEPENDENCYPART_ARC
(14,15),1.08517 # DEPENDENCYPART_ARC
