# _root_ Elébb egy , majd két téesz alakult a falu földjein : a Dózsa és a Petőfi , majd ezek egyesültek a nagy Egyetértésben .
#goldHeads=2,4,4,18,6,7,4,9,10,7,4,13,14,4,16,14,18,0,20,18,23,23,20,18,
#predictedHeads=4,4,4,18,6,7,4,9,10,7,7,13,14,7,16,14,18,0,20,18,23,23,20,4,
(18,24),2.75847 # DEPENDENCYPART_ARC
(19,7),-1.58797 # DEPENDENCYPART_ARC
(19,10),-1.03674 # DEPENDENCYPART_ARC
(19,11),-0.693649 # DEPENDENCYPART_ARC
(19,13),-1.04268 # DEPENDENCYPART_ARC
(19,14),-0.856456 # DEPENDENCYPART_ARC
(19,16),-0.962551 # DEPENDENCYPART_ARC
(19,17),-0.919829 # DEPENDENCYPART_ARC
(19,18),-0.335086 # DEPENDENCYPART_ARC
(19,20),0.370403 # DEPENDENCYPART_ARC
(19,22),-0.351355 # DEPENDENCYPART_ARC
(19,23),-0.135503 # DEPENDENCYPART_ARC
(19,24),-0.0156022 # DEPENDENCYPART_ARC
(20,1),-0.735264 # DEPENDENCYPART_ARC
(20,2),-2.63158 # DEPENDENCYPART_ARC
(20,3),-0.751863 # DEPENDENCYPART_ARC
(20,4),-0.304614 # DEPENDENCYPART_ARC
(20,5),-2.31809 # DEPENDENCYPART_ARC
(20,6),-0.848512 # DEPENDENCYPART_ARC
(20,7),-1.55957 # DEPENDENCYPART_ARC
(20,8),-1.00426 # DEPENDENCYPART_ARC
(20,9),-1.27635 # DEPENDENCYPART_ARC
(20,10),0.699916 # DEPENDENCYPART_ARC
(20,11),0.304503 # DEPENDENCYPART_ARC
(20,12),-0.971561 # DEPENDENCYPART_ARC
(20,13),-0.267567 # DEPENDENCYPART_ARC
(20,14),0.473241 # DEPENDENCYPART_ARC
(20,15),-1.07705 # DEPENDENCYPART_ARC
(20,16),-0.526826 # DEPENDENCYPART_ARC
(20,17),0.680402 # DEPENDENCYPART_ARC
(20,18),1.13363 # DEPENDENCYPART_ARC
(20,19),2.05572 # DEPENDENCYPART_ARC
(20,21),-0.256967 # DEPENDENCYPART_ARC
(20,22),-0.130812 # DEPENDENCYPART_ARC
(20,23),2.50615 # DEPENDENCYPART_ARC
(20,24),1.74007 # DEPENDENCYPART_ARC
(21,22),0.197774 # DEPENDENCYPART_ARC
(22,15),-2.00697 # DEPENDENCYPART_ARC
(22,19),-2.64945 # DEPENDENCYPART_ARC
(22,21),0.325066 # DEPENDENCYPART_ARC
(22,23),-0.538686 # DEPENDENCYPART_ARC
(23,15),-1.57741 # DEPENDENCYPART_ARC
(23,16),-3.53077 # DEPENDENCYPART_ARC
(23,18),-0.781945 # DEPENDENCYPART_ARC
(23,19),-2.10881 # DEPENDENCYPART_ARC
(23,21),1.77837 # DEPENDENCYPART_ARC
(23,22),2.35181 # DEPENDENCYPART_ARC
