# _root_ Mint arról korábban beszámoltunk , márciusban csaknem kétszáz mázsa busa , harcsa és amur pusztult el a természetvédelmi területen található vajai őstóban .
#goldHeads=4,4,4,15,15,15,9,9,10,15,15,15,15,15,0,15,19,19,20,22,22,15,15,
#predictedHeads=4,4,4,0,4,15,9,9,10,15,15,15,15,15,2,15,19,19,20,21,22,15,15,
(7,1),-0.694811 # DEPENDENCYPART_ARC
(7,3),-0.461542 # DEPENDENCYPART_ARC
(7,4),-0.210724 # DEPENDENCYPART_ARC
(7,6),0.355815 # DEPENDENCYPART_ARC
(7,8),-0.112103 # DEPENDENCYPART_ARC
(7,9),0.055424 # DEPENDENCYPART_ARC
(7,10),-0.135639 # DEPENDENCYPART_ARC
(7,11),0.112336 # DEPENDENCYPART_ARC
(7,12),-0.733956 # DEPENDENCYPART_ARC
(7,13),-0.228775 # DEPENDENCYPART_ARC
(7,14),-0.944921 # DEPENDENCYPART_ARC
(7,15),-0.659661 # DEPENDENCYPART_ARC
(7,19),-1.4862 # DEPENDENCYPART_ARC
(7,21),-1.59536 # DEPENDENCYPART_ARC
(7,22),-1.41696 # DEPENDENCYPART_ARC
(7,23),-0.142008 # DEPENDENCYPART_ARC
(8,1),-1.00622 # DEPENDENCYPART_ARC
(8,2),-1.33858 # DEPENDENCYPART_ARC
(8,3),-0.838759 # DEPENDENCYPART_ARC
(8,4),-0.633858 # DEPENDENCYPART_ARC
(8,6),-0.949484 # DEPENDENCYPART_ARC
(8,7),0.347813 # DEPENDENCYPART_ARC
(8,15),-1.25297 # DEPENDENCYPART_ARC
(8,23),-0.357762 # DEPENDENCYPART_ARC
(9,2),-2.0093 # DEPENDENCYPART_ARC
(9,3),-0.425995 # DEPENDENCYPART_ARC
(9,4),-0.677377 # DEPENDENCYPART_ARC
(9,5),0.285312 # DEPENDENCYPART_ARC
(9,6),-1.70661 # DEPENDENCYPART_ARC
(9,7),1.43598 # DEPENDENCYPART_ARC
(9,8),2.91581 # DEPENDENCYPART_ARC
(10,2),-2.67797 # DEPENDENCYPART_ARC
(10,3),-1.03628 # DEPENDENCYPART_ARC
(10,5),0.0570371 # DEPENDENCYPART_ARC
(10,6),-2.43355 # DEPENDENCYPART_ARC
(10,7),0.0409225 # DEPENDENCYPART_ARC
(10,8),1.19682 # DEPENDENCYPART_ARC
(10,9),2.14748 # DEPENDENCYPART_ARC
(10,11),0.12155 # DEPENDENCYPART_ARC
(10,12),-0.845715 # DEPENDENCYPART_ARC
(10,14),-0.890009 # DEPENDENCYPART_ARC
(10,15),-0.810166 # DEPENDENCYPART_ARC
(12,2),-2.62645 # DEPENDENCYPART_ARC
(12,5),-0.210101 # DEPENDENCYPART_ARC
(12,6),-2.39898 # DEPENDENCYPART_ARC
(12,7),-0.0322943 # DEPENDENCYPART_ARC
(12,8),0.369158 # DEPENDENCYPART_ARC
(12,9),0.201549 # DEPENDENCYPART_ARC
(12,10),0.384878 # DEPENDENCYPART_ARC
(12,11),0.508384 # DEPENDENCYPART_ARC
(12,14),-0.963433 # DEPENDENCYPART_ARC
(12,21),-2.2722 # DEPENDENCYPART_ARC
(12,22),-2.37068 # DEPENDENCYPART_ARC
(13,2),-2.20062 # DEPENDENCYPART_ARC
(13,4),0.173235 # DEPENDENCYPART_ARC
(13,5),-0.107856 # DEPENDENCYPART_ARC
(13,8),-0.552885 # DEPENDENCYPART_ARC
(13,9),-0.737627 # DEPENDENCYPART_ARC
(13,10),-0.528549 # DEPENDENCYPART_ARC
(13,11),0.321087 # DEPENDENCYPART_ARC
(13,12),-0.380724 # DEPENDENCYPART_ARC
(13,14),-0.250387 # DEPENDENCYPART_ARC
(13,15),0.657681 # DEPENDENCYPART_ARC
(13,19),-0.83715 # DEPENDENCYPART_ARC
(13,21),-0.688172 # DEPENDENCYPART_ARC
(13,22),-1.53291 # DEPENDENCYPART_ARC
(13,23),0.194602 # DEPENDENCYPART_ARC
(14,5),0.246325 # DEPENDENCYPART_ARC
(14,6),-2.2352 # DEPENDENCYPART_ARC
(14,7),-0.0842605 # DEPENDENCYPART_ARC
(14,8),0.0384359 # DEPENDENCYPART_ARC
(14,9),0.269396 # DEPENDENCYPART_ARC
(14,10),-0.272435 # DEPENDENCYPART_ARC
(14,11),0.80234 # DEPENDENCYPART_ARC
(14,12),1.13008 # DEPENDENCYPART_ARC
(14,13),0.959933 # DEPENDENCYPART_ARC
(14,19),-1.77237 # DEPENDENCYPART_ARC
(14,21),-1.6937 # DEPENDENCYPART_ARC
(14,22),-1.86741 # DEPENDENCYPART_ARC
(15,1),0.214896 # DEPENDENCYPART_ARC
(15,2),0.187961 # DEPENDENCYPART_ARC
(15,3),-0.0266855 # DEPENDENCYPART_ARC
(15,4),-0.228427 # DEPENDENCYPART_ARC
(15,5),0.240494 # DEPENDENCYPART_ARC
(15,6),1.47746 # DEPENDENCYPART_ARC
(15,7),0.263248 # DEPENDENCYPART_ARC
(15,8),-0.46305 # DEPENDENCYPART_ARC
(15,9),0.572642 # DEPENDENCYPART_ARC
(15,10),0.724816 # DEPENDENCYPART_ARC
(15,11),0.834154 # DEPENDENCYPART_ARC
(15,12),2.00653 # DEPENDENCYPART_ARC
(15,13),2.00652 # DEPENDENCYPART_ARC
(15,14),3.44886 # DEPENDENCYPART_ARC
(15,16),2.73159 # DEPENDENCYPART_ARC
(15,17),-0.448765 # DEPENDENCYPART_ARC
(15,18),-0.408386 # DEPENDENCYPART_ARC
(15,19),0.915457 # DEPENDENCYPART_ARC
(15,20),-0.380529 # DEPENDENCYPART_ARC
(15,21),0.765132 # DEPENDENCYPART_ARC
(15,22),1.97756 # DEPENDENCYPART_ARC
(15,23),1.54596 # DEPENDENCYPART_ARC
(16,4),-0.417353 # DEPENDENCYPART_ARC
(16,12),-0.154127 # DEPENDENCYPART_ARC
(16,13),-0.0190098 # DEPENDENCYPART_ARC
(16,14),0.0619171 # DEPENDENCYPART_ARC
(16,19),-0.490984 # DEPENDENCYPART_ARC
(16,21),-0.713153 # DEPENDENCYPART_ARC
(16,22),-0.759756 # DEPENDENCYPART_ARC
(16,23),-0.231156 # DEPENDENCYPART_ARC
(17,18),0.0491498 # DEPENDENCYPART_ARC
(17,19),-0.775936 # DEPENDENCYPART_ARC
(17,20),-0.654629 # DEPENDENCYPART_ARC
(18,16),-0.531435 # DEPENDENCYPART_ARC
(18,17),0.524175 # DEPENDENCYPART_ARC
(19,17),2.54479 # DEPENDENCYPART_ARC
(19,18),3.83006 # DEPENDENCYPART_ARC
(19,21),-0.574661 # DEPENDENCYPART_ARC
(19,22),-1.37154 # DEPENDENCYPART_ARC
(20,3),-0.181153 # DEPENDENCYPART_ARC
(20,9),-0.877939 # DEPENDENCYPART_ARC
(20,10),-1.37693 # DEPENDENCYPART_ARC
(20,12),-0.881956 # DEPENDENCYPART_ARC
(20,13),0.593832 # DEPENDENCYPART_ARC
(20,14),-1.37298 # DEPENDENCYPART_ARC
(20,17),0.173022 # DEPENDENCYPART_ARC
(20,18),0.635082 # DEPENDENCYPART_ARC
(20,19),2.31956 # DEPENDENCYPART_ARC
(21,13),0.0913069 # DEPENDENCYPART_ARC
(21,17),0.767081 # DEPENDENCYPART_ARC
(21,18),1.93297 # DEPENDENCYPART_ARC
(21,19),1.23422 # DEPENDENCYPART_ARC
(21,20),3.12523 # DEPENDENCYPART_ARC
(21,22),-1.48414 # DEPENDENCYPART_ARC
(22,12),-2.86884 # DEPENDENCYPART_ARC
(22,13),-0.0741071 # DEPENDENCYPART_ARC
(22,14),-3.33573 # DEPENDENCYPART_ARC
(22,17),1.17495 # DEPENDENCYPART_ARC
(22,18),1.22165 # DEPENDENCYPART_ARC
(22,19),-1.46539 # DEPENDENCYPART_ARC
(22,20),2.06246 # DEPENDENCYPART_ARC
(22,21),1.33269 # DEPENDENCYPART_ARC
(22,23),0.030745 # DEPENDENCYPART_ARC
