# _root_ Holbrooke megkérdezte : világos -e vajon , hogy mi történik , ha a válasz tagadó lesz .
#goldHeads=2,0,2,2,2,2,2,2,10,2,10,10,14,16,16,10,2,
#predictedHeads=2,0,2,8,8,2,2,2,10,2,10,10,14,16,16,2,2,
(4,11),-0.297595 # DEPENDENCYPART_ARC
(4,12),-0.421948 # DEPENDENCYPART_ARC
(4,14),-1.55339 # DEPENDENCYPART_ARC
(4,15),-1.39011 # DEPENDENCYPART_ARC
(4,16),-1.06771 # DEPENDENCYPART_ARC
(4,17),0.484972 # DEPENDENCYPART_ARC
(5,3),-0.457943 # DEPENDENCYPART_ARC
(5,4),-0.0535613 # DEPENDENCYPART_ARC
(6,3),0.310915 # DEPENDENCYPART_ARC
(6,5),1.07334 # DEPENDENCYPART_ARC
(6,7),0.430503 # DEPENDENCYPART_ARC
(8,1),0.464248 # DEPENDENCYPART_ARC
(8,2),-0.849441 # DEPENDENCYPART_ARC
(8,3),0.299981 # DEPENDENCYPART_ARC
(8,4),1.18051 # DEPENDENCYPART_ARC
(8,5),1.47231 # DEPENDENCYPART_ARC
(8,6),1.16379 # DEPENDENCYPART_ARC
(8,7),1.04369 # DEPENDENCYPART_ARC
(8,10),0.69452 # DEPENDENCYPART_ARC
(8,11),-0.200168 # DEPENDENCYPART_ARC
(8,12),0.104249 # DEPENDENCYPART_ARC
(8,14),-2.10022 # DEPENDENCYPART_ARC
(8,15),-1.09408 # DEPENDENCYPART_ARC
(8,16),-0.24942 # DEPENDENCYPART_ARC
(8,17),1.79006 # DEPENDENCYPART_ARC
(9,7),-1.32122 # DEPENDENCYPART_ARC
(9,11),0.5394 # DEPENDENCYPART_ARC
(9,14),0.330177 # DEPENDENCYPART_ARC
(9,15),0.146703 # DEPENDENCYPART_ARC
(10,1),0.813345 # DEPENDENCYPART_ARC
(10,2),-0.997463 # DEPENDENCYPART_ARC
(10,3),-0.0787273 # DEPENDENCYPART_ARC
(10,4),-0.32549 # DEPENDENCYPART_ARC
(10,5),0.63863 # DEPENDENCYPART_ARC
(10,6),0.826999 # DEPENDENCYPART_ARC
(10,7),0.806665 # DEPENDENCYPART_ARC
(10,8),0.408503 # DEPENDENCYPART_ARC
(10,9),2.84125 # DEPENDENCYPART_ARC
(10,11),1.96537 # DEPENDENCYPART_ARC
(10,12),1.89765 # DEPENDENCYPART_ARC
(10,13),-1.52672 # DEPENDENCYPART_ARC
(10,14),-1.46812 # DEPENDENCYPART_ARC
(10,15),-1.21888 # DEPENDENCYPART_ARC
(10,16),-0.101801 # DEPENDENCYPART_ARC
(10,17),1.48611 # DEPENDENCYPART_ARC
(12,1),-0.265554 # DEPENDENCYPART_ARC
(12,2),-1.60507 # DEPENDENCYPART_ARC
(12,3),0.394605 # DEPENDENCYPART_ARC
(12,4),0.100997 # DEPENDENCYPART_ARC
(12,7),0.2669 # DEPENDENCYPART_ARC
(12,8),0.228959 # DEPENDENCYPART_ARC
(12,9),-0.00148291 # DEPENDENCYPART_ARC
(12,10),-0.68881 # DEPENDENCYPART_ARC
(12,11),0.933621 # DEPENDENCYPART_ARC
(12,14),-0.310405 # DEPENDENCYPART_ARC
(12,15),-0.391308 # DEPENDENCYPART_ARC
(12,16),0.654893 # DEPENDENCYPART_ARC
(12,17),1.11924 # DEPENDENCYPART_ARC
(13,15),-0.984058 # DEPENDENCYPART_ARC
(14,4),-2.88773 # DEPENDENCYPART_ARC
(14,8),-2.62556 # DEPENDENCYPART_ARC
(14,9),-1.94158 # DEPENDENCYPART_ARC
(14,10),-2.53134 # DEPENDENCYPART_ARC
(14,11),-1.03979 # DEPENDENCYPART_ARC
(14,12),-1.29095 # DEPENDENCYPART_ARC
(14,13),2.61216 # DEPENDENCYPART_ARC
(14,15),-0.613458 # DEPENDENCYPART_ARC
(14,16),-0.283419 # DEPENDENCYPART_ARC
(14,17),-0.218253 # DEPENDENCYPART_ARC
(15,2),-1.55683 # DEPENDENCYPART_ARC
(15,3),-0.953437 # DEPENDENCYPART_ARC
(15,4),-1.67163 # DEPENDENCYPART_ARC
(15,7),-0.652224 # DEPENDENCYPART_ARC
(15,8),-0.965803 # DEPENDENCYPART_ARC
(15,10),-1.1937 # DEPENDENCYPART_ARC
(15,11),-0.252822 # DEPENDENCYPART_ARC
(15,12),-0.263393 # DEPENDENCYPART_ARC
(15,13),0.209032 # DEPENDENCYPART_ARC
(15,14),0.668392 # DEPENDENCYPART_ARC
(15,16),-0.262395 # DEPENDENCYPART_ARC
(15,17),-0.502821 # DEPENDENCYPART_ARC
(16,1),-0.26629 # DEPENDENCYPART_ARC
(16,2),-0.873398 # DEPENDENCYPART_ARC
(16,3),-0.142932 # DEPENDENCYPART_ARC
(16,4),-0.461998 # DEPENDENCYPART_ARC
(16,5),-0.25035 # DEPENDENCYPART_ARC
(16,6),0.0619897 # DEPENDENCYPART_ARC
(16,7),0.189357 # DEPENDENCYPART_ARC
(16,8),0.119075 # DEPENDENCYPART_ARC
(16,10),0.333839 # DEPENDENCYPART_ARC
(16,11),0.765019 # DEPENDENCYPART_ARC
(16,12),0.667026 # DEPENDENCYPART_ARC
(16,13),-0.476839 # DEPENDENCYPART_ARC
(16,14),2.14501 # DEPENDENCYPART_ARC
(16,15),2.38097 # DEPENDENCYPART_ARC
(16,17),1.4924 # DEPENDENCYPART_ARC
