# _root_ Jelenleg a határőrség nyolc közösségi szállásán mintegy 1500 külföldit helyezhetnek el , ám igazán jó körülményeket csupán 500-nak nyújthatnak , miközben a tényleges létszám megközelíti az 1200-at .
#goldHeads=10,3,10,6,6,10,9,9,10,0,10,10,10,15,16,19,19,19,10,19,25,24,24,25,19,27,25,10,
#predictedHeads=10,3,6,6,6,10,9,9,10,13,10,13,0,15,16,19,19,19,13,19,25,24,24,25,19,27,25,13,
(16,7),-0.332525 # DEPENDENCYPART_ARC
(16,8),-1.15843 # DEPENDENCYPART_ARC
(16,10),-1.93899 # DEPENDENCYPART_ARC
(16,12),-0.0761221 # DEPENDENCYPART_ARC
(16,13),0.671168 # DEPENDENCYPART_ARC
(16,14),0.332037 # DEPENDENCYPART_ARC
(16,15),3.06766 # DEPENDENCYPART_ARC
(16,17),-0.627928 # DEPENDENCYPART_ARC
(16,18),-1.09977 # DEPENDENCYPART_ARC
(17,10),-0.537092 # DEPENDENCYPART_ARC
(17,12),-0.381943 # DEPENDENCYPART_ARC
(17,13),-0.427848 # DEPENDENCYPART_ARC
(17,14),0.230575 # DEPENDENCYPART_ARC
(17,15),-0.259739 # DEPENDENCYPART_ARC
(17,16),0.024339 # DEPENDENCYPART_ARC
(17,18),-0.179791 # DEPENDENCYPART_ARC
(17,19),0.0553135 # DEPENDENCYPART_ARC
(17,20),0.193075 # DEPENDENCYPART_ARC
(17,21),-0.58031 # DEPENDENCYPART_ARC
(17,24),-1.18436 # DEPENDENCYPART_ARC
(17,25),-0.792962 # DEPENDENCYPART_ARC
(17,27),-0.587736 # DEPENDENCYPART_ARC
(17,28),0.15744 # DEPENDENCYPART_ARC
(18,12),-0.408565 # DEPENDENCYPART_ARC
(18,14),0.0646481 # DEPENDENCYPART_ARC
(18,16),-0.697815 # DEPENDENCYPART_ARC
(18,17),0.743738 # DEPENDENCYPART_ARC
(18,20),-0.260469 # DEPENDENCYPART_ARC
(18,23),-1.02145 # DEPENDENCYPART_ARC
(18,24),-1.25944 # DEPENDENCYPART_ARC
(18,25),-0.491644 # DEPENDENCYPART_ARC
(18,27),-1.40561 # DEPENDENCYPART_ARC
(18,28),0.527997 # DEPENDENCYPART_ARC
(19,1),0.37292 # DEPENDENCYPART_ARC
(19,3),-1.02593 # DEPENDENCYPART_ARC
(19,4),-1.76482 # DEPENDENCYPART_ARC
(19,5),-1.78429 # DEPENDENCYPART_ARC
(19,6),0.352727 # DEPENDENCYPART_ARC
(19,7),-1.38789 # DEPENDENCYPART_ARC
(19,8),-1.75324 # DEPENDENCYPART_ARC
(19,9),-0.251215 # DEPENDENCYPART_ARC
(19,10),-0.765711 # DEPENDENCYPART_ARC
(19,11),-0.106879 # DEPENDENCYPART_ARC
(19,12),0.524382 # DEPENDENCYPART_ARC
(19,13),0.804166 # DEPENDENCYPART_ARC
(19,14),0.900012 # DEPENDENCYPART_ARC
(19,15),-0.605833 # DEPENDENCYPART_ARC
(19,16),2.04796 # DEPENDENCYPART_ARC
(19,17),1.73195 # DEPENDENCYPART_ARC
(19,18),2.22358 # DEPENDENCYPART_ARC
(19,20),1.75033 # DEPENDENCYPART_ARC
(19,21),0.756323 # DEPENDENCYPART_ARC
(19,22),-0.86506 # DEPENDENCYPART_ARC
(19,23),-0.952898 # DEPENDENCYPART_ARC
(19,24),-0.966667 # DEPENDENCYPART_ARC
(19,25),1.01456 # DEPENDENCYPART_ARC
(19,26),-1.12927 # DEPENDENCYPART_ARC
(19,27),-0.308807 # DEPENDENCYPART_ARC
(19,28),1.90679 # DEPENDENCYPART_ARC
(21,9),-0.643939 # DEPENDENCYPART_ARC
(21,16),-0.468758 # DEPENDENCYPART_ARC
(21,18),0.188722 # DEPENDENCYPART_ARC
(21,20),0.211093 # DEPENDENCYPART_ARC
(21,24),-0.124765 # DEPENDENCYPART_ARC
(21,25),0.163661 # DEPENDENCYPART_ARC
(21,28),0.334853 # DEPENDENCYPART_ARC
(22,23),-0.101914 # DEPENDENCYPART_ARC
(23,21),-0.745673 # DEPENDENCYPART_ARC
(23,22),0.374323 # DEPENDENCYPART_ARC
(23,27),-1.63029 # DEPENDENCYPART_ARC
(24,14),-1.06558 # DEPENDENCYPART_ARC
(24,15),-0.931356 # DEPENDENCYPART_ARC
(24,17),-0.685245 # DEPENDENCYPART_ARC
(24,18),-1.64299 # DEPENDENCYPART_ARC
(24,19),-1.688 # DEPENDENCYPART_ARC
(24,20),-0.503391 # DEPENDENCYPART_ARC
(24,21),-0.230989 # DEPENDENCYPART_ARC
(24,22),2.34032 # DEPENDENCYPART_ARC
(24,23),3.33661 # DEPENDENCYPART_ARC
(24,27),-1.58324 # DEPENDENCYPART_ARC
(25,1),0.68566 # DEPENDENCYPART_ARC
(25,3),-0.406978 # DEPENDENCYPART_ARC
(25,4),-1.30673 # DEPENDENCYPART_ARC
(25,5),-1.87184 # DEPENDENCYPART_ARC
(25,6),-0.0777968 # DEPENDENCYPART_ARC
(25,7),-1.76208 # DEPENDENCYPART_ARC
(25,8),-1.26832 # DEPENDENCYPART_ARC
(25,9),0.0216923 # DEPENDENCYPART_ARC
(25,10),-0.0278381 # DEPENDENCYPART_ARC
(25,12),0.44162 # DEPENDENCYPART_ARC
(25,13),0.685299 # DEPENDENCYPART_ARC
(25,14),0.273643 # DEPENDENCYPART_ARC
(25,15),-1.49506 # DEPENDENCYPART_ARC
(25,16),0.707635 # DEPENDENCYPART_ARC
(25,17),0.674466 # DEPENDENCYPART_ARC
(25,18),0.495143 # DEPENDENCYPART_ARC
(25,19),0.502494 # DEPENDENCYPART_ARC
(25,20),0.92131 # DEPENDENCYPART_ARC
(25,21),2.51357 # DEPENDENCYPART_ARC
(25,22),-0.719586 # DEPENDENCYPART_ARC
(25,23),0.55465 # DEPENDENCYPART_ARC
(25,24),3.51216 # DEPENDENCYPART_ARC
(25,26),-0.530224 # DEPENDENCYPART_ARC
(25,27),1.50485 # DEPENDENCYPART_ARC
(25,28),1.93848 # DEPENDENCYPART_ARC
(27,21),-0.157034 # DEPENDENCYPART_ARC
(27,24),-0.276006 # DEPENDENCYPART_ARC
(27,25),-0.299931 # DEPENDENCYPART_ARC
(27,26),1.85919 # DEPENDENCYPART_ARC
