# _root_ Egyébként a helyi legenda szerint Bregovity éppen itt , Gucsán szedte össze azokat a bandákat is , amelyekkel aztán a stúdióban feljátszatta az említett filmek slágereit .
#goldHeads=11,4,4,5,11,11,11,11,11,11,0,11,15,15,11,11,11,22,22,21,22,13,25,25,26,22,11,
#predictedHeads=11,4,4,5,11,11,11,11,11,11,0,11,15,15,11,11,11,22,22,21,22,13,25,25,26,22,11,
(7,22),-0.738644 # DEPENDENCYPART_ARC
(7,26),-2.07398 # DEPENDENCYPART_ARC
(7,27),0.801671 # DEPENDENCYPART_ARC
(8,3),0.019976 # DEPENDENCYPART_ARC
(8,4),0.143308 # DEPENDENCYPART_ARC
(8,6),0.435812 # DEPENDENCYPART_ARC
(8,7),1.1713 # DEPENDENCYPART_ARC
(8,9),0.0844143 # DEPENDENCYPART_ARC
(8,10),-0.218567 # DEPENDENCYPART_ARC
(8,11),0.105715 # DEPENDENCYPART_ARC
(8,13),-0.645812 # DEPENDENCYPART_ARC
(8,15),-1.50576 # DEPENDENCYPART_ARC
(8,17),-0.298141 # DEPENDENCYPART_ARC
(8,22),-0.528114 # DEPENDENCYPART_ARC
(8,27),0.76071 # DEPENDENCYPART_ARC
(10,1),-0.79772 # DEPENDENCYPART_ARC
(10,2),-0.166574 # DEPENDENCYPART_ARC
(10,3),-0.431762 # DEPENDENCYPART_ARC
(10,4),-2.00165 # DEPENDENCYPART_ARC
(10,5),-0.616107 # DEPENDENCYPART_ARC
(10,6),-1.27818 # DEPENDENCYPART_ARC
(10,7),0.0664129 # DEPENDENCYPART_ARC
(10,9),0.436927 # DEPENDENCYPART_ARC
(10,13),-1.56628 # DEPENDENCYPART_ARC
(10,15),-1.92642 # DEPENDENCYPART_ARC
(10,17),-0.772784 # DEPENDENCYPART_ARC
(10,22),-1.4458 # DEPENDENCYPART_ARC
(10,27),0.429725 # DEPENDENCYPART_ARC
(11,1),1.6264 # DEPENDENCYPART_ARC
(11,2),-1.30406 # DEPENDENCYPART_ARC
(11,3),-0.891031 # DEPENDENCYPART_ARC
(11,4),0.622372 # DEPENDENCYPART_ARC
(11,5),1.47292 # DEPENDENCYPART_ARC
(11,6),1.87481 # DEPENDENCYPART_ARC
(11,7),1.4939 # DEPENDENCYPART_ARC
(11,8),1.53887 # DEPENDENCYPART_ARC
(11,9),1.51594 # DEPENDENCYPART_ARC
(11,10),3.58779 # DEPENDENCYPART_ARC
(11,12),3.09177 # DEPENDENCYPART_ARC
(11,13),0.896593 # DEPENDENCYPART_ARC
(11,14),-0.0293404 # DEPENDENCYPART_ARC
(11,15),1.68278 # DEPENDENCYPART_ARC
(11,16),2.35761 # DEPENDENCYPART_ARC
(11,17),2.08404 # DEPENDENCYPART_ARC
(11,18),-0.241563 # DEPENDENCYPART_ARC
(11,19),0.942553 # DEPENDENCYPART_ARC
(11,21),-0.54955 # DEPENDENCYPART_ARC
(11,22),1.26468 # DEPENDENCYPART_ARC
(11,24),-1.16066 # DEPENDENCYPART_ARC
(11,25),-1.67266 # DEPENDENCYPART_ARC
(11,26),0.214417 # DEPENDENCYPART_ARC
(11,27),3.07569 # DEPENDENCYPART_ARC
(12,4),-1.23767 # DEPENDENCYPART_ARC
(12,5),-0.624447 # DEPENDENCYPART_ARC
(12,9),-0.731547 # DEPENDENCYPART_ARC
(12,11),-0.00743676 # DEPENDENCYPART_ARC
(12,15),-0.733505 # DEPENDENCYPART_ARC
(12,16),-0.444827 # DEPENDENCYPART_ARC
(12,17),-0.450658 # DEPENDENCYPART_ARC
(12,21),-1.3991 # DEPENDENCYPART_ARC
(12,26),-1.61287 # DEPENDENCYPART_ARC
(13,4),-0.318307 # DEPENDENCYPART_ARC
(13,6),-0.232578 # DEPENDENCYPART_ARC
(13,7),-0.133963 # DEPENDENCYPART_ARC
(13,9),-0.103234 # DEPENDENCYPART_ARC
(13,10),-0.435029 # DEPENDENCYPART_ARC
(13,11),-0.227452 # DEPENDENCYPART_ARC
(13,15),-0.0401863 # DEPENDENCYPART_ARC
(13,16),0.165197 # DEPENDENCYPART_ARC
(13,17),0.310767 # DEPENDENCYPART_ARC
(13,18),-0.475893 # DEPENDENCYPART_ARC
(13,19),0.265783 # DEPENDENCYPART_ARC
(13,21),0.505825 # DEPENDENCYPART_ARC
(13,22),1.54953 # DEPENDENCYPART_ARC
(13,24),0.301425 # DEPENDENCYPART_ARC
(13,25),-0.134095 # DEPENDENCYPART_ARC
(13,26),-0.506115 # DEPENDENCYPART_ARC
(13,27),1.28866 # DEPENDENCYPART_ARC
(14,16),-0.423251 # DEPENDENCYPART_ARC
(15,5),-1.7688 # DEPENDENCYPART_ARC
(15,8),-1.82103 # DEPENDENCYPART_ARC
(15,13),1.59613 # DEPENDENCYPART_ARC
(15,14),2.76604 # DEPENDENCYPART_ARC
(15,19),-1.3967 # DEPENDENCYPART_ARC
(16,1),-0.453478 # DEPENDENCYPART_ARC
(16,5),-0.705054 # DEPENDENCYPART_ARC
(16,6),-1.03589 # DEPENDENCYPART_ARC
(16,7),-1.00844 # DEPENDENCYPART_ARC
(16,8),-0.991808 # DEPENDENCYPART_ARC
(16,9),-0.281115 # DEPENDENCYPART_ARC
(16,10),-1.09601 # DEPENDENCYPART_ARC
(16,11),-0.768217 # DEPENDENCYPART_ARC
(16,13),-0.418538 # DEPENDENCYPART_ARC
(16,14),-0.577065 # DEPENDENCYPART_ARC
(16,15),0.136521 # DEPENDENCYPART_ARC
(16,17),0.479977 # DEPENDENCYPART_ARC
(16,19),-0.620907 # DEPENDENCYPART_ARC
(16,21),-1.01407 # DEPENDENCYPART_ARC
(16,22),-0.151818 # DEPENDENCYPART_ARC
(16,25),-0.818167 # DEPENDENCYPART_ARC
(16,26),-1.29178 # DEPENDENCYPART_ARC
(16,27),0.275543 # DEPENDENCYPART_ARC
(18,21),-0.656905 # DEPENDENCYPART_ARC
(18,24),-1.18471 # DEPENDENCYPART_ARC
(18,25),-1.22108 # DEPENDENCYPART_ARC
(18,26),-1.50994 # DEPENDENCYPART_ARC
(19,8),-1.25889 # DEPENDENCYPART_ARC
(19,11),-0.893309 # DEPENDENCYPART_ARC
(19,15),-1.12373 # DEPENDENCYPART_ARC
(19,16),-0.617444 # DEPENDENCYPART_ARC
(19,17),-0.692596 # DEPENDENCYPART_ARC
(19,18),-0.272466 # DEPENDENCYPART_ARC
(19,21),-0.0423622 # DEPENDENCYPART_ARC
(19,25),-0.912342 # DEPENDENCYPART_ARC
(19,26),-0.578128 # DEPENDENCYPART_ARC
(19,27),0.18419 # DEPENDENCYPART_ARC
(20,25),-1.40481 # DEPENDENCYPART_ARC
(21,13),-2.97432 # DEPENDENCYPART_ARC
(21,14),-0.975639 # DEPENDENCYPART_ARC
(21,18),-2.863 # DEPENDENCYPART_ARC
(21,19),-0.701469 # DEPENDENCYPART_ARC
(21,20),2.55272 # DEPENDENCYPART_ARC
(21,25),-1.64521 # DEPENDENCYPART_ARC
(21,26),-2.11794 # DEPENDENCYPART_ARC
(22,1),0.130518 # DEPENDENCYPART_ARC
(22,3),-1.78885 # DEPENDENCYPART_ARC
(22,4),-1.62256 # DEPENDENCYPART_ARC
(22,5),-0.0525519 # DEPENDENCYPART_ARC
(22,6),-0.558252 # DEPENDENCYPART_ARC
(22,7),-0.574007 # DEPENDENCYPART_ARC
(22,8),-0.573103 # DEPENDENCYPART_ARC
(22,9),0.144307 # DEPENDENCYPART_ARC
(22,10),0.16104 # DEPENDENCYPART_ARC
(22,11),-0.927475 # DEPENDENCYPART_ARC
(22,13),-1.09049 # DEPENDENCYPART_ARC
(22,14),-1.35465 # DEPENDENCYPART_ARC
(22,15),0.344523 # DEPENDENCYPART_ARC
(22,16),0.913431 # DEPENDENCYPART_ARC
(22,17),0.43793 # DEPENDENCYPART_ARC
(22,18),1.50772 # DEPENDENCYPART_ARC
(22,19),2.55292 # DEPENDENCYPART_ARC
(22,20),-0.549891 # DEPENDENCYPART_ARC
(22,21),3.41198 # DEPENDENCYPART_ARC
(22,23),-0.320669 # DEPENDENCYPART_ARC
(22,24),0.211952 # DEPENDENCYPART_ARC
(22,25),0.832158 # DEPENDENCYPART_ARC
(22,26),2.79535 # DEPENDENCYPART_ARC
(22,27),1.74252 # DEPENDENCYPART_ARC
(23,24),0.232824 # DEPENDENCYPART_ARC
(24,8),-2.04327 # DEPENDENCYPART_ARC
(24,18),-2.37744 # DEPENDENCYPART_ARC
(24,19),-1.47546 # DEPENDENCYPART_ARC
(24,20),-1.1753 # DEPENDENCYPART_ARC
(24,21),-0.997565 # DEPENDENCYPART_ARC
(24,23),0.679028 # DEPENDENCYPART_ARC
(25,13),-3.62101 # DEPENDENCYPART_ARC
(25,19),-1.34031 # DEPENDENCYPART_ARC
(25,20),-0.513207 # DEPENDENCYPART_ARC
(25,21),-2.58633 # DEPENDENCYPART_ARC
(25,23),2.28771 # DEPENDENCYPART_ARC
(25,24),3.59483 # DEPENDENCYPART_ARC
(25,26),-1.81051 # DEPENDENCYPART_ARC
(26,15),-2.03991 # DEPENDENCYPART_ARC
(26,16),-0.700818 # DEPENDENCYPART_ARC
(26,19),-0.866323 # DEPENDENCYPART_ARC
(26,20),-1.4686 # DEPENDENCYPART_ARC
(26,21),-1.68758 # DEPENDENCYPART_ARC
(26,23),0.599347 # DEPENDENCYPART_ARC
(26,24),1.8542 # DEPENDENCYPART_ARC
(26,25),4.59636 # DEPENDENCYPART_ARC
