# _root_ Azt azonban elárulja , hogy az áremelés lehetetlen helyzetbe hozná a csapat költségvetését , hiszen a teljes kézilabdapénz egynegyedét a két kubai játékosra kellene fordítani .
#goldHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,1,1,18,18,19,25,23,23,23,25,1,24,3,
#predictedHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,15,10,18,18,19,25,23,23,23,25,1,24,15,
(5,24),-0.413051 # DEPENDENCYPART_ARC
(5,25),-0.287426 # DEPENDENCYPART_ARC
(5,26),1.84085 # DEPENDENCYPART_ARC
(7,6),2.92362 # DEPENDENCYPART_ARC
(7,9),-0.532032 # DEPENDENCYPART_ARC
(8,1),-1.32147 # DEPENDENCYPART_ARC
(8,2),-0.08813 # DEPENDENCYPART_ARC
(8,3),-0.867439 # DEPENDENCYPART_ARC
(8,4),-0.0732303 # DEPENDENCYPART_ARC
(8,5),-0.373343 # DEPENDENCYPART_ARC
(8,6),0.180663 # DEPENDENCYPART_ARC
(8,7),1.66366 # DEPENDENCYPART_ARC
(9,1),-2.23987 # DEPENDENCYPART_ARC
(9,2),-0.309933 # DEPENDENCYPART_ARC
(9,3),-1.24595 # DEPENDENCYPART_ARC
(9,4),0.0386772 # DEPENDENCYPART_ARC
(9,5),-0.363009 # DEPENDENCYPART_ARC
(9,6),1.48827 # DEPENDENCYPART_ARC
(9,7),1.03008 # DEPENDENCYPART_ARC
(9,8),3.40979 # DEPENDENCYPART_ARC
(9,13),-1.89733 # DEPENDENCYPART_ARC
(10,1),-0.0194434 # DEPENDENCYPART_ARC
(10,2),1.54887 # DEPENDENCYPART_ARC
(10,3),0.233581 # DEPENDENCYPART_ARC
(10,4),0.851487 # DEPENDENCYPART_ARC
(10,5),0.0667884 # DEPENDENCYPART_ARC
(10,6),-0.139698 # DEPENDENCYPART_ARC
(10,7),1.87323 # DEPENDENCYPART_ARC
(10,8),0.955618 # DEPENDENCYPART_ARC
(10,9),2.72397 # DEPENDENCYPART_ARC
(10,11),-0.617345 # DEPENDENCYPART_ARC
(10,12),0.985597 # DEPENDENCYPART_ARC
(10,13),3.03837 # DEPENDENCYPART_ARC
(10,14),1.55515 # DEPENDENCYPART_ARC
(10,15),0.879134 # DEPENDENCYPART_ARC
(10,16),-1.07757 # DEPENDENCYPART_ARC
(10,17),-0.956544 # DEPENDENCYPART_ARC
(10,18),-1.02548 # DEPENDENCYPART_ARC
(10,21),-0.833212 # DEPENDENCYPART_ARC
(10,22),-1.40093 # DEPENDENCYPART_ARC
(10,23),-1.53092 # DEPENDENCYPART_ARC
(10,24),0.669317 # DEPENDENCYPART_ARC
(10,25),1.17959 # DEPENDENCYPART_ARC
(10,26),2.53115 # DEPENDENCYPART_ARC
(12,6),-1.02414 # DEPENDENCYPART_ARC
(12,11),2.61552 # DEPENDENCYPART_ARC
(12,19),-2.03957 # DEPENDENCYPART_ARC
(13,6),-1.9411 # DEPENDENCYPART_ARC
(13,7),-0.758626 # DEPENDENCYPART_ARC
(13,8),-0.900164 # DEPENDENCYPART_ARC
(13,9),-2.18913 # DEPENDENCYPART_ARC
(13,11),1.17852 # DEPENDENCYPART_ARC
(13,12),4.1379 # DEPENDENCYPART_ARC
(13,14),-0.301335 # DEPENDENCYPART_ARC
(13,18),-1.38995 # DEPENDENCYPART_ARC
(13,19),-1.31889 # DEPENDENCYPART_ARC
(13,23),-1.61785 # DEPENDENCYPART_ARC
(13,24),-2.14858 # DEPENDENCYPART_ARC
(13,25),-1.44781 # DEPENDENCYPART_ARC
(13,26),0.0557638 # DEPENDENCYPART_ARC
(15,1),-1.17074 # DEPENDENCYPART_ARC
(15,2),0.503827 # DEPENDENCYPART_ARC
(15,3),0.544662 # DEPENDENCYPART_ARC
(15,4),0.487943 # DEPENDENCYPART_ARC
(15,5),0.867794 # DEPENDENCYPART_ARC
(15,7),-0.307689 # DEPENDENCYPART_ARC
(15,8),-0.416119 # DEPENDENCYPART_ARC
(15,9),-0.629309 # DEPENDENCYPART_ARC
(15,10),1.41372 # DEPENDENCYPART_ARC
(15,11),-0.217731 # DEPENDENCYPART_ARC
(15,12),0.342676 # DEPENDENCYPART_ARC
(15,13),-0.313477 # DEPENDENCYPART_ARC
(15,14),2.07007 # DEPENDENCYPART_ARC
(15,16),-0.324298 # DEPENDENCYPART_ARC
(15,17),0.278935 # DEPENDENCYPART_ARC
(15,18),0.0328323 # DEPENDENCYPART_ARC
(15,19),0.150119 # DEPENDENCYPART_ARC
(15,21),0.113552 # DEPENDENCYPART_ARC
(15,22),-0.339194 # DEPENDENCYPART_ARC
(15,23),-0.748749 # DEPENDENCYPART_ARC
(15,24),1.65498 # DEPENDENCYPART_ARC
(15,25),0.976408 # DEPENDENCYPART_ARC
(15,26),3.81484 # DEPENDENCYPART_ARC
(16,17),0.113031 # DEPENDENCYPART_ARC
(17,16),-0.188135 # DEPENDENCYPART_ARC
(17,19),-1.09463 # DEPENDENCYPART_ARC
(18,10),-1.5981 # DEPENDENCYPART_ARC
(18,11),-0.20167 # DEPENDENCYPART_ARC
(18,12),-0.738917 # DEPENDENCYPART_ARC
(18,13),-4.46904 # DEPENDENCYPART_ARC
(18,14),-0.733193 # DEPENDENCYPART_ARC
(18,15),-0.501867 # DEPENDENCYPART_ARC
(18,16),2.43871 # DEPENDENCYPART_ARC
(18,17),3.22059 # DEPENDENCYPART_ARC
(18,19),-1.10682 # DEPENDENCYPART_ARC
(18,21),-0.856705 # DEPENDENCYPART_ARC
(18,23),-0.835164 # DEPENDENCYPART_ARC
(19,12),1.63963 # DEPENDENCYPART_ARC
(19,13),-0.923354 # DEPENDENCYPART_ARC
(19,14),0.000860639 # DEPENDENCYPART_ARC
(19,18),2.94666 # DEPENDENCYPART_ARC
(19,23),0.190645 # DEPENDENCYPART_ARC
(19,24),0.2296 # DEPENDENCYPART_ARC
(19,25),-0.0899759 # DEPENDENCYPART_ARC
(19,26),1.06022 # DEPENDENCYPART_ARC
(20,22),0.14379 # DEPENDENCYPART_ARC
(21,18),-1.6904 # DEPENDENCYPART_ARC
(21,20),-0.216686 # DEPENDENCYPART_ARC
(21,22),-0.902957 # DEPENDENCYPART_ARC
(22,16),-1.07634 # DEPENDENCYPART_ARC
(22,17),-1.28028 # DEPENDENCYPART_ARC
(22,18),-1.99457 # DEPENDENCYPART_ARC
(22,20),-0.263746 # DEPENDENCYPART_ARC
(22,21),1.24455 # DEPENDENCYPART_ARC
(23,10),-1.61957 # DEPENDENCYPART_ARC
(23,11),-0.77067 # DEPENDENCYPART_ARC
(23,12),-0.92965 # DEPENDENCYPART_ARC
(23,13),-4.81754 # DEPENDENCYPART_ARC
(23,15),-0.246202 # DEPENDENCYPART_ARC
(23,16),0.710569 # DEPENDENCYPART_ARC
(23,17),0.797101 # DEPENDENCYPART_ARC
(23,18),-0.565482 # DEPENDENCYPART_ARC
(23,20),1.81063 # DEPENDENCYPART_ARC
(23,21),2.47457 # DEPENDENCYPART_ARC
(23,22),3.65082 # DEPENDENCYPART_ARC
(24,1),-1.91828 # DEPENDENCYPART_ARC
(24,2),0.808306 # DEPENDENCYPART_ARC
(24,3),-0.605808 # DEPENDENCYPART_ARC
(24,4),0.281541 # DEPENDENCYPART_ARC
(24,5),-0.231574 # DEPENDENCYPART_ARC
(24,7),-0.823027 # DEPENDENCYPART_ARC
(24,8),-1.77779 # DEPENDENCYPART_ARC
(24,9),-1.27568 # DEPENDENCYPART_ARC
(24,10),0.13886 # DEPENDENCYPART_ARC
(24,12),-0.548608 # DEPENDENCYPART_ARC
(24,13),-1.62848 # DEPENDENCYPART_ARC
(24,14),0.548556 # DEPENDENCYPART_ARC
(24,15),0.390206 # DEPENDENCYPART_ARC
(24,16),-1.0114 # DEPENDENCYPART_ARC
(24,17),-1.28299 # DEPENDENCYPART_ARC
(24,18),0.31052 # DEPENDENCYPART_ARC
(24,19),1.20561 # DEPENDENCYPART_ARC
(24,20),-0.9681 # DEPENDENCYPART_ARC
(24,21),-0.47613 # DEPENDENCYPART_ARC
(24,22),-0.319077 # DEPENDENCYPART_ARC
(24,23),1.35574 # DEPENDENCYPART_ARC
(24,25),3.93919 # DEPENDENCYPART_ARC
(24,26),1.85385 # DEPENDENCYPART_ARC
(25,1),0.514708 # DEPENDENCYPART_ARC
(25,2),-0.474004 # DEPENDENCYPART_ARC
(25,3),-0.777994 # DEPENDENCYPART_ARC
(25,4),-0.0762945 # DEPENDENCYPART_ARC
(25,5),-0.426942 # DEPENDENCYPART_ARC
(25,7),-1.26774 # DEPENDENCYPART_ARC
(25,8),-0.347971 # DEPENDENCYPART_ARC
(25,9),1.29538 # DEPENDENCYPART_ARC
(25,10),-0.707441 # DEPENDENCYPART_ARC
(25,12),-0.83244 # DEPENDENCYPART_ARC
(25,13),1.14461 # DEPENDENCYPART_ARC
(25,14),0.445424 # DEPENDENCYPART_ARC
(25,15),-0.0095079 # DEPENDENCYPART_ARC
(25,16),-0.677383 # DEPENDENCYPART_ARC
(25,17),-0.016832 # DEPENDENCYPART_ARC
(25,18),0.271727 # DEPENDENCYPART_ARC
(25,19),1.8825 # DEPENDENCYPART_ARC
(25,20),-0.755911 # DEPENDENCYPART_ARC
(25,21),0.273432 # DEPENDENCYPART_ARC
(25,22),0.701201 # DEPENDENCYPART_ARC
(25,23),3.12334 # DEPENDENCYPART_ARC
(25,24),0.941287 # DEPENDENCYPART_ARC
(25,26),0.11989 # DEPENDENCYPART_ARC
