# _root_ Elsősorban nekik köszönhető , hogy a különböző korosztályos megyei válogatottak eljuthatnak külföldre , és rendszeresek a Pest_megyében tartott nemzetközi tornák is .
#goldHeads=5,5,5,5,0,10,8,10,10,11,14,11,14,5,21,20,18,20,20,21,14,5,
#predictedHeads=11,3,5,10,11,10,10,10,10,11,14,11,14,0,21,20,18,20,20,21,11,14,
(6,7),0.204756 # DEPENDENCYPART_ARC
(6,8),-0.0428096 # DEPENDENCYPART_ARC
(7,2),-1.33833 # DEPENDENCYPART_ARC
(7,5),-1.43566 # DEPENDENCYPART_ARC
(7,6),-0.00131536 # DEPENDENCYPART_ARC
(8,1),-0.672336 # DEPENDENCYPART_ARC
(8,2),-0.607253 # DEPENDENCYPART_ARC
(8,3),-1.04918 # DEPENDENCYPART_ARC
(8,4),-0.363983 # DEPENDENCYPART_ARC
(8,5),-0.67357 # DEPENDENCYPART_ARC
(8,6),-0.10684 # DEPENDENCYPART_ARC
(8,7),1.48997 # DEPENDENCYPART_ARC
(8,9),-0.832043 # DEPENDENCYPART_ARC
(8,22),-0.611277 # DEPENDENCYPART_ARC
(9,1),-0.34299 # DEPENDENCYPART_ARC
(9,2),-0.250008 # DEPENDENCYPART_ARC
(9,3),-0.817482 # DEPENDENCYPART_ARC
(9,4),-0.0839064 # DEPENDENCYPART_ARC
(9,5),-0.580837 # DEPENDENCYPART_ARC
(9,6),-0.239852 # DEPENDENCYPART_ARC
(9,7),0.873219 # DEPENDENCYPART_ARC
(9,8),1.64474 # DEPENDENCYPART_ARC
(10,1),-0.275014 # DEPENDENCYPART_ARC
(10,3),0.37261 # DEPENDENCYPART_ARC
(10,4),1.16625 # DEPENDENCYPART_ARC
(10,5),-0.535279 # DEPENDENCYPART_ARC
(10,6),1.83619 # DEPENDENCYPART_ARC
(10,7),1.69596 # DEPENDENCYPART_ARC
(10,8),2.36432 # DEPENDENCYPART_ARC
(10,9),3.53149 # DEPENDENCYPART_ARC
(10,12),-1.69265 # DEPENDENCYPART_ARC
(10,17),-2.66977 # DEPENDENCYPART_ARC
(10,20),-1.87901 # DEPENDENCYPART_ARC
(11,1),1.31139 # DEPENDENCYPART_ARC
(11,2),0.467744 # DEPENDENCYPART_ARC
(11,3),-0.980189 # DEPENDENCYPART_ARC
(11,4),0.175851 # DEPENDENCYPART_ARC
(11,5),0.318562 # DEPENDENCYPART_ARC
(11,6),-0.543813 # DEPENDENCYPART_ARC
(11,7),-0.492224 # DEPENDENCYPART_ARC
(11,8),-0.230986 # DEPENDENCYPART_ARC
(11,9),0.169766 # DEPENDENCYPART_ARC
(11,10),3.26869 # DEPENDENCYPART_ARC
(11,12),3.29977 # DEPENDENCYPART_ARC
(11,13),1.36175 # DEPENDENCYPART_ARC
(11,14),0.453617 # DEPENDENCYPART_ARC
(11,15),0.453024 # DEPENDENCYPART_ARC
(11,16),-0.867751 # DEPENDENCYPART_ARC
(11,17),-1.20943 # DEPENDENCYPART_ARC
(11,18),-1.34725 # DEPENDENCYPART_ARC
(11,19),-1.50665 # DEPENDENCYPART_ARC
(11,20),0.0974842 # DEPENDENCYPART_ARC
(11,21),0.713087 # DEPENDENCYPART_ARC
(11,22),1.24968 # DEPENDENCYPART_ARC
(12,6),-0.948277 # DEPENDENCYPART_ARC
(12,7),-0.968135 # DEPENDENCYPART_ARC
(12,8),-0.905884 # DEPENDENCYPART_ARC
(12,9),-0.547734 # DEPENDENCYPART_ARC
(12,10),-2.33903 # DEPENDENCYPART_ARC
(12,13),-0.3643 # DEPENDENCYPART_ARC
(12,17),-1.5937 # DEPENDENCYPART_ARC
(12,20),-1.44296 # DEPENDENCYPART_ARC
(12,21),-1.60795 # DEPENDENCYPART_ARC
(14,1),-0.411712 # DEPENDENCYPART_ARC
(14,3),-0.529543 # DEPENDENCYPART_ARC
(14,4),0.780446 # DEPENDENCYPART_ARC
(14,5),-0.106324 # DEPENDENCYPART_ARC
(14,7),-0.558342 # DEPENDENCYPART_ARC
(14,8),-0.421929 # DEPENDENCYPART_ARC
(14,9),-0.646487 # DEPENDENCYPART_ARC
(14,10),-0.495139 # DEPENDENCYPART_ARC
(14,11),2.06611 # DEPENDENCYPART_ARC
(14,12),-0.660218 # DEPENDENCYPART_ARC
(14,13),1.94885 # DEPENDENCYPART_ARC
(14,15),0.427611 # DEPENDENCYPART_ARC
(14,17),-0.17795 # DEPENDENCYPART_ARC
(14,18),0.0363099 # DEPENDENCYPART_ARC
(14,19),-0.13958 # DEPENDENCYPART_ARC
(14,20),-0.566899 # DEPENDENCYPART_ARC
(14,21),0.537008 # DEPENDENCYPART_ARC
(14,22),2.0281 # DEPENDENCYPART_ARC
(15,10),-1.29156 # DEPENDENCYPART_ARC
(15,11),-0.407434 # DEPENDENCYPART_ARC
(15,12),0.177135 # DEPENDENCYPART_ARC
(15,13),0.505654 # DEPENDENCYPART_ARC
(15,14),0.815372 # DEPENDENCYPART_ARC
(15,17),0.464349 # DEPENDENCYPART_ARC
(15,18),-0.140356 # DEPENDENCYPART_ARC
(15,19),-0.280023 # DEPENDENCYPART_ARC
(15,20),-0.59213 # DEPENDENCYPART_ARC
(15,21),-0.713472 # DEPENDENCYPART_ARC
(15,22),0.726058 # DEPENDENCYPART_ARC
(16,15),-0.749992 # DEPENDENCYPART_ARC
(16,17),-0.281324 # DEPENDENCYPART_ARC
(16,18),-0.495572 # DEPENDENCYPART_ARC
(17,15),-2.86614 # DEPENDENCYPART_ARC
(17,16),1.82463 # DEPENDENCYPART_ARC
(17,18),0.045435 # DEPENDENCYPART_ARC
(18,10),-1.28671 # DEPENDENCYPART_ARC
(18,11),-0.434223 # DEPENDENCYPART_ARC
(18,12),0.213118 # DEPENDENCYPART_ARC
(18,13),0.510358 # DEPENDENCYPART_ARC
(18,14),0.735174 # DEPENDENCYPART_ARC
(18,15),-0.58973 # DEPENDENCYPART_ARC
(18,16),0.920318 # DEPENDENCYPART_ARC
(18,17),3.27797 # DEPENDENCYPART_ARC
(18,19),-0.75981 # DEPENDENCYPART_ARC
(18,21),-1.34933 # DEPENDENCYPART_ARC
(18,22),-0.644934 # DEPENDENCYPART_ARC
(19,13),-0.670549 # DEPENDENCYPART_ARC
(19,14),-0.87598 # DEPENDENCYPART_ARC
(19,15),-2.14631 # DEPENDENCYPART_ARC
(19,16),-0.790499 # DEPENDENCYPART_ARC
(19,17),0.781291 # DEPENDENCYPART_ARC
(19,18),0.332517 # DEPENDENCYPART_ARC
(20,4),0.013526 # DEPENDENCYPART_ARC
(20,6),-0.150883 # DEPENDENCYPART_ARC
(20,7),-0.00315241 # DEPENDENCYPART_ARC
(20,8),-0.239113 # DEPENDENCYPART_ARC
(20,9),0.224608 # DEPENDENCYPART_ARC
(20,10),-2.45015 # DEPENDENCYPART_ARC
(20,11),-1.44889 # DEPENDENCYPART_ARC
(20,12),-1.83243 # DEPENDENCYPART_ARC
(20,13),0.100717 # DEPENDENCYPART_ARC
(20,14),0.681927 # DEPENDENCYPART_ARC
(20,15),-1.33015 # DEPENDENCYPART_ARC
(20,16),1.90889 # DEPENDENCYPART_ARC
(20,17),1.25305 # DEPENDENCYPART_ARC
(20,18),2.94227 # DEPENDENCYPART_ARC
(20,19),3.66414 # DEPENDENCYPART_ARC
(20,21),-1.2849 # DEPENDENCYPART_ARC
(21,1),0.248204 # DEPENDENCYPART_ARC
(21,3),-0.477115 # DEPENDENCYPART_ARC
(21,5),-0.831355 # DEPENDENCYPART_ARC
(21,11),-0.780897 # DEPENDENCYPART_ARC
(21,12),-0.622173 # DEPENDENCYPART_ARC
(21,13),0.388257 # DEPENDENCYPART_ARC
(21,14),0.225169 # DEPENDENCYPART_ARC
(21,15),0.455951 # DEPENDENCYPART_ARC
(21,16),-0.848393 # DEPENDENCYPART_ARC
(21,17),0.352001 # DEPENDENCYPART_ARC
(21,18),0.449568 # DEPENDENCYPART_ARC
(21,19),0.26325 # DEPENDENCYPART_ARC
(21,20),0.151766 # DEPENDENCYPART_ARC
(21,22),0.470471 # DEPENDENCYPART_ARC
