# _root_ A társaság a HungarHotelst nem tudja ugyan megvenni , mégis tovább működött , fb-elnöki tisztéről Récsey 1998 áprilisában mondott le .
#goldHeads=2,6,4,8,6,10,6,6,10,0,12,10,10,15,19,19,18,19,10,19,10,
#predictedHeads=2,6,4,6,6,10,6,6,10,0,12,10,15,15,19,19,18,19,12,19,10,
(8,15),-1.13354 # DEPENDENCYPART_ARC
(8,16),-3.603 # DEPENDENCYPART_ARC
(8,17),-0.962302 # DEPENDENCYPART_ARC
(8,18),-1.27984 # DEPENDENCYPART_ARC
(8,19),0.0993592 # DEPENDENCYPART_ARC
(8,20),-0.96514 # DEPENDENCYPART_ARC
(8,21),1.63466 # DEPENDENCYPART_ARC
(10,2),-1.14869 # DEPENDENCYPART_ARC
(10,4),-1.07327 # DEPENDENCYPART_ARC
(10,5),-0.132428 # DEPENDENCYPART_ARC
(10,6),1.43999 # DEPENDENCYPART_ARC
(10,7),0.436841 # DEPENDENCYPART_ARC
(10,8),0.690973 # DEPENDENCYPART_ARC
(10,9),1.72588 # DEPENDENCYPART_ARC
(10,11),-0.201766 # DEPENDENCYPART_ARC
(10,12),1.65501 # DEPENDENCYPART_ARC
(10,13),0.55521 # DEPENDENCYPART_ARC
(10,14),-0.367523 # DEPENDENCYPART_ARC
(10,15),-0.884073 # DEPENDENCYPART_ARC
(10,16),-0.992545 # DEPENDENCYPART_ARC
(10,17),-0.546965 # DEPENDENCYPART_ARC
(10,18),-1.25936 # DEPENDENCYPART_ARC
(10,19),0.687802 # DEPENDENCYPART_ARC
(10,21),2.46798 # DEPENDENCYPART_ARC
(11,5),-0.912837 # DEPENDENCYPART_ARC
(11,6),-0.810302 # DEPENDENCYPART_ARC
(11,8),-0.328611 # DEPENDENCYPART_ARC
(11,10),-0.10975 # DEPENDENCYPART_ARC
(11,14),-0.536096 # DEPENDENCYPART_ARC
(11,15),-1.06743 # DEPENDENCYPART_ARC
(11,16),-1.08209 # DEPENDENCYPART_ARC
(11,17),-0.839458 # DEPENDENCYPART_ARC
(11,18),-1.37038 # DEPENDENCYPART_ARC
(11,19),-0.9902 # DEPENDENCYPART_ARC
(11,21),-0.342931 # DEPENDENCYPART_ARC
(12,2),0.397327 # DEPENDENCYPART_ARC
(12,3),-1.90572 # DEPENDENCYPART_ARC
(12,4),-0.105558 # DEPENDENCYPART_ARC
(12,5),-0.177949 # DEPENDENCYPART_ARC
(12,6),-0.23002 # DEPENDENCYPART_ARC
(12,7),-0.178966 # DEPENDENCYPART_ARC
(12,8),0.582012 # DEPENDENCYPART_ARC
(12,9),0.720853 # DEPENDENCYPART_ARC
(12,10),1.18713 # DEPENDENCYPART_ARC
(12,11),2.57234 # DEPENDENCYPART_ARC
(12,13),0.74262 # DEPENDENCYPART_ARC
(12,14),-0.51156 # DEPENDENCYPART_ARC
(12,15),-0.152991 # DEPENDENCYPART_ARC
(12,16),-1.20333 # DEPENDENCYPART_ARC
(12,17),-1.01793 # DEPENDENCYPART_ARC
(12,18),-0.705988 # DEPENDENCYPART_ARC
(12,19),0.801279 # DEPENDENCYPART_ARC
(12,20),-0.367039 # DEPENDENCYPART_ARC
(12,21),1.19757 # DEPENDENCYPART_ARC
(14,4),-1.38709 # DEPENDENCYPART_ARC
(14,5),-1.00984 # DEPENDENCYPART_ARC
(14,11),0.0800337 # DEPENDENCYPART_ARC
(14,12),-0.712213 # DEPENDENCYPART_ARC
(14,13),0.321943 # DEPENDENCYPART_ARC
(14,16),-0.533238 # DEPENDENCYPART_ARC
(14,17),-0.551957 # DEPENDENCYPART_ARC
(14,18),-0.903778 # DEPENDENCYPART_ARC
(15,1),-1.96156 # DEPENDENCYPART_ARC
(15,2),-0.769551 # DEPENDENCYPART_ARC
(15,3),-1.20183 # DEPENDENCYPART_ARC
(15,4),-3.29358 # DEPENDENCYPART_ARC
(15,5),-0.385812 # DEPENDENCYPART_ARC
(15,6),-1.03686 # DEPENDENCYPART_ARC
(15,7),-0.486657 # DEPENDENCYPART_ARC
(15,8),0.0436353 # DEPENDENCYPART_ARC
(15,9),-0.335138 # DEPENDENCYPART_ARC
(15,10),0.449906 # DEPENDENCYPART_ARC
(15,11),0.0643505 # DEPENDENCYPART_ARC
(15,12),-1.04488 # DEPENDENCYPART_ARC
(15,13),0.96211 # DEPENDENCYPART_ARC
(15,14),3.19904 # DEPENDENCYPART_ARC
(15,16),-0.452229 # DEPENDENCYPART_ARC
(15,17),-1.07923 # DEPENDENCYPART_ARC
(15,18),-1.47278 # DEPENDENCYPART_ARC
(16,3),-1.13445 # DEPENDENCYPART_ARC
(16,11),-0.440201 # DEPENDENCYPART_ARC
(16,13),0.475779 # DEPENDENCYPART_ARC
(16,14),1.02556 # DEPENDENCYPART_ARC
(16,15),-0.549703 # DEPENDENCYPART_ARC
(16,17),-0.233047 # DEPENDENCYPART_ARC
(16,18),-0.322475 # DEPENDENCYPART_ARC
(17,11),-0.763435 # DEPENDENCYPART_ARC
(17,12),-0.802462 # DEPENDENCYPART_ARC
(17,15),-1.42823 # DEPENDENCYPART_ARC
(17,16),0.24753 # DEPENDENCYPART_ARC
(18,3),-2.4796 # DEPENDENCYPART_ARC
(18,7),-1.34944 # DEPENDENCYPART_ARC
(18,9),-0.985721 # DEPENDENCYPART_ARC
(18,10),-0.40713 # DEPENDENCYPART_ARC
(18,11),-0.608662 # DEPENDENCYPART_ARC
(18,13),-0.00168209 # DEPENDENCYPART_ARC
(18,14),0.18786 # DEPENDENCYPART_ARC
(18,15),-2.64055 # DEPENDENCYPART_ARC
(18,16),1.65608 # DEPENDENCYPART_ARC
(18,17),2.48081 # DEPENDENCYPART_ARC
(19,2),-0.130495 # DEPENDENCYPART_ARC
(19,3),-1.79883 # DEPENDENCYPART_ARC
(19,4),-0.886124 # DEPENDENCYPART_ARC
(19,5),-0.948698 # DEPENDENCYPART_ARC
(19,6),-0.484942 # DEPENDENCYPART_ARC
(19,7),-0.626159 # DEPENDENCYPART_ARC
(19,8),0.380646 # DEPENDENCYPART_ARC
(19,9),0.168473 # DEPENDENCYPART_ARC
(19,10),1.16536 # DEPENDENCYPART_ARC
(19,11),0.529555 # DEPENDENCYPART_ARC
(19,12),-0.423599 # DEPENDENCYPART_ARC
(19,13),0.838586 # DEPENDENCYPART_ARC
(19,14),-0.350577 # DEPENDENCYPART_ARC
(19,15),1.64141 # DEPENDENCYPART_ARC
(19,16),2.21951 # DEPENDENCYPART_ARC
(19,17),0.568335 # DEPENDENCYPART_ARC
(19,18),3.53954 # DEPENDENCYPART_ARC
(19,20),3.06962 # DEPENDENCYPART_ARC
(19,21),1.92372 # DEPENDENCYPART_ARC
(20,6),-0.260381 # DEPENDENCYPART_ARC
(20,7),0.101337 # DEPENDENCYPART_ARC
(20,8),-0.331975 # DEPENDENCYPART_ARC
(20,9),-0.546886 # DEPENDENCYPART_ARC
(20,10),-0.120826 # DEPENDENCYPART_ARC
(20,12),-0.538741 # DEPENDENCYPART_ARC
(20,14),-0.0779389 # DEPENDENCYPART_ARC
(20,15),0.0241278 # DEPENDENCYPART_ARC
(20,18),0.35515 # DEPENDENCYPART_ARC
(20,19),0.4607 # DEPENDENCYPART_ARC
(20,21),0.165314 # DEPENDENCYPART_ARC
