# _root_ Az első hidegzuhany az esztergomi ralin ért , ahol a motor úgy kikészült , hogy a kukába lehetett dobni .
#goldHeads=3,3,7,6,6,7,0,7,13,11,13,13,7,13,13,17,19,13,18,7,
#predictedHeads=3,3,7,6,6,7,0,7,13,11,13,13,7,13,13,17,19,13,18,13,
(13,17),-0.325208 # DEPENDENCYPART_ARC
(13,18),2.08915 # DEPENDENCYPART_ARC
(13,19),2.0642 # DEPENDENCYPART_ARC
(13,20),2.43834 # DEPENDENCYPART_ARC
(15,5),-0.465154 # DEPENDENCYPART_ARC
(15,6),-0.733912 # DEPENDENCYPART_ARC
(15,7),-1.10153 # DEPENDENCYPART_ARC
(15,8),-0.384133 # DEPENDENCYPART_ARC
(15,11),0.501089 # DEPENDENCYPART_ARC
(15,12),0.682839 # DEPENDENCYPART_ARC
(15,13),-0.172233 # DEPENDENCYPART_ARC
(15,14),0.98172 # DEPENDENCYPART_ARC
(15,17),-0.956305 # DEPENDENCYPART_ARC
(15,18),0.872976 # DEPENDENCYPART_ARC
(15,19),0.307854 # DEPENDENCYPART_ARC
(15,20),1.39348 # DEPENDENCYPART_ARC
(17,3),-1.59631 # DEPENDENCYPART_ARC
(17,10),-1.67027 # DEPENDENCYPART_ARC
(17,13),-2.51266 # DEPENDENCYPART_ARC
(17,14),-0.884857 # DEPENDENCYPART_ARC
(17,15),-1.26024 # DEPENDENCYPART_ARC
(17,16),2.40013 # DEPENDENCYPART_ARC
(17,18),-0.34522 # DEPENDENCYPART_ARC
(18,1),-1.80367 # DEPENDENCYPART_ARC
(18,3),-1.11084 # DEPENDENCYPART_ARC
(18,4),-1.85968 # DEPENDENCYPART_ARC
(18,6),-0.774216 # DEPENDENCYPART_ARC
(18,7),-1.55038 # DEPENDENCYPART_ARC
(18,8),-0.662019 # DEPENDENCYPART_ARC
(18,9),0.34115 # DEPENDENCYPART_ARC
(18,11),-0.166714 # DEPENDENCYPART_ARC
(18,12),-0.260344 # DEPENDENCYPART_ARC
(18,13),-1.23902 # DEPENDENCYPART_ARC
(18,14),-0.128378 # DEPENDENCYPART_ARC
(18,15),-0.421321 # DEPENDENCYPART_ARC
(18,16),-1.12108 # DEPENDENCYPART_ARC
(18,17),0.993976 # DEPENDENCYPART_ARC
(18,19),4.00101 # DEPENDENCYPART_ARC
(18,20),1.75048 # DEPENDENCYPART_ARC
(19,1),-0.561901 # DEPENDENCYPART_ARC
(19,3),0.143658 # DEPENDENCYPART_ARC
(19,4),-0.575759 # DEPENDENCYPART_ARC
(19,5),-0.483446 # DEPENDENCYPART_ARC
(19,6),1.67923 # DEPENDENCYPART_ARC
(19,7),-0.743093 # DEPENDENCYPART_ARC
(19,8),0.288196 # DEPENDENCYPART_ARC
(19,9),1.23032 # DEPENDENCYPART_ARC
(19,10),-0.912363 # DEPENDENCYPART_ARC
(19,11),-0.268704 # DEPENDENCYPART_ARC
(19,12),0.548005 # DEPENDENCYPART_ARC
(19,13),-0.480341 # DEPENDENCYPART_ARC
(19,14),0.620722 # DEPENDENCYPART_ARC
(19,15),0.0130438 # DEPENDENCYPART_ARC
(19,16),-0.446184 # DEPENDENCYPART_ARC
(19,17),2.87476 # DEPENDENCYPART_ARC
(19,18),1.03457 # DEPENDENCYPART_ARC
(19,20),0.275132 # DEPENDENCYPART_ARC
