# _root_ Az előrehaladás akadálymentesnek látszik , amikor — már 1992-ben — jön egy váratlan kitérő : egy tárgyaláson a külföldi partner felfedezi , és pazar állásajánlattal téríti el .
#goldHeads=2,4,4,0,4,11,11,11,11,11,4,14,14,11,4,17,21,20,20,21,23,23,4,25,26,23,26,4,
#predictedHeads=2,4,4,11,4,11,11,11,11,11,23,14,14,11,11,17,21,20,20,21,23,23,0,25,26,23,26,4,
(17,16),2.77605 # DEPENDENCYPART_ARC
(17,18),-1.04021 # DEPENDENCYPART_ARC
(17,19),-1.04029 # DEPENDENCYPART_ARC
(17,20),-0.357143 # DEPENDENCYPART_ARC
(17,25),-1.45501 # DEPENDENCYPART_ARC
(18,19),0.121035 # DEPENDENCYPART_ARC
(19,16),-1.23438 # DEPENDENCYPART_ARC
(19,17),-1.09719 # DEPENDENCYPART_ARC
(19,18),0.0553303 # DEPENDENCYPART_ARC
(20,12),0.329141 # DEPENDENCYPART_ARC
(20,13),0.018569 # DEPENDENCYPART_ARC
(20,14),-2.03977 # DEPENDENCYPART_ARC
(20,16),0.707017 # DEPENDENCYPART_ARC
(20,17),-1.76035 # DEPENDENCYPART_ARC
(20,18),2.66151 # DEPENDENCYPART_ARC
(20,19),3.67501 # DEPENDENCYPART_ARC
(20,25),-1.80035 # DEPENDENCYPART_ARC
(21,2),-0.474678 # DEPENDENCYPART_ARC
(21,3),0.0139253 # DEPENDENCYPART_ARC
(21,4),0.507283 # DEPENDENCYPART_ARC
(21,5),0.105384 # DEPENDENCYPART_ARC
(21,6),0.111952 # DEPENDENCYPART_ARC
(21,7),0.710295 # DEPENDENCYPART_ARC
(21,8),0.771337 # DEPENDENCYPART_ARC
(21,9),0.719017 # DEPENDENCYPART_ARC
(21,10),0.183332 # DEPENDENCYPART_ARC
(21,11),0.696987 # DEPENDENCYPART_ARC
(21,12),-0.236771 # DEPENDENCYPART_ARC
(21,13),-0.350261 # DEPENDENCYPART_ARC
(21,14),0.849787 # DEPENDENCYPART_ARC
(21,15),0.937091 # DEPENDENCYPART_ARC
(21,16),-0.217439 # DEPENDENCYPART_ARC
(21,17),2.42437 # DEPENDENCYPART_ARC
(21,18),-0.522708 # DEPENDENCYPART_ARC
(21,19),0.702167 # DEPENDENCYPART_ARC
(21,20),3.79224 # DEPENDENCYPART_ARC
(21,22),1.65193 # DEPENDENCYPART_ARC
(21,23),0.844122 # DEPENDENCYPART_ARC
(21,24),-0.270583 # DEPENDENCYPART_ARC
(21,25),-1.07924 # DEPENDENCYPART_ARC
(21,26),1.39886 # DEPENDENCYPART_ARC
(21,27),0.584179 # DEPENDENCYPART_ARC
(21,28),1.89058 # DEPENDENCYPART_ARC
(23,2),-0.970338 # DEPENDENCYPART_ARC
(23,3),-0.660677 # DEPENDENCYPART_ARC
(23,4),0.521433 # DEPENDENCYPART_ARC
(23,5),0.63406 # DEPENDENCYPART_ARC
(23,7),0.697025 # DEPENDENCYPART_ARC
(23,8),-0.898388 # DEPENDENCYPART_ARC
(23,9),-0.0836714 # DEPENDENCYPART_ARC
(23,10),0.650341 # DEPENDENCYPART_ARC
(23,11),0.775937 # DEPENDENCYPART_ARC
(23,13),-1.02609 # DEPENDENCYPART_ARC
(23,14),-1.11802 # DEPENDENCYPART_ARC
(23,15),0.462473 # DEPENDENCYPART_ARC
(23,17),-0.803544 # DEPENDENCYPART_ARC
(23,18),-1.02132 # DEPENDENCYPART_ARC
(23,19),-0.744244 # DEPENDENCYPART_ARC
(23,20),-0.482126 # DEPENDENCYPART_ARC
(23,21),1.90679 # DEPENDENCYPART_ARC
(23,22),2.40314 # DEPENDENCYPART_ARC
(23,24),0.206481 # DEPENDENCYPART_ARC
(23,25),-0.153677 # DEPENDENCYPART_ARC
(23,26),1.93715 # DEPENDENCYPART_ARC
(23,28),2.63126 # DEPENDENCYPART_ARC
(24,18),-1.37695 # DEPENDENCYPART_ARC
(24,20),-1.99212 # DEPENDENCYPART_ARC
(24,22),-0.0256894 # DEPENDENCYPART_ARC
(24,23),0.338067 # DEPENDENCYPART_ARC
(25,8),-0.627755 # DEPENDENCYPART_ARC
(25,12),-0.216728 # DEPENDENCYPART_ARC
(25,13),-0.307399 # DEPENDENCYPART_ARC
(25,16),-0.137616 # DEPENDENCYPART_ARC
(25,17),-3.42664 # DEPENDENCYPART_ARC
(25,18),0.336951 # DEPENDENCYPART_ARC
(25,19),0.992716 # DEPENDENCYPART_ARC
(25,20),-1.26046 # DEPENDENCYPART_ARC
(25,21),-0.719842 # DEPENDENCYPART_ARC
(25,22),0.555697 # DEPENDENCYPART_ARC
(25,23),1.24846 # DEPENDENCYPART_ARC
(25,24),3.60497 # DEPENDENCYPART_ARC
(26,2),-0.636337 # DEPENDENCYPART_ARC
(26,3),-0.611729 # DEPENDENCYPART_ARC
(26,4),0.182222 # DEPENDENCYPART_ARC
(26,5),0.0302812 # DEPENDENCYPART_ARC
(26,6),-0.560425 # DEPENDENCYPART_ARC
(26,7),0.830977 # DEPENDENCYPART_ARC
(26,8),0.211098 # DEPENDENCYPART_ARC
(26,9),0.381427 # DEPENDENCYPART_ARC
(26,10),0.215392 # DEPENDENCYPART_ARC
(26,11),0.394687 # DEPENDENCYPART_ARC
(26,13),-1.35912 # DEPENDENCYPART_ARC
(26,14),-0.0653408 # DEPENDENCYPART_ARC
(26,15),0.469383 # DEPENDENCYPART_ARC
(26,16),-0.539087 # DEPENDENCYPART_ARC
(26,17),1.23179 # DEPENDENCYPART_ARC
(26,18),-1.19317 # DEPENDENCYPART_ARC
(26,19),-1.05115 # DEPENDENCYPART_ARC
(26,20),1.44429 # DEPENDENCYPART_ARC
(26,21),0.205804 # DEPENDENCYPART_ARC
(26,22),1.0236 # DEPENDENCYPART_ARC
(26,23),0.704538 # DEPENDENCYPART_ARC
(26,24),0.641276 # DEPENDENCYPART_ARC
(26,25),2.70654 # DEPENDENCYPART_ARC
(26,27),3.00267 # DEPENDENCYPART_ARC
(26,28),1.69174 # DEPENDENCYPART_ARC
(27,10),0.0871685 # DEPENDENCYPART_ARC
(27,14),-0.870917 # DEPENDENCYPART_ARC
(27,17),-0.338291 # DEPENDENCYPART_ARC
(27,20),-0.38406 # DEPENDENCYPART_ARC
(27,23),-0.124201 # DEPENDENCYPART_ARC
(27,24),0.0445008 # DEPENDENCYPART_ARC
(27,25),0.27108 # DEPENDENCYPART_ARC
(27,26),0.429901 # DEPENDENCYPART_ARC
