# _root_ Egymillió forint körüli összeget zsákmányolt az a férfi , aki péntek délben kirabolta a főváros XI. kerületében , a Bartók_Béla_úton lévő egyik postahivatalt .
#goldHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,21,21,20,21,23,23,13,5,
#predictedHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,13,13,20,21,23,23,13,5,
(4,8),-1.72575 # DEPENDENCYPART_ARC
(4,9),-0.596904 # DEPENDENCYPART_ARC
(4,13),-1.06504 # DEPENDENCYPART_ARC
(4,24),0.782792 # DEPENDENCYPART_ARC
(5,1),0.0395733 # DEPENDENCYPART_ARC
(5,2),1.11039 # DEPENDENCYPART_ARC
(5,3),0.790414 # DEPENDENCYPART_ARC
(5,4),2.43495 # DEPENDENCYPART_ARC
(5,6),0.4513 # DEPENDENCYPART_ARC
(5,7),-0.0620088 # DEPENDENCYPART_ARC
(5,8),2.3994 # DEPENDENCYPART_ARC
(5,9),2.10932 # DEPENDENCYPART_ARC
(5,10),-0.459398 # DEPENDENCYPART_ARC
(5,11),-0.0338314 # DEPENDENCYPART_ARC
(5,12),0.0589487 # DEPENDENCYPART_ARC
(5,13),0.773409 # DEPENDENCYPART_ARC
(5,15),-0.84136 # DEPENDENCYPART_ARC
(5,17),0.802161 # DEPENDENCYPART_ARC
(5,18),0.851588 # DEPENDENCYPART_ARC
(5,20),-1.43374 # DEPENDENCYPART_ARC
(5,21),-1.07565 # DEPENDENCYPART_ARC
(5,23),-0.997944 # DEPENDENCYPART_ARC
(5,24),3.47371 # DEPENDENCYPART_ARC
(6,2),-0.904859 # DEPENDENCYPART_ARC
(6,3),-1.17862 # DEPENDENCYPART_ARC
(6,4),-1.50219 # DEPENDENCYPART_ARC
(6,5),0.309422 # DEPENDENCYPART_ARC
(6,8),0.506744 # DEPENDENCYPART_ARC
(6,9),0.261331 # DEPENDENCYPART_ARC
(6,10),-0.620777 # DEPENDENCYPART_ARC
(6,11),-0.0730976 # DEPENDENCYPART_ARC
(6,12),-0.0756359 # DEPENDENCYPART_ARC
(6,13),2.42411 # DEPENDENCYPART_ARC
(6,15),-0.165742 # DEPENDENCYPART_ARC
(6,17),-0.161243 # DEPENDENCYPART_ARC
(6,18),0.164779 # DEPENDENCYPART_ARC
(6,20),-0.661365 # DEPENDENCYPART_ARC
(6,21),-0.537926 # DEPENDENCYPART_ARC
(6,22),-0.608187 # DEPENDENCYPART_ARC
(6,23),-0.769445 # DEPENDENCYPART_ARC
(6,24),0.933835 # DEPENDENCYPART_ARC
(7,11),-1.02203 # DEPENDENCYPART_ARC
(8,1),-1.26146 # DEPENDENCYPART_ARC
(8,2),-2.98186 # DEPENDENCYPART_ARC
(8,4),-4.6274 # DEPENDENCYPART_ARC
(8,5),-0.752066 # DEPENDENCYPART_ARC
(8,6),2.12006 # DEPENDENCYPART_ARC
(8,7),3.2736 # DEPENDENCYPART_ARC
(8,9),0.0969109 # DEPENDENCYPART_ARC
(8,10),-1.04498 # DEPENDENCYPART_ARC
(8,11),-0.632236 # DEPENDENCYPART_ARC
(8,12),-0.623839 # DEPENDENCYPART_ARC
(8,13),-0.0697093 # DEPENDENCYPART_ARC
(8,17),-1.60125 # DEPENDENCYPART_ARC
(8,18),0.2031 # DEPENDENCYPART_ARC
(8,24),0.726377 # DEPENDENCYPART_ARC
(10,11),-0.349025 # DEPENDENCYPART_ARC
(10,12),-0.548933 # DEPENDENCYPART_ARC
(10,15),-1.02198 # DEPENDENCYPART_ARC
(10,17),-1.1138 # DEPENDENCYPART_ARC
(10,20),-1.57089 # DEPENDENCYPART_ARC
(10,23),-1.97956 # DEPENDENCYPART_ARC
(11,5),-2.40208 # DEPENDENCYPART_ARC
(11,6),-1.83226 # DEPENDENCYPART_ARC
(11,7),-0.505099 # DEPENDENCYPART_ARC
(11,8),-2.48727 # DEPENDENCYPART_ARC
(11,9),-1.48726 # DEPENDENCYPART_ARC
(11,10),0.523229 # DEPENDENCYPART_ARC
(11,12),-1.04636 # DEPENDENCYPART_ARC
(12,1),-1.27861 # DEPENDENCYPART_ARC
(12,2),-3.65562 # DEPENDENCYPART_ARC
(12,4),-4.97242 # DEPENDENCYPART_ARC
(12,5),-1.7009 # DEPENDENCYPART_ARC
(12,6),-0.435238 # DEPENDENCYPART_ARC
(12,7),0.811901 # DEPENDENCYPART_ARC
(12,8),-1.28714 # DEPENDENCYPART_ARC
(12,9),0.440759 # DEPENDENCYPART_ARC
(12,10),0.424958 # DEPENDENCYPART_ARC
(12,11),1.77082 # DEPENDENCYPART_ARC
(12,15),-1.54015 # DEPENDENCYPART_ARC
(12,17),-1.45372 # DEPENDENCYPART_ARC
(12,18),-0.247429 # DEPENDENCYPART_ARC
(12,20),-2.15762 # DEPENDENCYPART_ARC
(12,21),-1.81065 # DEPENDENCYPART_ARC
(12,23),-2.27308 # DEPENDENCYPART_ARC
(13,1),-1.1002 # DEPENDENCYPART_ARC
(13,2),-1.37728 # DEPENDENCYPART_ARC
(13,3),-1.11014 # DEPENDENCYPART_ARC
(13,4),0.720835 # DEPENDENCYPART_ARC
(13,5),-0.587532 # DEPENDENCYPART_ARC
(13,6),-0.726353 # DEPENDENCYPART_ARC
(13,7),-1.47743 # DEPENDENCYPART_ARC
(13,8),0.154435 # DEPENDENCYPART_ARC
(13,9),0.54676 # DEPENDENCYPART_ARC
(13,10),2.04722 # DEPENDENCYPART_ARC
(13,11),1.70281 # DEPENDENCYPART_ARC
(13,12),3.35093 # DEPENDENCYPART_ARC
(13,14),-0.695084 # DEPENDENCYPART_ARC
(13,15),0.602972 # DEPENDENCYPART_ARC
(13,17),1.81051 # DEPENDENCYPART_ARC
(13,18),0.998695 # DEPENDENCYPART_ARC
(13,19),-0.988005 # DEPENDENCYPART_ARC
(13,20),-1.35629 # DEPENDENCYPART_ARC
(13,21),-1.20568 # DEPENDENCYPART_ARC
(13,22),-1.38453 # DEPENDENCYPART_ARC
(13,23),0.982661 # DEPENDENCYPART_ARC
(13,24),1.83777 # DEPENDENCYPART_ARC
(14,16),-0.246143 # DEPENDENCYPART_ARC
(14,21),-1.1802 # DEPENDENCYPART_ARC
(15,6),-2.01918 # DEPENDENCYPART_ARC
(15,10),-2.17223 # DEPENDENCYPART_ARC
(15,13),-0.134938 # DEPENDENCYPART_ARC
(15,14),2.60524 # DEPENDENCYPART_ARC
(15,17),-0.665956 # DEPENDENCYPART_ARC
(15,18),0.290209 # DEPENDENCYPART_ARC
(15,20),-1.4393 # DEPENDENCYPART_ARC
(15,21),-1.3279 # DEPENDENCYPART_ARC
(15,23),-1.82043 # DEPENDENCYPART_ARC
(16,15),-0.219805 # DEPENDENCYPART_ARC
(16,20),-1.98276 # DEPENDENCYPART_ARC
(16,23),-2.43638 # DEPENDENCYPART_ARC
(16,24),-0.6701 # DEPENDENCYPART_ARC
(17,6),-1.7636 # DEPENDENCYPART_ARC
(17,11),-0.929532 # DEPENDENCYPART_ARC
(17,12),-2.68371 # DEPENDENCYPART_ARC
(17,14),0.518628 # DEPENDENCYPART_ARC
(17,15),2.54671 # DEPENDENCYPART_ARC
(17,16),2.64208 # DEPENDENCYPART_ARC
(17,18),0.127816 # DEPENDENCYPART_ARC
(17,20),-1.27822 # DEPENDENCYPART_ARC
(17,21),-1.15685 # DEPENDENCYPART_ARC
(17,23),-1.62901 # DEPENDENCYPART_ARC
(17,24),0.199069 # DEPENDENCYPART_ARC
(19,21),-0.440999 # DEPENDENCYPART_ARC
(20,14),-0.350683 # DEPENDENCYPART_ARC
(20,15),-1.70585 # DEPENDENCYPART_ARC
(20,16),-0.487822 # DEPENDENCYPART_ARC
(20,17),-3.50106 # DEPENDENCYPART_ARC
(20,18),-1.0457 # DEPENDENCYPART_ARC
(20,19),2.6751 # DEPENDENCYPART_ARC
(20,23),-1.58552 # DEPENDENCYPART_ARC
(21,1),-1.57042 # DEPENDENCYPART_ARC
(21,2),-1.74332 # DEPENDENCYPART_ARC
(21,4),-1.48133 # DEPENDENCYPART_ARC
(21,5),-1.23399 # DEPENDENCYPART_ARC
(21,6),-0.872246 # DEPENDENCYPART_ARC
(21,8),-1.41142 # DEPENDENCYPART_ARC
(21,9),-0.222292 # DEPENDENCYPART_ARC
(21,10),-1.14729 # DEPENDENCYPART_ARC
(21,11),-1.09291 # DEPENDENCYPART_ARC
(21,12),-0.329347 # DEPENDENCYPART_ARC
(21,13),-0.67948 # DEPENDENCYPART_ARC
(21,14),0.0385354 # DEPENDENCYPART_ARC
(21,15),-0.168187 # DEPENDENCYPART_ARC
(21,17),0.914467 # DEPENDENCYPART_ARC
(21,18),0.878628 # DEPENDENCYPART_ARC
(21,19),0.978496 # DEPENDENCYPART_ARC
(21,20),2.56671 # DEPENDENCYPART_ARC
(21,23),-0.698559 # DEPENDENCYPART_ARC
(21,24),0.123487 # DEPENDENCYPART_ARC
(22,21),-0.0147308 # DEPENDENCYPART_ARC
(23,14),0.0953242 # DEPENDENCYPART_ARC
(23,15),-1.14936 # DEPENDENCYPART_ARC
(23,16),-0.186556 # DEPENDENCYPART_ARC
(23,17),-3.26064 # DEPENDENCYPART_ARC
(23,18),-0.0369585 # DEPENDENCYPART_ARC
(23,19),0.969738 # DEPENDENCYPART_ARC
(23,20),-1.37474 # DEPENDENCYPART_ARC
(23,21),1.97331 # DEPENDENCYPART_ARC
(23,22),3.04529 # DEPENDENCYPART_ARC
