# _root_ Újabb háromórás várakozás , mire befutnak a tejkonzervek , s végre útnak indulhatunk Albánia felé .
#goldHeads=3,3,10,3,6,3,8,6,10,0,13,13,10,15,13,10,
#predictedHeads=3,3,6,6,6,10,8,6,10,0,13,13,10,15,13,10,
(8,3),-3.36054 # DEPENDENCYPART_ARC
(8,5),-1.19869 # DEPENDENCYPART_ARC
(8,6),-1.81261 # DEPENDENCYPART_ARC
(8,7),2.78613 # DEPENDENCYPART_ARC
(8,9),-0.419395 # DEPENDENCYPART_ARC
(8,10),-1.23517 # DEPENDENCYPART_ARC
(8,11),-1.03435 # DEPENDENCYPART_ARC
(8,12),-2.31974 # DEPENDENCYPART_ARC
(8,13),-1.17675 # DEPENDENCYPART_ARC
(8,15),-1.13942 # DEPENDENCYPART_ARC
(10,1),0.0178991 # DEPENDENCYPART_ARC
(10,2),-0.511879 # DEPENDENCYPART_ARC
(10,3),-1.20697 # DEPENDENCYPART_ARC
(10,4),0.696468 # DEPENDENCYPART_ARC
(10,6),1.97628 # DEPENDENCYPART_ARC
(10,7),-0.3064 # DEPENDENCYPART_ARC
(10,8),-0.492372 # DEPENDENCYPART_ARC
(10,9),2.21901 # DEPENDENCYPART_ARC
(10,11),-0.0896253 # DEPENDENCYPART_ARC
(10,12),-0.401381 # DEPENDENCYPART_ARC
(10,13),1.62913 # DEPENDENCYPART_ARC
(10,14),-0.555031 # DEPENDENCYPART_ARC
(10,15),-0.299738 # DEPENDENCYPART_ARC
(10,16),3.07344 # DEPENDENCYPART_ARC
(11,1),-0.871102 # DEPENDENCYPART_ARC
(11,3),-1.47489 # DEPENDENCYPART_ARC
(11,4),-0.457656 # DEPENDENCYPART_ARC
(11,5),-0.771807 # DEPENDENCYPART_ARC
(11,6),-0.404272 # DEPENDENCYPART_ARC
(11,8),-0.59568 # DEPENDENCYPART_ARC
(11,9),0.110803 # DEPENDENCYPART_ARC
(11,10),0.0980039 # DEPENDENCYPART_ARC
(11,12),-0.395974 # DEPENDENCYPART_ARC
(11,13),-0.0113243 # DEPENDENCYPART_ARC
(11,14),-0.825067 # DEPENDENCYPART_ARC
(11,15),-0.162563 # DEPENDENCYPART_ARC
(11,16),-0.148094 # DEPENDENCYPART_ARC
(12,1),-1.38258 # DEPENDENCYPART_ARC
(12,3),-2.95515 # DEPENDENCYPART_ARC
(12,4),-0.894099 # DEPENDENCYPART_ARC
(12,6),-2.10945 # DEPENDENCYPART_ARC
(12,7),-0.061767 # DEPENDENCYPART_ARC
(12,8),-1.35608 # DEPENDENCYPART_ARC
(12,9),0.574976 # DEPENDENCYPART_ARC
(12,10),0.92715 # DEPENDENCYPART_ARC
(12,11),0.818225 # DEPENDENCYPART_ARC
(12,14),-0.984568 # DEPENDENCYPART_ARC
(12,15),-0.408707 # DEPENDENCYPART_ARC
(12,16),-0.34783 # DEPENDENCYPART_ARC
(13,1),-1.73388 # DEPENDENCYPART_ARC
(13,2),-2.1242 # DEPENDENCYPART_ARC
(13,3),-1.72715 # DEPENDENCYPART_ARC
(13,4),0.304037 # DEPENDENCYPART_ARC
(13,5),0.499273 # DEPENDENCYPART_ARC
(13,6),-0.384412 # DEPENDENCYPART_ARC
(13,7),-0.69705 # DEPENDENCYPART_ARC
(13,8),-0.12214 # DEPENDENCYPART_ARC
(13,9),0.80541 # DEPENDENCYPART_ARC
(13,10),0.995305 # DEPENDENCYPART_ARC
(13,11),1.97935 # DEPENDENCYPART_ARC
(13,12),2.52904 # DEPENDENCYPART_ARC
(13,14),0.840712 # DEPENDENCYPART_ARC
(13,15),2.13677 # DEPENDENCYPART_ARC
(13,16),1.64142 # DEPENDENCYPART_ARC
(14,8),-3.47616 # DEPENDENCYPART_ARC
(14,10),-0.128176 # DEPENDENCYPART_ARC
(14,11),-0.636391 # DEPENDENCYPART_ARC
(14,12),-2.17939 # DEPENDENCYPART_ARC
(14,13),0.366219 # DEPENDENCYPART_ARC
(14,15),-0.3089 # DEPENDENCYPART_ARC
(14,16),-0.731868 # DEPENDENCYPART_ARC
(15,1),-0.771032 # DEPENDENCYPART_ARC
(15,3),-1.0224 # DEPENDENCYPART_ARC
(15,4),-0.367367 # DEPENDENCYPART_ARC
(15,8),-0.319245 # DEPENDENCYPART_ARC
(15,9),0.30241 # DEPENDENCYPART_ARC
(15,10),0.27446 # DEPENDENCYPART_ARC
(15,11),0.0148591 # DEPENDENCYPART_ARC
(15,12),0.485932 # DEPENDENCYPART_ARC
(15,13),1.08623 # DEPENDENCYPART_ARC
(15,14),3.92829 # DEPENDENCYPART_ARC
(15,16),-0.231831 # DEPENDENCYPART_ARC
