# _root_ Az ÁPTF 1997 szeptemberében nem járult hozzá , hogy Happy_Bank néven egy vállalkozás alakuljon , mivel semmilyen banki tevékenységet nem végzett volna .
#goldHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,6,6,19,19,21,21,6,21,6,
#predictedHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,14,14,19,19,21,21,16,21,6,
(13,11),-1.80056 # DEPENDENCYPART_ARC
(13,12),2.75291 # DEPENDENCYPART_ARC
(13,19),-2.36891 # DEPENDENCYPART_ARC
(14,1),-1.11589 # DEPENDENCYPART_ARC
(14,2),0.417404 # DEPENDENCYPART_ARC
(14,3),-1.07552 # DEPENDENCYPART_ARC
(14,4),0.902061 # DEPENDENCYPART_ARC
(14,5),0.249065 # DEPENDENCYPART_ARC
(14,6),-1.20109 # DEPENDENCYPART_ARC
(14,7),0.283251 # DEPENDENCYPART_ARC
(14,8),0.688297 # DEPENDENCYPART_ARC
(14,9),-0.258395 # DEPENDENCYPART_ARC
(14,10),1.65371 # DEPENDENCYPART_ARC
(14,11),2.46861 # DEPENDENCYPART_ARC
(14,12),0.178334 # DEPENDENCYPART_ARC
(14,13),3.22823 # DEPENDENCYPART_ARC
(14,15),1.42096 # DEPENDENCYPART_ARC
(14,16),2.36976 # DEPENDENCYPART_ARC
(14,17),-0.591492 # DEPENDENCYPART_ARC
(14,18),-0.206216 # DEPENDENCYPART_ARC
(14,19),-0.87947 # DEPENDENCYPART_ARC
(14,20),-0.0703342 # DEPENDENCYPART_ARC
(14,21),0.476604 # DEPENDENCYPART_ARC
(14,22),0.739483 # DEPENDENCYPART_ARC
(14,23),1.96234 # DEPENDENCYPART_ARC
(16,2),-0.700386 # DEPENDENCYPART_ARC
(16,4),-0.442333 # DEPENDENCYPART_ARC
(16,5),0.0952145 # DEPENDENCYPART_ARC
(16,6),-0.838289 # DEPENDENCYPART_ARC
(16,8),0.225635 # DEPENDENCYPART_ARC
(16,9),0.349978 # DEPENDENCYPART_ARC
(16,10),-0.183296 # DEPENDENCYPART_ARC
(16,11),-0.305658 # DEPENDENCYPART_ARC
(16,13),0.0730675 # DEPENDENCYPART_ARC
(16,14),-0.161589 # DEPENDENCYPART_ARC
(16,15),1.38611 # DEPENDENCYPART_ARC
(16,18),0.0198964 # DEPENDENCYPART_ARC
(16,19),-1.1723 # DEPENDENCYPART_ARC
(16,21),0.825317 # DEPENDENCYPART_ARC
(16,22),0.355304 # DEPENDENCYPART_ARC
(16,23),2.31069 # DEPENDENCYPART_ARC
(18,3),-1.78783 # DEPENDENCYPART_ARC
(18,10),-2.41138 # DEPENDENCYPART_ARC
(18,13),-2.16893 # DEPENDENCYPART_ARC
(18,14),-0.579282 # DEPENDENCYPART_ARC
(18,15),-0.184063 # DEPENDENCYPART_ARC
(18,16),-0.316171 # DEPENDENCYPART_ARC
(18,17),0.658037 # DEPENDENCYPART_ARC
(18,20),-1.00043 # DEPENDENCYPART_ARC
(19,2),-2.30481 # DEPENDENCYPART_ARC
(19,3),-1.12814 # DEPENDENCYPART_ARC
(19,10),-1.52667 # DEPENDENCYPART_ARC
(19,12),0.311409 # DEPENDENCYPART_ARC
(19,13),-1.65033 # DEPENDENCYPART_ARC
(19,14),-1.72849 # DEPENDENCYPART_ARC
(19,15),-0.173462 # DEPENDENCYPART_ARC
(19,16),-0.0105144 # DEPENDENCYPART_ARC
(19,17),1.90185 # DEPENDENCYPART_ARC
(19,18),3.38221 # DEPENDENCYPART_ARC
(20,11),-0.996093 # DEPENDENCYPART_ARC
(20,15),-0.242473 # DEPENDENCYPART_ARC
(20,16),-0.307042 # DEPENDENCYPART_ARC
(20,18),-0.322991 # DEPENDENCYPART_ARC
(20,19),0.332991 # DEPENDENCYPART_ARC
(21,1),-1.2322 # DEPENDENCYPART_ARC
(21,2),-0.510388 # DEPENDENCYPART_ARC
(21,3),-1.64341 # DEPENDENCYPART_ARC
(21,4),-0.368295 # DEPENDENCYPART_ARC
(21,5),-0.83572 # DEPENDENCYPART_ARC
(21,6),-0.934331 # DEPENDENCYPART_ARC
(21,8),0.598415 # DEPENDENCYPART_ARC
(21,9),0.200479 # DEPENDENCYPART_ARC
(21,10),-0.300096 # DEPENDENCYPART_ARC
(21,11),0.3384 # DEPENDENCYPART_ARC
(21,12),-0.995285 # DEPENDENCYPART_ARC
(21,13),0.382254 # DEPENDENCYPART_ARC
(21,14),-0.443378 # DEPENDENCYPART_ARC
(21,15),0.955803 # DEPENDENCYPART_ARC
(21,16),0.293272 # DEPENDENCYPART_ARC
(21,17),0.612849 # DEPENDENCYPART_ARC
(21,18),0.191343 # DEPENDENCYPART_ARC
(21,19),1.65629 # DEPENDENCYPART_ARC
(21,20),3.36616 # DEPENDENCYPART_ARC
(21,22),4.34727 # DEPENDENCYPART_ARC
(21,23),1.86536 # DEPENDENCYPART_ARC
(22,4),-2.10039 # DEPENDENCYPART_ARC
(22,6),-2.22872 # DEPENDENCYPART_ARC
(22,8),-0.582566 # DEPENDENCYPART_ARC
(22,9),-0.77783 # DEPENDENCYPART_ARC
(22,11),-1.71333 # DEPENDENCYPART_ARC
(22,13),-1.09363 # DEPENDENCYPART_ARC
(22,14),-0.851772 # DEPENDENCYPART_ARC
(22,15),-0.540187 # DEPENDENCYPART_ARC
(22,16),-0.543144 # DEPENDENCYPART_ARC
(22,18),-1.11859 # DEPENDENCYPART_ARC
(22,19),-0.24681 # DEPENDENCYPART_ARC
(22,21),0.364829 # DEPENDENCYPART_ARC
(22,23),-0.056317 # DEPENDENCYPART_ARC
