# _root_ A Kreml 234 szobáját egy 180_millió dolláros megrendelés keretében rekordidő , nyolc hónap alatt varázsolta újjá , s ezért magától Jelcintől vehetett át kitüntetést .
#goldHeads=2,4,4,15,8,7,8,9,15,14,14,13,14,15,18,15,18,0,22,22,22,18,22,22,18,
#predictedHeads=2,4,4,15,8,7,8,9,15,15,15,13,14,15,18,15,18,0,22,21,22,18,22,22,18,
(16,17),-0.55095 # DEPENDENCYPART_ARC
(16,18),-0.483436 # DEPENDENCYPART_ARC
(16,24),-2.07177 # DEPENDENCYPART_ARC
(18,2),-0.427809 # DEPENDENCYPART_ARC
(18,3),0.312535 # DEPENDENCYPART_ARC
(18,4),-0.837396 # DEPENDENCYPART_ARC
(18,6),0.191153 # DEPENDENCYPART_ARC
(18,7),-0.662339 # DEPENDENCYPART_ARC
(18,8),-0.577451 # DEPENDENCYPART_ARC
(18,9),-0.606221 # DEPENDENCYPART_ARC
(18,10),-0.920495 # DEPENDENCYPART_ARC
(18,11),1.11834 # DEPENDENCYPART_ARC
(18,12),0.188771 # DEPENDENCYPART_ARC
(18,13),-0.61407 # DEPENDENCYPART_ARC
(18,14),0.212662 # DEPENDENCYPART_ARC
(18,15),1.75344 # DEPENDENCYPART_ARC
(18,17),2.31368 # DEPENDENCYPART_ARC
(18,19),-0.81052 # DEPENDENCYPART_ARC
(18,21),-0.455809 # DEPENDENCYPART_ARC
(18,22),2.20432 # DEPENDENCYPART_ARC
(18,24),-0.795001 # DEPENDENCYPART_ARC
(18,25),3.4624 # DEPENDENCYPART_ARC
(19,14),-1.1599 # DEPENDENCYPART_ARC
(19,15),-0.835377 # DEPENDENCYPART_ARC
(19,17),-0.477752 # DEPENDENCYPART_ARC
(19,18),-0.345655 # DEPENDENCYPART_ARC
(19,20),-1.31116 # DEPENDENCYPART_ARC
(19,21),-1.29727 # DEPENDENCYPART_ARC
(19,22),1.41205 # DEPENDENCYPART_ARC
(19,23),-0.364282 # DEPENDENCYPART_ARC
(19,24),-1.23727 # DEPENDENCYPART_ARC
(19,25),0.364683 # DEPENDENCYPART_ARC
(20,15),-1.55565 # DEPENDENCYPART_ARC
(20,18),-0.462947 # DEPENDENCYPART_ARC
(20,19),-0.384199 # DEPENDENCYPART_ARC
(20,22),0.0711614 # DEPENDENCYPART_ARC
(20,24),-1.32791 # DEPENDENCYPART_ARC
(21,15),-1.08182 # DEPENDENCYPART_ARC
(21,17),-0.512827 # DEPENDENCYPART_ARC
(21,18),0.0600988 # DEPENDENCYPART_ARC
(21,19),-0.309614 # DEPENDENCYPART_ARC
(21,20),1.54066 # DEPENDENCYPART_ARC
(21,24),-1.51978 # DEPENDENCYPART_ARC
(22,2),-0.68551 # DEPENDENCYPART_ARC
(22,3),-1.5716 # DEPENDENCYPART_ARC
(22,4),-1.04748 # DEPENDENCYPART_ARC
(22,6),-1.66736 # DEPENDENCYPART_ARC
(22,7),-1.81895 # DEPENDENCYPART_ARC
(22,8),-0.808439 # DEPENDENCYPART_ARC
(22,9),-0.538852 # DEPENDENCYPART_ARC
(22,10),-1.4589 # DEPENDENCYPART_ARC
(22,11),0.0748529 # DEPENDENCYPART_ARC
(22,12),-1.17067 # DEPENDENCYPART_ARC
(22,13),-1.36025 # DEPENDENCYPART_ARC
(22,14),0.546038 # DEPENDENCYPART_ARC
(22,15),-0.89521 # DEPENDENCYPART_ARC
(22,16),-0.0641885 # DEPENDENCYPART_ARC
(22,17),0.400853 # DEPENDENCYPART_ARC
(22,18),0.343748 # DEPENDENCYPART_ARC
(22,19),1.37491 # DEPENDENCYPART_ARC
(22,20),0.392424 # DEPENDENCYPART_ARC
(22,21),3.1559 # DEPENDENCYPART_ARC
(22,23),2.70216 # DEPENDENCYPART_ARC
(22,24),2.05051 # DEPENDENCYPART_ARC
(22,25),1.47571 # DEPENDENCYPART_ARC
(23,14),-1.00339 # DEPENDENCYPART_ARC
(23,15),-1.15692 # DEPENDENCYPART_ARC
(23,20),-0.494535 # DEPENDENCYPART_ARC
(23,24),-0.919629 # DEPENDENCYPART_ARC
(24,12),-0.800726 # DEPENDENCYPART_ARC
(24,15),-1.43458 # DEPENDENCYPART_ARC
(24,18),-0.287305 # DEPENDENCYPART_ARC
(24,19),-1.97502 # DEPENDENCYPART_ARC
(24,20),-1.21026 # DEPENDENCYPART_ARC
(24,21),-2.25543 # DEPENDENCYPART_ARC
(24,23),0.762108 # DEPENDENCYPART_ARC
