# _root_ Az internacionális BEK-döntő első mérkőzésén a magyar bajnok 4:2-re győzött , s ha csak ezt tekintjük , a Marczibányi téri visszavágó nem ígér különösebb izgalmakat .
#goldHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,23,23,21,20,21,23,23,12,25,23,12,
#predictedHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,12,16,19,21,21,23,23,15,25,23,12,
(15,11),-0.267382 # DEPENDENCYPART_ARC
(15,12),-0.254976 # DEPENDENCYPART_ARC
(15,13),-0.800024 # DEPENDENCYPART_ARC
(15,14),0.100991 # DEPENDENCYPART_ARC
(15,16),0.178836 # DEPENDENCYPART_ARC
(15,17),0.142824 # DEPENDENCYPART_ARC
(15,19),-0.034102 # DEPENDENCYPART_ARC
(15,20),-0.183216 # DEPENDENCYPART_ARC
(15,21),-0.195989 # DEPENDENCYPART_ARC
(15,22),0.108403 # DEPENDENCYPART_ARC
(15,23),1.35474 # DEPENDENCYPART_ARC
(15,24),0.253222 # DEPENDENCYPART_ARC
(15,25),-1.03259 # DEPENDENCYPART_ARC
(15,26),0.335619 # DEPENDENCYPART_ARC
(16,1),-1.3411 # DEPENDENCYPART_ARC
(16,2),-2.46025 # DEPENDENCYPART_ARC
(16,3),-1.92246 # DEPENDENCYPART_ARC
(16,5),-0.113071 # DEPENDENCYPART_ARC
(16,6),-1.60709 # DEPENDENCYPART_ARC
(16,7),-2.20211 # DEPENDENCYPART_ARC
(16,8),-1.60243 # DEPENDENCYPART_ARC
(16,9),-0.84404 # DEPENDENCYPART_ARC
(16,10),-1.11271 # DEPENDENCYPART_ARC
(16,11),-0.11843 # DEPENDENCYPART_ARC
(16,12),0.0924809 # DEPENDENCYPART_ARC
(16,13),0.872883 # DEPENDENCYPART_ARC
(16,14),1.79709 # DEPENDENCYPART_ARC
(16,15),2.55875 # DEPENDENCYPART_ARC
(16,17),1.46977 # DEPENDENCYPART_ARC
(16,18),-0.738954 # DEPENDENCYPART_ARC
(16,19),-2.4363 # DEPENDENCYPART_ARC
(16,20),-1.1524 # DEPENDENCYPART_ARC
(16,21),-1.50369 # DEPENDENCYPART_ARC
(16,22),-0.0964202 # DEPENDENCYPART_ARC
(16,23),0.344459 # DEPENDENCYPART_ARC
(16,24),-1.6601 # DEPENDENCYPART_ARC
(16,25),0.281475 # DEPENDENCYPART_ARC
(16,26),1.90712 # DEPENDENCYPART_ARC
(18,19),-0.0377309 # DEPENDENCYPART_ARC
(18,20),-0.254117 # DEPENDENCYPART_ARC
(19,15),-3.92837 # DEPENDENCYPART_ARC
(19,18),2.13533 # DEPENDENCYPART_ARC
(19,21),0.0637173 # DEPENDENCYPART_ARC
(20,10),-1.60082 # DEPENDENCYPART_ARC
(20,12),-0.517046 # DEPENDENCYPART_ARC
(20,13),-0.191966 # DEPENDENCYPART_ARC
(20,14),-0.516124 # DEPENDENCYPART_ARC
(20,15),-1.02206 # DEPENDENCYPART_ARC
(20,16),-0.168139 # DEPENDENCYPART_ARC
(20,17),0.0940072 # DEPENDENCYPART_ARC
(20,18),0.484565 # DEPENDENCYPART_ARC
(20,19),2.00556 # DEPENDENCYPART_ARC
(20,22),-0.990772 # DEPENDENCYPART_ARC
(20,25),-2.44692 # DEPENDENCYPART_ARC
(21,1),-1.95381 # DEPENDENCYPART_ARC
(21,2),-0.952544 # DEPENDENCYPART_ARC
(21,6),-1.31812 # DEPENDENCYPART_ARC
(21,7),-0.336132 # DEPENDENCYPART_ARC
(21,10),-1.23451 # DEPENDENCYPART_ARC
(21,11),-1.32372 # DEPENDENCYPART_ARC
(21,12),-0.358577 # DEPENDENCYPART_ARC
(21,13),-0.36905 # DEPENDENCYPART_ARC
(21,14),-0.803691 # DEPENDENCYPART_ARC
(21,15),-1.98796 # DEPENDENCYPART_ARC
(21,16),-0.91109 # DEPENDENCYPART_ARC
(21,17),0.0517346 # DEPENDENCYPART_ARC
(21,18),1.73353 # DEPENDENCYPART_ARC
(21,19),2.13933 # DEPENDENCYPART_ARC
(21,20),3.73212 # DEPENDENCYPART_ARC
(21,25),-1.72799 # DEPENDENCYPART_ARC
(22,3),-0.887474 # DEPENDENCYPART_ARC
(22,5),-0.812925 # DEPENDENCYPART_ARC
(22,17),-0.257846 # DEPENDENCYPART_ARC
(22,20),-0.310199 # DEPENDENCYPART_ARC
(22,21),0.324468 # DEPENDENCYPART_ARC
(22,24),-0.0884173 # DEPENDENCYPART_ARC
(22,25),-0.538459 # DEPENDENCYPART_ARC
(23,2),-1.80488 # DEPENDENCYPART_ARC
(23,3),-0.588201 # DEPENDENCYPART_ARC
(23,5),-0.127623 # DEPENDENCYPART_ARC
(23,7),-1.62009 # DEPENDENCYPART_ARC
(23,8),-0.705785 # DEPENDENCYPART_ARC
(23,10),-0.954463 # DEPENDENCYPART_ARC
(23,11),0.174247 # DEPENDENCYPART_ARC
(23,12),0.613415 # DEPENDENCYPART_ARC
(23,13),1.57567 # DEPENDENCYPART_ARC
(23,14),0.631835 # DEPENDENCYPART_ARC
(23,15),-0.748027 # DEPENDENCYPART_ARC
(23,16),0.276524 # DEPENDENCYPART_ARC
(23,17),1.3459 # DEPENDENCYPART_ARC
(23,18),-1.07399 # DEPENDENCYPART_ARC
(23,19),1.64351 # DEPENDENCYPART_ARC
(23,20),0.351346 # DEPENDENCYPART_ARC
(23,21),2.52148 # DEPENDENCYPART_ARC
(23,22),3.06021 # DEPENDENCYPART_ARC
(23,24),0.960258 # DEPENDENCYPART_ARC
(23,25),1.58711 # DEPENDENCYPART_ARC
(23,26),0.946459 # DEPENDENCYPART_ARC
(24,14),-1.33785 # DEPENDENCYPART_ARC
(24,15),-2.10908 # DEPENDENCYPART_ARC
(24,18),-1.75369 # DEPENDENCYPART_ARC
(24,19),-2.05232 # DEPENDENCYPART_ARC
(24,21),-2.50686 # DEPENDENCYPART_ARC
(24,22),-0.403477 # DEPENDENCYPART_ARC
(24,23),-0.926275 # DEPENDENCYPART_ARC
(25,6),-1.45307 # DEPENDENCYPART_ARC
(25,7),-0.790679 # DEPENDENCYPART_ARC
(25,12),0.280173 # DEPENDENCYPART_ARC
(25,13),-0.0410015 # DEPENDENCYPART_ARC
(25,14),-0.62338 # DEPENDENCYPART_ARC
(25,15),-0.299074 # DEPENDENCYPART_ARC
(25,18),0.290038 # DEPENDENCYPART_ARC
(25,19),-0.887287 # DEPENDENCYPART_ARC
(25,20),0.941029 # DEPENDENCYPART_ARC
(25,21),-1.37887 # DEPENDENCYPART_ARC
(25,22),0.334248 # DEPENDENCYPART_ARC
(25,23),-0.472604 # DEPENDENCYPART_ARC
(25,24),3.51396 # DEPENDENCYPART_ARC
(25,26),-0.395913 # DEPENDENCYPART_ARC
