# _root_ A kávéházak és a passzázsokból kialakított bevásárlóudvarok zsúfolásig tömve vannak , mintha csak azt szeretnék bizonyítani , hogy itt Argentínához és Uruguayhoz hasonlóan igen is erős középosztály van .
#goldHeads=2,9,9,5,6,7,9,9,10,0,10,10,16,16,10,15,15,15,28,23,23,23,28,25,28,27,28,14,10,
#predictedHeads=2,10,10,5,6,7,10,10,10,0,10,10,16,16,10,15,15,15,28,28,28,23,28,25,26,27,28,14,15,
(12,15),0.677379 # DEPENDENCYPART_ARC
(12,16),-0.132713 # DEPENDENCYPART_ARC
(12,17),-0.122409 # DEPENDENCYPART_ARC
(12,18),0.176907 # DEPENDENCYPART_ARC
(12,28),-0.951552 # DEPENDENCYPART_ARC
(12,29),1.63356 # DEPENDENCYPART_ARC
(13,10),-0.439621 # DEPENDENCYPART_ARC
(13,12),-0.186822 # DEPENDENCYPART_ARC
(14,9),-0.397865 # DEPENDENCYPART_ARC
(14,10),0.00323586 # DEPENDENCYPART_ARC
(14,11),0.201768 # DEPENDENCYPART_ARC
(14,12),-0.466025 # DEPENDENCYPART_ARC
(14,13),0.470238 # DEPENDENCYPART_ARC
(14,15),1.942 # DEPENDENCYPART_ARC
(14,16),0.957596 # DEPENDENCYPART_ARC
(14,17),1.31234 # DEPENDENCYPART_ARC
(14,18),1.17518 # DEPENDENCYPART_ARC
(14,19),0.169226 # DEPENDENCYPART_ARC
(14,20),-0.298832 # DEPENDENCYPART_ARC
(14,21),0.952894 # DEPENDENCYPART_ARC
(14,22),-0.0429896 # DEPENDENCYPART_ARC
(14,23),0.0104004 # DEPENDENCYPART_ARC
(14,26),0.29579 # DEPENDENCYPART_ARC
(14,27),0.556826 # DEPENDENCYPART_ARC
(14,28),2.06382 # DEPENDENCYPART_ARC
(14,29),0.546045 # DEPENDENCYPART_ARC
(15,2),-0.219795 # DEPENDENCYPART_ARC
(15,3),0.777667 # DEPENDENCYPART_ARC
(15,5),-0.134559 # DEPENDENCYPART_ARC
(15,6),-1.57368 # DEPENDENCYPART_ARC
(15,7),-0.199726 # DEPENDENCYPART_ARC
(15,8),-0.493743 # DEPENDENCYPART_ARC
(15,9),0.458454 # DEPENDENCYPART_ARC
(15,10),0.176405 # DEPENDENCYPART_ARC
(15,11),0.951436 # DEPENDENCYPART_ARC
(15,12),0.955455 # DEPENDENCYPART_ARC
(15,13),1.94801 # DEPENDENCYPART_ARC
(15,14),1.82425 # DEPENDENCYPART_ARC
(15,16),2.72908 # DEPENDENCYPART_ARC
(15,17),2.39794 # DEPENDENCYPART_ARC
(15,18),2.71616 # DEPENDENCYPART_ARC
(15,19),0.23512 # DEPENDENCYPART_ARC
(15,20),-1.06395 # DEPENDENCYPART_ARC
(15,21),0.750538 # DEPENDENCYPART_ARC
(15,22),-2.39557 # DEPENDENCYPART_ARC
(15,23),0.473633 # DEPENDENCYPART_ARC
(15,24),-0.024423 # DEPENDENCYPART_ARC
(15,25),-0.116887 # DEPENDENCYPART_ARC
(15,26),-0.930793 # DEPENDENCYPART_ARC
(15,27),-2.56301 # DEPENDENCYPART_ARC
(15,28),-0.0258219 # DEPENDENCYPART_ARC
(15,29),2.81925 # DEPENDENCYPART_ARC
(16,2),-1.45864 # DEPENDENCYPART_ARC
(16,3),-0.0878306 # DEPENDENCYPART_ARC
(16,5),-0.141205 # DEPENDENCYPART_ARC
(16,6),-0.339736 # DEPENDENCYPART_ARC
(16,7),-1.30419 # DEPENDENCYPART_ARC
(16,8),1.06076 # DEPENDENCYPART_ARC
(16,9),0.292235 # DEPENDENCYPART_ARC
(16,10),-0.590981 # DEPENDENCYPART_ARC
(16,11),0.410459 # DEPENDENCYPART_ARC
(16,12),-0.13206 # DEPENDENCYPART_ARC
(16,13),1.97779 # DEPENDENCYPART_ARC
(16,14),3.1268 # DEPENDENCYPART_ARC
(16,15),1.50731 # DEPENDENCYPART_ARC
(16,17),0.768053 # DEPENDENCYPART_ARC
(16,18),0.989899 # DEPENDENCYPART_ARC
(16,19),-0.515594 # DEPENDENCYPART_ARC
(16,20),-0.975297 # DEPENDENCYPART_ARC
(16,21),-0.604846 # DEPENDENCYPART_ARC
(16,22),-2.2612 # DEPENDENCYPART_ARC
(16,23),-0.0913846 # DEPENDENCYPART_ARC
(16,24),-1.01156 # DEPENDENCYPART_ARC
(16,25),-1.08352 # DEPENDENCYPART_ARC
(16,26),-0.245944 # DEPENDENCYPART_ARC
(16,27),-2.89167 # DEPENDENCYPART_ARC
(16,28),0.075213 # DEPENDENCYPART_ARC
(16,29),0.860168 # DEPENDENCYPART_ARC
(18,6),-0.693029 # DEPENDENCYPART_ARC
(18,7),-1.58481 # DEPENDENCYPART_ARC
(18,8),-1.0943 # DEPENDENCYPART_ARC
(18,10),-1.50756 # DEPENDENCYPART_ARC
(18,11),-0.342169 # DEPENDENCYPART_ARC
(18,12),-0.569921 # DEPENDENCYPART_ARC
(18,13),-0.0248432 # DEPENDENCYPART_ARC
(18,14),-1.55252 # DEPENDENCYPART_ARC
(18,15),-0.964109 # DEPENDENCYPART_ARC
(18,16),-0.346656 # DEPENDENCYPART_ARC
(18,17),0.813513 # DEPENDENCYPART_ARC
(18,26),-0.912443 # DEPENDENCYPART_ARC
(18,28),0.270943 # DEPENDENCYPART_ARC
(18,29),1.497 # DEPENDENCYPART_ARC
(19,18),-0.16953 # DEPENDENCYPART_ARC
(19,20),-0.289851 # DEPENDENCYPART_ARC
(19,22),-0.38504 # DEPENDENCYPART_ARC
(19,27),-0.986291 # DEPENDENCYPART_ARC
(20,22),-1.43674 # DEPENDENCYPART_ARC
(21,9),-1.25627 # DEPENDENCYPART_ARC
(21,10),-0.375456 # DEPENDENCYPART_ARC
(21,11),0.481827 # DEPENDENCYPART_ARC
(21,12),-0.375583 # DEPENDENCYPART_ARC
(21,14),-2.17638 # DEPENDENCYPART_ARC
(21,15),-0.0057199 # DEPENDENCYPART_ARC
(21,16),-0.89615 # DEPENDENCYPART_ARC
(21,17),0.593106 # DEPENDENCYPART_ARC
(21,18),-0.134787 # DEPENDENCYPART_ARC
(21,19),-0.292187 # DEPENDENCYPART_ARC
(21,20),0.108743 # DEPENDENCYPART_ARC
(21,22),-0.208776 # DEPENDENCYPART_ARC
(21,23),-0.29421 # DEPENDENCYPART_ARC
(21,24),-0.0988737 # DEPENDENCYPART_ARC
(21,25),-0.170994 # DEPENDENCYPART_ARC
(21,26),-0.457514 # DEPENDENCYPART_ARC
(21,27),-0.335739 # DEPENDENCYPART_ARC
(21,28),-0.149604 # DEPENDENCYPART_ARC
(21,29),0.162584 # DEPENDENCYPART_ARC
(22,20),0.350556 # DEPENDENCYPART_ARC
(22,21),0.76523 # DEPENDENCYPART_ARC
(22,26),-0.488744 # DEPENDENCYPART_ARC
(22,27),-0.370806 # DEPENDENCYPART_ARC
(23,7),-2.71075 # DEPENDENCYPART_ARC
(23,8),-2.0771 # DEPENDENCYPART_ARC
(23,13),-0.334772 # DEPENDENCYPART_ARC
(23,14),-0.68744 # DEPENDENCYPART_ARC
(23,18),-0.0683475 # DEPENDENCYPART_ARC
(23,19),0.52872 # DEPENDENCYPART_ARC
(23,20),0.618073 # DEPENDENCYPART_ARC
(23,21),1.15915 # DEPENDENCYPART_ARC
(23,22),1.47563 # DEPENDENCYPART_ARC
(23,26),-0.485564 # DEPENDENCYPART_ARC
(23,27),-0.662672 # DEPENDENCYPART_ARC
(24,23),1.03769 # DEPENDENCYPART_ARC
(24,27),-0.292399 # DEPENDENCYPART_ARC
(24,28),-0.222704 # DEPENDENCYPART_ARC
(25,23),1.14526 # DEPENDENCYPART_ARC
(25,24),2.14914 # DEPENDENCYPART_ARC
(25,27),0.292218 # DEPENDENCYPART_ARC
(26,19),-0.10902 # DEPENDENCYPART_ARC
(26,20),0.336401 # DEPENDENCYPART_ARC
(26,21),0.408632 # DEPENDENCYPART_ARC
(26,22),0.738698 # DEPENDENCYPART_ARC
(26,23),0.385373 # DEPENDENCYPART_ARC
(26,25),1.3673 # DEPENDENCYPART_ARC
(27,6),-0.119883 # DEPENDENCYPART_ARC
(27,17),-0.064932 # DEPENDENCYPART_ARC
(27,19),-0.568647 # DEPENDENCYPART_ARC
(27,20),-0.524769 # DEPENDENCYPART_ARC
(27,21),0.292774 # DEPENDENCYPART_ARC
(27,22),-0.145406 # DEPENDENCYPART_ARC
(27,23),-0.930143 # DEPENDENCYPART_ARC
(27,24),0.349313 # DEPENDENCYPART_ARC
(27,25),0.552108 # DEPENDENCYPART_ARC
(27,26),3.04889 # DEPENDENCYPART_ARC
(28,2),-1.34608 # DEPENDENCYPART_ARC
(28,3),-0.912435 # DEPENDENCYPART_ARC
(28,5),-1.56261 # DEPENDENCYPART_ARC
(28,7),-1.13618 # DEPENDENCYPART_ARC
(28,8),-0.895812 # DEPENDENCYPART_ARC
(28,9),-0.499458 # DEPENDENCYPART_ARC
(28,10),-1.95404 # DEPENDENCYPART_ARC
(28,11),-0.0704079 # DEPENDENCYPART_ARC
(28,12),-0.809737 # DEPENDENCYPART_ARC
(28,13),0.138776 # DEPENDENCYPART_ARC
(28,14),-0.702982 # DEPENDENCYPART_ARC
(28,15),0.0506208 # DEPENDENCYPART_ARC
(28,16),-0.526219 # DEPENDENCYPART_ARC
(28,17),0.395462 # DEPENDENCYPART_ARC
(28,18),0.0162073 # DEPENDENCYPART_ARC
(28,19),1.20871 # DEPENDENCYPART_ARC
(28,20),0.672526 # DEPENDENCYPART_ARC
(28,21),1.56858 # DEPENDENCYPART_ARC
(28,22),0.658654 # DEPENDENCYPART_ARC
(28,23),1.4276 # DEPENDENCYPART_ARC
(28,24),0.293254 # DEPENDENCYPART_ARC
(28,25),0.955765 # DEPENDENCYPART_ARC
(28,26),0.608596 # DEPENDENCYPART_ARC
(28,27),3.69946 # DEPENDENCYPART_ARC
(28,29),1.6397 # DEPENDENCYPART_ARC
