# _root_ A Gellért_Szálló igazgatója szerint Budapesten és környékén olyan sok panzió épült , hogy azokban hét-nyolcszor annyi férőhely van , mint a Gellértben .
#goldHeads=2,3,4,11,11,11,11,10,10,11,0,11,11,18,17,17,18,11,18,18,22,14,11,
#predictedHeads=2,3,4,11,11,11,11,11,10,11,0,11,11,18,18,17,18,11,18,18,22,18,11,
(9,18),-1.12971 # DEPENDENCYPART_ARC
(9,19),-0.420542 # DEPENDENCYPART_ARC
(9,22),-2.45364 # DEPENDENCYPART_ARC
(9,23),-0.324383 # DEPENDENCYPART_ARC
(10,1),-0.388937 # DEPENDENCYPART_ARC
(10,2),-0.122641 # DEPENDENCYPART_ARC
(10,3),-2.48104 # DEPENDENCYPART_ARC
(10,4),-0.578929 # DEPENDENCYPART_ARC
(10,5),-1.01729 # DEPENDENCYPART_ARC
(10,6),0.0310606 # DEPENDENCYPART_ARC
(10,7),-2.52121 # DEPENDENCYPART_ARC
(10,8),1.40741 # DEPENDENCYPART_ARC
(10,9),3.04997 # DEPENDENCYPART_ARC
(11,1),-0.911092 # DEPENDENCYPART_ARC
(11,2),1.19956 # DEPENDENCYPART_ARC
(11,3),0.898316 # DEPENDENCYPART_ARC
(11,4),2.03468 # DEPENDENCYPART_ARC
(11,5),2.13246 # DEPENDENCYPART_ARC
(11,6),1.68055 # DEPENDENCYPART_ARC
(11,7),2.91779 # DEPENDENCYPART_ARC
(11,8),1.59435 # DEPENDENCYPART_ARC
(11,9),0.763549 # DEPENDENCYPART_ARC
(11,10),3.67094 # DEPENDENCYPART_ARC
(11,12),1.64335 # DEPENDENCYPART_ARC
(11,13),2.89761 # DEPENDENCYPART_ARC
(11,14),-0.834451 # DEPENDENCYPART_ARC
(11,15),0.276432 # DEPENDENCYPART_ARC
(11,16),-0.966712 # DEPENDENCYPART_ARC
(11,17),-1.8032 # DEPENDENCYPART_ARC
(11,18),1.15102 # DEPENDENCYPART_ARC
(11,19),0.679678 # DEPENDENCYPART_ARC
(11,20),0.737534 # DEPENDENCYPART_ARC
(11,22),-2.21869 # DEPENDENCYPART_ARC
(11,23),2.40539 # DEPENDENCYPART_ARC
(13,2),-0.981557 # DEPENDENCYPART_ARC
(13,3),-0.519069 # DEPENDENCYPART_ARC
(13,4),-8.52317e-05 # DEPENDENCYPART_ARC
(13,5),-0.749726 # DEPENDENCYPART_ARC
(13,6),-0.312788 # DEPENDENCYPART_ARC
(13,7),-0.088166 # DEPENDENCYPART_ARC
(13,8),0.121043 # DEPENDENCYPART_ARC
(13,10),0.557538 # DEPENDENCYPART_ARC
(13,11),-0.0139039 # DEPENDENCYPART_ARC
(13,12),1.04641 # DEPENDENCYPART_ARC
(13,15),-0.205948 # DEPENDENCYPART_ARC
(13,17),-1.04919 # DEPENDENCYPART_ARC
(13,18),1.05955 # DEPENDENCYPART_ARC
(13,19),0.199913 # DEPENDENCYPART_ARC
(13,20),0.466076 # DEPENDENCYPART_ARC
(13,23),2.32607 # DEPENDENCYPART_ARC
(14,11),-1.39389 # DEPENDENCYPART_ARC
(14,13),-1.13383 # DEPENDENCYPART_ARC
(14,15),0.281638 # DEPENDENCYPART_ARC
(14,16),-0.665734 # DEPENDENCYPART_ARC
(14,17),0.213237 # DEPENDENCYPART_ARC
(14,18),1.63772 # DEPENDENCYPART_ARC
(14,19),0.488182 # DEPENDENCYPART_ARC
(14,20),0.608027 # DEPENDENCYPART_ARC
(14,22),-0.0310923 # DEPENDENCYPART_ARC
(14,23),0.870687 # DEPENDENCYPART_ARC
(15,9),-0.588103 # DEPENDENCYPART_ARC
(15,10),-1.35367 # DEPENDENCYPART_ARC
(15,11),-0.818848 # DEPENDENCYPART_ARC
(15,12),-0.422453 # DEPENDENCYPART_ARC
(15,13),0.000862587 # DEPENDENCYPART_ARC
(15,14),0.0725024 # DEPENDENCYPART_ARC
(15,17),-0.121908 # DEPENDENCYPART_ARC
(15,18),0.273877 # DEPENDENCYPART_ARC
(15,19),0.0505456 # DEPENDENCYPART_ARC
(15,22),-1.21191 # DEPENDENCYPART_ARC
(15,23),0.541704 # DEPENDENCYPART_ARC
(16,6),-0.0413031 # DEPENDENCYPART_ARC
(16,10),-0.993062 # DEPENDENCYPART_ARC
(16,11),-0.148368 # DEPENDENCYPART_ARC
(16,12),0.0386898 # DEPENDENCYPART_ARC
(16,13),-0.294164 # DEPENDENCYPART_ARC
(16,14),-1.20349 # DEPENDENCYPART_ARC
(16,15),0.803632 # DEPENDENCYPART_ARC
(16,17),-0.0375534 # DEPENDENCYPART_ARC
(16,19),0.252822 # DEPENDENCYPART_ARC
(16,20),-0.4142 # DEPENDENCYPART_ARC
(16,22),-0.6245 # DEPENDENCYPART_ARC
(16,23),0.172269 # DEPENDENCYPART_ARC
(17,4),-0.83549 # DEPENDENCYPART_ARC
(17,8),-0.730251 # DEPENDENCYPART_ARC
(17,9),-0.0608398 # DEPENDENCYPART_ARC
(17,11),-1.01738 # DEPENDENCYPART_ARC
(17,12),-0.699876 # DEPENDENCYPART_ARC
(17,13),-0.827607 # DEPENDENCYPART_ARC
(17,14),-1.77692 # DEPENDENCYPART_ARC
(17,15),0.443926 # DEPENDENCYPART_ARC
(17,16),2.67984 # DEPENDENCYPART_ARC
(17,22),-1.92774 # DEPENDENCYPART_ARC
(18,2),-0.354385 # DEPENDENCYPART_ARC
(18,3),-1.10106 # DEPENDENCYPART_ARC
(18,4),0.614985 # DEPENDENCYPART_ARC
(18,5),0.251335 # DEPENDENCYPART_ARC
(18,6),0.514444 # DEPENDENCYPART_ARC
(18,7),0.332765 # DEPENDENCYPART_ARC
(18,8),-0.71674 # DEPENDENCYPART_ARC
(18,9),-1.52137 # DEPENDENCYPART_ARC
(18,10),0.319726 # DEPENDENCYPART_ARC
(18,11),-1.52365 # DEPENDENCYPART_ARC
(18,12),-0.208171 # DEPENDENCYPART_ARC
(18,13),-0.107105 # DEPENDENCYPART_ARC
(18,14),1.2235 # DEPENDENCYPART_ARC
(18,15),1.30633 # DEPENDENCYPART_ARC
(18,16),1.3714 # DEPENDENCYPART_ARC
(18,17),3.77215 # DEPENDENCYPART_ARC
(18,19),1.63169 # DEPENDENCYPART_ARC
(18,20),2.31382 # DEPENDENCYPART_ARC
(18,21),-0.905202 # DEPENDENCYPART_ARC
(18,22),-0.0155421 # DEPENDENCYPART_ARC
(18,23),1.63873 # DEPENDENCYPART_ARC
(20,2),-0.395722 # DEPENDENCYPART_ARC
(20,3),-0.405372 # DEPENDENCYPART_ARC
(20,4),-0.744917 # DEPENDENCYPART_ARC
(20,5),-0.845557 # DEPENDENCYPART_ARC
(20,6),-0.651763 # DEPENDENCYPART_ARC
(20,7),-0.451569 # DEPENDENCYPART_ARC
(20,8),-0.38867 # DEPENDENCYPART_ARC
(20,10),-0.38812 # DEPENDENCYPART_ARC
(20,11),-0.574533 # DEPENDENCYPART_ARC
(20,12),0.569226 # DEPENDENCYPART_ARC
(20,13),-0.0182497 # DEPENDENCYPART_ARC
(20,14),-0.247491 # DEPENDENCYPART_ARC
(20,16),0.0762437 # DEPENDENCYPART_ARC
(20,17),0.397989 # DEPENDENCYPART_ARC
(20,18),-0.342787 # DEPENDENCYPART_ARC
(20,19),1.05999 # DEPENDENCYPART_ARC
(20,22),-0.190783 # DEPENDENCYPART_ARC
(20,23),1.28171 # DEPENDENCYPART_ARC
(21,22),-0.650249 # DEPENDENCYPART_ARC
(22,16),-2.74294 # DEPENDENCYPART_ARC
(22,20),-1.12501 # DEPENDENCYPART_ARC
(22,21),2.22047 # DEPENDENCYPART_ARC
