# _root_ Szerinte az egyéves lejáratú hitelek jó részét több év múlva megtérülő vásárlásokra , például alkatrészek és műtrágya beszerzésére fordították a gazdák , ezért e tartozások három-öt éves hitelekké történő átütemezése is szükséges lenne .
#goldHeads=19,5,4,5,7,7,19,9,10,11,12,19,19,19,18,18,18,19,23,21,19,23,0,25,30,29,28,29,30,33,33,33,23,23,
#predictedHeads=19,5,5,5,7,7,19,9,10,11,12,19,19,19,18,19,18,19,23,21,19,19,0,25,30,27,28,29,30,33,33,33,19,19,
(6,10),-0.142918 # DEPENDENCYPART_ARC
(6,14),-0.484287 # DEPENDENCYPART_ARC
(6,33),-1.94753 # DEPENDENCYPART_ARC
(6,34),-0.438718 # DEPENDENCYPART_ARC
(7,2),-0.2539 # DEPENDENCYPART_ARC
(7,3),0.6383 # DEPENDENCYPART_ARC
(7,4),0.726441 # DEPENDENCYPART_ARC
(7,5),2.68904 # DEPENDENCYPART_ARC
(7,6),1.29187 # DEPENDENCYPART_ARC
(7,8),-0.584234 # DEPENDENCYPART_ARC
(7,9),-0.424601 # DEPENDENCYPART_ARC
(7,10),0.137054 # DEPENDENCYPART_ARC
(7,12),-0.359876 # DEPENDENCYPART_ARC
(7,13),0.267569 # DEPENDENCYPART_ARC
(7,34),0.31402 # DEPENDENCYPART_ARC
(8,6),-0.824192 # DEPENDENCYPART_ARC
(8,7),-1.67822 # DEPENDENCYPART_ARC
(8,33),-2.31769 # DEPENDENCYPART_ARC
(8,34),-0.274233 # DEPENDENCYPART_ARC
(9,2),-0.00636964 # DEPENDENCYPART_ARC
(9,3),0.0886879 # DEPENDENCYPART_ARC
(9,4),0.046377 # DEPENDENCYPART_ARC
(9,5),-2.45441 # DEPENDENCYPART_ARC
(9,6),-0.300083 # DEPENDENCYPART_ARC
(9,7),-2.65175 # DEPENDENCYPART_ARC
(9,8),2.61257 # DEPENDENCYPART_ARC
(10,4),-0.741564 # DEPENDENCYPART_ARC
(10,5),-0.498097 # DEPENDENCYPART_ARC
(10,6),-0.201493 # DEPENDENCYPART_ARC
(10,7),0.0728524 # DEPENDENCYPART_ARC
(10,8),0.612464 # DEPENDENCYPART_ARC
(10,9),3.51638 # DEPENDENCYPART_ARC
(10,14),-0.897121 # DEPENDENCYPART_ARC
(11,1),-0.456063 # DEPENDENCYPART_ARC
(11,5),-0.900575 # DEPENDENCYPART_ARC
(11,6),0.398333 # DEPENDENCYPART_ARC
(11,7),0.322623 # DEPENDENCYPART_ARC
(11,8),0.214142 # DEPENDENCYPART_ARC
(11,9),0.153289 # DEPENDENCYPART_ARC
(11,10),1.79507 # DEPENDENCYPART_ARC
(12,2),0.761687 # DEPENDENCYPART_ARC
(12,3),0.763131 # DEPENDENCYPART_ARC
(12,4),0.810144 # DEPENDENCYPART_ARC
(12,5),-1.85692 # DEPENDENCYPART_ARC
(12,6),-0.264458 # DEPENDENCYPART_ARC
(12,7),-2.18867 # DEPENDENCYPART_ARC
(12,8),0.0828455 # DEPENDENCYPART_ARC
(12,9),-0.094986 # DEPENDENCYPART_ARC
(12,10),0.465586 # DEPENDENCYPART_ARC
(12,11),3.13828 # DEPENDENCYPART_ARC
(12,13),-0.100726 # DEPENDENCYPART_ARC
(12,14),-0.860545 # DEPENDENCYPART_ARC
(12,15),-1.13724 # DEPENDENCYPART_ARC
(14,10),-0.0797857 # DEPENDENCYPART_ARC
(14,11),-0.37194 # DEPENDENCYPART_ARC
(14,12),-0.797564 # DEPENDENCYPART_ARC
(14,13),0.197639 # DEPENDENCYPART_ARC
(14,15),-0.0692695 # DEPENDENCYPART_ARC
(14,16),0.080515 # DEPENDENCYPART_ARC
(14,17),-0.093279 # DEPENDENCYPART_ARC
(14,18),-0.169115 # DEPENDENCYPART_ARC
(14,22),0.457889 # DEPENDENCYPART_ARC
(14,30),-1.29397 # DEPENDENCYPART_ARC
(14,31),-1.05233 # DEPENDENCYPART_ARC
(14,33),-0.645283 # DEPENDENCYPART_ARC
(14,34),0.326817 # DEPENDENCYPART_ARC
(15,2),-0.554056 # DEPENDENCYPART_ARC
(15,8),-1.3542 # DEPENDENCYPART_ARC
(15,11),0.384641 # DEPENDENCYPART_ARC
(15,12),-2.15457 # DEPENDENCYPART_ARC
(15,14),0.208746 # DEPENDENCYPART_ARC
(15,17),-1.32575 # DEPENDENCYPART_ARC
(15,18),-2.13475 # DEPENDENCYPART_ARC
(16,10),-0.557262 # DEPENDENCYPART_ARC
(16,11),-0.758891 # DEPENDENCYPART_ARC
(16,12),-0.880334 # DEPENDENCYPART_ARC
(16,13),0.419965 # DEPENDENCYPART_ARC
(16,14),-0.209156 # DEPENDENCYPART_ARC
(16,15),-0.175639 # DEPENDENCYPART_ARC
(16,17),-0.128037 # DEPENDENCYPART_ARC
(16,18),-0.557041 # DEPENDENCYPART_ARC
(16,19),0.265507 # DEPENDENCYPART_ARC
(16,33),-2.19411 # DEPENDENCYPART_ARC
(16,34),-0.178797 # DEPENDENCYPART_ARC
(17,2),-0.269999 # DEPENDENCYPART_ARC
(17,8),-0.325839 # DEPENDENCYPART_ARC
(17,11),0.590079 # DEPENDENCYPART_ARC
(17,12),-1.94974 # DEPENDENCYPART_ARC
(17,13),0.43745 # DEPENDENCYPART_ARC
(17,14),-0.227246 # DEPENDENCYPART_ARC
(17,15),0.226003 # DEPENDENCYPART_ARC
(17,16),0.979495 # DEPENDENCYPART_ARC
(17,18),-0.984674 # DEPENDENCYPART_ARC
(18,2),-1.2091 # DEPENDENCYPART_ARC
(18,5),-0.484311 # DEPENDENCYPART_ARC
(18,7),-4.3649 # DEPENDENCYPART_ARC
(18,8),-0.305271 # DEPENDENCYPART_ARC
(18,9),0.371753 # DEPENDENCYPART_ARC
(18,10),-0.290127 # DEPENDENCYPART_ARC
(18,11),-0.0669799 # DEPENDENCYPART_ARC
(18,12),-1.04964 # DEPENDENCYPART_ARC
(18,13),0.455571 # DEPENDENCYPART_ARC
(18,14),0.184559 # DEPENDENCYPART_ARC
(18,15),2.19431 # DEPENDENCYPART_ARC
(18,16),1.67934 # DEPENDENCYPART_ARC
(18,17),4.03154 # DEPENDENCYPART_ARC
(19,1),1.97253 # DEPENDENCYPART_ARC
(19,2),-0.468895 # DEPENDENCYPART_ARC
(19,3),-1.60885 # DEPENDENCYPART_ARC
(19,4),-1.53231 # DEPENDENCYPART_ARC
(19,5),0.917852 # DEPENDENCYPART_ARC
(19,6),-0.332226 # DEPENDENCYPART_ARC
(19,7),1.34464 # DEPENDENCYPART_ARC
(19,8),-1.00409 # DEPENDENCYPART_ARC
(19,9),-1.18509 # DEPENDENCYPART_ARC
(19,10),1.42567 # DEPENDENCYPART_ARC
(19,11),-0.8626 # DEPENDENCYPART_ARC
(19,12),0.431812 # DEPENDENCYPART_ARC
(19,13),0.829294 # DEPENDENCYPART_ARC
(19,14),1.74616 # DEPENDENCYPART_ARC
(19,15),1.77651 # DEPENDENCYPART_ARC
(19,16),1.84224 # DEPENDENCYPART_ARC
(19,17),1.61076 # DEPENDENCYPART_ARC
(19,18),3.20825 # DEPENDENCYPART_ARC
(19,20),-0.100609 # DEPENDENCYPART_ARC
(19,21),2.49765 # DEPENDENCYPART_ARC
(19,22),2.0318 # DEPENDENCYPART_ARC
(19,23),1.13154 # DEPENDENCYPART_ARC
(19,24),-0.913601 # DEPENDENCYPART_ARC
(19,25),-0.843068 # DEPENDENCYPART_ARC
(19,26),-1.04111 # DEPENDENCYPART_ARC
(19,27),-1.15904 # DEPENDENCYPART_ARC
(19,28),-1.00315 # DEPENDENCYPART_ARC
(19,29),-1.035 # DEPENDENCYPART_ARC
(19,30),-0.347203 # DEPENDENCYPART_ARC
(19,31),0.754094 # DEPENDENCYPART_ARC
(19,32),-1.116 # DEPENDENCYPART_ARC
(19,33),1.85904 # DEPENDENCYPART_ARC
(19,34),2.87246 # DEPENDENCYPART_ARC
(21,20),2.78458 # DEPENDENCYPART_ARC
(21,22),-0.419395 # DEPENDENCYPART_ARC
(23,3),0.879093 # DEPENDENCYPART_ARC
(23,4),0.776976 # DEPENDENCYPART_ARC
(23,6),-0.977905 # DEPENDENCYPART_ARC
(23,8),-0.129985 # DEPENDENCYPART_ARC
(23,9),-1.0573 # DEPENDENCYPART_ARC
(23,10),0.0134666 # DEPENDENCYPART_ARC
(23,11),0.334279 # DEPENDENCYPART_ARC
(23,12),-1.51223 # DEPENDENCYPART_ARC
(23,13),0.778025 # DEPENDENCYPART_ARC
(23,14),-0.0575608 # DEPENDENCYPART_ARC
(23,15),-0.865611 # DEPENDENCYPART_ARC
(23,16),0.577086 # DEPENDENCYPART_ARC
(23,17),-0.763318 # DEPENDENCYPART_ARC
(23,18),-0.947427 # DEPENDENCYPART_ARC
(23,19),1.71227 # DEPENDENCYPART_ARC
(23,20),-0.211277 # DEPENDENCYPART_ARC
(23,21),-0.399391 # DEPENDENCYPART_ARC
(23,22),1.59203 # DEPENDENCYPART_ARC
(23,24),-1.03418 # DEPENDENCYPART_ARC
(23,25),-0.0916091 # DEPENDENCYPART_ARC
(23,26),-0.243424 # DEPENDENCYPART_ARC
(23,27),-0.227246 # DEPENDENCYPART_ARC
(23,28),-0.801059 # DEPENDENCYPART_ARC
(23,29),-0.383083 # DEPENDENCYPART_ARC
(23,30),-1.07194 # DEPENDENCYPART_ARC
(23,31),-0.142074 # DEPENDENCYPART_ARC
(23,32),-0.809286 # DEPENDENCYPART_ARC
(23,33),1.29066 # DEPENDENCYPART_ARC
(23,34),2.83344 # DEPENDENCYPART_ARC
(24,19),-1.02254 # DEPENDENCYPART_ARC
(24,21),-1.27001 # DEPENDENCYPART_ARC
(24,23),-0.634463 # DEPENDENCYPART_ARC
(24,25),-0.0206097 # DEPENDENCYPART_ARC
(24,26),-0.768994 # DEPENDENCYPART_ARC
(24,27),-0.346715 # DEPENDENCYPART_ARC
(24,28),-0.599791 # DEPENDENCYPART_ARC
(24,29),-0.377794 # DEPENDENCYPART_ARC
(24,30),-0.594969 # DEPENDENCYPART_ARC
(24,31),-0.637932 # DEPENDENCYPART_ARC
(24,32),-0.297824 # DEPENDENCYPART_ARC
(24,33),0.323598 # DEPENDENCYPART_ARC
(25,20),0.97514 # DEPENDENCYPART_ARC
(25,21),-1.23328 # DEPENDENCYPART_ARC
(25,22),0.330255 # DEPENDENCYPART_ARC
(25,23),0.561207 # DEPENDENCYPART_ARC
(25,24),2.70202 # DEPENDENCYPART_ARC
(25,26),-0.404104 # DEPENDENCYPART_ARC
(25,27),0.182948 # DEPENDENCYPART_ARC
(25,28),-0.562059 # DEPENDENCYPART_ARC
(25,29),-0.287255 # DEPENDENCYPART_ARC
(25,30),-0.761971 # DEPENDENCYPART_ARC
(25,31),-0.48632 # DEPENDENCYPART_ARC
(25,32),-0.552474 # DEPENDENCYPART_ARC
(26,24),0.0191707 # DEPENDENCYPART_ARC
(26,25),0.307409 # DEPENDENCYPART_ARC
(26,27),-0.406775 # DEPENDENCYPART_ARC
(26,28),-1.13724 # DEPENDENCYPART_ARC
(26,30),-0.854522 # DEPENDENCYPART_ARC
(26,31),-0.713113 # DEPENDENCYPART_ARC
(26,32),-1.14278 # DEPENDENCYPART_ARC
(27,18),-1.50785 # DEPENDENCYPART_ARC
(27,19),-0.842794 # DEPENDENCYPART_ARC
(27,20),-0.425646 # DEPENDENCYPART_ARC
(27,21),-1.65978 # DEPENDENCYPART_ARC
(27,23),0.233442 # DEPENDENCYPART_ARC
(27,24),-0.296131 # DEPENDENCYPART_ARC
(27,25),-0.401441 # DEPENDENCYPART_ARC
(27,26),2.29544 # DEPENDENCYPART_ARC
(28,19),-1.3752 # DEPENDENCYPART_ARC
(28,20),0.489118 # DEPENDENCYPART_ARC
(28,21),-1.85431 # DEPENDENCYPART_ARC
(28,22),-0.0630033 # DEPENDENCYPART_ARC
(28,23),0.0772166 # DEPENDENCYPART_ARC
(28,24),0.193332 # DEPENDENCYPART_ARC
(28,25),-0.390274 # DEPENDENCYPART_ARC
(28,26),0.228394 # DEPENDENCYPART_ARC
(28,27),3.33643 # DEPENDENCYPART_ARC
(28,29),-0.500008 # DEPENDENCYPART_ARC
(28,30),-1.38033 # DEPENDENCYPART_ARC
(28,31),-1.0646 # DEPENDENCYPART_ARC
(28,32),-0.852697 # DEPENDENCYPART_ARC
(29,15),-1.16208 # DEPENDENCYPART_ARC
(29,16),0.428203 # DEPENDENCYPART_ARC
(29,17),-1.28479 # DEPENDENCYPART_ARC
(29,18),-0.647791 # DEPENDENCYPART_ARC
(29,19),-0.714567 # DEPENDENCYPART_ARC
(29,21),-0.565441 # DEPENDENCYPART_ARC
(29,22),0.56323 # DEPENDENCYPART_ARC
(29,23),0.477968 # DEPENDENCYPART_ARC
(29,24),-0.454245 # DEPENDENCYPART_ARC
(29,25),-0.188479 # DEPENDENCYPART_ARC
(29,26),0.607639 # DEPENDENCYPART_ARC
(29,27),0.474711 # DEPENDENCYPART_ARC
(29,28),1.96215 # DEPENDENCYPART_ARC
(29,32),-1.23626 # DEPENDENCYPART_ARC
(30,16),-0.73423 # DEPENDENCYPART_ARC
(30,17),-0.819105 # DEPENDENCYPART_ARC
(30,20),-0.213208 # DEPENDENCYPART_ARC
(30,21),0.43416 # DEPENDENCYPART_ARC
(30,22),-0.126706 # DEPENDENCYPART_ARC
(30,23),0.187548 # DEPENDENCYPART_ARC
(30,24),0.312673 # DEPENDENCYPART_ARC
(30,25),1.64436 # DEPENDENCYPART_ARC
(30,26),0.445957 # DEPENDENCYPART_ARC
(30,27),1.48369 # DEPENDENCYPART_ARC
(30,28),1.55989 # DEPENDENCYPART_ARC
(30,29),3.1834 # DEPENDENCYPART_ARC
(30,31),-1.16748 # DEPENDENCYPART_ARC
(30,32),-1.25531 # DEPENDENCYPART_ARC
(31,19),-1.29229 # DEPENDENCYPART_ARC
(31,28),-0.44409 # DEPENDENCYPART_ARC
(31,29),-0.451586 # DEPENDENCYPART_ARC
(31,30),-0.20236 # DEPENDENCYPART_ARC
(31,32),-0.57555 # DEPENDENCYPART_ARC
(31,33),-0.111665 # DEPENDENCYPART_ARC
(31,34),-0.070612 # DEPENDENCYPART_ARC
(32,16),-0.59014 # DEPENDENCYPART_ARC
(32,21),-1.84736 # DEPENDENCYPART_ARC
(32,22),-0.0173934 # DEPENDENCYPART_ARC
(32,23),0.00878286 # DEPENDENCYPART_ARC
(32,24),-0.973507 # DEPENDENCYPART_ARC
(32,25),-1.27626 # DEPENDENCYPART_ARC
(32,26),-0.158325 # DEPENDENCYPART_ARC
(32,27),-0.618093 # DEPENDENCYPART_ARC
(32,28),-0.484394 # DEPENDENCYPART_ARC
(32,29),-0.272262 # DEPENDENCYPART_ARC
(32,30),-0.5108 # DEPENDENCYPART_ARC
(32,31),0.892449 # DEPENDENCYPART_ARC
(33,5),-0.00158735 # DEPENDENCYPART_ARC
(33,6),-2.80904 # DEPENDENCYPART_ARC
(33,7),0.180896 # DEPENDENCYPART_ARC
(33,9),-1.87804 # DEPENDENCYPART_ARC
(33,10),1.10033 # DEPENDENCYPART_ARC
(33,11),-1.44638 # DEPENDENCYPART_ARC
(33,12),-0.912983 # DEPENDENCYPART_ARC
(33,13),0.407932 # DEPENDENCYPART_ARC
(33,14),-0.0501373 # DEPENDENCYPART_ARC
(33,15),0.00373584 # DEPENDENCYPART_ARC
(33,16),0.848987 # DEPENDENCYPART_ARC
(33,17),0.259236 # DEPENDENCYPART_ARC
(33,18),0.790314 # DEPENDENCYPART_ARC
(33,19),-0.383979 # DEPENDENCYPART_ARC
(33,20),-0.167601 # DEPENDENCYPART_ARC
(33,21),-0.304546 # DEPENDENCYPART_ARC
(33,22),0.542049 # DEPENDENCYPART_ARC
(33,23),1.25375 # DEPENDENCYPART_ARC
(33,24),0.425866 # DEPENDENCYPART_ARC
(33,25),1.56016 # DEPENDENCYPART_ARC
(33,26),0.144706 # DEPENDENCYPART_ARC
(33,27),0.0300616 # DEPENDENCYPART_ARC
(33,28),0.641791 # DEPENDENCYPART_ARC
(33,29),0.491442 # DEPENDENCYPART_ARC
(33,30),2.72763 # DEPENDENCYPART_ARC
(33,31),3.19867 # DEPENDENCYPART_ARC
(33,32),2.28748 # DEPENDENCYPART_ARC
(33,34),1.49517 # DEPENDENCYPART_ARC
