# _root_ Sarkad önkormányzata 6,6_millió forintos támogatást kapott , amelyből 50 közhasznú munkás foglalkoztatását tudja megoldani .
#goldHeads=2,6,4,5,6,0,6,14,11,11,12,14,6,13,6,
#predictedHeads=2,6,4,5,6,0,6,14,11,11,12,14,6,13,13,
(6,14),1.25178 # DEPENDENCYPART_ARC
(6,15),1.97298 # DEPENDENCYPART_ARC
(8,10),-0.426042 # DEPENDENCYPART_ARC
(8,11),-0.388473 # DEPENDENCYPART_ARC
(8,12),-1.12524 # DEPENDENCYPART_ARC
(9,6),-1.05793 # DEPENDENCYPART_ARC
(9,7),-1.27684 # DEPENDENCYPART_ARC
(9,8),-0.670612 # DEPENDENCYPART_ARC
(9,10),-0.476761 # DEPENDENCYPART_ARC
(9,11),-0.440303 # DEPENDENCYPART_ARC
(9,12),-1.68815 # DEPENDENCYPART_ARC
(9,13),-0.354507 # DEPENDENCYPART_ARC
(9,14),-1.12617 # DEPENDENCYPART_ARC
(9,15),-0.0201535 # DEPENDENCYPART_ARC
(10,3),-0.750109 # DEPENDENCYPART_ARC
(10,4),-1.39119 # DEPENDENCYPART_ARC
(10,5),-1.63988 # DEPENDENCYPART_ARC
(10,6),-1.54811 # DEPENDENCYPART_ARC
(10,7),-0.464625 # DEPENDENCYPART_ARC
(10,8),-0.235659 # DEPENDENCYPART_ARC
(10,9),1.48631 # DEPENDENCYPART_ARC
(10,12),-1.57412 # DEPENDENCYPART_ARC
(11,1),-1.06132 # DEPENDENCYPART_ARC
(11,2),-2.76605 # DEPENDENCYPART_ARC
(11,3),-0.39444 # DEPENDENCYPART_ARC
(11,4),0.734491 # DEPENDENCYPART_ARC
(11,5),-3.69076 # DEPENDENCYPART_ARC
(11,6),-0.211946 # DEPENDENCYPART_ARC
(11,7),-0.0213099 # DEPENDENCYPART_ARC
(11,8),-1.1158 # DEPENDENCYPART_ARC
(11,9),1.71722 # DEPENDENCYPART_ARC
(11,10),3.76173 # DEPENDENCYPART_ARC
(11,12),-1.38931 # DEPENDENCYPART_ARC
(12,1),-0.621377 # DEPENDENCYPART_ARC
(12,2),-1.90081 # DEPENDENCYPART_ARC
(12,3),-0.623185 # DEPENDENCYPART_ARC
(12,4),-0.501901 # DEPENDENCYPART_ARC
(12,5),-3.08221 # DEPENDENCYPART_ARC
(12,6),-2.14904 # DEPENDENCYPART_ARC
(12,7),-0.162545 # DEPENDENCYPART_ARC
(12,8),-1.69 # DEPENDENCYPART_ARC
(12,9),0.752983 # DEPENDENCYPART_ARC
(12,10),1.77808 # DEPENDENCYPART_ARC
(12,11),4.34608 # DEPENDENCYPART_ARC
(12,13),-1.42741 # DEPENDENCYPART_ARC
(12,14),-0.690996 # DEPENDENCYPART_ARC
(12,15),-0.293686 # DEPENDENCYPART_ARC
(13,1),-0.876208 # DEPENDENCYPART_ARC
(13,2),-0.98374 # DEPENDENCYPART_ARC
(13,3),-1.64069 # DEPENDENCYPART_ARC
(13,4),-2.14445 # DEPENDENCYPART_ARC
(13,5),-0.538716 # DEPENDENCYPART_ARC
(13,6),-0.938609 # DEPENDENCYPART_ARC
(13,7),-0.160985 # DEPENDENCYPART_ARC
(13,8),0.977335 # DEPENDENCYPART_ARC
(13,9),-0.529291 # DEPENDENCYPART_ARC
(13,10),-0.755378 # DEPENDENCYPART_ARC
(13,11),1.05709 # DEPENDENCYPART_ARC
(13,12),2.12475 # DEPENDENCYPART_ARC
(13,14),3.95496 # DEPENDENCYPART_ARC
(13,15),2.21219 # DEPENDENCYPART_ARC
(14,1),-1.8289 # DEPENDENCYPART_ARC
(14,2),-1.24358 # DEPENDENCYPART_ARC
(14,3),-0.585107 # DEPENDENCYPART_ARC
(14,4),-0.583876 # DEPENDENCYPART_ARC
(14,5),1.43496 # DEPENDENCYPART_ARC
(14,6),-0.79088 # DEPENDENCYPART_ARC
(14,7),0.229553 # DEPENDENCYPART_ARC
(14,8),1.38037 # DEPENDENCYPART_ARC
(14,9),0.274334 # DEPENDENCYPART_ARC
(14,10),0.423964 # DEPENDENCYPART_ARC
(14,11),0.480994 # DEPENDENCYPART_ARC
(14,12),3.62693 # DEPENDENCYPART_ARC
(14,13),1.06063 # DEPENDENCYPART_ARC
(14,15),0.289931 # DEPENDENCYPART_ARC
