# _root_ A szponzoroknak és nekünk is szívügyünk az utánpótlás , ezért mindent elkövetünk , hogy a jövőben még több pénzt fordítsunk erre .
#goldHeads=2,4,4,6,6,10,8,6,10,0,12,10,12,12,16,20,19,19,20,12,20,10,
#predictedHeads=2,12,10,12,10,10,8,6,10,0,12,10,12,12,16,20,20,19,20,12,20,10,
(6,5),0.182474 # DEPENDENCYPART_ARC
(6,7),-0.811985 # DEPENDENCYPART_ARC
(6,8),0.248254 # DEPENDENCYPART_ARC
(6,9),0.340851 # DEPENDENCYPART_ARC
(6,10),-0.338863 # DEPENDENCYPART_ARC
(6,12),-0.84676 # DEPENDENCYPART_ARC
(6,13),-0.105129 # DEPENDENCYPART_ARC
(6,16),-2.02512 # DEPENDENCYPART_ARC
(6,17),-0.358683 # DEPENDENCYPART_ARC
(6,20),-2.05747 # DEPENDENCYPART_ARC
(6,22),1.27582 # DEPENDENCYPART_ARC
(8,1),-0.719603 # DEPENDENCYPART_ARC
(8,2),-2.25547 # DEPENDENCYPART_ARC
(8,3),-0.676182 # DEPENDENCYPART_ARC
(8,5),-0.915853 # DEPENDENCYPART_ARC
(8,6),-0.56988 # DEPENDENCYPART_ARC
(8,7),2.87112 # DEPENDENCYPART_ARC
(8,9),-0.375086 # DEPENDENCYPART_ARC
(10,2),-0.479315 # DEPENDENCYPART_ARC
(10,3),0.697512 # DEPENDENCYPART_ARC
(10,5),0.959678 # DEPENDENCYPART_ARC
(10,6),-0.157759 # DEPENDENCYPART_ARC
(10,7),0.104026 # DEPENDENCYPART_ARC
(10,8),-0.392479 # DEPENDENCYPART_ARC
(10,9),1.63872 # DEPENDENCYPART_ARC
(10,11),-1.03041 # DEPENDENCYPART_ARC
(10,12),1.60907 # DEPENDENCYPART_ARC
(10,13),0.495913 # DEPENDENCYPART_ARC
(10,14),0.807777 # DEPENDENCYPART_ARC
(10,16),-1.46613 # DEPENDENCYPART_ARC
(10,17),-0.334921 # DEPENDENCYPART_ARC
(10,18),-0.472883 # DEPENDENCYPART_ARC
(10,19),-1.29069 # DEPENDENCYPART_ARC
(10,20),0.64605 # DEPENDENCYPART_ARC
(10,21),-0.839174 # DEPENDENCYPART_ARC
(10,22),3.31576 # DEPENDENCYPART_ARC
(11,9),-0.556414 # DEPENDENCYPART_ARC
(11,10),-0.154952 # DEPENDENCYPART_ARC
(12,1),-0.837978 # DEPENDENCYPART_ARC
(12,2),0.851999 # DEPENDENCYPART_ARC
(12,3),0.403703 # DEPENDENCYPART_ARC
(12,4),0.383403 # DEPENDENCYPART_ARC
(12,5),0.779619 # DEPENDENCYPART_ARC
(12,6),-0.457602 # DEPENDENCYPART_ARC
(12,7),-0.648075 # DEPENDENCYPART_ARC
(12,8),-1.06581 # DEPENDENCYPART_ARC
(12,9),0.807094 # DEPENDENCYPART_ARC
(12,10),1.20251 # DEPENDENCYPART_ARC
(12,11),2.83159 # DEPENDENCYPART_ARC
(12,13),2.52151 # DEPENDENCYPART_ARC
(12,14),2.91112 # DEPENDENCYPART_ARC
(12,15),-0.548823 # DEPENDENCYPART_ARC
(12,16),-0.718413 # DEPENDENCYPART_ARC
(12,17),-0.062907 # DEPENDENCYPART_ARC
(12,18),-1.28984 # DEPENDENCYPART_ARC
(12,19),-1.71957 # DEPENDENCYPART_ARC
(12,20),1.96385 # DEPENDENCYPART_ARC
(12,21),-1.21191 # DEPENDENCYPART_ARC
(12,22),2.36295 # DEPENDENCYPART_ARC
(14,2),-0.977068 # DEPENDENCYPART_ARC
(14,3),-0.846162 # DEPENDENCYPART_ARC
(14,4),0.00664612 # DEPENDENCYPART_ARC
(14,5),0.240609 # DEPENDENCYPART_ARC
(14,6),-0.521069 # DEPENDENCYPART_ARC
(14,8),-0.233073 # DEPENDENCYPART_ARC
(14,9),-0.121352 # DEPENDENCYPART_ARC
(14,10),0.557292 # DEPENDENCYPART_ARC
(14,12),0.179667 # DEPENDENCYPART_ARC
(14,13),0.98172 # DEPENDENCYPART_ARC
(14,16),-1.2853 # DEPENDENCYPART_ARC
(14,17),-0.250476 # DEPENDENCYPART_ARC
(14,18),-0.463821 # DEPENDENCYPART_ARC
(14,19),-1.58889 # DEPENDENCYPART_ARC
(14,20),0.621492 # DEPENDENCYPART_ARC
(14,22),1.82894 # DEPENDENCYPART_ARC
(15,19),-1.22298 # DEPENDENCYPART_ARC
(16,11),-2.84793 # DEPENDENCYPART_ARC
(16,14),-1.7821 # DEPENDENCYPART_ARC
(16,15),2.6502 # DEPENDENCYPART_ARC
(16,17),-0.88008 # DEPENDENCYPART_ARC
(16,18),-1.1697 # DEPENDENCYPART_ARC
(16,19),-1.2655 # DEPENDENCYPART_ARC
(17,6),-2.09659 # DEPENDENCYPART_ARC
(17,8),-2.21639 # DEPENDENCYPART_ARC
(17,10),-1.02516 # DEPENDENCYPART_ARC
(17,12),-1.03872 # DEPENDENCYPART_ARC
(17,13),-0.660546 # DEPENDENCYPART_ARC
(17,14),-0.975371 # DEPENDENCYPART_ARC
(17,16),-0.467024 # DEPENDENCYPART_ARC
(17,18),-0.431191 # DEPENDENCYPART_ARC
(17,19),-0.293518 # DEPENDENCYPART_ARC
(17,20),-0.485686 # DEPENDENCYPART_ARC
(17,22),-0.537809 # DEPENDENCYPART_ARC
(18,15),-0.870756 # DEPENDENCYPART_ARC
(18,16),-1.52613 # DEPENDENCYPART_ARC
(18,17),-0.188559 # DEPENDENCYPART_ARC
(19,8),-3.35207 # DEPENDENCYPART_ARC
(19,11),-1.42553 # DEPENDENCYPART_ARC
(19,13),-0.754654 # DEPENDENCYPART_ARC
(19,14),-1.08876 # DEPENDENCYPART_ARC
(19,15),0.232298 # DEPENDENCYPART_ARC
(19,16),-2.16704 # DEPENDENCYPART_ARC
(19,17),0.951563 # DEPENDENCYPART_ARC
(19,18),2.80971 # DEPENDENCYPART_ARC
(20,2),-0.829773 # DEPENDENCYPART_ARC
(20,3),-0.617004 # DEPENDENCYPART_ARC
(20,4),-1.02403 # DEPENDENCYPART_ARC
(20,5),-1.25584 # DEPENDENCYPART_ARC
(20,6),-2.2509 # DEPENDENCYPART_ARC
(20,8),-3.04787 # DEPENDENCYPART_ARC
(20,9),-0.545121 # DEPENDENCYPART_ARC
(20,10),-0.157625 # DEPENDENCYPART_ARC
(20,11),-0.842602 # DEPENDENCYPART_ARC
(20,12),-1.16212 # DEPENDENCYPART_ARC
(20,13),-0.0824604 # DEPENDENCYPART_ARC
(20,14),-0.664472 # DEPENDENCYPART_ARC
(20,15),-1.04214 # DEPENDENCYPART_ARC
(20,16),1.45004 # DEPENDENCYPART_ARC
(20,17),1.1137 # DEPENDENCYPART_ARC
(20,18),-0.92852 # DEPENDENCYPART_ARC
(20,19),1.88699 # DEPENDENCYPART_ARC
(20,21),1.31277 # DEPENDENCYPART_ARC
(20,22),1.20857 # DEPENDENCYPART_ARC
(21,3),0.233433 # DEPENDENCYPART_ARC
(21,5),0.0146344 # DEPENDENCYPART_ARC
(21,9),0.12826 # DEPENDENCYPART_ARC
(21,10),-0.0454228 # DEPENDENCYPART_ARC
(21,11),-1.30499 # DEPENDENCYPART_ARC
(21,12),-0.538522 # DEPENDENCYPART_ARC
(21,13),0.240471 # DEPENDENCYPART_ARC
(21,14),-0.379408 # DEPENDENCYPART_ARC
(21,16),-1.27734 # DEPENDENCYPART_ARC
(21,17),-0.125688 # DEPENDENCYPART_ARC
(21,19),-1.5476 # DEPENDENCYPART_ARC
(21,20),0.232579 # DEPENDENCYPART_ARC
(21,22),0.559736 # DEPENDENCYPART_ARC
