# _root_ — Mivel a legnagyobb vetélytársunk , Turi_Tamás anyagiak hiánya miatt nem indult , elég volt biztonsági autózással teljesíteni a távot .
#goldHeads=15,15,5,5,12,12,12,9,10,12,12,15,15,15,0,17,18,15,20,18,15,
#predictedHeads=2,15,5,5,9,15,8,9,10,12,12,0,15,15,12,17,18,15,20,18,2,
(10,5),0.451557 # DEPENDENCYPART_ARC
(10,6),0.438072 # DEPENDENCYPART_ARC
(10,7),0.237748 # DEPENDENCYPART_ARC
(10,8),1.18495 # DEPENDENCYPART_ARC
(10,9),4.02462 # DEPENDENCYPART_ARC
(10,12),-0.28663 # DEPENDENCYPART_ARC
(10,13),-0.242227 # DEPENDENCYPART_ARC
(10,14),-0.734083 # DEPENDENCYPART_ARC
(10,15),-0.632182 # DEPENDENCYPART_ARC
(10,16),-0.684989 # DEPENDENCYPART_ARC
(10,17),-1.08892 # DEPENDENCYPART_ARC
(10,18),-0.605172 # DEPENDENCYPART_ARC
(10,20),-1.25035 # DEPENDENCYPART_ARC
(10,21),-0.184698 # DEPENDENCYPART_ARC
(11,1),-0.216706 # DEPENDENCYPART_ARC
(11,5),-0.870648 # DEPENDENCYPART_ARC
(11,6),-0.730212 # DEPENDENCYPART_ARC
(11,8),-0.239766 # DEPENDENCYPART_ARC
(11,9),-0.270373 # DEPENDENCYPART_ARC
(11,10),0.432277 # DEPENDENCYPART_ARC
(11,12),-0.0931942 # DEPENDENCYPART_ARC
(11,13),-0.741444 # DEPENDENCYPART_ARC
(11,15),-0.96809 # DEPENDENCYPART_ARC
(11,17),-1.47634 # DEPENDENCYPART_ARC
(11,18),-1.43455 # DEPENDENCYPART_ARC
(11,20),-1.665 # DEPENDENCYPART_ARC
(11,21),-0.520083 # DEPENDENCYPART_ARC
(12,1),0.925378 # DEPENDENCYPART_ARC
(12,2),0.486405 # DEPENDENCYPART_ARC
(12,3),-0.981267 # DEPENDENCYPART_ARC
(12,4),-0.140437 # DEPENDENCYPART_ARC
(12,5),1.01988 # DEPENDENCYPART_ARC
(12,6),0.908097 # DEPENDENCYPART_ARC
(12,7),1.60179 # DEPENDENCYPART_ARC
(12,8),1.09808 # DEPENDENCYPART_ARC
(12,9),1.61315 # DEPENDENCYPART_ARC
(12,10),2.28022 # DEPENDENCYPART_ARC
(12,11),3.05546 # DEPENDENCYPART_ARC
(12,13),1.17822 # DEPENDENCYPART_ARC
(12,14),-0.090171 # DEPENDENCYPART_ARC
(12,15),1.00558 # DEPENDENCYPART_ARC
(12,16),-0.665552 # DEPENDENCYPART_ARC
(12,17),-1.40928 # DEPENDENCYPART_ARC
(12,18),1.72177 # DEPENDENCYPART_ARC
(12,19),-1.26674 # DEPENDENCYPART_ARC
(12,20),-0.954904 # DEPENDENCYPART_ARC
(12,21),1.98345 # DEPENDENCYPART_ARC
(14,7),-1.57777 # DEPENDENCYPART_ARC
(14,8),-2.16136 # DEPENDENCYPART_ARC
(14,9),-2.17058 # DEPENDENCYPART_ARC
(14,10),-0.295528 # DEPENDENCYPART_ARC
(14,11),-0.169909 # DEPENDENCYPART_ARC
(14,12),-0.781327 # DEPENDENCYPART_ARC
(14,13),0.294441 # DEPENDENCYPART_ARC
(14,15),0.206577 # DEPENDENCYPART_ARC
(14,16),-0.709625 # DEPENDENCYPART_ARC
(14,17),-0.789929 # DEPENDENCYPART_ARC
(14,18),-0.701231 # DEPENDENCYPART_ARC
(14,20),-1.55907 # DEPENDENCYPART_ARC
(14,21),0.127378 # DEPENDENCYPART_ARC
(15,1),0.906361 # DEPENDENCYPART_ARC
(15,2),0.830397 # DEPENDENCYPART_ARC
(15,3),-1.40827 # DEPENDENCYPART_ARC
(15,4),-0.777218 # DEPENDENCYPART_ARC
(15,5),0.946482 # DEPENDENCYPART_ARC
(15,6),0.993598 # DEPENDENCYPART_ARC
(15,7),1.03933 # DEPENDENCYPART_ARC
(15,8),0.698373 # DEPENDENCYPART_ARC
(15,9),1.10311 # DEPENDENCYPART_ARC
(15,10),1.62485 # DEPENDENCYPART_ARC
(15,11),1.17003 # DEPENDENCYPART_ARC
(15,12),0.92498 # DEPENDENCYPART_ARC
(15,13),1.60906 # DEPENDENCYPART_ARC
(15,14),2.1581 # DEPENDENCYPART_ARC
(15,16),1.44035 # DEPENDENCYPART_ARC
(15,17),1.28025 # DEPENDENCYPART_ARC
(15,18),2.04428 # DEPENDENCYPART_ARC
(15,19),-0.807871 # DEPENDENCYPART_ARC
(15,20),0.931721 # DEPENDENCYPART_ARC
(15,21),1.89632 # DEPENDENCYPART_ARC
(16,10),-0.818192 # DEPENDENCYPART_ARC
(16,11),-0.84357 # DEPENDENCYPART_ARC
(16,12),-2.02497 # DEPENDENCYPART_ARC
(16,13),-0.566688 # DEPENDENCYPART_ARC
(16,14),-0.512712 # DEPENDENCYPART_ARC
(16,15),-0.61711 # DEPENDENCYPART_ARC
(16,20),-2.34937 # DEPENDENCYPART_ARC
(17,2),-1.0764 # DEPENDENCYPART_ARC
(17,3),-0.315568 # DEPENDENCYPART_ARC
(17,4),0.776824 # DEPENDENCYPART_ARC
(17,7),-1.50492 # DEPENDENCYPART_ARC
(17,10),-0.629205 # DEPENDENCYPART_ARC
(17,11),-0.549024 # DEPENDENCYPART_ARC
(17,12),-1.74125 # DEPENDENCYPART_ARC
(17,13),-0.428986 # DEPENDENCYPART_ARC
(17,14),0.691236 # DEPENDENCYPART_ARC
(17,15),-0.220567 # DEPENDENCYPART_ARC
(17,16),3.26144 # DEPENDENCYPART_ARC
(17,20),-2.16865 # DEPENDENCYPART_ARC
(18,1),0.545475 # DEPENDENCYPART_ARC
(18,2),-0.415701 # DEPENDENCYPART_ARC
(18,5),-1.6339 # DEPENDENCYPART_ARC
(18,6),0.489705 # DEPENDENCYPART_ARC
(18,7),-1.08121 # DEPENDENCYPART_ARC
(18,8),-0.93007 # DEPENDENCYPART_ARC
(18,9),-1.07856 # DEPENDENCYPART_ARC
(18,10),1.14939 # DEPENDENCYPART_ARC
(18,11),-0.0671918 # DEPENDENCYPART_ARC
(18,12),-0.923966 # DEPENDENCYPART_ARC
(18,13),0.685069 # DEPENDENCYPART_ARC
(18,14),0.332963 # DEPENDENCYPART_ARC
(18,15),-0.276306 # DEPENDENCYPART_ARC
(18,16),1.05842 # DEPENDENCYPART_ARC
(18,17),3.95194 # DEPENDENCYPART_ARC
(18,19),0.105896 # DEPENDENCYPART_ARC
(18,20),3.2869 # DEPENDENCYPART_ARC
(18,21),0.947485 # DEPENDENCYPART_ARC
(20,16),-1.58857 # DEPENDENCYPART_ARC
(20,17),-3.47909 # DEPENDENCYPART_ARC
(20,19),2.6981 # DEPENDENCYPART_ARC
(20,21),-0.874374 # DEPENDENCYPART_ARC
