# _root_ Éppen ezért a Simi_Kft.-vel szembeni kartell megalakítására hívja föl a vidéki csapatokat , a Nyíregyházát , a Pécset és a Százhalombattát .
#goldHeads=8,8,4,5,6,7,8,0,8,12,12,8,8,15,19,19,18,19,8,21,19,8,
#predictedHeads=8,8,4,5,6,7,8,0,8,12,12,8,8,15,8,8,18,19,8,21,19,8,
(7,12),-1.55774 # DEPENDENCYPART_ARC
(7,13),-0.614827 # DEPENDENCYPART_ARC
(7,15),-2.12155 # DEPENDENCYPART_ARC
(7,16),-0.733818 # DEPENDENCYPART_ARC
(7,18),-2.52305 # DEPENDENCYPART_ARC
(7,19),-0.900177 # DEPENDENCYPART_ARC
(7,22),-0.352518 # DEPENDENCYPART_ARC
(8,1),1.29324 # DEPENDENCYPART_ARC
(8,2),1.6173 # DEPENDENCYPART_ARC
(8,3),-1.3831 # DEPENDENCYPART_ARC
(8,4),1.07412 # DEPENDENCYPART_ARC
(8,5),0.109476 # DEPENDENCYPART_ARC
(8,6),2.04717 # DEPENDENCYPART_ARC
(8,7),2.8034 # DEPENDENCYPART_ARC
(8,9),2.57603 # DEPENDENCYPART_ARC
(8,10),-0.778036 # DEPENDENCYPART_ARC
(8,11),-0.483221 # DEPENDENCYPART_ARC
(8,12),2.16545 # DEPENDENCYPART_ARC
(8,13),1.28494 # DEPENDENCYPART_ARC
(8,14),-0.873839 # DEPENDENCYPART_ARC
(8,15),1.34881 # DEPENDENCYPART_ARC
(8,16),0.828887 # DEPENDENCYPART_ARC
(8,18),-0.137235 # DEPENDENCYPART_ARC
(8,19),0.507646 # DEPENDENCYPART_ARC
(8,21),-0.308795 # DEPENDENCYPART_ARC
(8,22),2.73764 # DEPENDENCYPART_ARC
(9,5),-0.29675 # DEPENDENCYPART_ARC
(9,6),-0.215513 # DEPENDENCYPART_ARC
(9,7),-0.0610147 # DEPENDENCYPART_ARC
(9,8),0.198691 # DEPENDENCYPART_ARC
(9,12),-0.16869 # DEPENDENCYPART_ARC
(9,13),-0.352321 # DEPENDENCYPART_ARC
(9,16),-0.486581 # DEPENDENCYPART_ARC
(9,22),0.439454 # DEPENDENCYPART_ARC
(10,11),0.136868 # DEPENDENCYPART_ARC
(10,13),-0.338858 # DEPENDENCYPART_ARC
(11,1),-1.83473 # DEPENDENCYPART_ARC
(11,2),-1.7483 # DEPENDENCYPART_ARC
(11,6),-2.93199 # DEPENDENCYPART_ARC
(11,9),-0.68744 # DEPENDENCYPART_ARC
(11,10),0.333478 # DEPENDENCYPART_ARC
(11,15),-2.16309 # DEPENDENCYPART_ARC
(11,19),-1.47067 # DEPENDENCYPART_ARC
(12,1),-1.13537 # DEPENDENCYPART_ARC
(12,2),-1.37014 # DEPENDENCYPART_ARC
(12,3),-1.04143 # DEPENDENCYPART_ARC
(12,4),-2.77427 # DEPENDENCYPART_ARC
(12,5),-0.43308 # DEPENDENCYPART_ARC
(12,6),-2.29927 # DEPENDENCYPART_ARC
(12,7),-4.1365 # DEPENDENCYPART_ARC
(12,8),-1.49985 # DEPENDENCYPART_ARC
(12,10),2.43712 # DEPENDENCYPART_ARC
(12,11),3.32629 # DEPENDENCYPART_ARC
(12,13),0.206368 # DEPENDENCYPART_ARC
(12,15),-0.953446 # DEPENDENCYPART_ARC
(12,16),-0.0659924 # DEPENDENCYPART_ARC
(12,18),-1.61645 # DEPENDENCYPART_ARC
(12,19),-0.678489 # DEPENDENCYPART_ARC
(12,21),-2.02311 # DEPENDENCYPART_ARC
(12,22),0.103033 # DEPENDENCYPART_ARC
(14,13),-0.559425 # DEPENDENCYPART_ARC
(14,15),-0.0614323 # DEPENDENCYPART_ARC
(14,16),-0.200307 # DEPENDENCYPART_ARC
(15,10),-0.970299 # DEPENDENCYPART_ARC
(15,12),-3.40385 # DEPENDENCYPART_ARC
(15,13),-0.982368 # DEPENDENCYPART_ARC
(15,14),2.21239 # DEPENDENCYPART_ARC
(15,16),0.0656634 # DEPENDENCYPART_ARC
(15,18),-1.10063 # DEPENDENCYPART_ARC
(15,21),-1.89063 # DEPENDENCYPART_ARC
(15,22),-0.233255 # DEPENDENCYPART_ARC
(17,16),-0.550224 # DEPENDENCYPART_ARC
(17,18),-0.132913 # DEPENDENCYPART_ARC
(17,19),-0.25296 # DEPENDENCYPART_ARC
(18,14),-0.493634 # DEPENDENCYPART_ARC
(18,15),-2.89337 # DEPENDENCYPART_ARC
(18,17),2.21195 # DEPENDENCYPART_ARC
(18,21),-2.231 # DEPENDENCYPART_ARC
(19,1),-0.964751 # DEPENDENCYPART_ARC
(19,2),-1.58947 # DEPENDENCYPART_ARC
(19,4),-0.706698 # DEPENDENCYPART_ARC
(19,6),-1.08094 # DEPENDENCYPART_ARC
(19,7),-1.3401 # DEPENDENCYPART_ARC
(19,8),-0.687094 # DEPENDENCYPART_ARC
(19,11),-1.0959 # DEPENDENCYPART_ARC
(19,12),-0.738047 # DEPENDENCYPART_ARC
(19,13),0.257498 # DEPENDENCYPART_ARC
(19,14),-1.10638 # DEPENDENCYPART_ARC
(19,15),-0.30211 # DEPENDENCYPART_ARC
(19,16),0.635814 # DEPENDENCYPART_ARC
(19,17),-0.554467 # DEPENDENCYPART_ARC
(19,18),0.271665 # DEPENDENCYPART_ARC
(19,20),-0.441838 # DEPENDENCYPART_ARC
(19,21),0.496138 # DEPENDENCYPART_ARC
(19,22),0.232993 # DEPENDENCYPART_ARC
(20,19),-0.380987 # DEPENDENCYPART_ARC
(20,21),-0.36751 # DEPENDENCYPART_ARC
(21,14),-1.86785 # DEPENDENCYPART_ARC
(21,15),-3.29102 # DEPENDENCYPART_ARC
(21,17),-0.814127 # DEPENDENCYPART_ARC
(21,18),-2.07257 # DEPENDENCYPART_ARC
(21,19),-0.279523 # DEPENDENCYPART_ARC
(21,20),2.19376 # DEPENDENCYPART_ARC
(21,22),-0.853527 # DEPENDENCYPART_ARC
