# _root_ Egyelőre az autó nem saját tulajdon , egy cseh cégtől bérlik , akik a szervizszerelőket és a programozó mérnököt is adják .
#goldHeads=4,3,4,0,6,4,4,10,10,11,4,11,21,15,21,21,19,19,21,21,11,4,
#predictedHeads=11,3,1,11,6,11,11,10,10,11,0,11,21,15,21,21,19,19,21,21,11,11,
(9,7),-0.981088 # DEPENDENCYPART_ARC
(9,8),0.35089 # DEPENDENCYPART_ARC
(9,21),-1.74916 # DEPENDENCYPART_ARC
(9,22),-0.390384 # DEPENDENCYPART_ARC
(10,1),-0.905337 # DEPENDENCYPART_ARC
(10,2),-0.360697 # DEPENDENCYPART_ARC
(10,3),-2.19306 # DEPENDENCYPART_ARC
(10,4),-0.233767 # DEPENDENCYPART_ARC
(10,6),-1.96227 # DEPENDENCYPART_ARC
(10,7),-0.0203989 # DEPENDENCYPART_ARC
(10,8),2.2546 # DEPENDENCYPART_ARC
(10,9),3.37414 # DEPENDENCYPART_ARC
(10,12),-0.586983 # DEPENDENCYPART_ARC
(10,15),-1.96051 # DEPENDENCYPART_ARC
(10,19),-2.07433 # DEPENDENCYPART_ARC
(10,21),-2.14263 # DEPENDENCYPART_ARC
(10,22),-0.0478148 # DEPENDENCYPART_ARC
(11,1),1.42913 # DEPENDENCYPART_ARC
(11,2),-1.02199 # DEPENDENCYPART_ARC
(11,3),0.227822 # DEPENDENCYPART_ARC
(11,4),0.902672 # DEPENDENCYPART_ARC
(11,6),0.35183 # DEPENDENCYPART_ARC
(11,7),1.10807 # DEPENDENCYPART_ARC
(11,8),-0.185675 # DEPENDENCYPART_ARC
(11,9),0.0812895 # DEPENDENCYPART_ARC
(11,10),2.57277 # DEPENDENCYPART_ARC
(11,12),1.70406 # DEPENDENCYPART_ARC
(11,13),-1.02242 # DEPENDENCYPART_ARC
(11,14),-0.745448 # DEPENDENCYPART_ARC
(11,15),0.521907 # DEPENDENCYPART_ARC
(11,16),0.0705835 # DEPENDENCYPART_ARC
(11,17),-0.97369 # DEPENDENCYPART_ARC
(11,18),-1.53764 # DEPENDENCYPART_ARC
(11,19),-0.70639 # DEPENDENCYPART_ARC
(11,20),0.34824 # DEPENDENCYPART_ARC
(11,21),0.474629 # DEPENDENCYPART_ARC
(11,22),2.24892 # DEPENDENCYPART_ARC
(13,15),-0.339523 # DEPENDENCYPART_ARC
(13,16),-0.893656 # DEPENDENCYPART_ARC
(13,18),-0.839416 # DEPENDENCYPART_ARC
(13,19),-0.701954 # DEPENDENCYPART_ARC
(14,19),-1.70469 # DEPENDENCYPART_ARC
(15,4),-1.74373 # DEPENDENCYPART_ARC
(15,8),-1.4853 # DEPENDENCYPART_ARC
(15,11),-2.24737 # DEPENDENCYPART_ARC
(15,12),-1.19147 # DEPENDENCYPART_ARC
(15,13),0.447163 # DEPENDENCYPART_ARC
(15,14),2.70499 # DEPENDENCYPART_ARC
(15,19),-2.19089 # DEPENDENCYPART_ARC
(16,1),-0.685738 # DEPENDENCYPART_ARC
(16,3),-1.10314 # DEPENDENCYPART_ARC
(16,4),-1.16891 # DEPENDENCYPART_ARC
(16,6),-1.20951 # DEPENDENCYPART_ARC
(16,7),0.107319 # DEPENDENCYPART_ARC
(16,10),-1.3673 # DEPENDENCYPART_ARC
(16,11),-0.572125 # DEPENDENCYPART_ARC
(16,12),0.259505 # DEPENDENCYPART_ARC
(16,13),-0.741542 # DEPENDENCYPART_ARC
(16,14),-0.698438 # DEPENDENCYPART_ARC
(16,15),0.142864 # DEPENDENCYPART_ARC
(16,17),-0.495675 # DEPENDENCYPART_ARC
(16,18),-0.0832052 # DEPENDENCYPART_ARC
(16,19),0.114816 # DEPENDENCYPART_ARC
(16,20),-0.279336 # DEPENDENCYPART_ARC
(16,21),-0.0609065 # DEPENDENCYPART_ARC
(16,22),0.416779 # DEPENDENCYPART_ARC
(17,16),-0.471083 # DEPENDENCYPART_ARC
(17,18),0.00566302 # DEPENDENCYPART_ARC
(18,13),-2.82653 # DEPENDENCYPART_ARC
(18,14),-1.37907 # DEPENDENCYPART_ARC
(18,15),-1.1722 # DEPENDENCYPART_ARC
(18,16),-0.574608 # DEPENDENCYPART_ARC
(18,17),0.495389 # DEPENDENCYPART_ARC
(19,8),-0.830235 # DEPENDENCYPART_ARC
(19,9),-1.10282 # DEPENDENCYPART_ARC
(19,11),-1.60983 # DEPENDENCYPART_ARC
(19,12),-1.10556 # DEPENDENCYPART_ARC
(19,13),-1.794 # DEPENDENCYPART_ARC
(19,14),0.238491 # DEPENDENCYPART_ARC
(19,15),-2.1262 # DEPENDENCYPART_ARC
(19,16),-0.022642 # DEPENDENCYPART_ARC
(19,17),2.58311 # DEPENDENCYPART_ARC
(19,18),3.61391 # DEPENDENCYPART_ARC
(19,20),-1.12123 # DEPENDENCYPART_ARC
(20,1),-0.18227 # DEPENDENCYPART_ARC
(20,3),-1.61675 # DEPENDENCYPART_ARC
(20,4),-1.07072 # DEPENDENCYPART_ARC
(20,7),-0.722852 # DEPENDENCYPART_ARC
(20,11),-1.54106 # DEPENDENCYPART_ARC
(20,12),-0.450479 # DEPENDENCYPART_ARC
(20,15),-1.40299 # DEPENDENCYPART_ARC
(20,16),-0.462832 # DEPENDENCYPART_ARC
(20,17),-1.18846 # DEPENDENCYPART_ARC
(20,18),-0.596617 # DEPENDENCYPART_ARC
(20,19),-0.789013 # DEPENDENCYPART_ARC
(20,21),-0.277026 # DEPENDENCYPART_ARC
(20,22),-0.393427 # DEPENDENCYPART_ARC
(21,1),0.394123 # DEPENDENCYPART_ARC
(21,2),-1.04013 # DEPENDENCYPART_ARC
(21,3),-1.25703 # DEPENDENCYPART_ARC
(21,4),-0.121032 # DEPENDENCYPART_ARC
(21,6),-1.21407 # DEPENDENCYPART_ARC
(21,7),0.126085 # DEPENDENCYPART_ARC
(21,9),-1.39953 # DEPENDENCYPART_ARC
(21,10),-0.136578 # DEPENDENCYPART_ARC
(21,11),-0.841493 # DEPENDENCYPART_ARC
(21,12),0.115344 # DEPENDENCYPART_ARC
(21,13),1.55318 # DEPENDENCYPART_ARC
(21,14),-0.599383 # DEPENDENCYPART_ARC
(21,15),2.02101 # DEPENDENCYPART_ARC
(21,16),0.968254 # DEPENDENCYPART_ARC
(21,17),-0.483064 # DEPENDENCYPART_ARC
(21,18),-0.000139232 # DEPENDENCYPART_ARC
(21,19),2.58256 # DEPENDENCYPART_ARC
(21,20),2.82175 # DEPENDENCYPART_ARC
(21,22),1.65896 # DEPENDENCYPART_ARC
