# _root_ Még inkább meglepődtek a vizsgálódók azon , hogy az idősek és fiatalok értékválasztása alig különbözött : az 55 éven felüliek 97 százaléka , a 15-24 évesek 93 százaléka említette első helyen a családot .
#goldHeads=2,3,0,5,3,3,3,3,10,13,13,13,15,15,6,3,20,19,20,22,22,29,29,26,26,28,28,29,3,31,29,33,29,3,
#predictedHeads=3,3,0,5,3,3,3,3,10,15,13,13,15,15,6,15,19,19,20,22,22,15,29,26,26,28,28,29,15,31,29,33,29,3,
(3,28),-1.31994 # DEPENDENCYPART_ARC
(3,29),0.425455 # DEPENDENCYPART_ARC
(3,31),-1.05696 # DEPENDENCYPART_ARC
(3,33),-1.57539 # DEPENDENCYPART_ARC
(3,34),3.58269 # DEPENDENCYPART_ARC
(4,5),0.138153 # DEPENDENCYPART_ARC
(5,1),-1.01539 # DEPENDENCYPART_ARC
(5,2),-0.897565 # DEPENDENCYPART_ARC
(5,3),-1.07794 # DEPENDENCYPART_ARC
(5,4),1.81219 # DEPENDENCYPART_ARC
(5,7),-0.191764 # DEPENDENCYPART_ARC
(5,15),-0.13847 # DEPENDENCYPART_ARC
(5,34),0.860989 # DEPENDENCYPART_ARC
(6,1),-0.351938 # DEPENDENCYPART_ARC
(6,2),-0.288569 # DEPENDENCYPART_ARC
(6,3),0.739689 # DEPENDENCYPART_ARC
(6,5),-0.299116 # DEPENDENCYPART_ARC
(6,7),0.273532 # DEPENDENCYPART_ARC
(6,8),-0.246918 # DEPENDENCYPART_ARC
(6,10),-0.161935 # DEPENDENCYPART_ARC
(6,11),-0.420757 # DEPENDENCYPART_ARC
(6,12),-0.381802 # DEPENDENCYPART_ARC
(6,13),-0.321553 # DEPENDENCYPART_ARC
(6,14),0.0505231 # DEPENDENCYPART_ARC
(6,15),0.860556 # DEPENDENCYPART_ARC
(6,16),0.473934 # DEPENDENCYPART_ARC
(6,18),-0.347077 # DEPENDENCYPART_ARC
(6,19),-0.852066 # DEPENDENCYPART_ARC
(6,20),-0.488347 # DEPENDENCYPART_ARC
(6,21),-0.378882 # DEPENDENCYPART_ARC
(6,22),-0.612107 # DEPENDENCYPART_ARC
(6,23),-0.214217 # DEPENDENCYPART_ARC
(6,25),-0.323684 # DEPENDENCYPART_ARC
(6,26),-0.942116 # DEPENDENCYPART_ARC
(6,27),-0.361049 # DEPENDENCYPART_ARC
(6,28),-0.811259 # DEPENDENCYPART_ARC
(6,29),0.51955 # DEPENDENCYPART_ARC
(6,31),-1.28145 # DEPENDENCYPART_ARC
(6,33),-1.28646 # DEPENDENCYPART_ARC
(6,34),0.392108 # DEPENDENCYPART_ARC
(8,1),0.372461 # DEPENDENCYPART_ARC
(8,2),0.282754 # DEPENDENCYPART_ARC
(8,3),-0.58371 # DEPENDENCYPART_ARC
(8,5),0.51563 # DEPENDENCYPART_ARC
(8,6),-0.0650374 # DEPENDENCYPART_ARC
(8,7),1.02179 # DEPENDENCYPART_ARC
(8,10),-0.390654 # DEPENDENCYPART_ARC
(8,11),0.000556593 # DEPENDENCYPART_ARC
(8,12),-0.796315 # DEPENDENCYPART_ARC
(8,13),-1.07782 # DEPENDENCYPART_ARC
(8,14),-0.130756 # DEPENDENCYPART_ARC
(8,15),0.55532 # DEPENDENCYPART_ARC
(8,16),0.813344 # DEPENDENCYPART_ARC
(8,20),-0.964928 # DEPENDENCYPART_ARC
(8,23),-0.0444541 # DEPENDENCYPART_ARC
(8,29),0.0938752 # DEPENDENCYPART_ARC
(8,34),2.29908 # DEPENDENCYPART_ARC
(9,10),0.17467 # DEPENDENCYPART_ARC
(10,4),0.18429 # DEPENDENCYPART_ARC
(10,6),-1.34034 # DEPENDENCYPART_ARC
(10,8),-0.934737 # DEPENDENCYPART_ARC
(10,9),2.04178 # DEPENDENCYPART_ARC
(11,1),-0.724454 # DEPENDENCYPART_ARC
(11,2),-0.801169 # DEPENDENCYPART_ARC
(11,3),-0.187617 # DEPENDENCYPART_ARC
(11,5),-1.0846 # DEPENDENCYPART_ARC
(11,6),-1.66012 # DEPENDENCYPART_ARC
(11,7),0.531305 # DEPENDENCYPART_ARC
(11,8),-0.496702 # DEPENDENCYPART_ARC
(11,9),-0.439014 # DEPENDENCYPART_ARC
(11,10),-0.0305315 # DEPENDENCYPART_ARC
(11,12),-0.135347 # DEPENDENCYPART_ARC
(11,13),-0.529749 # DEPENDENCYPART_ARC
(11,15),0.447368 # DEPENDENCYPART_ARC
(11,16),0.449333 # DEPENDENCYPART_ARC
(11,23),-0.0128353 # DEPENDENCYPART_ARC
(11,29),-0.916967 # DEPENDENCYPART_ARC
(11,34),-0.0543823 # DEPENDENCYPART_ARC
(12,4),-0.620853 # DEPENDENCYPART_ARC
(12,5),-2.16689 # DEPENDENCYPART_ARC
(12,6),-1.8441 # DEPENDENCYPART_ARC
(12,7),-0.180961 # DEPENDENCYPART_ARC
(12,9),0.863379 # DEPENDENCYPART_ARC
(12,10),0.138647 # DEPENDENCYPART_ARC
(12,11),1.47822 # DEPENDENCYPART_ARC
(12,13),-1.12399 # DEPENDENCYPART_ARC
(13,4),-1.18408 # DEPENDENCYPART_ARC
(13,5),-1.62611 # DEPENDENCYPART_ARC
(13,6),-2.03854 # DEPENDENCYPART_ARC
(13,7),0.174802 # DEPENDENCYPART_ARC
(13,8),-0.564735 # DEPENDENCYPART_ARC
(13,9),0.0786333 # DEPENDENCYPART_ARC
(13,10),0.0524508 # DEPENDENCYPART_ARC
(13,11),1.61361 # DEPENDENCYPART_ARC
(13,12),4.24764 # DEPENDENCYPART_ARC
(13,14),-0.572564 # DEPENDENCYPART_ARC
(14,3),-0.856642 # DEPENDENCYPART_ARC
(14,7),-0.717835 # DEPENDENCYPART_ARC
(14,8),-0.926829 # DEPENDENCYPART_ARC
(14,10),-0.487495 # DEPENDENCYPART_ARC
(14,11),-0.281064 # DEPENDENCYPART_ARC
(14,12),-0.414302 # DEPENDENCYPART_ARC
(14,13),0.202221 # DEPENDENCYPART_ARC
(14,16),-0.457191 # DEPENDENCYPART_ARC
(14,19),-1.30672 # DEPENDENCYPART_ARC
(14,22),-1.38379 # DEPENDENCYPART_ARC
(14,29),-1.46539 # DEPENDENCYPART_ARC
(15,1),0.353997 # DEPENDENCYPART_ARC
(15,2),0.242252 # DEPENDENCYPART_ARC
(15,3),-0.801683 # DEPENDENCYPART_ARC
(15,4),-0.840182 # DEPENDENCYPART_ARC
(15,5),-0.130881 # DEPENDENCYPART_ARC
(15,6),-0.569746 # DEPENDENCYPART_ARC
(15,7),0.904665 # DEPENDENCYPART_ARC
(15,8),-0.156154 # DEPENDENCYPART_ARC
(15,9),-0.586229 # DEPENDENCYPART_ARC
(15,10),0.512076 # DEPENDENCYPART_ARC
(15,11),1.28628 # DEPENDENCYPART_ARC
(15,12),1.70768 # DEPENDENCYPART_ARC
(15,13),2.92791 # DEPENDENCYPART_ARC
(15,14),3.04982 # DEPENDENCYPART_ARC
(15,16),1.91834 # DEPENDENCYPART_ARC
(15,17),-0.493517 # DEPENDENCYPART_ARC
(15,18),-0.381245 # DEPENDENCYPART_ARC
(15,19),-0.269497 # DEPENDENCYPART_ARC
(15,20),-0.180156 # DEPENDENCYPART_ARC
(15,21),-0.729031 # DEPENDENCYPART_ARC
(15,22),0.723957 # DEPENDENCYPART_ARC
(15,23),0.665643 # DEPENDENCYPART_ARC
(15,25),-1.02573 # DEPENDENCYPART_ARC
(15,26),-2.01061 # DEPENDENCYPART_ARC
(15,27),-1.11457 # DEPENDENCYPART_ARC
(15,28),-0.842302 # DEPENDENCYPART_ARC
(15,29),1.02162 # DEPENDENCYPART_ARC
(15,31),-1.17038 # DEPENDENCYPART_ARC
(15,33),-1.67147 # DEPENDENCYPART_ARC
(15,34),2.87298 # DEPENDENCYPART_ARC
(17,20),-0.14838 # DEPENDENCYPART_ARC
(18,17),-0.151795 # DEPENDENCYPART_ARC
(19,4),-2.48931 # DEPENDENCYPART_ARC
(19,9),-1.27244 # DEPENDENCYPART_ARC
(19,14),-0.543151 # DEPENDENCYPART_ARC
(19,16),-0.696608 # DEPENDENCYPART_ARC
(19,17),1.65175 # DEPENDENCYPART_ARC
(19,18),3.10522 # DEPENDENCYPART_ARC
(19,22),-0.909625 # DEPENDENCYPART_ARC
(20,1),-1.0301 # DEPENDENCYPART_ARC
(20,2),-1.4357 # DEPENDENCYPART_ARC
(20,6),-1.4569 # DEPENDENCYPART_ARC
(20,12),-1.45336 # DEPENDENCYPART_ARC
(20,13),-1.48083 # DEPENDENCYPART_ARC
(20,14),-0.48179 # DEPENDENCYPART_ARC
(20,15),-1.17377 # DEPENDENCYPART_ARC
(20,16),-0.178156 # DEPENDENCYPART_ARC
(20,17),1.03065 # DEPENDENCYPART_ARC
(20,18),0.417124 # DEPENDENCYPART_ARC
(20,19),2.17377 # DEPENDENCYPART_ARC
(20,21),-0.332131 # DEPENDENCYPART_ARC
(20,22),-0.191548 # DEPENDENCYPART_ARC
(20,23),-0.178139 # DEPENDENCYPART_ARC
(20,25),-0.760223 # DEPENDENCYPART_ARC
(20,26),-1.4855 # DEPENDENCYPART_ARC
(20,27),-0.73839 # DEPENDENCYPART_ARC
(20,28),-1.15349 # DEPENDENCYPART_ARC
(20,29),-0.390124 # DEPENDENCYPART_ARC
(20,31),-0.671085 # DEPENDENCYPART_ARC
(21,17),-0.542099 # DEPENDENCYPART_ARC
(21,18),-0.514657 # DEPENDENCYPART_ARC
(21,19),-1.34498 # DEPENDENCYPART_ARC
(21,20),-0.44011 # DEPENDENCYPART_ARC
(21,26),-1.88991 # DEPENDENCYPART_ARC
(21,29),-1.00915 # DEPENDENCYPART_ARC
(21,34),-0.174585 # DEPENDENCYPART_ARC
(22,4),-3.12163 # DEPENDENCYPART_ARC
(22,9),-1.99895 # DEPENDENCYPART_ARC
(22,11),-0.259237 # DEPENDENCYPART_ARC
(22,12),-0.311128 # DEPENDENCYPART_ARC
(22,13),-2.33383 # DEPENDENCYPART_ARC
(22,14),-0.26938 # DEPENDENCYPART_ARC
(22,16),-0.598034 # DEPENDENCYPART_ARC
(22,17),-0.159867 # DEPENDENCYPART_ARC
(22,18),1.2221 # DEPENDENCYPART_ARC
(22,19),-0.307995 # DEPENDENCYPART_ARC
(22,20),1.09865 # DEPENDENCYPART_ARC
(22,21),3.18628 # DEPENDENCYPART_ARC
(22,23),0.198853 # DEPENDENCYPART_ARC
(22,25),-0.86925 # DEPENDENCYPART_ARC
(22,26),-0.473147 # DEPENDENCYPART_ARC
(22,27),-1.00425 # DEPENDENCYPART_ARC
(22,28),-0.860944 # DEPENDENCYPART_ARC
(22,29),-1.10859 # DEPENDENCYPART_ARC
(22,31),-2.14568 # DEPENDENCYPART_ARC
(22,33),-2.54668 # DEPENDENCYPART_ARC
(24,28),-0.799264 # DEPENDENCYPART_ARC
(25,24),-0.0966558 # DEPENDENCYPART_ARC
(25,27),-1.55964 # DEPENDENCYPART_ARC
(26,4),-2.98066 # DEPENDENCYPART_ARC
(26,9),-1.79319 # DEPENDENCYPART_ARC
(26,17),-0.0720597 # DEPENDENCYPART_ARC
(26,18),-0.854236 # DEPENDENCYPART_ARC
(26,19),-2.0429 # DEPENDENCYPART_ARC
(26,20),-1.38902 # DEPENDENCYPART_ARC
(26,21),-0.272031 # DEPENDENCYPART_ARC
(26,22),-2.0998 # DEPENDENCYPART_ARC
(26,23),0.127969 # DEPENDENCYPART_ARC
(26,24),2.29384 # DEPENDENCYPART_ARC
(26,25),2.06642 # DEPENDENCYPART_ARC
(26,27),-0.570175 # DEPENDENCYPART_ARC
(26,28),-0.613639 # DEPENDENCYPART_ARC
(26,31),-1.59737 # DEPENDENCYPART_ARC
(26,33),-1.82504 # DEPENDENCYPART_ARC
(27,21),-0.815275 # DEPENDENCYPART_ARC
(27,22),-1.53958 # DEPENDENCYPART_ARC
(27,24),-0.350261 # DEPENDENCYPART_ARC
(27,25),-0.325454 # DEPENDENCYPART_ARC
(27,26),-0.0426407 # DEPENDENCYPART_ARC
(27,31),-1.85454 # DEPENDENCYPART_ARC
(27,33),-2.33149 # DEPENDENCYPART_ARC
(28,4),-4.63097 # DEPENDENCYPART_ARC
(28,14),-0.545016 # DEPENDENCYPART_ARC
(28,17),-1.85254 # DEPENDENCYPART_ARC
(28,18),-0.502627 # DEPENDENCYPART_ARC
(28,19),-2.18976 # DEPENDENCYPART_ARC
(28,20),-1.62396 # DEPENDENCYPART_ARC
(28,21),-0.0424345 # DEPENDENCYPART_ARC
(28,22),-1.33536 # DEPENDENCYPART_ARC
(28,23),-0.0849854 # DEPENDENCYPART_ARC
(28,24),-0.573512 # DEPENDENCYPART_ARC
(28,25),1.02868 # DEPENDENCYPART_ARC
(28,26),2.97395 # DEPENDENCYPART_ARC
(28,27),2.80264 # DEPENDENCYPART_ARC
(28,31),-2.08046 # DEPENDENCYPART_ARC
(28,33),-2.30166 # DEPENDENCYPART_ARC
(29,1),-0.635852 # DEPENDENCYPART_ARC
(29,2),-0.494347 # DEPENDENCYPART_ARC
(29,3),-1.02581 # DEPENDENCYPART_ARC
(29,6),-2.09949 # DEPENDENCYPART_ARC
(29,7),0.584478 # DEPENDENCYPART_ARC
(29,8),0.506152 # DEPENDENCYPART_ARC
(29,9),-1.16487 # DEPENDENCYPART_ARC
(29,10),-1.66872 # DEPENDENCYPART_ARC
(29,11),0.572474 # DEPENDENCYPART_ARC
(29,12),-0.169827 # DEPENDENCYPART_ARC
(29,13),0.284336 # DEPENDENCYPART_ARC
(29,14),-0.606821 # DEPENDENCYPART_ARC
(29,15),-0.371726 # DEPENDENCYPART_ARC
(29,16),0.113198 # DEPENDENCYPART_ARC
(29,17),-0.808778 # DEPENDENCYPART_ARC
(29,18),-0.777361 # DEPENDENCYPART_ARC
(29,19),0.308829 # DEPENDENCYPART_ARC
(29,20),-0.607415 # DEPENDENCYPART_ARC
(29,21),-0.541896 # DEPENDENCYPART_ARC
(29,22),0.719106 # DEPENDENCYPART_ARC
(29,23),1.32599 # DEPENDENCYPART_ARC
(29,24),-1.09398 # DEPENDENCYPART_ARC
(29,25),0.00763789 # DEPENDENCYPART_ARC
(29,26),1.03354 # DEPENDENCYPART_ARC
(29,27),0.611811 # DEPENDENCYPART_ARC
(29,28),3.21472 # DEPENDENCYPART_ARC
(29,30),0.525383 # DEPENDENCYPART_ARC
(29,31),2.09582 # DEPENDENCYPART_ARC
(29,32),-0.577659 # DEPENDENCYPART_ARC
(29,33),2.16008 # DEPENDENCYPART_ARC
(29,34),2.00912 # DEPENDENCYPART_ARC
(30,28),-1.49202 # DEPENDENCYPART_ARC
(30,33),-2.20626 # DEPENDENCYPART_ARC
(31,17),-1.15205 # DEPENDENCYPART_ARC
(31,21),-0.367361 # DEPENDENCYPART_ARC
(31,24),-0.0509421 # DEPENDENCYPART_ARC
(31,25),0.229631 # DEPENDENCYPART_ARC
(31,26),-2.61108 # DEPENDENCYPART_ARC
(31,27),0.785854 # DEPENDENCYPART_ARC
(31,28),-2.05075 # DEPENDENCYPART_ARC
(31,30),3.62862 # DEPENDENCYPART_ARC
(31,32),-1.03767 # DEPENDENCYPART_ARC
(31,33),-0.738859 # DEPENDENCYPART_ARC
(33,24),-1.3371 # DEPENDENCYPART_ARC
(33,30),0.126735 # DEPENDENCYPART_ARC
(33,31),-1.70654 # DEPENDENCYPART_ARC
(33,32),2.79796 # DEPENDENCYPART_ARC
