# _root_ — Azt a határtalan boldogságot nem lehet leírni , amikor a bagi fiúk a második vonalba jutottak — mondja Lajtos_István , a RO-LA_Kft. egyik társtulajdonosa .
#goldHeads=19,5,5,5,8,7,19,7,7,17,13,13,17,16,16,17,2,19,0,19,19,23,25,25,19,19,
#predictedHeads=19,8,5,5,8,7,19,7,7,17,13,13,17,16,16,17,19,19,0,19,19,23,25,25,19,19,
(5,1),-0.768593 # DEPENDENCYPART_ARC
(5,2),1.14013 # DEPENDENCYPART_ARC
(5,3),2.56261 # DEPENDENCYPART_ARC
(5,4),3.61008 # DEPENDENCYPART_ARC
(5,7),-0.640423 # DEPENDENCYPART_ARC
(5,13),-1.71833 # DEPENDENCYPART_ARC
(5,26),1.04065 # DEPENDENCYPART_ARC
(6,1),-0.582043 # DEPENDENCYPART_ARC
(6,4),-0.42467 # DEPENDENCYPART_ARC
(6,5),0.216517 # DEPENDENCYPART_ARC
(6,7),0.157981 # DEPENDENCYPART_ARC
(6,8),-0.179722 # DEPENDENCYPART_ARC
(6,9),0.0267099 # DEPENDENCYPART_ARC
(6,13),-1.07527 # DEPENDENCYPART_ARC
(6,17),-0.718509 # DEPENDENCYPART_ARC
(6,19),-1.12171 # DEPENDENCYPART_ARC
(6,26),0.591812 # DEPENDENCYPART_ARC
(7,1),1.1078 # DEPENDENCYPART_ARC
(7,2),0.444697 # DEPENDENCYPART_ARC
(7,3),-1.49165 # DEPENDENCYPART_ARC
(7,4),-0.40565 # DEPENDENCYPART_ARC
(7,5),0.725537 # DEPENDENCYPART_ARC
(7,6),3.00851 # DEPENDENCYPART_ARC
(7,8),3.93007 # DEPENDENCYPART_ARC
(7,9),1.67825 # DEPENDENCYPART_ARC
(7,10),-0.0403254 # DEPENDENCYPART_ARC
(7,11),-1.27174 # DEPENDENCYPART_ARC
(7,12),-0.96699 # DEPENDENCYPART_ARC
(7,13),-0.681443 # DEPENDENCYPART_ARC
(7,14),-1.27975 # DEPENDENCYPART_ARC
(7,16),-1.39395 # DEPENDENCYPART_ARC
(7,17),1.27939 # DEPENDENCYPART_ARC
(7,18),-0.19973 # DEPENDENCYPART_ARC
(7,19),-0.465185 # DEPENDENCYPART_ARC
(7,20),-1.40581 # DEPENDENCYPART_ARC
(7,21),-0.28754 # DEPENDENCYPART_ARC
(7,23),-2.98645 # DEPENDENCYPART_ARC
(7,25),-2.15758 # DEPENDENCYPART_ARC
(7,26),2.17961 # DEPENDENCYPART_ARC
(8,1),0.0346297 # DEPENDENCYPART_ARC
(8,2),1.452 # DEPENDENCYPART_ARC
(8,3),-1.15649 # DEPENDENCYPART_ARC
(8,4),0.194132 # DEPENDENCYPART_ARC
(8,5),2.68775 # DEPENDENCYPART_ARC
(8,6),1.32916 # DEPENDENCYPART_ARC
(8,7),1.25977 # DEPENDENCYPART_ARC
(8,9),0.825538 # DEPENDENCYPART_ARC
(8,10),-0.156929 # DEPENDENCYPART_ARC
(8,11),-0.565584 # DEPENDENCYPART_ARC
(8,12),0.0589982 # DEPENDENCYPART_ARC
(8,13),-1.14557 # DEPENDENCYPART_ARC
(8,14),-0.654796 # DEPENDENCYPART_ARC
(8,16),-0.909512 # DEPENDENCYPART_ARC
(8,17),0.793668 # DEPENDENCYPART_ARC
(8,18),-0.59056 # DEPENDENCYPART_ARC
(8,19),-0.667381 # DEPENDENCYPART_ARC
(8,21),-0.375626 # DEPENDENCYPART_ARC
(8,23),-3.90628 # DEPENDENCYPART_ARC
(8,25),-2.32469 # DEPENDENCYPART_ARC
(8,26),1.90789 # DEPENDENCYPART_ARC
(10,5),-0.794684 # DEPENDENCYPART_ARC
(10,9),0.111613 # DEPENDENCYPART_ARC
(10,13),0.0808326 # DEPENDENCYPART_ARC
(10,16),-0.523579 # DEPENDENCYPART_ARC
(10,17),0.271313 # DEPENDENCYPART_ARC
(10,18),0.204794 # DEPENDENCYPART_ARC
(10,19),-0.338136 # DEPENDENCYPART_ARC
(10,21),-0.223128 # DEPENDENCYPART_ARC
(10,25),-1.33981 # DEPENDENCYPART_ARC
(10,26),0.785521 # DEPENDENCYPART_ARC
(11,12),-0.00602351 # DEPENDENCYPART_ARC
(11,16),-1.39506 # DEPENDENCYPART_ARC
(12,2),-2.5988 # DEPENDENCYPART_ARC
(12,5),-2.58351 # DEPENDENCYPART_ARC
(12,7),-2.16763 # DEPENDENCYPART_ARC
(12,8),-1.2988 # DEPENDENCYPART_ARC
(12,9),-0.891484 # DEPENDENCYPART_ARC
(12,10),-0.684488 # DEPENDENCYPART_ARC
(12,11),0.491439 # DEPENDENCYPART_ARC
(13,1),-1.9842 # DEPENDENCYPART_ARC
(13,2),-3.21093 # DEPENDENCYPART_ARC
(13,3),-0.767364 # DEPENDENCYPART_ARC
(13,4),-0.427704 # DEPENDENCYPART_ARC
(13,5),-4.18074 # DEPENDENCYPART_ARC
(13,6),-0.88888 # DEPENDENCYPART_ARC
(13,7),-2.33586 # DEPENDENCYPART_ARC
(13,8),0.292586 # DEPENDENCYPART_ARC
(13,9),-0.390913 # DEPENDENCYPART_ARC
(13,10),-0.38051 # DEPENDENCYPART_ARC
(13,11),2.60727 # DEPENDENCYPART_ARC
(13,12),3.54839 # DEPENDENCYPART_ARC
(13,14),-0.802903 # DEPENDENCYPART_ARC
(13,16),-0.849394 # DEPENDENCYPART_ARC
(13,17),-0.453089 # DEPENDENCYPART_ARC
(13,18),0.144201 # DEPENDENCYPART_ARC
(13,19),-0.692849 # DEPENDENCYPART_ARC
(13,20),-1.07434 # DEPENDENCYPART_ARC
(13,21),0.367879 # DEPENDENCYPART_ARC
(13,23),-1.44514 # DEPENDENCYPART_ARC
(13,26),1.03544 # DEPENDENCYPART_ARC
(14,15),0.188808 # DEPENDENCYPART_ARC
(15,13),-1.45451 # DEPENDENCYPART_ARC
(15,14),-0.00956204 # DEPENDENCYPART_ARC
(15,19),-0.94351 # DEPENDENCYPART_ARC
(16,2),-2.39252 # DEPENDENCYPART_ARC
(16,6),-0.505236 # DEPENDENCYPART_ARC
(16,7),-2.72268 # DEPENDENCYPART_ARC
(16,8),-0.171728 # DEPENDENCYPART_ARC
(16,9),-0.875847 # DEPENDENCYPART_ARC
(16,10),-0.520348 # DEPENDENCYPART_ARC
(16,11),-0.118202 # DEPENDENCYPART_ARC
(16,12),0.0486458 # DEPENDENCYPART_ARC
(16,13),-1.9776 # DEPENDENCYPART_ARC
(16,14),1.82571 # DEPENDENCYPART_ARC
(16,15),2.77964 # DEPENDENCYPART_ARC
(16,18),-0.6244 # DEPENDENCYPART_ARC
(16,19),-0.71483 # DEPENDENCYPART_ARC
(16,20),-1.49247 # DEPENDENCYPART_ARC
(16,23),-2.01013 # DEPENDENCYPART_ARC
(17,1),0.181223 # DEPENDENCYPART_ARC
(17,2),0.193108 # DEPENDENCYPART_ARC
(17,3),-0.8758 # DEPENDENCYPART_ARC
(17,4),-1.23112 # DEPENDENCYPART_ARC
(17,5),0.166368 # DEPENDENCYPART_ARC
(17,6),0.284967 # DEPENDENCYPART_ARC
(17,7),0.658222 # DEPENDENCYPART_ARC
(17,8),0.871911 # DEPENDENCYPART_ARC
(17,9),0.706633 # DEPENDENCYPART_ARC
(17,10),2.45187 # DEPENDENCYPART_ARC
(17,11),-0.194602 # DEPENDENCYPART_ARC
(17,12),0.0126668 # DEPENDENCYPART_ARC
(17,13),2.86088 # DEPENDENCYPART_ARC
(17,14),0.0731224 # DEPENDENCYPART_ARC
(17,15),0.540591 # DEPENDENCYPART_ARC
(17,16),2.77976 # DEPENDENCYPART_ARC
(17,18),0.707576 # DEPENDENCYPART_ARC
(17,19),1.50684 # DEPENDENCYPART_ARC
(17,20),-0.302562 # DEPENDENCYPART_ARC
(17,21),0.834113 # DEPENDENCYPART_ARC
(17,22),-0.565948 # DEPENDENCYPART_ARC
(17,23),-2.39057 # DEPENDENCYPART_ARC
(17,24),-1.74832 # DEPENDENCYPART_ARC
(17,25),-1.24604 # DEPENDENCYPART_ARC
(17,26),2.19631 # DEPENDENCYPART_ARC
(19,1),3.09661 # DEPENDENCYPART_ARC
(19,2),-0.158826 # DEPENDENCYPART_ARC
(19,3),-1.25776 # DEPENDENCYPART_ARC
(19,4),-0.518379 # DEPENDENCYPART_ARC
(19,5),0.441405 # DEPENDENCYPART_ARC
(19,6),-0.29354 # DEPENDENCYPART_ARC
(19,7),2.73246 # DEPENDENCYPART_ARC
(19,8),1.90732 # DEPENDENCYPART_ARC
(19,9),1.6522 # DEPENDENCYPART_ARC
(19,10),1.11493 # DEPENDENCYPART_ARC
(19,11),-0.911308 # DEPENDENCYPART_ARC
(19,12),-0.0448774 # DEPENDENCYPART_ARC
(19,13),0.796922 # DEPENDENCYPART_ARC
(19,14),-0.8781 # DEPENDENCYPART_ARC
(19,15),-0.113683 # DEPENDENCYPART_ARC
(19,16),1.06398 # DEPENDENCYPART_ARC
(19,17),2.47642 # DEPENDENCYPART_ARC
(19,18),2.45943 # DEPENDENCYPART_ARC
(19,20),3.40618 # DEPENDENCYPART_ARC
(19,21),2.43433 # DEPENDENCYPART_ARC
(19,22),-0.26547 # DEPENDENCYPART_ARC
(19,23),0.654951 # DEPENDENCYPART_ARC
(19,24),-0.0323592 # DEPENDENCYPART_ARC
(19,25),1.19499 # DEPENDENCYPART_ARC
(19,26),3.83522 # DEPENDENCYPART_ARC
(20,14),-0.799938 # DEPENDENCYPART_ARC
(20,15),-1.36246 # DEPENDENCYPART_ARC
(20,17),-1.21066 # DEPENDENCYPART_ARC
(20,18),-1.07517 # DEPENDENCYPART_ARC
(20,21),0.189785 # DEPENDENCYPART_ARC
(20,23),-0.830038 # DEPENDENCYPART_ARC
(20,24),-1.67329 # DEPENDENCYPART_ARC
(20,25),-0.980094 # DEPENDENCYPART_ARC
(20,26),0.466151 # DEPENDENCYPART_ARC
(22,21),-0.551348 # DEPENDENCYPART_ARC
(22,23),-0.0378218 # DEPENDENCYPART_ARC
(22,25),-1.16143 # DEPENDENCYPART_ARC
(23,22),2.39229 # DEPENDENCYPART_ARC
(23,24),-1.44019 # DEPENDENCYPART_ARC
(23,25),-0.464138 # DEPENDENCYPART_ARC
(24,25),-0.151439 # DEPENDENCYPART_ARC
(25,14),-1.64718 # DEPENDENCYPART_ARC
(25,15),-0.608535 # DEPENDENCYPART_ARC
(25,17),-1.85121 # DEPENDENCYPART_ARC
(25,18),-0.645014 # DEPENDENCYPART_ARC
(25,20),0.848993 # DEPENDENCYPART_ARC
(25,21),0.211783 # DEPENDENCYPART_ARC
(25,22),0.261166 # DEPENDENCYPART_ARC
(25,23),2.65951 # DEPENDENCYPART_ARC
(25,24),2.82446 # DEPENDENCYPART_ARC
