# _root_ Nagy_Lajos , a kisgazdapárt helyi vezetője azt szeretné elérni , hogy a gázvagyonért kapott 45_millió forint felhasználását ellenőrizhessék .
#goldHeads=8,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
#predictedHeads=6,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
(18,5),-1.58828 # DEPENDENCYPART_ARC
(18,6),-0.945619 # DEPENDENCYPART_ARC
(18,7),-0.440394 # DEPENDENCYPART_ARC
(18,8),0.405326 # DEPENDENCYPART_ARC
(18,9),-0.672487 # DEPENDENCYPART_ARC
(18,10),0.236588 # DEPENDENCYPART_ARC
(18,11),-0.331385 # DEPENDENCYPART_ARC
(18,12),-0.76316 # DEPENDENCYPART_ARC
(18,13),0.521445 # DEPENDENCYPART_ARC
(18,14),-0.163311 # DEPENDENCYPART_ARC
(18,15),0.0231184 # DEPENDENCYPART_ARC
(18,16),0.769182 # DEPENDENCYPART_ARC
(18,17),3.75473 # DEPENDENCYPART_ARC
(18,19),1.30015 # DEPENDENCYPART_ARC
