# _root_ Elismerte ugyanakkor , hogy kevés léket vágtak az őstó jégfelületén , de — hangsúlyozta — az egyesület álláspontja szerint nem ez volt a halpusztulás oka .
#goldHeads=12,1,1,1,6,7,1,9,10,7,12,0,14,12,14,17,18,19,22,22,22,14,24,25,22,12,
#predictedHeads=12,1,1,1,6,7,12,9,10,7,12,0,14,12,14,17,18,19,22,22,22,14,24,25,22,14,
(6,9),-1.67845 # DEPENDENCYPART_ARC
(6,10),-1.89039 # DEPENDENCYPART_ARC
(6,19),-1.22658 # DEPENDENCYPART_ARC
(7,1),-0.312086 # DEPENDENCYPART_ARC
(7,2),0.936956 # DEPENDENCYPART_ARC
(7,3),0.892016 # DEPENDENCYPART_ARC
(7,4),0.0792277 # DEPENDENCYPART_ARC
(7,5),0.38068 # DEPENDENCYPART_ARC
(7,6),2.73802 # DEPENDENCYPART_ARC
(7,8),-0.024602 # DEPENDENCYPART_ARC
(7,9),1.11207 # DEPENDENCYPART_ARC
(7,10),3.31822 # DEPENDENCYPART_ARC
(7,11),1.55996 # DEPENDENCYPART_ARC
(7,12),1.12108 # DEPENDENCYPART_ARC
(7,13),0.327708 # DEPENDENCYPART_ARC
(7,14),0.518815 # DEPENDENCYPART_ARC
(7,15),0.0818491 # DEPENDENCYPART_ARC
(7,17),-2.31966 # DEPENDENCYPART_ARC
(7,18),-1.94517 # DEPENDENCYPART_ARC
(7,19),-1.11391 # DEPENDENCYPART_ARC
(7,20),-0.0334228 # DEPENDENCYPART_ARC
(7,21),-1.59599 # DEPENDENCYPART_ARC
(7,22),0.850677 # DEPENDENCYPART_ARC
(7,24),-2.90261 # DEPENDENCYPART_ARC
(7,25),-1.45213 # DEPENDENCYPART_ARC
(7,26),2.7481 # DEPENDENCYPART_ARC
(9,5),-1.04564 # DEPENDENCYPART_ARC
(9,7),-0.543737 # DEPENDENCYPART_ARC
(9,8),2.73713 # DEPENDENCYPART_ARC
(10,1),-2.34383 # DEPENDENCYPART_ARC
(10,2),-1.25958 # DEPENDENCYPART_ARC
(10,3),-1.18085 # DEPENDENCYPART_ARC
(10,4),-1.37205 # DEPENDENCYPART_ARC
(10,5),-0.209866 # DEPENDENCYPART_ARC
(10,6),-3.78923 # DEPENDENCYPART_ARC
(10,7),-2.03545 # DEPENDENCYPART_ARC
(10,8),1.12468 # DEPENDENCYPART_ARC
(10,9),3.83412 # DEPENDENCYPART_ARC
(10,11),-0.413145 # DEPENDENCYPART_ARC
(10,12),-1.20607 # DEPENDENCYPART_ARC
(10,13),-0.568339 # DEPENDENCYPART_ARC
(10,14),-1.25853 # DEPENDENCYPART_ARC
(10,19),-1.11199 # DEPENDENCYPART_ARC
(10,22),-1.34985 # DEPENDENCYPART_ARC
(12,1),1.95523 # DEPENDENCYPART_ARC
(12,2),-0.479204 # DEPENDENCYPART_ARC
(12,3),1.32141 # DEPENDENCYPART_ARC
(12,4),1.2515 # DEPENDENCYPART_ARC
(12,5),0.306925 # DEPENDENCYPART_ARC
(12,6),-0.566677 # DEPENDENCYPART_ARC
(12,7),1.9334 # DEPENDENCYPART_ARC
(12,8),0.0676898 # DEPENDENCYPART_ARC
(12,9),0.393589 # DEPENDENCYPART_ARC
(12,10),-0.133989 # DEPENDENCYPART_ARC
(12,11),2.01902 # DEPENDENCYPART_ARC
(12,13),1.09643 # DEPENDENCYPART_ARC
(12,14),1.80762 # DEPENDENCYPART_ARC
(12,15),0.986794 # DEPENDENCYPART_ARC
(12,17),-1.00995 # DEPENDENCYPART_ARC
(12,18),-1.01839 # DEPENDENCYPART_ARC
(12,19),-0.105474 # DEPENDENCYPART_ARC
(12,20),-0.141734 # DEPENDENCYPART_ARC
(12,21),-0.399481 # DEPENDENCYPART_ARC
(12,22),1.14837 # DEPENDENCYPART_ARC
(12,24),-1.41861 # DEPENDENCYPART_ARC
(12,25),-1.47853 # DEPENDENCYPART_ARC
(12,26),3.58031 # DEPENDENCYPART_ARC
(14,1),0.400242 # DEPENDENCYPART_ARC
(14,2),0.0684886 # DEPENDENCYPART_ARC
(14,3),0.71851 # DEPENDENCYPART_ARC
(14,4),0.479435 # DEPENDENCYPART_ARC
(14,5),-0.622914 # DEPENDENCYPART_ARC
(14,6),1.16563 # DEPENDENCYPART_ARC
(14,7),0.355194 # DEPENDENCYPART_ARC
(14,8),-0.537475 # DEPENDENCYPART_ARC
(14,9),0.846421 # DEPENDENCYPART_ARC
(14,10),1.0255 # DEPENDENCYPART_ARC
(14,11),1.51101 # DEPENDENCYPART_ARC
(14,12),1.78146 # DEPENDENCYPART_ARC
(14,13),1.84309 # DEPENDENCYPART_ARC
(14,15),1.76069 # DEPENDENCYPART_ARC
(14,16),-0.381138 # DEPENDENCYPART_ARC
(14,17),-0.0869589 # DEPENDENCYPART_ARC
(14,18),0.120637 # DEPENDENCYPART_ARC
(14,19),0.607776 # DEPENDENCYPART_ARC
(14,20),0.710885 # DEPENDENCYPART_ARC
(14,21),-1.37275 # DEPENDENCYPART_ARC
(14,22),1.95676 # DEPENDENCYPART_ARC
(14,24),-1.64678 # DEPENDENCYPART_ARC
(14,25),-0.727301 # DEPENDENCYPART_ARC
(14,26),3.72265 # DEPENDENCYPART_ARC
(16,15),-0.247206 # DEPENDENCYPART_ARC
(17,8),-1.05677 # DEPENDENCYPART_ARC
(17,16),2.82039 # DEPENDENCYPART_ARC
(18,9),0.0242842 # DEPENDENCYPART_ARC
(18,10),-4.59116 # DEPENDENCYPART_ARC
(18,11),-1.0809 # DEPENDENCYPART_ARC
(18,12),-0.778082 # DEPENDENCYPART_ARC
(18,13),-1.13854 # DEPENDENCYPART_ARC
(18,14),-1.07119 # DEPENDENCYPART_ARC
(18,15),-0.198594 # DEPENDENCYPART_ARC
(18,16),0.671755 # DEPENDENCYPART_ARC
(18,17),3.59375 # DEPENDENCYPART_ARC
(18,25),-2.38158 # DEPENDENCYPART_ARC
(19,3),-0.517876 # DEPENDENCYPART_ARC
(19,6),-1.32009 # DEPENDENCYPART_ARC
(19,9),-1.57712 # DEPENDENCYPART_ARC
(19,10),-0.611402 # DEPENDENCYPART_ARC
(19,11),-0.00935083 # DEPENDENCYPART_ARC
(19,12),-0.814826 # DEPENDENCYPART_ARC
(19,13),-0.494445 # DEPENDENCYPART_ARC
(19,15),-0.0520395 # DEPENDENCYPART_ARC
(19,16),-0.418324 # DEPENDENCYPART_ARC
(19,17),0.610154 # DEPENDENCYPART_ARC
(19,18),3.7257 # DEPENDENCYPART_ARC
(19,24),-0.799796 # DEPENDENCYPART_ARC
(19,25),-1.01317 # DEPENDENCYPART_ARC
(20,6),-0.881496 # DEPENDENCYPART_ARC
(20,10),-1.12181 # DEPENDENCYPART_ARC
(20,13),-0.304275 # DEPENDENCYPART_ARC
(20,15),-0.106447 # DEPENDENCYPART_ARC
(20,17),0.203481 # DEPENDENCYPART_ARC
(20,18),0.0338699 # DEPENDENCYPART_ARC
(20,19),0.590802 # DEPENDENCYPART_ARC
(20,22),0.259857 # DEPENDENCYPART_ARC
(20,24),-0.805229 # DEPENDENCYPART_ARC
(20,25),-0.723867 # DEPENDENCYPART_ARC
(20,26),0.356533 # DEPENDENCYPART_ARC
(21,4),-0.116332 # DEPENDENCYPART_ARC
(21,7),-0.346994 # DEPENDENCYPART_ARC
(21,11),0.371052 # DEPENDENCYPART_ARC
(21,12),0.104828 # DEPENDENCYPART_ARC
(21,14),0.417148 # DEPENDENCYPART_ARC
(21,17),-0.490259 # DEPENDENCYPART_ARC
(21,18),-0.514628 # DEPENDENCYPART_ARC
(21,19),-0.24569 # DEPENDENCYPART_ARC
(21,20),0.919783 # DEPENDENCYPART_ARC
(21,22),0.385465 # DEPENDENCYPART_ARC
(21,24),-0.0204521 # DEPENDENCYPART_ARC
(21,25),-0.0563036 # DEPENDENCYPART_ARC
(21,26),0.0446997 # DEPENDENCYPART_ARC
(22,1),-0.904327 # DEPENDENCYPART_ARC
(22,2),-1.72421 # DEPENDENCYPART_ARC
(22,3),0.0759928 # DEPENDENCYPART_ARC
(22,4),-0.163887 # DEPENDENCYPART_ARC
(22,5),-1.67577 # DEPENDENCYPART_ARC
(22,6),-1.13205 # DEPENDENCYPART_ARC
(22,7),-1.00853 # DEPENDENCYPART_ARC
(22,9),-0.816542 # DEPENDENCYPART_ARC
(22,10),-0.659533 # DEPENDENCYPART_ARC
(22,11),0.251766 # DEPENDENCYPART_ARC
(22,12),0.344351 # DEPENDENCYPART_ARC
(22,13),0.138195 # DEPENDENCYPART_ARC
(22,14),-0.508208 # DEPENDENCYPART_ARC
(22,15),0.764884 # DEPENDENCYPART_ARC
(22,16),-1.0989 # DEPENDENCYPART_ARC
(22,17),0.651127 # DEPENDENCYPART_ARC
(22,18),0.712968 # DEPENDENCYPART_ARC
(22,19),1.99345 # DEPENDENCYPART_ARC
(22,20),2.03899 # DEPENDENCYPART_ARC
(22,21),1.84984 # DEPENDENCYPART_ARC
(22,23),-0.373544 # DEPENDENCYPART_ARC
(22,24),1.58313 # DEPENDENCYPART_ARC
(22,25),2.38755 # DEPENDENCYPART_ARC
(22,26),1.67656 # DEPENDENCYPART_ARC
(24,16),-1.30027 # DEPENDENCYPART_ARC
(24,20),-1.39403 # DEPENDENCYPART_ARC
(24,21),-0.975113 # DEPENDENCYPART_ARC
(24,23),2.68131 # DEPENDENCYPART_ARC
(24,25),-1.22021 # DEPENDENCYPART_ARC
(25,17),-0.890073 # DEPENDENCYPART_ARC
(25,19),-0.939038 # DEPENDENCYPART_ARC
(25,20),-0.561078 # DEPENDENCYPART_ARC
(25,21),-1.18236 # DEPENDENCYPART_ARC
(25,23),1.19871 # DEPENDENCYPART_ARC
(25,24),4.03424 # DEPENDENCYPART_ARC
