# _root_ Azért nem lettem katona sem , mert nem tudtam volna elfogadni , hogy csak egy irány van .
#goldHeads=3,3,0,3,3,3,3,9,1,9,9,9,9,17,16,17,11,3,
#predictedHeads=3,3,0,3,3,3,3,9,1,9,9,9,9,17,16,17,9,7,
(3,4),2.06316 # DEPENDENCYPART_ARC
(3,5),2.07447 # DEPENDENCYPART_ARC
(3,6),1.76704 # DEPENDENCYPART_ARC
(3,7),2.03235 # DEPENDENCYPART_ARC
(3,8),-0.0561292 # DEPENDENCYPART_ARC
(3,9),0.416876 # DEPENDENCYPART_ARC
(3,10),1.66317 # DEPENDENCYPART_ARC
(3,11),1.26192 # DEPENDENCYPART_ARC
(3,12),0.904979 # DEPENDENCYPART_ARC
(3,13),0.898274 # DEPENDENCYPART_ARC
(3,14),-0.771272 # DEPENDENCYPART_ARC
(3,15),-1.61318 # DEPENDENCYPART_ARC
(3,17),0.365198 # DEPENDENCYPART_ARC
(3,18),2.0261 # DEPENDENCYPART_ARC
(4,1),-2.4887 # DEPENDENCYPART_ARC
(4,2),-0.327079 # DEPENDENCYPART_ARC
(4,3),0.303255 # DEPENDENCYPART_ARC
(5,2),0.145087 # DEPENDENCYPART_ARC
(5,3),-0.420913 # DEPENDENCYPART_ARC
(5,4),0.390967 # DEPENDENCYPART_ARC
(5,6),-0.0887336 # DEPENDENCYPART_ARC
(5,7),-0.298135 # DEPENDENCYPART_ARC
(5,9),-0.134414 # DEPENDENCYPART_ARC
(5,11),-0.426793 # DEPENDENCYPART_ARC
(5,12),-0.320469 # DEPENDENCYPART_ARC
(5,13),-0.306133 # DEPENDENCYPART_ARC
(5,17),-1.05212 # DEPENDENCYPART_ARC
(5,18),-0.322763 # DEPENDENCYPART_ARC
(7,1),-0.159909 # DEPENDENCYPART_ARC
(7,2),0.821356 # DEPENDENCYPART_ARC
(7,3),0.168992 # DEPENDENCYPART_ARC
(7,4),1.19256 # DEPENDENCYPART_ARC
(7,5),1.09929 # DEPENDENCYPART_ARC
(7,6),1.26852 # DEPENDENCYPART_ARC
(7,8),-0.376727 # DEPENDENCYPART_ARC
(7,9),0.961493 # DEPENDENCYPART_ARC
(7,10),0.42719 # DEPENDENCYPART_ARC
(7,11),0.100026 # DEPENDENCYPART_ARC
(7,12),0.149708 # DEPENDENCYPART_ARC
(7,13),0.254868 # DEPENDENCYPART_ARC
(7,14),-0.692132 # DEPENDENCYPART_ARC
(7,17),-0.0801386 # DEPENDENCYPART_ARC
(7,18),2.69384 # DEPENDENCYPART_ARC
(8,5),-0.704128 # DEPENDENCYPART_ARC
(8,7),-0.534153 # DEPENDENCYPART_ARC
(8,17),-1.50167 # DEPENDENCYPART_ARC
(9,1),-0.265035 # DEPENDENCYPART_ARC
(9,2),0.213891 # DEPENDENCYPART_ARC
(9,3),-0.420868 # DEPENDENCYPART_ARC
(9,4),0.0895296 # DEPENDENCYPART_ARC
(9,5),1.01137 # DEPENDENCYPART_ARC
(9,6),1.26293 # DEPENDENCYPART_ARC
(9,7),0.404082 # DEPENDENCYPART_ARC
(9,8),2.99792 # DEPENDENCYPART_ARC
(9,10),4.73228 # DEPENDENCYPART_ARC
(9,11),3.27576 # DEPENDENCYPART_ARC
(9,12),2.60359 # DEPENDENCYPART_ARC
(9,13),2.82375 # DEPENDENCYPART_ARC
(9,14),0.63341 # DEPENDENCYPART_ARC
(9,15),-0.747887 # DEPENDENCYPART_ARC
(9,16),-1.34845 # DEPENDENCYPART_ARC
(9,17),1.82685 # DEPENDENCYPART_ARC
(9,18),2.38513 # DEPENDENCYPART_ARC
(10,3),-1.78414 # DEPENDENCYPART_ARC
(10,4),-1.29324 # DEPENDENCYPART_ARC
(10,6),-0.337784 # DEPENDENCYPART_ARC
(10,7),-0.691029 # DEPENDENCYPART_ARC
(10,9),0.328706 # DEPENDENCYPART_ARC
(10,11),2.19055 # DEPENDENCYPART_ARC
(10,12),0.413338 # DEPENDENCYPART_ARC
(10,13),1.34897 # DEPENDENCYPART_ARC
(10,16),-3.3218 # DEPENDENCYPART_ARC
(10,17),-0.335509 # DEPENDENCYPART_ARC
(10,18),0.648809 # DEPENDENCYPART_ARC
(11,1),0.662065 # DEPENDENCYPART_ARC
(11,2),-0.417414 # DEPENDENCYPART_ARC
(11,3),-0.420801 # DEPENDENCYPART_ARC
(11,4),-0.248034 # DEPENDENCYPART_ARC
(11,5),0.455321 # DEPENDENCYPART_ARC
(11,6),0.824115 # DEPENDENCYPART_ARC
(11,7),-0.285144 # DEPENDENCYPART_ARC
(11,8),1.09863 # DEPENDENCYPART_ARC
(11,9),1.20991 # DEPENDENCYPART_ARC
(11,10),1.3302 # DEPENDENCYPART_ARC
(11,12),0.922484 # DEPENDENCYPART_ARC
(11,13),1.1342 # DEPENDENCYPART_ARC
(11,14),-0.508923 # DEPENDENCYPART_ARC
(11,15),-0.696018 # DEPENDENCYPART_ARC
(11,16),-1.99104 # DEPENDENCYPART_ARC
(11,17),0.688879 # DEPENDENCYPART_ARC
(11,18),1.02444 # DEPENDENCYPART_ARC
(13,1),-2.05571 # DEPENDENCYPART_ARC
(13,2),-1.1544 # DEPENDENCYPART_ARC
(13,3),-0.435038 # DEPENDENCYPART_ARC
(13,4),-0.522992 # DEPENDENCYPART_ARC
(13,5),-0.670417 # DEPENDENCYPART_ARC
(13,6),-0.219908 # DEPENDENCYPART_ARC
(13,7),-0.112917 # DEPENDENCYPART_ARC
(13,8),0.0125843 # DEPENDENCYPART_ARC
(13,9),-0.274061 # DEPENDENCYPART_ARC
(13,10),-0.369582 # DEPENDENCYPART_ARC
(13,11),0.109811 # DEPENDENCYPART_ARC
(13,12),1.26998 # DEPENDENCYPART_ARC
(13,14),-0.257583 # DEPENDENCYPART_ARC
(13,15),-0.302399 # DEPENDENCYPART_ARC
(13,16),-1.19548 # DEPENDENCYPART_ARC
(13,17),0.689618 # DEPENDENCYPART_ARC
(13,18),1.51954 # DEPENDENCYPART_ARC
(14,15),0.00890048 # DEPENDENCYPART_ARC
(14,16),0.158614 # DEPENDENCYPART_ARC
(14,18),0.162861 # DEPENDENCYPART_ARC
(15,14),0.300272 # DEPENDENCYPART_ARC
(16,1),-4.38291 # DEPENDENCYPART_ARC
(16,5),-1.13864 # DEPENDENCYPART_ARC
(16,8),-0.873088 # DEPENDENCYPART_ARC
(16,11),0.243747 # DEPENDENCYPART_ARC
(16,12),-0.325221 # DEPENDENCYPART_ARC
(16,13),-0.593561 # DEPENDENCYPART_ARC
(16,14),0.801231 # DEPENDENCYPART_ARC
(16,15),2.74117 # DEPENDENCYPART_ARC
(17,1),-0.805203 # DEPENDENCYPART_ARC
(17,2),-1.50101 # DEPENDENCYPART_ARC
(17,3),-1.09234 # DEPENDENCYPART_ARC
(17,4),-0.160442 # DEPENDENCYPART_ARC
(17,5),-0.755922 # DEPENDENCYPART_ARC
(17,6),0.365067 # DEPENDENCYPART_ARC
(17,7),-0.762923 # DEPENDENCYPART_ARC
(17,8),-0.25253 # DEPENDENCYPART_ARC
(17,9),-0.353342 # DEPENDENCYPART_ARC
(17,10),0.0221537 # DEPENDENCYPART_ARC
(17,11),-0.0254255 # DEPENDENCYPART_ARC
(17,12),0.295258 # DEPENDENCYPART_ARC
(17,13),0.264016 # DEPENDENCYPART_ARC
(17,14),1.91105 # DEPENDENCYPART_ARC
(17,15),0.336626 # DEPENDENCYPART_ARC
(17,16),3.45842 # DEPENDENCYPART_ARC
(17,18),1.67616 # DEPENDENCYPART_ARC
