# _root_ A bíróságot nem annyira ez utóbbi zavarta , mint inkább a képrongálás , amelynek divatja úgy tűnik feltartóztathatatlan .
#goldHeads=2,7,7,7,6,7,0,7,7,5,12,5,5,18,18,17,18,5,7,
#predictedHeads=2,7,7,7,6,7,0,7,7,17,12,15,7,17,17,17,7,17,7,
(4,19),0.440537 # DEPENDENCYPART_ARC
(5,2),-0.775749 # DEPENDENCYPART_ARC
(5,3),0.0662861 # DEPENDENCYPART_ARC
(5,4),0.367272 # DEPENDENCYPART_ARC
(5,6),0.0301744 # DEPENDENCYPART_ARC
(5,7),0.274172 # DEPENDENCYPART_ARC
(5,8),0.540769 # DEPENDENCYPART_ARC
(5,9),-0.012483 # DEPENDENCYPART_ARC
(5,10),-0.32791 # DEPENDENCYPART_ARC
(5,12),-0.45135 # DEPENDENCYPART_ARC
(5,13),0.173312 # DEPENDENCYPART_ARC
(5,14),-0.389895 # DEPENDENCYPART_ARC
(5,15),-0.674437 # DEPENDENCYPART_ARC
(5,16),-0.0745076 # DEPENDENCYPART_ARC
(5,17),1.17164 # DEPENDENCYPART_ARC
(5,18),-0.798961 # DEPENDENCYPART_ARC
(5,19),0.586436 # DEPENDENCYPART_ARC
(6,1),-0.237846 # DEPENDENCYPART_ARC
(6,2),-3.43124 # DEPENDENCYPART_ARC
(6,3),-0.0281181 # DEPENDENCYPART_ARC
(6,4),0.359556 # DEPENDENCYPART_ARC
(6,5),2.47455 # DEPENDENCYPART_ARC
(6,8),-0.420388 # DEPENDENCYPART_ARC
(6,10),-0.74953 # DEPENDENCYPART_ARC
(6,17),-0.784645 # DEPENDENCYPART_ARC
(6,19),0.0876366 # DEPENDENCYPART_ARC
(7,1),-1.0129 # DEPENDENCYPART_ARC
(7,2),2.07348 # DEPENDENCYPART_ARC
(7,3),1.90306 # DEPENDENCYPART_ARC
(7,4),2.08656 # DEPENDENCYPART_ARC
(7,5),1.8939 # DEPENDENCYPART_ARC
(7,6),4.30409 # DEPENDENCYPART_ARC
(7,8),1.85166 # DEPENDENCYPART_ARC
(7,9),2.15006 # DEPENDENCYPART_ARC
(7,10),0.367965 # DEPENDENCYPART_ARC
(7,11),-0.86829 # DEPENDENCYPART_ARC
(7,12),-0.257466 # DEPENDENCYPART_ARC
(7,13),0.847341 # DEPENDENCYPART_ARC
(7,14),-0.928476 # DEPENDENCYPART_ARC
(7,15),-1.89159 # DEPENDENCYPART_ARC
(7,16),-0.234658 # DEPENDENCYPART_ARC
(7,17),1.24166 # DEPENDENCYPART_ARC
(7,18),-0.629607 # DEPENDENCYPART_ARC
(7,19),2.75718 # DEPENDENCYPART_ARC
(9,2),-0.834388 # DEPENDENCYPART_ARC
(9,3),-0.397655 # DEPENDENCYPART_ARC
(9,4),-0.108942 # DEPENDENCYPART_ARC
(9,5),-0.39163 # DEPENDENCYPART_ARC
(9,6),0.092555 # DEPENDENCYPART_ARC
(9,7),-0.562447 # DEPENDENCYPART_ARC
(9,8),0.994765 # DEPENDENCYPART_ARC
(9,10),-0.461276 # DEPENDENCYPART_ARC
(9,12),-0.868998 # DEPENDENCYPART_ARC
(9,13),-0.280216 # DEPENDENCYPART_ARC
(9,15),-1.32439 # DEPENDENCYPART_ARC
(9,17),-0.154536 # DEPENDENCYPART_ARC
(9,18),-0.622307 # DEPENDENCYPART_ARC
(9,19),1.61081 # DEPENDENCYPART_ARC
(10,2),-1.14562 # DEPENDENCYPART_ARC
(10,3),-0.334825 # DEPENDENCYPART_ARC
(10,4),-0.388463 # DEPENDENCYPART_ARC
(10,6),-0.817615 # DEPENDENCYPART_ARC
(10,7),-0.111351 # DEPENDENCYPART_ARC
(10,8),0.0253299 # DEPENDENCYPART_ARC
(10,9),0.119904 # DEPENDENCYPART_ARC
(10,12),-0.172134 # DEPENDENCYPART_ARC
(10,13),-0.259521 # DEPENDENCYPART_ARC
(10,15),-0.853943 # DEPENDENCYPART_ARC
(10,17),-0.675877 # DEPENDENCYPART_ARC
(10,19),-0.113765 # DEPENDENCYPART_ARC
(11,18),-0.990235 # DEPENDENCYPART_ARC
(12,3),-1.60177 # DEPENDENCYPART_ARC
(12,4),-1.79419 # DEPENDENCYPART_ARC
(12,5),-1.78004 # DEPENDENCYPART_ARC
(12,8),-0.923964 # DEPENDENCYPART_ARC
(12,9),-0.859717 # DEPENDENCYPART_ARC
(12,10),-0.695854 # DEPENDENCYPART_ARC
(12,11),2.93722 # DEPENDENCYPART_ARC
(12,13),0.000845775 # DEPENDENCYPART_ARC
(12,14),-1.36716 # DEPENDENCYPART_ARC
(12,15),-0.896095 # DEPENDENCYPART_ARC
(12,16),-0.838682 # DEPENDENCYPART_ARC
(12,17),-0.146258 # DEPENDENCYPART_ARC
(12,18),-1.62494 # DEPENDENCYPART_ARC
(14,15),-0.94953 # DEPENDENCYPART_ARC
(14,18),-1.20877 # DEPENDENCYPART_ARC
(15,5),-1.99246 # DEPENDENCYPART_ARC
(15,9),-1.16619 # DEPENDENCYPART_ARC
(15,10),-1.24566 # DEPENDENCYPART_ARC
(15,11),-0.494187 # DEPENDENCYPART_ARC
(15,12),0.301161 # DEPENDENCYPART_ARC
(15,13),-0.592879 # DEPENDENCYPART_ARC
(15,14),-0.269132 # DEPENDENCYPART_ARC
(15,16),-0.322136 # DEPENDENCYPART_ARC
(15,18),-0.974253 # DEPENDENCYPART_ARC
(16,7),-0.572548 # DEPENDENCYPART_ARC
(16,9),-0.5978 # DEPENDENCYPART_ARC
(16,12),-1.11552 # DEPENDENCYPART_ARC
(16,13),-0.602677 # DEPENDENCYPART_ARC
(16,15),0.210767 # DEPENDENCYPART_ARC
(16,18),-0.427134 # DEPENDENCYPART_ARC
(16,19),-0.630789 # DEPENDENCYPART_ARC
(17,2),-1.67932 # DEPENDENCYPART_ARC
(17,3),-0.98702 # DEPENDENCYPART_ARC
(17,4),-0.809573 # DEPENDENCYPART_ARC
(17,5),-1.5164 # DEPENDENCYPART_ARC
(17,6),-0.488387 # DEPENDENCYPART_ARC
(17,7),-0.981448 # DEPENDENCYPART_ARC
(17,8),0.545976 # DEPENDENCYPART_ARC
(17,9),0.207337 # DEPENDENCYPART_ARC
(17,10),0.770828 # DEPENDENCYPART_ARC
(17,11),-1.43921 # DEPENDENCYPART_ARC
(17,12),0.260312 # DEPENDENCYPART_ARC
(17,13),0.747054 # DEPENDENCYPART_ARC
(17,14),2.25137 # DEPENDENCYPART_ARC
(17,15),2.34425 # DEPENDENCYPART_ARC
(17,16),2.65169 # DEPENDENCYPART_ARC
(17,18),2.26458 # DEPENDENCYPART_ARC
(17,19),2.186 # DEPENDENCYPART_ARC
(18,2),-1.73362 # DEPENDENCYPART_ARC
(18,4),-0.730975 # DEPENDENCYPART_ARC
(18,5),-1.95143 # DEPENDENCYPART_ARC
(18,7),-1.42197 # DEPENDENCYPART_ARC
(18,8),-0.628773 # DEPENDENCYPART_ARC
(18,9),-0.939747 # DEPENDENCYPART_ARC
(18,10),-0.692994 # DEPENDENCYPART_ARC
(18,11),-1.16831 # DEPENDENCYPART_ARC
(18,12),-1.69581 # DEPENDENCYPART_ARC
(18,13),-0.430982 # DEPENDENCYPART_ARC
(18,14),-1.28378 # DEPENDENCYPART_ARC
(18,15),-1.18138 # DEPENDENCYPART_ARC
(18,16),0.378508 # DEPENDENCYPART_ARC
(18,17),0.178466 # DEPENDENCYPART_ARC
(18,19),0.352433 # DEPENDENCYPART_ARC
