# _root_ Akkoriban a cég — átmeneti sikerrel — megszerezte a Magyar_Nemzet , az Esti_Hírlap és az Expressz kiadói jogát , 1997 végén pedig megindította a Napi_Magyarország című napilapot .
#goldHeads=8,3,8,8,6,8,8,0,10,18,18,13,18,18,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
#predictedHeads=8,3,8,8,6,8,8,0,10,8,8,13,18,8,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
(8,26),-1.91012 # DEPENDENCYPART_ARC
(8,27),0.408778 # DEPENDENCYPART_ARC
(8,28),3.13131 # DEPENDENCYPART_ARC
(10,9),2.23111 # DEPENDENCYPART_ARC
(10,11),0.0600421 # DEPENDENCYPART_ARC
(10,13),-0.929485 # DEPENDENCYPART_ARC
(10,18),-1.35826 # DEPENDENCYPART_ARC
(10,19),-0.31047 # DEPENDENCYPART_ARC
(10,20),-0.895965 # DEPENDENCYPART_ARC
(10,23),-1.55128 # DEPENDENCYPART_ARC
(10,27),-2.36342 # DEPENDENCYPART_ARC
(12,11),-0.402115 # DEPENDENCYPART_ARC
(13,9),-0.396507 # DEPENDENCYPART_ARC
(13,12),2.26388 # DEPENDENCYPART_ARC
(13,18),-2.01833 # DEPENDENCYPART_ARC
(14,1),-1.3679 # DEPENDENCYPART_ARC
(14,3),-0.958297 # DEPENDENCYPART_ARC
(14,4),-0.159117 # DEPENDENCYPART_ARC
(14,6),-1.00476 # DEPENDENCYPART_ARC
(14,7),0.138511 # DEPENDENCYPART_ARC
(14,8),0.135 # DEPENDENCYPART_ARC
(14,9),-1.16203 # DEPENDENCYPART_ARC
(14,10),-0.0566511 # DEPENDENCYPART_ARC
(14,11),0.636336 # DEPENDENCYPART_ARC
(14,12),-0.331989 # DEPENDENCYPART_ARC
(14,13),0.517124 # DEPENDENCYPART_ARC
(14,15),-0.485744 # DEPENDENCYPART_ARC
(14,16),0.735332 # DEPENDENCYPART_ARC
(14,17),-0.29325 # DEPENDENCYPART_ARC
(14,18),0.170445 # DEPENDENCYPART_ARC
(14,19),-0.229426 # DEPENDENCYPART_ARC
(14,20),-0.642235 # DEPENDENCYPART_ARC
(14,21),-1.12072 # DEPENDENCYPART_ARC
(14,22),-0.601143 # DEPENDENCYPART_ARC
(14,23),-0.249847 # DEPENDENCYPART_ARC
(14,25),-1.02637 # DEPENDENCYPART_ARC
(14,27),-1.48203 # DEPENDENCYPART_ARC
(14,28),-0.259267 # DEPENDENCYPART_ARC
(15,14),-0.155289 # DEPENDENCYPART_ARC
(16,9),-1.66537 # DEPENDENCYPART_ARC
(16,12),-0.519328 # DEPENDENCYPART_ARC
(16,15),2.38407 # DEPENDENCYPART_ARC
(16,21),-1.75756 # DEPENDENCYPART_ARC
(16,23),-1.2186 # DEPENDENCYPART_ARC
(16,27),-2.21219 # DEPENDENCYPART_ARC
(17,1),-1.82212 # DEPENDENCYPART_ARC
(17,3),-2.44582 # DEPENDENCYPART_ARC
(17,6),-2.14957 # DEPENDENCYPART_ARC
(17,7),-0.677552 # DEPENDENCYPART_ARC
(17,8),-1.21759 # DEPENDENCYPART_ARC
(17,10),-1.23905 # DEPENDENCYPART_ARC
(17,11),-0.254962 # DEPENDENCYPART_ARC
(17,12),-0.576392 # DEPENDENCYPART_ARC
(17,13),-0.0852239 # DEPENDENCYPART_ARC
(17,14),0.50276 # DEPENDENCYPART_ARC
(17,15),0.172267 # DEPENDENCYPART_ARC
(17,16),1.74906 # DEPENDENCYPART_ARC
(17,20),-1.04028 # DEPENDENCYPART_ARC
(17,21),-1.43805 # DEPENDENCYPART_ARC
(17,23),-1.07996 # DEPENDENCYPART_ARC
(18,3),-1.442 # DEPENDENCYPART_ARC
(18,4),-0.777792 # DEPENDENCYPART_ARC
(18,6),-4.02476 # DEPENDENCYPART_ARC
(18,8),-1.31347 # DEPENDENCYPART_ARC
(18,9),-1.24367 # DEPENDENCYPART_ARC
(18,10),-0.08241 # DEPENDENCYPART_ARC
(18,11),-0.0696705 # DEPENDENCYPART_ARC
(18,12),-0.543256 # DEPENDENCYPART_ARC
(18,13),1.45444 # DEPENDENCYPART_ARC
(18,14),0.675066 # DEPENDENCYPART_ARC
(18,15),0.922763 # DEPENDENCYPART_ARC
(18,16),3.19891 # DEPENDENCYPART_ARC
(18,17),3.50148 # DEPENDENCYPART_ARC
(18,19),0.253781 # DEPENDENCYPART_ARC
(18,20),-0.870016 # DEPENDENCYPART_ARC
(18,21),-1.48419 # DEPENDENCYPART_ARC
(18,22),-0.660534 # DEPENDENCYPART_ARC
(18,23),-1.13913 # DEPENDENCYPART_ARC
(18,25),-1.38772 # DEPENDENCYPART_ARC
(18,27),-1.73428 # DEPENDENCYPART_ARC
(20,16),-0.704309 # DEPENDENCYPART_ARC
(20,18),-1.6523 # DEPENDENCYPART_ARC
(20,19),0.0984443 # DEPENDENCYPART_ARC
(20,21),-1.00047 # DEPENDENCYPART_ARC
(20,22),-0.806473 # DEPENDENCYPART_ARC
(20,25),-1.6577 # DEPENDENCYPART_ARC
(20,27),-2.26316 # DEPENDENCYPART_ARC
(20,28),-0.601767 # DEPENDENCYPART_ARC
(21,9),-2.25069 # DEPENDENCYPART_ARC
(21,10),-1.30753 # DEPENDENCYPART_ARC
(21,12),-1.50461 # DEPENDENCYPART_ARC
(21,13),-0.203067 # DEPENDENCYPART_ARC
(21,14),-0.425879 # DEPENDENCYPART_ARC
(21,15),-0.414437 # DEPENDENCYPART_ARC
(21,16),0.663399 # DEPENDENCYPART_ARC
(21,17),0.289156 # DEPENDENCYPART_ARC
(21,18),-3.49173 # DEPENDENCYPART_ARC
(21,19),-0.0984234 # DEPENDENCYPART_ARC
(21,20),2.76849 # DEPENDENCYPART_ARC
(21,22),-1.1132 # DEPENDENCYPART_ARC
(21,25),-1.5166 # DEPENDENCYPART_ARC
(21,27),-2.44697 # DEPENDENCYPART_ARC
(22,1),-1.24566 # DEPENDENCYPART_ARC
(22,4),-0.569843 # DEPENDENCYPART_ARC
(22,6),-1.68777 # DEPENDENCYPART_ARC
(22,7),-0.306024 # DEPENDENCYPART_ARC
(22,8),-0.275405 # DEPENDENCYPART_ARC
(22,10),-0.97232 # DEPENDENCYPART_ARC
(22,11),-0.506368 # DEPENDENCYPART_ARC
(22,13),-0.955114 # DEPENDENCYPART_ARC
(22,14),-0.152635 # DEPENDENCYPART_ARC
(22,16),-0.529386 # DEPENDENCYPART_ARC
(22,17),-0.81467 # DEPENDENCYPART_ARC
(22,18),-1.14613 # DEPENDENCYPART_ARC
(22,19),0.41691 # DEPENDENCYPART_ARC
(22,20),-0.11536 # DEPENDENCYPART_ARC
(22,21),-0.295989 # DEPENDENCYPART_ARC
(22,23),0.346803 # DEPENDENCYPART_ARC
(22,25),-0.416957 # DEPENDENCYPART_ARC
(22,27),-0.87841 # DEPENDENCYPART_ARC
(22,28),0.348948 # DEPENDENCYPART_ARC
(23,1),-0.135959 # DEPENDENCYPART_ARC
(23,3),-0.679431 # DEPENDENCYPART_ARC
(23,4),0.21006 # DEPENDENCYPART_ARC
(23,5),-1.72094 # DEPENDENCYPART_ARC
(23,6),-1.45498 # DEPENDENCYPART_ARC
(23,7),-0.199941 # DEPENDENCYPART_ARC
(23,8),-0.837239 # DEPENDENCYPART_ARC
(23,9),-1.08046 # DEPENDENCYPART_ARC
(23,10),-0.407529 # DEPENDENCYPART_ARC
(23,11),0.496564 # DEPENDENCYPART_ARC
(23,12),-0.967746 # DEPENDENCYPART_ARC
(23,13),0.834439 # DEPENDENCYPART_ARC
(23,14),0.424282 # DEPENDENCYPART_ARC
(23,15),-0.977793 # DEPENDENCYPART_ARC
(23,16),0.465486 # DEPENDENCYPART_ARC
(23,17),-0.583589 # DEPENDENCYPART_ARC
(23,18),1.02044 # DEPENDENCYPART_ARC
(23,19),0.787602 # DEPENDENCYPART_ARC
(23,20),0.317231 # DEPENDENCYPART_ARC
(23,21),2.38365 # DEPENDENCYPART_ARC
(23,22),2.69004 # DEPENDENCYPART_ARC
(23,24),-0.622539 # DEPENDENCYPART_ARC
(23,25),0.0500203 # DEPENDENCYPART_ARC
(23,26),-0.617914 # DEPENDENCYPART_ARC
(23,27),2.52691 # DEPENDENCYPART_ARC
(23,28),1.30975 # DEPENDENCYPART_ARC
(24,25),-0.026499 # DEPENDENCYPART_ARC
(25,24),1.587 # DEPENDENCYPART_ARC
(25,27),-0.95825 # DEPENDENCYPART_ARC
(26,7),-1.44348 # DEPENDENCYPART_ARC
(26,13),-1.18758 # DEPENDENCYPART_ARC
(26,14),0.0175127 # DEPENDENCYPART_ARC
(26,16),-0.454347 # DEPENDENCYPART_ARC
(26,18),-0.785971 # DEPENDENCYPART_ARC
(26,19),-0.210144 # DEPENDENCYPART_ARC
(26,20),-0.294295 # DEPENDENCYPART_ARC
(26,21),0.473663 # DEPENDENCYPART_ARC
(26,22),0.543528 # DEPENDENCYPART_ARC
(26,24),0.963126 # DEPENDENCYPART_ARC
(26,25),2.99685 # DEPENDENCYPART_ARC
(27,3),-3.70266 # DEPENDENCYPART_ARC
(27,10),-2.52677 # DEPENDENCYPART_ARC
(27,12),-1.61204 # DEPENDENCYPART_ARC
(27,13),-1.5157 # DEPENDENCYPART_ARC
(27,14),-0.875175 # DEPENDENCYPART_ARC
(27,15),-0.504442 # DEPENDENCYPART_ARC
(27,16),-1.02266 # DEPENDENCYPART_ARC
(27,17),0.0710133 # DEPENDENCYPART_ARC
(27,18),-3.99804 # DEPENDENCYPART_ARC
(27,19),-0.580598 # DEPENDENCYPART_ARC
(27,20),-0.345477 # DEPENDENCYPART_ARC
(27,21),-3.15868 # DEPENDENCYPART_ARC
(27,22),-0.370707 # DEPENDENCYPART_ARC
(27,24),2.04188 # DEPENDENCYPART_ARC
(27,25),2.26223 # DEPENDENCYPART_ARC
(27,26),3.76353 # DEPENDENCYPART_ARC
(27,28),-0.23501 # DEPENDENCYPART_ARC
