# _root_ Mindebből azonban hiba volna azt a következtetést levonni , hogy gyermekek tömkelege születne " balkézről " ; sokkal inkább arról van szó , hogy az élettársi kapcsolatok egyre inkább hasonlítanak magára a házasságra .
#goldHeads=8,4,4,0,7,7,8,4,4,4,12,13,1,13,13,13,4,19,21,21,4,21,21,21,27,27,30,29,30,20,30,33,30,4,
#predictedHeads=4,4,4,0,7,7,8,4,4,4,12,13,5,13,13,13,13,19,21,21,5,21,21,21,27,27,30,29,30,20,33,33,30,4,
(21,11),-0.50032 # DEPENDENCYPART_ARC
(21,12),0.130546 # DEPENDENCYPART_ARC
(21,13),-0.75462 # DEPENDENCYPART_ARC
(21,14),0.372928 # DEPENDENCYPART_ARC
(21,15),0.172496 # DEPENDENCYPART_ARC
(21,16),0.666764 # DEPENDENCYPART_ARC
(21,17),0.272481 # DEPENDENCYPART_ARC
(21,18),1.13555 # DEPENDENCYPART_ARC
(21,19),1.99326 # DEPENDENCYPART_ARC
(21,20),2.63793 # DEPENDENCYPART_ARC
(21,22),2.79897 # DEPENDENCYPART_ARC
(21,23),2.02594 # DEPENDENCYPART_ARC
(21,24),2.74875 # DEPENDENCYPART_ARC
(21,25),-1.14435 # DEPENDENCYPART_ARC
(21,26),-0.928375 # DEPENDENCYPART_ARC
(21,27),-0.802972 # DEPENDENCYPART_ARC
(21,28),-0.274083 # DEPENDENCYPART_ARC
(21,29),-0.575205 # DEPENDENCYPART_ARC
(21,30),0.471283 # DEPENDENCYPART_ARC
(21,33),-1.37119 # DEPENDENCYPART_ARC
(21,34),2.3136 # DEPENDENCYPART_ARC
(22,19),-0.783861 # DEPENDENCYPART_ARC
(22,20),-0.606164 # DEPENDENCYPART_ARC
(22,23),-0.250001 # DEPENDENCYPART_ARC
(22,27),-1.34222 # DEPENDENCYPART_ARC
(24,1),-2.86371 # DEPENDENCYPART_ARC
(24,2),-1.76447 # DEPENDENCYPART_ARC
(24,3),-2.192 # DEPENDENCYPART_ARC
(24,5),-1.9928 # DEPENDENCYPART_ARC
(24,7),-2.1396 # DEPENDENCYPART_ARC
(24,9),-0.169935 # DEPENDENCYPART_ARC
(24,10),-0.396614 # DEPENDENCYPART_ARC
(24,11),-1.08519 # DEPENDENCYPART_ARC
(24,12),-0.730821 # DEPENDENCYPART_ARC
(24,14),-0.382022 # DEPENDENCYPART_ARC
(24,15),-0.325281 # DEPENDENCYPART_ARC
(24,16),-0.330993 # DEPENDENCYPART_ARC
(24,17),-0.078092 # DEPENDENCYPART_ARC
(24,18),-0.166587 # DEPENDENCYPART_ARC
(24,19),0.178479 # DEPENDENCYPART_ARC
(24,20),-1.04761 # DEPENDENCYPART_ARC
(24,21),-0.482201 # DEPENDENCYPART_ARC
(24,22),0.788254 # DEPENDENCYPART_ARC
(24,23),0.747703 # DEPENDENCYPART_ARC
(24,26),-0.255738 # DEPENDENCYPART_ARC
(24,27),-0.927974 # DEPENDENCYPART_ARC
(24,28),-0.3744 # DEPENDENCYPART_ARC
(24,29),-0.229154 # DEPENDENCYPART_ARC
(24,30),0.485327 # DEPENDENCYPART_ARC
(24,31),-0.950192 # DEPENDENCYPART_ARC
(24,33),-2.22099 # DEPENDENCYPART_ARC
(24,34),1.91629 # DEPENDENCYPART_ARC
(25,26),0.207606 # DEPENDENCYPART_ARC
(26,25),0.539578 # DEPENDENCYPART_ARC
(27,20),-1.96399 # DEPENDENCYPART_ARC
(27,22),-1.29652 # DEPENDENCYPART_ARC
(27,25),2.54696 # DEPENDENCYPART_ARC
(27,26),3.61664 # DEPENDENCYPART_ARC
(28,26),-0.54318 # DEPENDENCYPART_ARC
(28,27),-0.190023 # DEPENDENCYPART_ARC
(28,29),-0.452463 # DEPENDENCYPART_ARC
(28,33),-1.17323 # DEPENDENCYPART_ARC
(29,26),0.287941 # DEPENDENCYPART_ARC
(29,27),0.213292 # DEPENDENCYPART_ARC
(29,28),1.42296 # DEPENDENCYPART_ARC
(29,33),-1.04279 # DEPENDENCYPART_ARC
(30,2),-1.28593 # DEPENDENCYPART_ARC
(30,4),-1.18059 # DEPENDENCYPART_ARC
(30,12),-2.33876 # DEPENDENCYPART_ARC
(30,14),-0.822002 # DEPENDENCYPART_ARC
(30,16),-0.709292 # DEPENDENCYPART_ARC
(30,18),-1.82473 # DEPENDENCYPART_ARC
(30,19),-0.838994 # DEPENDENCYPART_ARC
(30,20),-0.98803 # DEPENDENCYPART_ARC
(30,21),-1.24591 # DEPENDENCYPART_ARC
(30,22),-1.38516 # DEPENDENCYPART_ARC
(30,23),-0.13672 # DEPENDENCYPART_ARC
(30,24),-0.592511 # DEPENDENCYPART_ARC
(30,25),-1.49218 # DEPENDENCYPART_ARC
(30,26),-0.868458 # DEPENDENCYPART_ARC
(30,27),1.49699 # DEPENDENCYPART_ARC
(30,28),0.796437 # DEPENDENCYPART_ARC
(30,29),1.80298 # DEPENDENCYPART_ARC
(30,31),1.35813 # DEPENDENCYPART_ARC
(30,32),-0.0939636 # DEPENDENCYPART_ARC
(30,33),1.89365 # DEPENDENCYPART_ARC
(30,34),1.92353 # DEPENDENCYPART_ARC
(31,13),-1.0582 # DEPENDENCYPART_ARC
(31,30),-0.0305532 # DEPENDENCYPART_ARC
(31,33),-0.298271 # DEPENDENCYPART_ARC
(33,25),-1.95471 # DEPENDENCYPART_ARC
(33,31),1.96396 # DEPENDENCYPART_ARC
(33,32),2.59932 # DEPENDENCYPART_ARC
