# _root_ Amiből még olyan következtetést is le lehet vonni , hogy nem is maga a szabadság olyan fontos és nélkülözhetetlen az emberfajtának , hanem a szabadság utáni vágy : a szabadság szivárványos képe .
#goldHeads=8,8,4,8,8,7,0,7,7,7,12,3,12,15,13,17,19,19,12,21,12,3,3,25,26,27,3,27,30,32,32,27,7,
#predictedHeads=8,8,4,8,7,7,13,7,7,7,23,23,15,15,32,17,19,27,23,21,26,23,0,25,26,27,32,27,30,32,32,23,7,
(16,15),-0.171533 # DEPENDENCYPART_ARC
(16,17),-0.273981 # DEPENDENCYPART_ARC
(16,19),-0.320372 # DEPENDENCYPART_ARC
(16,21),-0.860976 # DEPENDENCYPART_ARC
(16,27),-1.60976 # DEPENDENCYPART_ARC
(16,30),-2.08157 # DEPENDENCYPART_ARC
(16,32),-1.76976 # DEPENDENCYPART_ARC
(16,33),-0.746336 # DEPENDENCYPART_ARC
(17,3),-1.80094 # DEPENDENCYPART_ARC
(17,11),-0.561084 # DEPENDENCYPART_ARC
(17,12),-0.337011 # DEPENDENCYPART_ARC
(17,13),-1.00832 # DEPENDENCYPART_ARC
(17,14),-0.268298 # DEPENDENCYPART_ARC
(17,15),-0.0284104 # DEPENDENCYPART_ARC
(17,16),1.69404 # DEPENDENCYPART_ARC
(18,2),-0.865158 # DEPENDENCYPART_ARC
(18,3),-2.21084 # DEPENDENCYPART_ARC
(18,5),-0.48038 # DEPENDENCYPART_ARC
(18,7),-0.987887 # DEPENDENCYPART_ARC
(18,8),-1.38038 # DEPENDENCYPART_ARC
(18,9),-0.0172825 # DEPENDENCYPART_ARC
(18,10),-0.590382 # DEPENDENCYPART_ARC
(18,11),-0.476399 # DEPENDENCYPART_ARC
(18,12),-0.688274 # DEPENDENCYPART_ARC
(18,13),-1.23081 # DEPENDENCYPART_ARC
(18,14),-1.01391 # DEPENDENCYPART_ARC
(18,15),-0.389866 # DEPENDENCYPART_ARC
(18,16),-0.255369 # DEPENDENCYPART_ARC
(18,17),0.061155 # DEPENDENCYPART_ARC
(18,19),-0.0361255 # DEPENDENCYPART_ARC
(18,21),-0.117814 # DEPENDENCYPART_ARC
(18,22),-0.250159 # DEPENDENCYPART_ARC
(18,23),-0.230094 # DEPENDENCYPART_ARC
(18,25),-0.950823 # DEPENDENCYPART_ARC
(18,27),-1.16008 # DEPENDENCYPART_ARC
(18,28),0.125259 # DEPENDENCYPART_ARC
(18,32),-2.29164 # DEPENDENCYPART_ARC
(19,9),-0.165086 # DEPENDENCYPART_ARC
(19,11),-0.313801 # DEPENDENCYPART_ARC
(19,12),-0.430299 # DEPENDENCYPART_ARC
(19,13),-1.01542 # DEPENDENCYPART_ARC
(19,14),-0.59261 # DEPENDENCYPART_ARC
(19,15),-0.571878 # DEPENDENCYPART_ARC
(19,16),0.75763 # DEPENDENCYPART_ARC
(19,17),0.462179 # DEPENDENCYPART_ARC
(19,18),1.09249 # DEPENDENCYPART_ARC
(19,21),0.495326 # DEPENDENCYPART_ARC
(19,22),0.223335 # DEPENDENCYPART_ARC
(19,23),-0.334625 # DEPENDENCYPART_ARC
(19,25),-0.743472 # DEPENDENCYPART_ARC
(19,27),-0.351828 # DEPENDENCYPART_ARC
(19,28),0.0780742 # DEPENDENCYPART_ARC
(19,30),-1.06293 # DEPENDENCYPART_ARC
(19,32),-1.26358 # DEPENDENCYPART_ARC
(19,33),1.02086 # DEPENDENCYPART_ARC
(20,19),-0.789979 # DEPENDENCYPART_ARC
(21,13),-1.04237 # DEPENDENCYPART_ARC
(21,14),-0.605338 # DEPENDENCYPART_ARC
(21,17),-1.21768 # DEPENDENCYPART_ARC
(21,18),-0.0169645 # DEPENDENCYPART_ARC
(21,19),-0.867052 # DEPENDENCYPART_ARC
(21,20),2.56346 # DEPENDENCYPART_ARC
(21,22),-0.485092 # DEPENDENCYPART_ARC
(23,2),-0.0632132 # DEPENDENCYPART_ARC
(23,3),-0.784499 # DEPENDENCYPART_ARC
(23,4),-1.03661 # DEPENDENCYPART_ARC
(23,5),0.150016 # DEPENDENCYPART_ARC
(23,7),-0.0692801 # DEPENDENCYPART_ARC
(23,8),-0.877532 # DEPENDENCYPART_ARC
(23,9),0.632243 # DEPENDENCYPART_ARC
(23,10),0.303859 # DEPENDENCYPART_ARC
(23,11),0.505404 # DEPENDENCYPART_ARC
(23,12),0.00999687 # DEPENDENCYPART_ARC
(23,15),-0.10398 # DEPENDENCYPART_ARC
(23,16),0.297798 # DEPENDENCYPART_ARC
(23,17),-0.132287 # DEPENDENCYPART_ARC
(23,18),0.351448 # DEPENDENCYPART_ARC
(23,19),0.255646 # DEPENDENCYPART_ARC
(23,20),0.136822 # DEPENDENCYPART_ARC
(23,21),-0.331027 # DEPENDENCYPART_ARC
(23,22),1.23952 # DEPENDENCYPART_ARC
(23,24),-0.366732 # DEPENDENCYPART_ARC
(23,25),0.140472 # DEPENDENCYPART_ARC
(23,26),0.0549069 # DEPENDENCYPART_ARC
(23,27),0.0761181 # DEPENDENCYPART_ARC
(23,28),0.249229 # DEPENDENCYPART_ARC
(23,30),-0.609531 # DEPENDENCYPART_ARC
(23,31),-0.395042 # DEPENDENCYPART_ARC
(23,32),-0.587349 # DEPENDENCYPART_ARC
(23,33),2.0262 # DEPENDENCYPART_ARC
(25,20),-0.740465 # DEPENDENCYPART_ARC
(25,24),2.49894 # DEPENDENCYPART_ARC
(25,30),-0.847422 # DEPENDENCYPART_ARC
(26,16),0.374897 # DEPENDENCYPART_ARC
(26,20),0.0202507 # DEPENDENCYPART_ARC
(26,21),0.906954 # DEPENDENCYPART_ARC
(26,22),0.636824 # DEPENDENCYPART_ARC
(26,23),0.43073 # DEPENDENCYPART_ARC
(26,24),0.864213 # DEPENDENCYPART_ARC
(26,25),2.4386 # DEPENDENCYPART_ARC
(26,30),-1.58978 # DEPENDENCYPART_ARC
(27,14),-0.452105 # DEPENDENCYPART_ARC
(27,15),-1.11396 # DEPENDENCYPART_ARC
(27,16),-0.382163 # DEPENDENCYPART_ARC
(27,17),-0.152494 # DEPENDENCYPART_ARC
(27,18),1.09985 # DEPENDENCYPART_ARC
(27,19),-0.907559 # DEPENDENCYPART_ARC
(27,20),0.745201 # DEPENDENCYPART_ARC
(27,21),-1.77189 # DEPENDENCYPART_ARC
(27,22),0.0950769 # DEPENDENCYPART_ARC
(27,23),0.0970693 # DEPENDENCYPART_ARC
(27,24),2.19432 # DEPENDENCYPART_ARC
(27,25),1.79615 # DEPENDENCYPART_ARC
(27,26),4.03194 # DEPENDENCYPART_ARC
(27,28),0.629349 # DEPENDENCYPART_ARC
(27,30),-0.0752651 # DEPENDENCYPART_ARC
(27,31),-0.656867 # DEPENDENCYPART_ARC
(27,32),-0.256081 # DEPENDENCYPART_ARC
(30,20),-1.59254 # DEPENDENCYPART_ARC
(30,24),-0.455411 # DEPENDENCYPART_ARC
(30,25),-1.80707 # DEPENDENCYPART_ARC
(30,29),2.50643 # DEPENDENCYPART_ARC
(31,21),-0.0967529 # DEPENDENCYPART_ARC
(31,24),-0.671314 # DEPENDENCYPART_ARC
(31,25),-0.200824 # DEPENDENCYPART_ARC
(31,27),-1.14017 # DEPENDENCYPART_ARC
(31,28),0.230839 # DEPENDENCYPART_ARC
(31,29),0.39232 # DEPENDENCYPART_ARC
(31,30),1.72314 # DEPENDENCYPART_ARC
(32,15),0.208659 # DEPENDENCYPART_ARC
(32,18),0.91829 # DEPENDENCYPART_ARC
(32,20),-1.19316 # DEPENDENCYPART_ARC
(32,21),-1.38662 # DEPENDENCYPART_ARC
(32,22),0.195775 # DEPENDENCYPART_ARC
(32,23),0.00573611 # DEPENDENCYPART_ARC
(32,24),-0.293502 # DEPENDENCYPART_ARC
(32,25),1.63603 # DEPENDENCYPART_ARC
(32,26),0.649411 # DEPENDENCYPART_ARC
(32,27),1.15186 # DEPENDENCYPART_ARC
(32,28),-0.149131 # DEPENDENCYPART_ARC
(32,29),0.955559 # DEPENDENCYPART_ARC
(32,30),3.52284 # DEPENDENCYPART_ARC
(32,31),3.33561 # DEPENDENCYPART_ARC
