# _root_ Bár sokan emlegetik következő áldozatként a Hyundait , elemzők rámutatnak , hogy helyzete több szempontból sem hasonlítható a Daewooéhoz .
#goldHeads=10,3,10,5,3,7,3,10,10,0,10,10,10,15,10,10,10,19,10,10,
#predictedHeads=10,3,0,5,10,7,3,10,10,3,10,10,17,15,17,17,10,19,17,3,
(5,10),-0.226317 # DEPENDENCYPART_ARC
(5,13),-1.8255 # DEPENDENCYPART_ARC
(5,14),-1.09921 # DEPENDENCYPART_ARC
(5,15),-2.17837 # DEPENDENCYPART_ARC
(5,20),0.128372 # DEPENDENCYPART_ARC
(6,4),-1.17033 # DEPENDENCYPART_ARC
(7,4),-1.50977 # DEPENDENCYPART_ARC
(7,5),-2.38062 # DEPENDENCYPART_ARC
(7,6),2.1722 # DEPENDENCYPART_ARC
(7,8),-0.301142 # DEPENDENCYPART_ARC
(7,9),-1.26456 # DEPENDENCYPART_ARC
(7,10),-0.904962 # DEPENDENCYPART_ARC
(7,14),-1.38554 # DEPENDENCYPART_ARC
(7,19),-3.61658 # DEPENDENCYPART_ARC
(9,1),-0.715229 # DEPENDENCYPART_ARC
(9,2),-0.714864 # DEPENDENCYPART_ARC
(9,3),-1.33573 # DEPENDENCYPART_ARC
(9,4),0.0413414 # DEPENDENCYPART_ARC
(9,5),-2.12872 # DEPENDENCYPART_ARC
(9,6),1.23202 # DEPENDENCYPART_ARC
(9,7),0.534925 # DEPENDENCYPART_ARC
(9,8),0.56532 # DEPENDENCYPART_ARC
(9,11),-0.521985 # DEPENDENCYPART_ARC
(9,13),-2.03015 # DEPENDENCYPART_ARC
(9,14),-1.47593 # DEPENDENCYPART_ARC
(9,15),-2.84086 # DEPENDENCYPART_ARC
(9,17),-1.78497 # DEPENDENCYPART_ARC
(9,19),-3.39186 # DEPENDENCYPART_ARC
(10,1),1.78419 # DEPENDENCYPART_ARC
(10,2),1.31656 # DEPENDENCYPART_ARC
(10,3),0.127233 # DEPENDENCYPART_ARC
(10,4),-0.438513 # DEPENDENCYPART_ARC
(10,5),2.09926 # DEPENDENCYPART_ARC
(10,6),-0.370733 # DEPENDENCYPART_ARC
(10,7),0.900071 # DEPENDENCYPART_ARC
(10,8),1.55412 # DEPENDENCYPART_ARC
(10,9),4.25938 # DEPENDENCYPART_ARC
(10,11),1.58683 # DEPENDENCYPART_ARC
(10,12),2.70198 # DEPENDENCYPART_ARC
(10,13),-0.61446 # DEPENDENCYPART_ARC
(10,14),-0.644946 # DEPENDENCYPART_ARC
(10,15),-1.04039 # DEPENDENCYPART_ARC
(10,16),0.198638 # DEPENDENCYPART_ARC
(10,17),-0.489233 # DEPENDENCYPART_ARC
(10,18),-0.922284 # DEPENDENCYPART_ARC
(10,19),-0.569566 # DEPENDENCYPART_ARC
(10,20),1.84438 # DEPENDENCYPART_ARC
(12,1),0.407268 # DEPENDENCYPART_ARC
(12,2),-0.51122 # DEPENDENCYPART_ARC
(12,3),-0.680496 # DEPENDENCYPART_ARC
(12,4),-0.523731 # DEPENDENCYPART_ARC
(12,5),-0.796131 # DEPENDENCYPART_ARC
(12,7),-1.1386 # DEPENDENCYPART_ARC
(12,8),-0.588297 # DEPENDENCYPART_ARC
(12,9),0.11212 # DEPENDENCYPART_ARC
(12,10),0.0643204 # DEPENDENCYPART_ARC
(12,11),1.02159 # DEPENDENCYPART_ARC
(12,13),-0.860279 # DEPENDENCYPART_ARC
(12,14),-0.678967 # DEPENDENCYPART_ARC
(12,15),-1.78091 # DEPENDENCYPART_ARC
(12,17),-0.675328 # DEPENDENCYPART_ARC
(12,19),-2.1744 # DEPENDENCYPART_ARC
(12,20),1.06882 # DEPENDENCYPART_ARC
(13,6),-1.93908 # DEPENDENCYPART_ARC
(13,11),-0.659669 # DEPENDENCYPART_ARC
(13,12),-0.962662 # DEPENDENCYPART_ARC
(13,14),-0.431808 # DEPENDENCYPART_ARC
(13,15),-1.08507 # DEPENDENCYPART_ARC
(13,17),-0.845006 # DEPENDENCYPART_ARC
(13,19),-1.78466 # DEPENDENCYPART_ARC
(13,20),0.168254 # DEPENDENCYPART_ARC
(14,1),-1.18811 # DEPENDENCYPART_ARC
(14,10),-1.59618 # DEPENDENCYPART_ARC
(14,11),-1.18922 # DEPENDENCYPART_ARC
(14,12),-0.704132 # DEPENDENCYPART_ARC
(14,13),-0.895929 # DEPENDENCYPART_ARC
(14,19),-2.34248 # DEPENDENCYPART_ARC
(14,20),-0.695771 # DEPENDENCYPART_ARC
(15,3),-2.82426 # DEPENDENCYPART_ARC
(15,6),-1.1535 # DEPENDENCYPART_ARC
(15,7),-3.87801 # DEPENDENCYPART_ARC
(15,8),-1.71857 # DEPENDENCYPART_ARC
(15,9),-3.38216 # DEPENDENCYPART_ARC
(15,10),-2.76259 # DEPENDENCYPART_ARC
(15,11),-1.02891 # DEPENDENCYPART_ARC
(15,12),-1.4785 # DEPENDENCYPART_ARC
(15,13),-0.540617 # DEPENDENCYPART_ARC
(15,14),2.12409 # DEPENDENCYPART_ARC
(15,19),-2.24254 # DEPENDENCYPART_ARC
(16,5),-1.46913 # DEPENDENCYPART_ARC
(16,9),-1.06051 # DEPENDENCYPART_ARC
(16,11),-0.97261 # DEPENDENCYPART_ARC
(16,12),-0.896219 # DEPENDENCYPART_ARC
(16,13),-0.526818 # DEPENDENCYPART_ARC
(16,15),0.149415 # DEPENDENCYPART_ARC
(16,17),-0.132596 # DEPENDENCYPART_ARC
(16,20),0.111743 # DEPENDENCYPART_ARC
(17,1),0.540959 # DEPENDENCYPART_ARC
(17,2),-0.486244 # DEPENDENCYPART_ARC
(17,3),-0.278692 # DEPENDENCYPART_ARC
(17,5),-0.386578 # DEPENDENCYPART_ARC
(17,7),-0.118907 # DEPENDENCYPART_ARC
(17,8),0.406741 # DEPENDENCYPART_ARC
(17,9),-1.30126 # DEPENDENCYPART_ARC
(17,10),-0.269028 # DEPENDENCYPART_ARC
(17,11),0.676971 # DEPENDENCYPART_ARC
(17,12),0.247478 # DEPENDENCYPART_ARC
(17,13),-0.163389 # DEPENDENCYPART_ARC
(17,14),0.466518 # DEPENDENCYPART_ARC
(17,15),1.77481 # DEPENDENCYPART_ARC
(17,16),1.49322 # DEPENDENCYPART_ARC
(17,19),0.177216 # DEPENDENCYPART_ARC
(17,20),0.948933 # DEPENDENCYPART_ARC
(18,17),-0.683009 # DEPENDENCYPART_ARC
(19,15),-3.47576 # DEPENDENCYPART_ARC
(19,17),-1.39943 # DEPENDENCYPART_ARC
(19,18),2.12299 # DEPENDENCYPART_ARC
