# _root_ A junior lányok versenyén Mester_Orsolyáé ( 347 ) az első hely , a fiúk között Dienes_Miklósé ( 505 ) , aki mögött Varga_Zoltán a harmadik lett ( 495 ) .
#goldHeads=3,3,4,5,0,7,5,7,11,11,5,5,14,15,16,5,18,16,18,16,22,26,26,25,26,16,28,26,28,5,
#predictedHeads=3,3,4,5,7,7,0,7,11,11,15,15,14,15,16,18,18,7,18,16,22,26,26,25,26,16,28,26,28,26,
(5,14),-0.671223 # DEPENDENCYPART_ARC
(5,15),-0.0613883 # DEPENDENCYPART_ARC
(5,16),-0.986361 # DEPENDENCYPART_ARC
(5,17),0.233763 # DEPENDENCYPART_ARC
(5,19),0.525471 # DEPENDENCYPART_ARC
(5,20),0.383704 # DEPENDENCYPART_ARC
(5,26),0.06927 # DEPENDENCYPART_ARC
(5,27),-0.141544 # DEPENDENCYPART_ARC
(5,29),0.209756 # DEPENDENCYPART_ARC
(5,30),2.0356 # DEPENDENCYPART_ARC
(7,3),0.020564 # DEPENDENCYPART_ARC
(7,4),-0.651595 # DEPENDENCYPART_ARC
(7,5),0.5194 # DEPENDENCYPART_ARC
(7,6),1.68514 # DEPENDENCYPART_ARC
(7,8),1.34771 # DEPENDENCYPART_ARC
(7,11),-0.0147144 # DEPENDENCYPART_ARC
(7,12),0.272638 # DEPENDENCYPART_ARC
(7,14),-0.824445 # DEPENDENCYPART_ARC
(7,16),-1.09333 # DEPENDENCYPART_ARC
(7,17),0.386402 # DEPENDENCYPART_ARC
(7,18),-0.33853 # DEPENDENCYPART_ARC
(7,19),0.810882 # DEPENDENCYPART_ARC
(7,20),0.188466 # DEPENDENCYPART_ARC
(7,23),-1.32829 # DEPENDENCYPART_ARC
(7,26),0.0234984 # DEPENDENCYPART_ARC
(7,27),0.237013 # DEPENDENCYPART_ARC
(7,28),-0.251154 # DEPENDENCYPART_ARC
(7,29),0.43571 # DEPENDENCYPART_ARC
(7,30),1.91841 # DEPENDENCYPART_ARC
(9,8),0.454629 # DEPENDENCYPART_ARC
(9,10),-0.222593 # DEPENDENCYPART_ARC
(9,12),-0.316956 # DEPENDENCYPART_ARC
(9,14),-1.29072 # DEPENDENCYPART_ARC
(10,6),-0.895097 # DEPENDENCYPART_ARC
(10,9),-0.135033 # DEPENDENCYPART_ARC
(11,1),-0.3361 # DEPENDENCYPART_ARC
(11,2),-0.403857 # DEPENDENCYPART_ARC
(11,3),-1.81704 # DEPENDENCYPART_ARC
(11,4),-2.84786 # DEPENDENCYPART_ARC
(11,5),-1.37937 # DEPENDENCYPART_ARC
(11,6),-0.714398 # DEPENDENCYPART_ARC
(11,7),0.0715231 # DEPENDENCYPART_ARC
(11,8),0.210058 # DEPENDENCYPART_ARC
(11,9),1.69146 # DEPENDENCYPART_ARC
(11,10),3.01703 # DEPENDENCYPART_ARC
(11,12),0.248001 # DEPENDENCYPART_ARC
(11,14),-0.795254 # DEPENDENCYPART_ARC
(11,15),-0.262464 # DEPENDENCYPART_ARC
(11,16),-1.13021 # DEPENDENCYPART_ARC
(11,17),-0.231276 # DEPENDENCYPART_ARC
(11,18),-1.02575 # DEPENDENCYPART_ARC
(11,19),-0.014629 # DEPENDENCYPART_ARC
(11,20),-0.236168 # DEPENDENCYPART_ARC
(11,22),-0.978703 # DEPENDENCYPART_ARC
(11,26),-0.544296 # DEPENDENCYPART_ARC
(11,27),-0.75096 # DEPENDENCYPART_ARC
(11,29),-0.568555 # DEPENDENCYPART_ARC
(11,30),1.06883 # DEPENDENCYPART_ARC
(14,4),-3.85921 # DEPENDENCYPART_ARC
(14,7),-2.40965 # DEPENDENCYPART_ARC
(14,9),-0.298353 # DEPENDENCYPART_ARC
(14,10),-0.966151 # DEPENDENCYPART_ARC
(14,11),-1.61446 # DEPENDENCYPART_ARC
(14,12),-0.656155 # DEPENDENCYPART_ARC
(14,13),2.8162 # DEPENDENCYPART_ARC
(14,15),-0.545247 # DEPENDENCYPART_ARC
(14,16),-1.79026 # DEPENDENCYPART_ARC
(14,18),-1.58576 # DEPENDENCYPART_ARC
(14,22),-1.33963 # DEPENDENCYPART_ARC
(14,23),-2.32189 # DEPENDENCYPART_ARC
(15,2),-0.58134 # DEPENDENCYPART_ARC
(15,3),-1.19972 # DEPENDENCYPART_ARC
(15,4),-1.07284 # DEPENDENCYPART_ARC
(15,5),-0.323244 # DEPENDENCYPART_ARC
(15,6),0.204707 # DEPENDENCYPART_ARC
(15,7),0.036915 # DEPENDENCYPART_ARC
(15,8),-0.0177211 # DEPENDENCYPART_ARC
(15,9),-0.376526 # DEPENDENCYPART_ARC
(15,11),0.743509 # DEPENDENCYPART_ARC
(15,12),0.915952 # DEPENDENCYPART_ARC
(15,13),0.584364 # DEPENDENCYPART_ARC
(15,14),3.8065 # DEPENDENCYPART_ARC
(15,16),-0.0190324 # DEPENDENCYPART_ARC
(15,17),-0.186668 # DEPENDENCYPART_ARC
(15,18),-0.48128 # DEPENDENCYPART_ARC
(15,19),-0.20728 # DEPENDENCYPART_ARC
(15,20),-0.198708 # DEPENDENCYPART_ARC
(15,23),-0.915894 # DEPENDENCYPART_ARC
(15,26),-0.355684 # DEPENDENCYPART_ARC
(15,29),-0.430796 # DEPENDENCYPART_ARC
(16,3),-2.0709 # DEPENDENCYPART_ARC
(16,4),-3.01193 # DEPENDENCYPART_ARC
(16,5),-2.00322 # DEPENDENCYPART_ARC
(16,6),-0.554123 # DEPENDENCYPART_ARC
(16,8),-0.256765 # DEPENDENCYPART_ARC
(16,9),-0.293069 # DEPENDENCYPART_ARC
(16,10),-0.430225 # DEPENDENCYPART_ARC
(16,11),-1.12492 # DEPENDENCYPART_ARC
(16,12),0.0867601 # DEPENDENCYPART_ARC
(16,13),0.860245 # DEPENDENCYPART_ARC
(16,14),-0.00781486 # DEPENDENCYPART_ARC
(16,15),0.920113 # DEPENDENCYPART_ARC
(16,17),0.993997 # DEPENDENCYPART_ARC
(16,18),0.0950847 # DEPENDENCYPART_ARC
(16,19),1.01201 # DEPENDENCYPART_ARC
(16,20),0.751409 # DEPENDENCYPART_ARC
(16,22),0.135346 # DEPENDENCYPART_ARC
(16,23),-0.180842 # DEPENDENCYPART_ARC
(16,26),0.479253 # DEPENDENCYPART_ARC
(16,27),0.202348 # DEPENDENCYPART_ARC
(16,28),-0.231412 # DEPENDENCYPART_ARC
(16,29),0.313961 # DEPENDENCYPART_ARC
(16,30),1.73961 # DEPENDENCYPART_ARC
(18,8),0.1227 # DEPENDENCYPART_ARC
(18,12),0.0199378 # DEPENDENCYPART_ARC
(18,14),0.0323494 # DEPENDENCYPART_ARC
(18,15),0.354698 # DEPENDENCYPART_ARC
(18,16),0.456818 # DEPENDENCYPART_ARC
(18,17),1.65294 # DEPENDENCYPART_ARC
(18,19),1.51439 # DEPENDENCYPART_ARC
(18,20),0.382351 # DEPENDENCYPART_ARC
(18,23),-0.870883 # DEPENDENCYPART_ARC
(18,26),0.0788736 # DEPENDENCYPART_ARC
(18,27),0.435549 # DEPENDENCYPART_ARC
(18,28),-0.475397 # DEPENDENCYPART_ARC
(18,29),0.651672 # DEPENDENCYPART_ARC
(18,30),1.35013 # DEPENDENCYPART_ARC
(21,22),-0.285604 # DEPENDENCYPART_ARC
(22,3),-3.064 # DEPENDENCYPART_ARC
(22,4),-2.96547 # DEPENDENCYPART_ARC
(22,5),-2.55191 # DEPENDENCYPART_ARC
(22,6),-0.971055 # DEPENDENCYPART_ARC
(22,8),-1.39803 # DEPENDENCYPART_ARC
(22,11),-2.03202 # DEPENDENCYPART_ARC
(22,12),-0.856072 # DEPENDENCYPART_ARC
(22,14),-0.986601 # DEPENDENCYPART_ARC
(22,16),-1.40447 # DEPENDENCYPART_ARC
(22,17),-0.779533 # DEPENDENCYPART_ARC
(22,18),-0.734522 # DEPENDENCYPART_ARC
(22,19),-0.69154 # DEPENDENCYPART_ARC
(22,20),-0.429906 # DEPENDENCYPART_ARC
(22,21),2.58197 # DEPENDENCYPART_ARC
(22,23),-0.528962 # DEPENDENCYPART_ARC
(22,27),-0.736888 # DEPENDENCYPART_ARC
(22,28),-0.987536 # DEPENDENCYPART_ARC
(22,29),-0.640528 # DEPENDENCYPART_ARC
(23,3),-2.76092 # DEPENDENCYPART_ARC
(23,4),-3.48323 # DEPENDENCYPART_ARC
(23,5),-2.79056 # DEPENDENCYPART_ARC
(23,9),-0.324878 # DEPENDENCYPART_ARC
(23,10),-1.06558 # DEPENDENCYPART_ARC
(23,11),-2.32202 # DEPENDENCYPART_ARC
(23,13),0.347959 # DEPENDENCYPART_ARC
(23,14),-2.08376 # DEPENDENCYPART_ARC
(23,15),-0.822863 # DEPENDENCYPART_ARC
(23,16),-1.678 # DEPENDENCYPART_ARC
(23,17),0.097518 # DEPENDENCYPART_ARC
(23,19),0.273323 # DEPENDENCYPART_ARC
(23,20),0.0291628 # DEPENDENCYPART_ARC
(23,21),-0.123942 # DEPENDENCYPART_ARC
(23,22),0.698152 # DEPENDENCYPART_ARC
(23,25),-0.0192693 # DEPENDENCYPART_ARC
(23,27),0.31913 # DEPENDENCYPART_ARC
(23,28),-0.192362 # DEPENDENCYPART_ARC
(23,29),0.575722 # DEPENDENCYPART_ARC
(23,30),0.879641 # DEPENDENCYPART_ARC
(24,25),0.178115 # DEPENDENCYPART_ARC
(24,27),-0.0665831 # DEPENDENCYPART_ARC
(25,23),-0.510189 # DEPENDENCYPART_ARC
(25,24),0.594025 # DEPENDENCYPART_ARC
(26,2),-1.61338 # DEPENDENCYPART_ARC
(26,3),-1.1284 # DEPENDENCYPART_ARC
(26,4),0.11044 # DEPENDENCYPART_ARC
(26,5),-0.918372 # DEPENDENCYPART_ARC
(26,6),-0.183113 # DEPENDENCYPART_ARC
(26,7),-1.82639 # DEPENDENCYPART_ARC
(26,8),-0.797532 # DEPENDENCYPART_ARC
(26,9),-0.232967 # DEPENDENCYPART_ARC
(26,11),-0.734317 # DEPENDENCYPART_ARC
(26,12),0.591957 # DEPENDENCYPART_ARC
(26,13),-1.03985 # DEPENDENCYPART_ARC
(26,14),-0.94761 # DEPENDENCYPART_ARC
(26,15),-0.0312996 # DEPENDENCYPART_ARC
(26,16),-0.290118 # DEPENDENCYPART_ARC
(26,17),0.256869 # DEPENDENCYPART_ARC
(26,18),-0.94978 # DEPENDENCYPART_ARC
(26,19),-0.176224 # DEPENDENCYPART_ARC
(26,20),0.53797 # DEPENDENCYPART_ARC
(26,21),1.27367 # DEPENDENCYPART_ARC
(26,22),1.85313 # DEPENDENCYPART_ARC
(26,23),2.33159 # DEPENDENCYPART_ARC
(26,24),-0.304639 # DEPENDENCYPART_ARC
(26,25),1.49431 # DEPENDENCYPART_ARC
(26,27),1.0303 # DEPENDENCYPART_ARC
(26,28),0.169487 # DEPENDENCYPART_ARC
(26,29),0.727488 # DEPENDENCYPART_ARC
(26,30),2.04975 # DEPENDENCYPART_ARC
(28,16),-0.619604 # DEPENDENCYPART_ARC
(28,17),0.784278 # DEPENDENCYPART_ARC
(28,19),0.0555582 # DEPENDENCYPART_ARC
(28,20),-0.233669 # DEPENDENCYPART_ARC
(28,23),-0.216409 # DEPENDENCYPART_ARC
(28,24),-0.320249 # DEPENDENCYPART_ARC
(28,26),0.368317 # DEPENDENCYPART_ARC
(28,27),1.20752 # DEPENDENCYPART_ARC
(28,29),1.23669 # DEPENDENCYPART_ARC
(28,30),0.0993833 # DEPENDENCYPART_ARC
