# _root_ A reaktor felhasználási lehetőségei ez évtől kiteljesednek , ugyanis hamarosan üzembe helyezik az úgynevezett hidegneutron forrást , amely tulajdonképpen egy reaktorba helyezett hidrogéncella .
#goldHeads=2,4,4,7,6,7,9,9,0,12,12,9,16,16,16,12,12,12,12,23,22,23,12,9,
#predictedHeads=2,4,4,7,6,7,9,9,0,12,12,9,15,15,16,12,12,19,12,21,22,23,19,9,
(7,10),-0.126181 # DEPENDENCYPART_ARC
(7,11),-0.989357 # DEPENDENCYPART_ARC
(7,12),0.772526 # DEPENDENCYPART_ARC
(7,13),-1.40034 # DEPENDENCYPART_ARC
(7,14),-1.75214 # DEPENDENCYPART_ARC
(7,15),-2.29793 # DEPENDENCYPART_ARC
(7,16),-1.33748 # DEPENDENCYPART_ARC
(7,17),0.367617 # DEPENDENCYPART_ARC
(7,18),-1.61822 # DEPENDENCYPART_ARC
(7,19),-0.802803 # DEPENDENCYPART_ARC
(7,21),-3.36904 # DEPENDENCYPART_ARC
(7,23),-2.51952 # DEPENDENCYPART_ARC
(7,24),2.21719 # DEPENDENCYPART_ARC
(9,2),-0.78673 # DEPENDENCYPART_ARC
(9,3),-0.476334 # DEPENDENCYPART_ARC
(9,4),-0.902021 # DEPENDENCYPART_ARC
(9,5),-1.18089 # DEPENDENCYPART_ARC
(9,6),-0.760308 # DEPENDENCYPART_ARC
(9,7),1.63234 # DEPENDENCYPART_ARC
(9,8),1.59389 # DEPENDENCYPART_ARC
(9,10),0.0792286 # DEPENDENCYPART_ARC
(9,11),-0.253981 # DEPENDENCYPART_ARC
(9,12),1.38288 # DEPENDENCYPART_ARC
(9,14),-0.106075 # DEPENDENCYPART_ARC
(9,15),-0.728419 # DEPENDENCYPART_ARC
(9,16),-0.730678 # DEPENDENCYPART_ARC
(9,17),0.537545 # DEPENDENCYPART_ARC
(9,19),-0.301876 # DEPENDENCYPART_ARC
(9,21),-1.56232 # DEPENDENCYPART_ARC
(9,22),-0.208907 # DEPENDENCYPART_ARC
(9,23),-1.52467 # DEPENDENCYPART_ARC
(9,24),2.68616 # DEPENDENCYPART_ARC
(10,4),-1.34001 # DEPENDENCYPART_ARC
(10,7),-0.220957 # DEPENDENCYPART_ARC
(10,8),-0.0603035 # DEPENDENCYPART_ARC
(10,9),-0.00929575 # DEPENDENCYPART_ARC
(10,11),-0.275678 # DEPENDENCYPART_ARC
(10,12),0.00220907 # DEPENDENCYPART_ARC
(10,14),-0.379986 # DEPENDENCYPART_ARC
(10,15),-0.928144 # DEPENDENCYPART_ARC
(10,16),-0.914085 # DEPENDENCYPART_ARC
(10,17),-0.171852 # DEPENDENCYPART_ARC
(10,19),-0.421107 # DEPENDENCYPART_ARC
(10,23),-1.81824 # DEPENDENCYPART_ARC
(10,24),0.424115 # DEPENDENCYPART_ARC
(11,4),-3.89528 # DEPENDENCYPART_ARC
(11,5),-1.80819 # DEPENDENCYPART_ARC
(11,7),-2.09525 # DEPENDENCYPART_ARC
(11,8),0.133827 # DEPENDENCYPART_ARC
(11,9),0.462747 # DEPENDENCYPART_ARC
(11,10),0.574447 # DEPENDENCYPART_ARC
(11,15),-1.39288 # DEPENDENCYPART_ARC
(11,16),-1.49187 # DEPENDENCYPART_ARC
(11,17),-0.169287 # DEPENDENCYPART_ARC
(11,19),-0.955833 # DEPENDENCYPART_ARC
(11,21),-2.31807 # DEPENDENCYPART_ARC
(11,23),-2.35982 # DEPENDENCYPART_ARC
(11,24),0.116322 # DEPENDENCYPART_ARC
(12,2),-0.695603 # DEPENDENCYPART_ARC
(12,3),-1.23852 # DEPENDENCYPART_ARC
(12,4),0.68258 # DEPENDENCYPART_ARC
(12,5),-1.54194 # DEPENDENCYPART_ARC
(12,6),0.269063 # DEPENDENCYPART_ARC
(12,7),-0.299863 # DEPENDENCYPART_ARC
(12,8),0.654338 # DEPENDENCYPART_ARC
(12,9),1.34172 # DEPENDENCYPART_ARC
(12,10),2.06036 # DEPENDENCYPART_ARC
(12,11),2.18303 # DEPENDENCYPART_ARC
(12,13),-0.45163 # DEPENDENCYPART_ARC
(12,14),-0.105088 # DEPENDENCYPART_ARC
(12,15),0.819064 # DEPENDENCYPART_ARC
(12,16),3.0678 # DEPENDENCYPART_ARC
(12,17),2.08849 # DEPENDENCYPART_ARC
(12,18),-0.698046 # DEPENDENCYPART_ARC
(12,19),0.336999 # DEPENDENCYPART_ARC
(12,21),-1.2249 # DEPENDENCYPART_ARC
(12,22),-1.18152 # DEPENDENCYPART_ARC
(12,23),0.185597 # DEPENDENCYPART_ARC
(12,24),2.03676 # DEPENDENCYPART_ARC
(13,14),0.24228 # DEPENDENCYPART_ARC
(14,10),-1.3343 # DEPENDENCYPART_ARC
(14,11),-1.71062 # DEPENDENCYPART_ARC
(14,13),0.151875 # DEPENDENCYPART_ARC
(15,5),-2.04469 # DEPENDENCYPART_ARC
(15,7),-2.63004 # DEPENDENCYPART_ARC
(15,8),-1.71778 # DEPENDENCYPART_ARC
(15,9),-1.12522 # DEPENDENCYPART_ARC
(15,10),-1.19981 # DEPENDENCYPART_ARC
(15,11),-3.52341 # DEPENDENCYPART_ARC
(15,13),1.8437 # DEPENDENCYPART_ARC
(15,14),3.21814 # DEPENDENCYPART_ARC
(15,16),-1.19972 # DEPENDENCYPART_ARC
(15,23),-1.62 # DEPENDENCYPART_ARC
(16,2),-3.33615 # DEPENDENCYPART_ARC
(16,4),-4.39962 # DEPENDENCYPART_ARC
(16,5),-1.73184 # DEPENDENCYPART_ARC
(16,6),-3.94483 # DEPENDENCYPART_ARC
(16,7),-2.34725 # DEPENDENCYPART_ARC
(16,8),-0.975098 # DEPENDENCYPART_ARC
(16,9),-0.711514 # DEPENDENCYPART_ARC
(16,10),-0.797059 # DEPENDENCYPART_ARC
(16,11),-2.85942 # DEPENDENCYPART_ARC
(16,13),1.48822 # DEPENDENCYPART_ARC
(16,14),2.07317 # DEPENDENCYPART_ARC
(16,15),2.27243 # DEPENDENCYPART_ARC
(16,17),0.36914 # DEPENDENCYPART_ARC
(16,18),-1.11818 # DEPENDENCYPART_ARC
(16,19),-0.429519 # DEPENDENCYPART_ARC
(16,21),-1.51441 # DEPENDENCYPART_ARC
(16,23),-1.37977 # DEPENDENCYPART_ARC
(16,24),0.577307 # DEPENDENCYPART_ARC
(18,21),-0.669451 # DEPENDENCYPART_ARC
(18,22),-0.825439 # DEPENDENCYPART_ARC
(18,23),-0.482169 # DEPENDENCYPART_ARC
(19,7),-1.08772 # DEPENDENCYPART_ARC
(19,11),-1.28347 # DEPENDENCYPART_ARC
(19,12),-1.09276 # DEPENDENCYPART_ARC
(19,15),-1.11288 # DEPENDENCYPART_ARC
(19,16),-1.20417 # DEPENDENCYPART_ARC
(19,17),-0.824898 # DEPENDENCYPART_ARC
(19,18),-0.332706 # DEPENDENCYPART_ARC
(19,21),0.261948 # DEPENDENCYPART_ARC
(19,22),-0.0184218 # DEPENDENCYPART_ARC
(19,23),0.288343 # DEPENDENCYPART_ARC
(19,24),0.939146 # DEPENDENCYPART_ARC
(21,13),-1.09925 # DEPENDENCYPART_ARC
(21,18),-2.06775 # DEPENDENCYPART_ARC
(21,19),-0.580452 # DEPENDENCYPART_ARC
(21,20),2.77834 # DEPENDENCYPART_ARC
(22,2),-1.52056 # DEPENDENCYPART_ARC
(22,10),-0.808639 # DEPENDENCYPART_ARC
(22,11),-1.15904 # DEPENDENCYPART_ARC
(22,14),-1.03965 # DEPENDENCYPART_ARC
(22,15),-1.13267 # DEPENDENCYPART_ARC
(22,16),-0.664653 # DEPENDENCYPART_ARC
(22,17),-0.460459 # DEPENDENCYPART_ARC
(22,18),-0.944477 # DEPENDENCYPART_ARC
(22,19),0.0343675 # DEPENDENCYPART_ARC
(22,20),0.424224 # DEPENDENCYPART_ARC
(22,21),2.84987 # DEPENDENCYPART_ARC
(23,9),-0.478127 # DEPENDENCYPART_ARC
(23,10),-0.396444 # DEPENDENCYPART_ARC
(23,13),0.271156 # DEPENDENCYPART_ARC
(23,14),0.708361 # DEPENDENCYPART_ARC
(23,15),-0.945118 # DEPENDENCYPART_ARC
(23,16),-3.75981 # DEPENDENCYPART_ARC
(23,17),-0.313509 # DEPENDENCYPART_ARC
(23,18),-1.03798 # DEPENDENCYPART_ARC
(23,19),-0.0468904 # DEPENDENCYPART_ARC
(23,20),2.00638 # DEPENDENCYPART_ARC
(23,21),0.60664 # DEPENDENCYPART_ARC
(23,22),3.52827 # DEPENDENCYPART_ARC
