# _root_ Az egység vitathatatlan , ugyanakkor megfigyelők szerint feltűnő , hogy nem került sor ennél határozottabb hangú közös fellépésre .
#goldHeads=2,3,0,3,10,7,10,10,10,3,12,10,12,15,16,18,18,12,3,
#predictedHeads=2,3,10,18,10,7,8,10,18,0,12,10,12,18,16,18,18,12,10,
(6,3),0.315613 # DEPENDENCYPART_ARC
(6,4),0.286325 # DEPENDENCYPART_ARC
(6,5),0.312093 # DEPENDENCYPART_ARC
(6,8),-0.48866 # DEPENDENCYPART_ARC
(6,9),-0.216498 # DEPENDENCYPART_ARC
(6,12),-0.93617 # DEPENDENCYPART_ARC
(6,18),-2.86486 # DEPENDENCYPART_ARC
(6,19),0.017535 # DEPENDENCYPART_ARC
(7,1),-0.831646 # DEPENDENCYPART_ARC
(7,2),-0.240534 # DEPENDENCYPART_ARC
(7,3),-0.344036 # DEPENDENCYPART_ARC
(7,4),0.195296 # DEPENDENCYPART_ARC
(7,6),3.56511 # DEPENDENCYPART_ARC
(7,8),-0.227753 # DEPENDENCYPART_ARC
(7,9),-0.121794 # DEPENDENCYPART_ARC
(7,12),-0.368524 # DEPENDENCYPART_ARC
(7,18),-1.09448 # DEPENDENCYPART_ARC
(7,19),-0.320789 # DEPENDENCYPART_ARC
(8,1),-0.342893 # DEPENDENCYPART_ARC
(8,2),-0.306202 # DEPENDENCYPART_ARC
(8,3),-0.570741 # DEPENDENCYPART_ARC
(8,4),0.440349 # DEPENDENCYPART_ARC
(8,5),0.798466 # DEPENDENCYPART_ARC
(8,6),0.107703 # DEPENDENCYPART_ARC
(8,7),1.43702 # DEPENDENCYPART_ARC
(8,9),0.335954 # DEPENDENCYPART_ARC
(8,10),-0.352 # DEPENDENCYPART_ARC
(8,11),-0.41129 # DEPENDENCYPART_ARC
(8,12),0.0280446 # DEPENDENCYPART_ARC
(8,13),-1.00988 # DEPENDENCYPART_ARC
(8,15),-0.656943 # DEPENDENCYPART_ARC
(8,16),-1.1796 # DEPENDENCYPART_ARC
(8,18),-0.886522 # DEPENDENCYPART_ARC
(8,19),0.381108 # DEPENDENCYPART_ARC
(10,2),0.976904 # DEPENDENCYPART_ARC
(10,3),0.638622 # DEPENDENCYPART_ARC
(10,4),0.00332061 # DEPENDENCYPART_ARC
(10,5),0.855631 # DEPENDENCYPART_ARC
(10,6),1.00421 # DEPENDENCYPART_ARC
(10,7),1.30942 # DEPENDENCYPART_ARC
(10,8),1.13895 # DEPENDENCYPART_ARC
(10,9),0.489043 # DEPENDENCYPART_ARC
(10,11),-0.330134 # DEPENDENCYPART_ARC
(10,12),0.833941 # DEPENDENCYPART_ARC
(10,13),-1.33926 # DEPENDENCYPART_ARC
(10,15),-0.546892 # DEPENDENCYPART_ARC
(10,16),-0.721421 # DEPENDENCYPART_ARC
(10,18),-2.28848 # DEPENDENCYPART_ARC
(10,19),1.58175 # DEPENDENCYPART_ARC
(11,7),-0.645999 # DEPENDENCYPART_ARC
(11,10),-0.738518 # DEPENDENCYPART_ARC
(11,13),-0.760834 # DEPENDENCYPART_ARC
(11,18),-1.21827 # DEPENDENCYPART_ARC
(12,1),-1.25873 # DEPENDENCYPART_ARC
(12,2),-0.284256 # DEPENDENCYPART_ARC
(12,3),-1.37568 # DEPENDENCYPART_ARC
(12,4),-0.142401 # DEPENDENCYPART_ARC
(12,5),0.630488 # DEPENDENCYPART_ARC
(12,6),-0.608537 # DEPENDENCYPART_ARC
(12,7),0.736579 # DEPENDENCYPART_ARC
(12,8),-0.713612 # DEPENDENCYPART_ARC
(12,9),0.390679 # DEPENDENCYPART_ARC
(12,10),-0.132202 # DEPENDENCYPART_ARC
(12,11),2.56097 # DEPENDENCYPART_ARC
(12,13),1.99247 # DEPENDENCYPART_ARC
(12,14),0.158895 # DEPENDENCYPART_ARC
(12,15),-0.404519 # DEPENDENCYPART_ARC
(12,16),-0.83504 # DEPENDENCYPART_ARC
(12,17),-0.850844 # DEPENDENCYPART_ARC
(12,18),0.956133 # DEPENDENCYPART_ARC
(12,19),1.01357 # DEPENDENCYPART_ARC
(13,1),-0.982605 # DEPENDENCYPART_ARC
(13,3),-1.09874 # DEPENDENCYPART_ARC
(13,4),-0.876625 # DEPENDENCYPART_ARC
(13,5),-1.49939 # DEPENDENCYPART_ARC
(13,8),-0.760601 # DEPENDENCYPART_ARC
(13,9),-0.62473 # DEPENDENCYPART_ARC
(13,10),-1.2356 # DEPENDENCYPART_ARC
(13,11),-0.225902 # DEPENDENCYPART_ARC
(13,12),0.465789 # DEPENDENCYPART_ARC
(13,15),-0.445296 # DEPENDENCYPART_ARC
(13,16),-0.669275 # DEPENDENCYPART_ARC
(13,18),-1.18583 # DEPENDENCYPART_ARC
(13,19),0.214303 # DEPENDENCYPART_ARC
(14,8),-0.892479 # DEPENDENCYPART_ARC
(14,10),-0.969984 # DEPENDENCYPART_ARC
(14,12),0.145233 # DEPENDENCYPART_ARC
(14,13),-0.769679 # DEPENDENCYPART_ARC
(14,15),-0.00408289 # DEPENDENCYPART_ARC
(14,16),-0.691936 # DEPENDENCYPART_ARC
(14,17),-0.50214 # DEPENDENCYPART_ARC
(14,18),-1.38792 # DEPENDENCYPART_ARC
(14,19),-0.807707 # DEPENDENCYPART_ARC
(15,5),-0.988241 # DEPENDENCYPART_ARC
(15,6),-3.21471 # DEPENDENCYPART_ARC
(15,7),-1.12128 # DEPENDENCYPART_ARC
(15,10),-1.1562 # DEPENDENCYPART_ARC
(15,11),-0.853319 # DEPENDENCYPART_ARC
(15,13),-1.73451 # DEPENDENCYPART_ARC
(15,14),0.74435 # DEPENDENCYPART_ARC
(15,16),-0.789145 # DEPENDENCYPART_ARC
(15,17),-0.989826 # DEPENDENCYPART_ARC
(16,2),-1.64461 # DEPENDENCYPART_ARC
(16,5),-0.276839 # DEPENDENCYPART_ARC
(16,6),-2.04433 # DEPENDENCYPART_ARC
(16,7),-0.32307 # DEPENDENCYPART_ARC
(16,9),-0.110997 # DEPENDENCYPART_ARC
(16,10),-0.33529 # DEPENDENCYPART_ARC
(16,11),-0.129397 # DEPENDENCYPART_ARC
(16,13),-0.715797 # DEPENDENCYPART_ARC
(16,14),0.640925 # DEPENDENCYPART_ARC
(16,15),1.80067 # DEPENDENCYPART_ARC
(16,17),-0.788139 # DEPENDENCYPART_ARC
(17,5),-0.966788 # DEPENDENCYPART_ARC
(17,7),-0.814802 # DEPENDENCYPART_ARC
(17,11),-0.884837 # DEPENDENCYPART_ARC
(17,13),-1.71052 # DEPENDENCYPART_ARC
(17,14),-0.325936 # DEPENDENCYPART_ARC
(17,15),0.375995 # DEPENDENCYPART_ARC
(17,16),1.22065 # DEPENDENCYPART_ARC
(18,1),-0.668471 # DEPENDENCYPART_ARC
(18,2),-2.33516 # DEPENDENCYPART_ARC
(18,3),0.239494 # DEPENDENCYPART_ARC
(18,4),0.441794 # DEPENDENCYPART_ARC
(18,6),-3.19437 # DEPENDENCYPART_ARC
(18,7),-0.162308 # DEPENDENCYPART_ARC
(18,8),0.310722 # DEPENDENCYPART_ARC
(18,9),0.549805 # DEPENDENCYPART_ARC
(18,10),-0.281761 # DEPENDENCYPART_ARC
(18,11),-0.12658 # DEPENDENCYPART_ARC
(18,13),0.0156821 # DEPENDENCYPART_ARC
(18,14),1.15217 # DEPENDENCYPART_ARC
(18,15),1.52005 # DEPENDENCYPART_ARC
(18,16),2.29758 # DEPENDENCYPART_ARC
(18,17),3.2164 # DEPENDENCYPART_ARC
(18,19),-0.447321 # DEPENDENCYPART_ARC
