# _root_ Európában elsősorban az olaszok és a franciák híresek kávézóikról , ahol a fekete ital számos változatát készítik , fogyasztásuk pedig mindennapos szertartássá vált .
#goldHeads=9,9,4,5,9,7,5,9,0,9,17,14,14,16,16,17,9,17,23,23,22,23,17,9,
#predictedHeads=17,17,4,17,17,7,8,9,17,23,17,14,14,16,16,17,0,17,23,23,22,23,17,23,
(19,18),0.159834 # DEPENDENCYPART_ARC
(19,20),-0.685897 # DEPENDENCYPART_ARC
(19,21),-0.974142 # DEPENDENCYPART_ARC
(19,22),-1.036 # DEPENDENCYPART_ARC
(20,2),-1.52808 # DEPENDENCYPART_ARC
(20,10),-0.501021 # DEPENDENCYPART_ARC
(20,15),-0.786464 # DEPENDENCYPART_ARC
(20,16),-1.49454 # DEPENDENCYPART_ARC
(20,17),-0.0567253 # DEPENDENCYPART_ARC
(20,18),0.161146 # DEPENDENCYPART_ARC
(20,19),-0.115578 # DEPENDENCYPART_ARC
(20,21),-0.583212 # DEPENDENCYPART_ARC
(20,22),-0.217802 # DEPENDENCYPART_ARC
(20,23),0.0845222 # DEPENDENCYPART_ARC
(20,24),-0.195675 # DEPENDENCYPART_ARC
(21,15),-1.02977 # DEPENDENCYPART_ARC
(21,16),-1.00041 # DEPENDENCYPART_ARC
(21,17),-0.757826 # DEPENDENCYPART_ARC
(21,18),0.117695 # DEPENDENCYPART_ARC
(21,19),-0.403506 # DEPENDENCYPART_ARC
(21,20),0.599456 # DEPENDENCYPART_ARC
(22,5),-1.06905 # DEPENDENCYPART_ARC
(22,6),-1.37545 # DEPENDENCYPART_ARC
(22,7),-2.90154 # DEPENDENCYPART_ARC
(22,8),-1.65615 # DEPENDENCYPART_ARC
(22,12),-0.0794861 # DEPENDENCYPART_ARC
(22,13),0.499655 # DEPENDENCYPART_ARC
(22,14),-1.43646 # DEPENDENCYPART_ARC
(22,15),-0.0878593 # DEPENDENCYPART_ARC
(22,16),-3.17125 # DEPENDENCYPART_ARC
(22,17),-0.835737 # DEPENDENCYPART_ARC
(22,18),0.555037 # DEPENDENCYPART_ARC
(22,19),0.426818 # DEPENDENCYPART_ARC
(22,20),0.567949 # DEPENDENCYPART_ARC
(22,21),3.3365 # DEPENDENCYPART_ARC
(23,1),0.764302 # DEPENDENCYPART_ARC
(23,2),1.50137 # DEPENDENCYPART_ARC
(23,3),-0.564349 # DEPENDENCYPART_ARC
(23,4),0.113935 # DEPENDENCYPART_ARC
(23,5),0.997444 # DEPENDENCYPART_ARC
(23,7),-0.0519029 # DEPENDENCYPART_ARC
(23,8),-0.793152 # DEPENDENCYPART_ARC
(23,9),-0.484172 # DEPENDENCYPART_ARC
(23,10),0.947298 # DEPENDENCYPART_ARC
(23,11),1.90035 # DEPENDENCYPART_ARC
(23,12),-0.785817 # DEPENDENCYPART_ARC
(23,13),-0.894838 # DEPENDENCYPART_ARC
(23,14),1.55126 # DEPENDENCYPART_ARC
(23,15),-0.603592 # DEPENDENCYPART_ARC
(23,16),1.3852 # DEPENDENCYPART_ARC
(23,17),0.0240736 # DEPENDENCYPART_ARC
(23,18),1.16587 # DEPENDENCYPART_ARC
(23,19),2.16163 # DEPENDENCYPART_ARC
(23,20),2.98725 # DEPENDENCYPART_ARC
(23,21),0.910231 # DEPENDENCYPART_ARC
(23,22),3.28621 # DEPENDENCYPART_ARC
(23,24),1.79529 # DEPENDENCYPART_ARC
