# _root_ Ha ezt a hitelező nem adja meg , és a bank beváltja a hitelekhez járó állami garanciát , az az érintett gazdáknak az állami agrártámogatásokból való kizárását jelenti .
#goldHeads=28,6,4,6,6,28,6,28,28,11,12,28,14,15,17,17,12,28,28,22,22,28,25,25,26,27,28,0,28,
#predictedHeads=28,6,4,6,6,9,6,9,0,11,12,9,14,15,17,17,12,12,28,22,22,28,25,25,26,27,28,12,6,
(28,18),0.863304 # DEPENDENCYPART_ARC
(28,19),2.38746 # DEPENDENCYPART_ARC
(28,20),-0.25424 # DEPENDENCYPART_ARC
(28,21),-0.00852275 # DEPENDENCYPART_ARC
(28,22),1.97988 # DEPENDENCYPART_ARC
(28,23),-0.309288 # DEPENDENCYPART_ARC
(28,24),0.140004 # DEPENDENCYPART_ARC
(28,25),1.45987 # DEPENDENCYPART_ARC
(28,26),1.0553 # DEPENDENCYPART_ARC
(28,27),4.24284 # DEPENDENCYPART_ARC
(28,29),1.86181 # DEPENDENCYPART_ARC
