# _root_ " Előzőleg minden békés , tárgyalásos lehetőséggel megpróbálkoztunk , ám ezek kudarcot vallottak " — emlékeztetett .
#goldHeads=16,8,7,7,7,7,8,16,8,8,13,13,8,16,16,0,16,
#predictedHeads=16,8,7,7,7,7,8,10,10,16,13,13,10,16,16,0,10,
(12,4),-1.20051 # DEPENDENCYPART_ARC
(12,5),-0.709632 # DEPENDENCYPART_ARC
(12,6),-0.777239 # DEPENDENCYPART_ARC
(12,7),-3.4987 # DEPENDENCYPART_ARC
(12,8),-1.56899 # DEPENDENCYPART_ARC
(12,9),-0.451723 # DEPENDENCYPART_ARC
(12,10),-0.0475238 # DEPENDENCYPART_ARC
(12,11),1.48254 # DEPENDENCYPART_ARC
(12,13),-0.469232 # DEPENDENCYPART_ARC
(12,14),0.229569 # DEPENDENCYPART_ARC
(12,15),-0.274039 # DEPENDENCYPART_ARC
(12,16),-0.502897 # DEPENDENCYPART_ARC
(12,17),0.0324762 # DEPENDENCYPART_ARC
(13,1),0.109242 # DEPENDENCYPART_ARC
(13,2),-0.0733454 # DEPENDENCYPART_ARC
(13,3),-2.58722 # DEPENDENCYPART_ARC
(13,4),-1.32116 # DEPENDENCYPART_ARC
(13,5),-0.013571 # DEPENDENCYPART_ARC
(13,6),-1.1375 # DEPENDENCYPART_ARC
(13,7),0.803454 # DEPENDENCYPART_ARC
(13,8),-1.0377 # DEPENDENCYPART_ARC
(13,9),0.391603 # DEPENDENCYPART_ARC
(13,10),0.996072 # DEPENDENCYPART_ARC
(13,11),1.57979 # DEPENDENCYPART_ARC
(13,12),3.31759 # DEPENDENCYPART_ARC
(13,14),1.50492 # DEPENDENCYPART_ARC
(13,15),0.980221 # DEPENDENCYPART_ARC
(13,16),1.04659 # DEPENDENCYPART_ARC
(13,17),2.05861 # DEPENDENCYPART_ARC
(16,1),1.49296 # DEPENDENCYPART_ARC
(16,2),-0.206647 # DEPENDENCYPART_ARC
(16,4),-1.09034 # DEPENDENCYPART_ARC
(16,5),0.722374 # DEPENDENCYPART_ARC
(16,6),-0.812619 # DEPENDENCYPART_ARC
(16,7),0.0186185 # DEPENDENCYPART_ARC
(16,8),0.902017 # DEPENDENCYPART_ARC
(16,9),1.11431 # DEPENDENCYPART_ARC
(16,10),1.86011 # DEPENDENCYPART_ARC
(16,11),-0.186099 # DEPENDENCYPART_ARC
(16,12),1.75302 # DEPENDENCYPART_ARC
(16,13),1.68489 # DEPENDENCYPART_ARC
(16,14),1.99781 # DEPENDENCYPART_ARC
(16,15),2.40967 # DEPENDENCYPART_ARC
(16,17),2.23848 # DEPENDENCYPART_ARC
