# _root_ Óriási tévedés azt gondolni , hogy szórólapot terjeszteni semmivel sem nehezebb , mint mondjuk influenzát .
#goldHeads=2,4,4,0,4,4,8,3,8,8,8,8,8,3,14,4,
#predictedHeads=2,4,4,0,4,4,8,3,8,13,3,3,3,3,14,4,
(7,6),-0.905321 # DEPENDENCYPART_ARC
(7,11),-0.976202 # DEPENDENCYPART_ARC
(7,12),-0.663504 # DEPENDENCYPART_ARC
(7,14),-1.86818 # DEPENDENCYPART_ARC
(7,15),-2.3985 # DEPENDENCYPART_ARC
(8,1),-0.265669 # DEPENDENCYPART_ARC
(8,2),-0.257938 # DEPENDENCYPART_ARC
(8,3),0.953401 # DEPENDENCYPART_ARC
(8,4),-0.590874 # DEPENDENCYPART_ARC
(8,5),0.90892 # DEPENDENCYPART_ARC
(8,6),-0.0742908 # DEPENDENCYPART_ARC
(8,7),4.44052 # DEPENDENCYPART_ARC
(8,9),1.63429 # DEPENDENCYPART_ARC
(8,10),1.05208 # DEPENDENCYPART_ARC
(8,11),1.01846 # DEPENDENCYPART_ARC
(8,12),0.861695 # DEPENDENCYPART_ARC
(8,13),0.839783 # DEPENDENCYPART_ARC
(8,14),0.920511 # DEPENDENCYPART_ARC
(8,15),0.867512 # DEPENDENCYPART_ARC
(8,16),1.2571 # DEPENDENCYPART_ARC
(10,2),-1.83336 # DEPENDENCYPART_ARC
(10,6),-0.949268 # DEPENDENCYPART_ARC
(10,7),-1.0517 # DEPENDENCYPART_ARC
(10,8),-0.769838 # DEPENDENCYPART_ARC
(10,11),-0.296437 # DEPENDENCYPART_ARC
(10,12),-0.383626 # DEPENDENCYPART_ARC
(10,13),-0.383187 # DEPENDENCYPART_ARC
(10,14),-0.427508 # DEPENDENCYPART_ARC
(10,15),-1.01947 # DEPENDENCYPART_ARC
(10,16),-0.10739 # DEPENDENCYPART_ARC
(11,1),-1.62384 # DEPENDENCYPART_ARC
(11,2),-2.61837 # DEPENDENCYPART_ARC
(11,3),-1.32249 # DEPENDENCYPART_ARC
(11,4),-1.01956 # DEPENDENCYPART_ARC
(11,5),-0.198553 # DEPENDENCYPART_ARC
(11,6),-0.550513 # DEPENDENCYPART_ARC
(11,7),-1.23727 # DEPENDENCYPART_ARC
(11,8),-0.343746 # DEPENDENCYPART_ARC
(11,9),0.270606 # DEPENDENCYPART_ARC
(11,10),0.916933 # DEPENDENCYPART_ARC
(11,12),-0.00890164 # DEPENDENCYPART_ARC
(11,13),-0.608289 # DEPENDENCYPART_ARC
(11,14),-0.958119 # DEPENDENCYPART_ARC
(11,15),-1.67987 # DEPENDENCYPART_ARC
(11,16),-0.093959 # DEPENDENCYPART_ARC
(13,1),-0.387704 # DEPENDENCYPART_ARC
(13,2),-0.668362 # DEPENDENCYPART_ARC
(13,3),-1.1548 # DEPENDENCYPART_ARC
(13,4),-0.875749 # DEPENDENCYPART_ARC
(13,5),0.374547 # DEPENDENCYPART_ARC
(13,6),0.0432355 # DEPENDENCYPART_ARC
(13,7),-0.861822 # DEPENDENCYPART_ARC
(13,8),-0.422997 # DEPENDENCYPART_ARC
(13,10),1.31893 # DEPENDENCYPART_ARC
(13,11),0.928878 # DEPENDENCYPART_ARC
(13,12),0.86576 # DEPENDENCYPART_ARC
(13,14),0.885438 # DEPENDENCYPART_ARC
(13,15),-0.504807 # DEPENDENCYPART_ARC
(13,16),1.81329 # DEPENDENCYPART_ARC
(14,2),-3.86525 # DEPENDENCYPART_ARC
(14,3),-2.4033 # DEPENDENCYPART_ARC
(14,4),-1.87507 # DEPENDENCYPART_ARC
(14,5),-1.11684 # DEPENDENCYPART_ARC
(14,6),-1.3069 # DEPENDENCYPART_ARC
(14,7),-0.554223 # DEPENDENCYPART_ARC
(14,8),-1.61657 # DEPENDENCYPART_ARC
(14,9),-1.44895 # DEPENDENCYPART_ARC
(14,10),-0.107592 # DEPENDENCYPART_ARC
(14,11),-1.42737 # DEPENDENCYPART_ARC
(14,12),-0.37543 # DEPENDENCYPART_ARC
(14,13),-0.572267 # DEPENDENCYPART_ARC
(14,15),3.17136 # DEPENDENCYPART_ARC
(14,16),0.485316 # DEPENDENCYPART_ARC
(15,7),-4.04249 # DEPENDENCYPART_ARC
(15,9),-1.81851 # DEPENDENCYPART_ARC
(15,10),-1.26125 # DEPENDENCYPART_ARC
(15,11),-0.507056 # DEPENDENCYPART_ARC
(15,12),-0.069131 # DEPENDENCYPART_ARC
(15,13),-0.293308 # DEPENDENCYPART_ARC
(15,14),0.324096 # DEPENDENCYPART_ARC
(15,16),0.0132603 # DEPENDENCYPART_ARC
