# _root_ — 1997 telén a szponzorokkal megállapodtunk , hogy a ' 98-as szezonra egy F2-es Opel_Astrát vásárolunk , amit egy jó nevű német cég készít fel a versenyekre — nyilatkozta az újdonsült bronzérmes .
#goldHeads=29,3,6,5,6,29,6,6,12,12,12,16,15,15,16,6,16,24,23,21,23,23,24,16,24,27,24,29,0,32,32,29,29,
#predictedHeads=29,3,6,5,6,29,29,6,12,29,12,16,14,15,16,29,16,24,23,21,23,23,24,29,24,27,24,29,0,32,32,29,29,
(24,3),-0.14337 # DEPENDENCYPART_ARC
(24,5),-1.06325 # DEPENDENCYPART_ARC
(24,6),-0.370405 # DEPENDENCYPART_ARC
(24,7),-0.178499 # DEPENDENCYPART_ARC
(24,8),0.447853 # DEPENDENCYPART_ARC
(24,9),-1.28516 # DEPENDENCYPART_ARC
(24,10),-0.0634091 # DEPENDENCYPART_ARC
(24,11),-1.49506 # DEPENDENCYPART_ARC
(24,12),0.370986 # DEPENDENCYPART_ARC
(24,13),-0.857546 # DEPENDENCYPART_ARC
(24,14),0.126279 # DEPENDENCYPART_ARC
(24,15),0.332086 # DEPENDENCYPART_ARC
(24,16),-0.107118 # DEPENDENCYPART_ARC
(24,17),0.393727 # DEPENDENCYPART_ARC
(24,18),1.18703 # DEPENDENCYPART_ARC
(24,19),-0.339101 # DEPENDENCYPART_ARC
(24,20),-0.758831 # DEPENDENCYPART_ARC
(24,21),-0.0927805 # DEPENDENCYPART_ARC
(24,22),0.462704 # DEPENDENCYPART_ARC
(24,23),3.1798 # DEPENDENCYPART_ARC
(24,25),2.54014 # DEPENDENCYPART_ARC
(24,26),-0.616049 # DEPENDENCYPART_ARC
(24,27),1.90227 # DEPENDENCYPART_ARC
(24,28),0.562484 # DEPENDENCYPART_ARC
(24,29),0.766212 # DEPENDENCYPART_ARC
(24,30),-1.04172 # DEPENDENCYPART_ARC
(24,31),-1.23338 # DEPENDENCYPART_ARC
(24,32),0.165248 # DEPENDENCYPART_ARC
(24,33),1.88443 # DEPENDENCYPART_ARC
(25,8),-0.92826 # DEPENDENCYPART_ARC
(25,12),-0.932899 # DEPENDENCYPART_ARC
(25,16),-1.1163 # DEPENDENCYPART_ARC
(25,20),-0.514477 # DEPENDENCYPART_ARC
(25,21),-0.431878 # DEPENDENCYPART_ARC
(25,23),-0.166914 # DEPENDENCYPART_ARC
(25,24),0.135862 # DEPENDENCYPART_ARC
(25,27),-0.148545 # DEPENDENCYPART_ARC
(25,28),0.0927546 # DEPENDENCYPART_ARC
(25,29),-0.47708 # DEPENDENCYPART_ARC
(25,32),-1.27137 # DEPENDENCYPART_ARC
(27,13),-2.03181 # DEPENDENCYPART_ARC
(27,19),-1.13509 # DEPENDENCYPART_ARC
(27,25),-0.616558 # DEPENDENCYPART_ARC
(27,26),2.79564 # DEPENDENCYPART_ARC
(27,28),-0.158544 # DEPENDENCYPART_ARC
(27,29),-0.814801 # DEPENDENCYPART_ARC
(27,32),-1.68047 # DEPENDENCYPART_ARC
(29,1),3.03426 # DEPENDENCYPART_ARC
(29,3),0.395297 # DEPENDENCYPART_ARC
(29,5),-0.96839 # DEPENDENCYPART_ARC
(29,6),1.5266 # DEPENDENCYPART_ARC
(29,7),2.21044 # DEPENDENCYPART_ARC
(29,8),2.32841 # DEPENDENCYPART_ARC
(29,9),-1.41594 # DEPENDENCYPART_ARC
(29,10),1.34391 # DEPENDENCYPART_ARC
(29,11),-1.29586 # DEPENDENCYPART_ARC
(29,12),-0.378486 # DEPENDENCYPART_ARC
(29,14),-0.0981984 # DEPENDENCYPART_ARC
(29,15),0.505204 # DEPENDENCYPART_ARC
(29,16),1.86436 # DEPENDENCYPART_ARC
(29,17),1.60542 # DEPENDENCYPART_ARC
(29,18),0.266097 # DEPENDENCYPART_ARC
(29,19),-0.862906 # DEPENDENCYPART_ARC
(29,20),-1.54671 # DEPENDENCYPART_ARC
(29,21),-1.00394 # DEPENDENCYPART_ARC
(29,22),-0.649786 # DEPENDENCYPART_ARC
(29,23),1.37765 # DEPENDENCYPART_ARC
(29,24),1.63962 # DEPENDENCYPART_ARC
(29,25),1.24495 # DEPENDENCYPART_ARC
(29,26),-0.744507 # DEPENDENCYPART_ARC
(29,27),0.0676064 # DEPENDENCYPART_ARC
(29,28),1.71146 # DEPENDENCYPART_ARC
(29,30),0.17142 # DEPENDENCYPART_ARC
(29,31),0.704773 # DEPENDENCYPART_ARC
(29,32),2.92695 # DEPENDENCYPART_ARC
(29,33),3.31382 # DEPENDENCYPART_ARC
(30,31),0.226504 # DEPENDENCYPART_ARC
(31,18),-2.71718 # DEPENDENCYPART_ARC
(31,30),0.515293 # DEPENDENCYPART_ARC
(32,19),-0.420922 # DEPENDENCYPART_ARC
(32,26),-0.444558 # DEPENDENCYPART_ARC
(32,27),-3.32339 # DEPENDENCYPART_ARC
(32,28),-1.11976 # DEPENDENCYPART_ARC
(32,30),2.33229 # DEPENDENCYPART_ARC
(32,31),3.45839 # DEPENDENCYPART_ARC
