# _root_ Egybehangzó kommentárok szerint az együttes nemcsak hogy hullámvölgybe került , hanem alapjaiban rendült meg , sőt széthullóban van .
#goldHeads=2,3,9,5,9,9,9,9,16,16,16,13,16,13,16,0,18,16,16,
#predictedHeads=2,3,9,5,9,9,9,9,11,11,13,13,16,13,13,0,18,16,11,
(13,15),1.63648 # DEPENDENCYPART_ARC
(13,16),0.548392 # DEPENDENCYPART_ARC
(13,17),0.712463 # DEPENDENCYPART_ARC
(13,18),1.02916 # DEPENDENCYPART_ARC
(13,19),1.6349 # DEPENDENCYPART_ARC
(14,3),-0.541522 # DEPENDENCYPART_ARC
(14,6),-0.331491 # DEPENDENCYPART_ARC
(14,7),-0.552431 # DEPENDENCYPART_ARC
(14,8),-0.937275 # DEPENDENCYPART_ARC
(14,9),-0.88802 # DEPENDENCYPART_ARC
(14,10),-0.717122 # DEPENDENCYPART_ARC
(14,11),-0.288005 # DEPENDENCYPART_ARC
(14,12),-0.155288 # DEPENDENCYPART_ARC
(14,13),-0.0129436 # DEPENDENCYPART_ARC
(14,15),-0.495951 # DEPENDENCYPART_ARC
(14,16),-0.471128 # DEPENDENCYPART_ARC
(14,18),-0.443504 # DEPENDENCYPART_ARC
(16,1),-0.392242 # DEPENDENCYPART_ARC
(16,2),-1.23069 # DEPENDENCYPART_ARC
(16,3),-0.398427 # DEPENDENCYPART_ARC
(16,6),0.814531 # DEPENDENCYPART_ARC
(16,7),0.919109 # DEPENDENCYPART_ARC
(16,8),-1.26834 # DEPENDENCYPART_ARC
(16,9),1.44916 # DEPENDENCYPART_ARC
(16,10),1.20342 # DEPENDENCYPART_ARC
(16,11),0.761679 # DEPENDENCYPART_ARC
(16,12),-0.584656 # DEPENDENCYPART_ARC
(16,13),2.07972 # DEPENDENCYPART_ARC
(16,15),1.4696 # DEPENDENCYPART_ARC
(16,17),-0.345986 # DEPENDENCYPART_ARC
(16,18),1.70418 # DEPENDENCYPART_ARC
(16,19),2.42025 # DEPENDENCYPART_ARC
(17,11),-1.29743 # DEPENDENCYPART_ARC
(17,12),-2.60511 # DEPENDENCYPART_ARC
(17,13),-1.8342 # DEPENDENCYPART_ARC
(17,15),-0.288993 # DEPENDENCYPART_ARC
(17,16),-0.293975 # DEPENDENCYPART_ARC
(17,19),-0.224069 # DEPENDENCYPART_ARC
(18,1),-1.69747 # DEPENDENCYPART_ARC
(18,2),-1.10382 # DEPENDENCYPART_ARC
(18,3),0.223263 # DEPENDENCYPART_ARC
(18,4),-0.793922 # DEPENDENCYPART_ARC
(18,5),-0.325623 # DEPENDENCYPART_ARC
(18,6),0.602122 # DEPENDENCYPART_ARC
(18,7),1.05001 # DEPENDENCYPART_ARC
(18,8),0.261893 # DEPENDENCYPART_ARC
(18,9),-0.608136 # DEPENDENCYPART_ARC
(18,10),0.165079 # DEPENDENCYPART_ARC
(18,11),1.05514 # DEPENDENCYPART_ARC
(18,12),1.51651 # DEPENDENCYPART_ARC
(18,13),-0.00308179 # DEPENDENCYPART_ARC
(18,14),0.927158 # DEPENDENCYPART_ARC
(18,15),1.00012 # DEPENDENCYPART_ARC
(18,16),1.83787 # DEPENDENCYPART_ARC
(18,17),3.41028 # DEPENDENCYPART_ARC
(18,19),1.62179 # DEPENDENCYPART_ARC
