# _root_ A jogszabályok nem voltak ilyen szabadok , de utasításba adtam , hogy minden kétes esetben a kutató javára kell dönteni .
#goldHeads=2,4,4,8,6,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
#predictedHeads=2,4,4,8,4,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
(8,9),-0.480613 # DEPENDENCYPART_ARC
(8,10),2.04591 # DEPENDENCYPART_ARC
(8,11),0.424307 # DEPENDENCYPART_ARC
(8,12),0.599599 # DEPENDENCYPART_ARC
(8,14),-0.59857 # DEPENDENCYPART_ARC
(8,15),-1.27738 # DEPENDENCYPART_ARC
(8,17),-1.47286 # DEPENDENCYPART_ARC
(8,18),-1.76997 # DEPENDENCYPART_ARC
(8,19),0.896503 # DEPENDENCYPART_ARC
(8,20),0.174475 # DEPENDENCYPART_ARC
(8,21),3.05356 # DEPENDENCYPART_ARC
(9,1),-1.06678 # DEPENDENCYPART_ARC
(9,3),-0.580574 # DEPENDENCYPART_ARC
(9,4),-1.5305 # DEPENDENCYPART_ARC
(9,5),-0.559673 # DEPENDENCYPART_ARC
(9,6),-1.28128 # DEPENDENCYPART_ARC
(9,7),0.802261 # DEPENDENCYPART_ARC
(9,8),0.681335 # DEPENDENCYPART_ARC
(9,15),-1.96652 # DEPENDENCYPART_ARC
(9,19),-0.573513 # DEPENDENCYPART_ARC
(9,20),-0.618815 # DEPENDENCYPART_ARC
(9,21),0.478671 # DEPENDENCYPART_ARC
(10,1),-1.36909 # DEPENDENCYPART_ARC
(10,2),-0.379036 # DEPENDENCYPART_ARC
(10,3),0.614254 # DEPENDENCYPART_ARC
(10,4),0.00362541 # DEPENDENCYPART_ARC
(10,5),0.795191 # DEPENDENCYPART_ARC
(10,6),-0.131083 # DEPENDENCYPART_ARC
(10,7),0.899734 # DEPENDENCYPART_ARC
(10,8),1.74279 # DEPENDENCYPART_ARC
(10,9),2.99725 # DEPENDENCYPART_ARC
(10,11),1.75902 # DEPENDENCYPART_ARC
(10,12),2.7009 # DEPENDENCYPART_ARC
(10,13),-1.33763 # DEPENDENCYPART_ARC
(10,14),-0.350256 # DEPENDENCYPART_ARC
(10,15),-0.600487 # DEPENDENCYPART_ARC
(10,16),-0.611716 # DEPENDENCYPART_ARC
(10,17),-1.58105 # DEPENDENCYPART_ARC
(10,18),-1.73894 # DEPENDENCYPART_ARC
(10,19),1.74019 # DEPENDENCYPART_ARC
(10,20),1.13772 # DEPENDENCYPART_ARC
(10,21),2.56972 # DEPENDENCYPART_ARC
(12,2),-0.522204 # DEPENDENCYPART_ARC
(12,3),-0.192935 # DEPENDENCYPART_ARC
(12,4),-0.133356 # DEPENDENCYPART_ARC
(12,5),0.0412739 # DEPENDENCYPART_ARC
(12,6),-0.121423 # DEPENDENCYPART_ARC
(12,7),0.0804283 # DEPENDENCYPART_ARC
(12,8),0.898189 # DEPENDENCYPART_ARC
(12,9),0.3413 # DEPENDENCYPART_ARC
(12,10),0.284445 # DEPENDENCYPART_ARC
(12,11),1.12161 # DEPENDENCYPART_ARC
(12,14),-0.125125 # DEPENDENCYPART_ARC
(12,15),-1.44013 # DEPENDENCYPART_ARC
(12,17),-1.43896 # DEPENDENCYPART_ARC
(12,18),-1.70634 # DEPENDENCYPART_ARC
(12,19),1.11759 # DEPENDENCYPART_ARC
(12,20),0.241632 # DEPENDENCYPART_ARC
(12,21),2.0322 # DEPENDENCYPART_ARC
(14,5),-0.620203 # DEPENDENCYPART_ARC
(14,9),-1.44912 # DEPENDENCYPART_ARC
(14,10),-1.07803 # DEPENDENCYPART_ARC
(14,11),-0.248882 # DEPENDENCYPART_ARC
(14,12),-0.466549 # DEPENDENCYPART_ARC
(14,13),0.566871 # DEPENDENCYPART_ARC
(14,17),-1.46185 # DEPENDENCYPART_ARC
(14,18),-1.3163 # DEPENDENCYPART_ARC
(15,1),-0.851823 # DEPENDENCYPART_ARC
(15,2),-3.27198 # DEPENDENCYPART_ARC
(15,4),-2.14055 # DEPENDENCYPART_ARC
(15,6),-1.80259 # DEPENDENCYPART_ARC
(15,7),-0.195749 # DEPENDENCYPART_ARC
(15,8),-0.574497 # DEPENDENCYPART_ARC
(15,9),-3.23074 # DEPENDENCYPART_ARC
(15,10),-1.03014 # DEPENDENCYPART_ARC
(15,11),-0.508625 # DEPENDENCYPART_ARC
(15,12),-0.77365 # DEPENDENCYPART_ARC
(15,13),1.63787 # DEPENDENCYPART_ARC
(15,14),3.2455 # DEPENDENCYPART_ARC
(15,16),-1.08119 # DEPENDENCYPART_ARC
(15,17),-0.65198 # DEPENDENCYPART_ARC
(15,18),-0.836336 # DEPENDENCYPART_ARC
(15,21),0.348183 # DEPENDENCYPART_ARC
(17,13),-0.29774 # DEPENDENCYPART_ARC
(17,14),-0.533809 # DEPENDENCYPART_ARC
(17,15),-2.29966 # DEPENDENCYPART_ARC
(17,16),2.58799 # DEPENDENCYPART_ARC
(17,18),-1.40349 # DEPENDENCYPART_ARC
(18,11),-0.618593 # DEPENDENCYPART_ARC
(18,12),-0.911051 # DEPENDENCYPART_ARC
(18,13),-0.583979 # DEPENDENCYPART_ARC
(18,14),-0.660605 # DEPENDENCYPART_ARC
(18,15),-2.15091 # DEPENDENCYPART_ARC
(18,16),0.627607 # DEPENDENCYPART_ARC
(18,17),3.81011 # DEPENDENCYPART_ARC
(19,2),-1.97693 # DEPENDENCYPART_ARC
(19,3),-0.257616 # DEPENDENCYPART_ARC
(19,4),-1.61999 # DEPENDENCYPART_ARC
(19,5),-1.42595 # DEPENDENCYPART_ARC
(19,6),-1.55391 # DEPENDENCYPART_ARC
(19,7),-0.878664 # DEPENDENCYPART_ARC
(19,8),0.457378 # DEPENDENCYPART_ARC
(19,9),-1.09192 # DEPENDENCYPART_ARC
(19,10),-1.32277 # DEPENDENCYPART_ARC
(19,11),-0.0583486 # DEPENDENCYPART_ARC
(19,12),-0.23961 # DEPENDENCYPART_ARC
(19,13),-1.12355 # DEPENDENCYPART_ARC
(19,14),-0.556199 # DEPENDENCYPART_ARC
(19,15),1.49321 # DEPENDENCYPART_ARC
(19,16),-1.44822 # DEPENDENCYPART_ARC
(19,17),1.02174 # DEPENDENCYPART_ARC
(19,18),1.60269 # DEPENDENCYPART_ARC
(19,20),3.96311 # DEPENDENCYPART_ARC
(19,21),1.77956 # DEPENDENCYPART_ARC
(20,2),-1.88809 # DEPENDENCYPART_ARC
(20,3),-1.07722 # DEPENDENCYPART_ARC
(20,4),-1.81443 # DEPENDENCYPART_ARC
(20,5),-1.08993 # DEPENDENCYPART_ARC
(20,6),-0.908868 # DEPENDENCYPART_ARC
(20,7),-0.35918 # DEPENDENCYPART_ARC
(20,8),-0.0817637 # DEPENDENCYPART_ARC
(20,9),0.762156 # DEPENDENCYPART_ARC
(20,10),-1.00266 # DEPENDENCYPART_ARC
(20,11),0.134683 # DEPENDENCYPART_ARC
(20,12),-0.383016 # DEPENDENCYPART_ARC
(20,13),-1.08775 # DEPENDENCYPART_ARC
(20,14),0.285775 # DEPENDENCYPART_ARC
(20,15),2.88949 # DEPENDENCYPART_ARC
(20,16),-0.876953 # DEPENDENCYPART_ARC
(20,17),0.378316 # DEPENDENCYPART_ARC
(20,18),3.20719 # DEPENDENCYPART_ARC
(20,19),1.06341 # DEPENDENCYPART_ARC
(20,21),0.398627 # DEPENDENCYPART_ARC
