# _root_ Ám csak egy banktól lehet igényelni a termények — búza , kukorica , rozs és árpa — termelési költségeire felvett éven belüli hitel törlesztésének halasztását .
#goldHeads=5,6,4,6,0,5,8,19,19,16,16,16,16,16,16,19,19,19,20,23,22,23,24,5,6,5,
#predictedHeads=5,6,4,6,0,5,8,19,12,12,24,19,16,19,16,19,19,19,20,21,22,23,24,25,6,5,
(5,8),0.871663 # DEPENDENCYPART_ARC
(5,9),0.382134 # DEPENDENCYPART_ARC
(5,10),0.669983 # DEPENDENCYPART_ARC
(5,11),0.501016 # DEPENDENCYPART_ARC
(5,12),-0.363206 # DEPENDENCYPART_ARC
(5,13),-0.0941899 # DEPENDENCYPART_ARC
(5,15),0.0714349 # DEPENDENCYPART_ARC
(5,17),-1.16998 # DEPENDENCYPART_ARC
(5,18),-1.29226 # DEPENDENCYPART_ARC
(5,20),-1.16678 # DEPENDENCYPART_ARC
(5,21),-3.54305 # DEPENDENCYPART_ARC
(5,22),-1.14201 # DEPENDENCYPART_ARC
(5,23),-2.87871 # DEPENDENCYPART_ARC
(5,24),-1.96833 # DEPENDENCYPART_ARC
(5,25),-2.48459 # DEPENDENCYPART_ARC
(5,26),1.31775 # DEPENDENCYPART_ARC
(6,1),0.255494 # DEPENDENCYPART_ARC
(6,2),1.70419 # DEPENDENCYPART_ARC
(6,3),0.464785 # DEPENDENCYPART_ARC
(6,4),2.75263 # DEPENDENCYPART_ARC
(6,5),1.33224 # DEPENDENCYPART_ARC
(6,7),-0.391355 # DEPENDENCYPART_ARC
(6,8),1.32009 # DEPENDENCYPART_ARC
(6,9),-0.23902 # DEPENDENCYPART_ARC
(6,10),0.49998 # DEPENDENCYPART_ARC
(6,11),0.208577 # DEPENDENCYPART_ARC
(6,12),-0.445341 # DEPENDENCYPART_ARC
(6,13),-0.0903327 # DEPENDENCYPART_ARC
(6,16),-1.43734 # DEPENDENCYPART_ARC
(6,19),-1.88405 # DEPENDENCYPART_ARC
(6,20),-0.693191 # DEPENDENCYPART_ARC
(6,21),-2.28838 # DEPENDENCYPART_ARC
(6,22),-0.677353 # DEPENDENCYPART_ARC
(6,23),-2.4824 # DEPENDENCYPART_ARC
(6,24),-1.1968 # DEPENDENCYPART_ARC
(6,25),0.602805 # DEPENDENCYPART_ARC
(6,26),0.735469 # DEPENDENCYPART_ARC
(8,3),-2.08626 # DEPENDENCYPART_ARC
(8,6),0.470008 # DEPENDENCYPART_ARC
(8,7),2.74754 # DEPENDENCYPART_ARC
(8,25),-2.97046 # DEPENDENCYPART_ARC
(10,1),-0.644172 # DEPENDENCYPART_ARC
(10,2),-0.811816 # DEPENDENCYPART_ARC
(10,3),-0.45453 # DEPENDENCYPART_ARC
(10,4),-3.39647 # DEPENDENCYPART_ARC
(10,5),-1.53503 # DEPENDENCYPART_ARC
(10,6),0.745191 # DEPENDENCYPART_ARC
(10,7),1.57318 # DEPENDENCYPART_ARC
(10,8),0.087075 # DEPENDENCYPART_ARC
(10,9),0.933381 # DEPENDENCYPART_ARC
(10,11),0.386533 # DEPENDENCYPART_ARC
(10,12),-0.488369 # DEPENDENCYPART_ARC
(10,19),-1.6954 # DEPENDENCYPART_ARC
(10,21),-1.61926 # DEPENDENCYPART_ARC
(10,23),-1.02887 # DEPENDENCYPART_ARC
(10,24),-1.54827 # DEPENDENCYPART_ARC
(10,25),-1.8849 # DEPENDENCYPART_ARC
(10,26),-0.191745 # DEPENDENCYPART_ARC
(12,2),-0.791774 # DEPENDENCYPART_ARC
(12,3),-0.544584 # DEPENDENCYPART_ARC
(12,5),-1.78325 # DEPENDENCYPART_ARC
(12,6),0.423593 # DEPENDENCYPART_ARC
(12,7),1.34863 # DEPENDENCYPART_ARC
(12,8),-0.736737 # DEPENDENCYPART_ARC
(12,9),1.03095 # DEPENDENCYPART_ARC
(12,10),1.03412 # DEPENDENCYPART_ARC
(12,11),0.945433 # DEPENDENCYPART_ARC
(12,13),0.307127 # DEPENDENCYPART_ARC
(12,21),-1.45521 # DEPENDENCYPART_ARC
(12,23),-0.989407 # DEPENDENCYPART_ARC
(12,24),-1.57823 # DEPENDENCYPART_ARC
(12,25),-1.98058 # DEPENDENCYPART_ARC
(12,26),-0.382002 # DEPENDENCYPART_ARC
(14,7),0.819919 # DEPENDENCYPART_ARC
(14,10),-0.419495 # DEPENDENCYPART_ARC
(14,12),0.427853 # DEPENDENCYPART_ARC
(14,13),0.506256 # DEPENDENCYPART_ARC
(15,1),-0.0224136 # DEPENDENCYPART_ARC
(15,5),-0.553805 # DEPENDENCYPART_ARC
(15,6),-1.00116 # DEPENDENCYPART_ARC
(15,14),-0.507236 # DEPENDENCYPART_ARC
(15,16),-0.385485 # DEPENDENCYPART_ARC
(15,18),-0.590523 # DEPENDENCYPART_ARC
(15,19),-0.978509 # DEPENDENCYPART_ARC
(15,23),-1.08387 # DEPENDENCYPART_ARC
(15,24),-1.34269 # DEPENDENCYPART_ARC
(15,25),-2.08302 # DEPENDENCYPART_ARC
(16,7),0.512979 # DEPENDENCYPART_ARC
(16,8),-0.927124 # DEPENDENCYPART_ARC
(16,9),1.02069 # DEPENDENCYPART_ARC
(16,10),-0.1328 # DEPENDENCYPART_ARC
(16,11),0.701757 # DEPENDENCYPART_ARC
(16,12),0.120662 # DEPENDENCYPART_ARC
(16,13),0.974025 # DEPENDENCYPART_ARC
(16,14),1.39203 # DEPENDENCYPART_ARC
(16,15),1.44166 # DEPENDENCYPART_ARC
(16,17),0.366017 # DEPENDENCYPART_ARC
(16,18),-0.504173 # DEPENDENCYPART_ARC
(16,19),-0.921379 # DEPENDENCYPART_ARC
(16,21),-0.790684 # DEPENDENCYPART_ARC
(16,23),-0.316962 # DEPENDENCYPART_ARC
(16,24),-0.896698 # DEPENDENCYPART_ARC
(16,25),-1.34014 # DEPENDENCYPART_ARC
(16,26),-0.0151466 # DEPENDENCYPART_ARC
(18,2),-0.698995 # DEPENDENCYPART_ARC
(18,5),-1.09432 # DEPENDENCYPART_ARC
(18,14),-0.497704 # DEPENDENCYPART_ARC
(18,15),0.66476 # DEPENDENCYPART_ARC
(18,16),-0.376331 # DEPENDENCYPART_ARC
(18,17),0.65971 # DEPENDENCYPART_ARC
(18,20),-0.72321 # DEPENDENCYPART_ARC
(19,7),-0.259798 # DEPENDENCYPART_ARC
(19,8),1.56487 # DEPENDENCYPART_ARC
(19,9),0.952774 # DEPENDENCYPART_ARC
(19,10),0.764747 # DEPENDENCYPART_ARC
(19,11),0.538016 # DEPENDENCYPART_ARC
(19,12),0.718953 # DEPENDENCYPART_ARC
(19,13),0.566057 # DEPENDENCYPART_ARC
(19,14),1.52426 # DEPENDENCYPART_ARC
(19,15),0.971003 # DEPENDENCYPART_ARC
(19,16),1.29339 # DEPENDENCYPART_ARC
(19,17),0.721068 # DEPENDENCYPART_ARC
(19,18),2.91512 # DEPENDENCYPART_ARC
(19,20),-0.235754 # DEPENDENCYPART_ARC
(19,21),-0.972888 # DEPENDENCYPART_ARC
(20,1),0.231396 # DEPENDENCYPART_ARC
(20,2),-0.715938 # DEPENDENCYPART_ARC
(20,10),-0.853652 # DEPENDENCYPART_ARC
(20,14),-0.316826 # DEPENDENCYPART_ARC
(20,15),0.649598 # DEPENDENCYPART_ARC
(20,16),-0.744833 # DEPENDENCYPART_ARC
(20,17),0.553561 # DEPENDENCYPART_ARC
(20,18),0.254123 # DEPENDENCYPART_ARC
(20,19),1.91749 # DEPENDENCYPART_ARC
(21,3),-0.585348 # DEPENDENCYPART_ARC
(21,4),-3.58214 # DEPENDENCYPART_ARC
(21,7),0.698368 # DEPENDENCYPART_ARC
(21,8),-1.73535 # DEPENDENCYPART_ARC
(21,9),0.509021 # DEPENDENCYPART_ARC
(21,10),-1.38311 # DEPENDENCYPART_ARC
(21,11),0.29781 # DEPENDENCYPART_ARC
(21,12),-1.45187 # DEPENDENCYPART_ARC
(21,13),0.28431 # DEPENDENCYPART_ARC
(21,14),-0.872443 # DEPENDENCYPART_ARC
(21,15),0.330785 # DEPENDENCYPART_ARC
(21,16),-1.15427 # DEPENDENCYPART_ARC
(21,17),0.307156 # DEPENDENCYPART_ARC
(21,18),1.70751 # DEPENDENCYPART_ARC
(21,19),-0.837808 # DEPENDENCYPART_ARC
(21,20),3.49876 # DEPENDENCYPART_ARC
(21,23),-0.373222 # DEPENDENCYPART_ARC
(21,24),-1.11612 # DEPENDENCYPART_ARC
(22,1),0.50447 # DEPENDENCYPART_ARC
(22,4),-0.396844 # DEPENDENCYPART_ARC
(22,12),-0.480939 # DEPENDENCYPART_ARC
(22,14),0.012906 # DEPENDENCYPART_ARC
(22,15),0.977165 # DEPENDENCYPART_ARC
(22,16),-0.61341 # DEPENDENCYPART_ARC
(22,17),0.481891 # DEPENDENCYPART_ARC
(22,18),-0.255592 # DEPENDENCYPART_ARC
(22,19),1.08251 # DEPENDENCYPART_ARC
(22,20),0.242286 # DEPENDENCYPART_ARC
(22,21),2.3927 # DEPENDENCYPART_ARC
(23,4),-3.55529 # DEPENDENCYPART_ARC
(23,7),0.454993 # DEPENDENCYPART_ARC
(23,8),-1.71549 # DEPENDENCYPART_ARC
(23,9),0.436251 # DEPENDENCYPART_ARC
(23,11),0.246049 # DEPENDENCYPART_ARC
(23,13),0.298929 # DEPENDENCYPART_ARC
(23,14),-0.890769 # DEPENDENCYPART_ARC
(23,15),0.358684 # DEPENDENCYPART_ARC
(23,16),-1.48852 # DEPENDENCYPART_ARC
(23,17),0.225686 # DEPENDENCYPART_ARC
(23,18),1.47005 # DEPENDENCYPART_ARC
(23,19),-1.85664 # DEPENDENCYPART_ARC
(23,20),2.00659 # DEPENDENCYPART_ARC
(23,21),0.0579754 # DEPENDENCYPART_ARC
(23,22),3.42536 # DEPENDENCYPART_ARC
(23,24),-1.12618 # DEPENDENCYPART_ARC
(24,4),-2.425 # DEPENDENCYPART_ARC
(24,8),0.95089 # DEPENDENCYPART_ARC
(24,9),0.948601 # DEPENDENCYPART_ARC
(24,10),0.794457 # DEPENDENCYPART_ARC
(24,11),0.950636 # DEPENDENCYPART_ARC
(24,12),0.689958 # DEPENDENCYPART_ARC
(24,13),0.892099 # DEPENDENCYPART_ARC
(24,14),1.51427 # DEPENDENCYPART_ARC
(24,15),1.09022 # DEPENDENCYPART_ARC
(24,16),0.858394 # DEPENDENCYPART_ARC
(24,17),0.539007 # DEPENDENCYPART_ARC
(24,18),0.368601 # DEPENDENCYPART_ARC
(24,19),-1.27914 # DEPENDENCYPART_ARC
(24,20),0.920597 # DEPENDENCYPART_ARC
(24,21),-0.332766 # DEPENDENCYPART_ARC
(24,22),1.89288 # DEPENDENCYPART_ARC
(24,23),4.68158 # DEPENDENCYPART_ARC
(24,25),-1.54125 # DEPENDENCYPART_ARC
(25,8),1.08827 # DEPENDENCYPART_ARC
(25,9),0.604264 # DEPENDENCYPART_ARC
(25,10),0.494631 # DEPENDENCYPART_ARC
(25,11),0.712666 # DEPENDENCYPART_ARC
(25,12),0.471887 # DEPENDENCYPART_ARC
(25,13),0.649388 # DEPENDENCYPART_ARC
(25,14),1.05138 # DEPENDENCYPART_ARC
(25,15),0.758966 # DEPENDENCYPART_ARC
(25,16),0.492891 # DEPENDENCYPART_ARC
(25,17),0.0878691 # DEPENDENCYPART_ARC
(25,18),-0.156307 # DEPENDENCYPART_ARC
(25,19),-2.21005 # DEPENDENCYPART_ARC
(25,20),0.353109 # DEPENDENCYPART_ARC
(25,21),-1.37929 # DEPENDENCYPART_ARC
(25,22),0.726571 # DEPENDENCYPART_ARC
(25,23),2.93401 # DEPENDENCYPART_ARC
(25,24),0.700539 # DEPENDENCYPART_ARC
(25,26),0.158128 # DEPENDENCYPART_ARC
