# _root_ Koszovó székhelyének , Pristinának egyik kerületében összegyűjtik az embereket , majd vonatokon és autóbuszokon elindítják őket Macedónia felé .
#goldHeads=2,4,4,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
#predictedHeads=2,4,7,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
(13,15),0.494992 # DEPENDENCYPART_ARC
(13,17),-0.375567 # DEPENDENCYPART_ARC
(13,18),-0.476172 # DEPENDENCYPART_ARC
(13,19),0.747503 # DEPENDENCYPART_ARC
(14,1),-2.5413 # DEPENDENCYPART_ARC
(14,2),-4.6022 # DEPENDENCYPART_ARC
(14,3),-1.18178 # DEPENDENCYPART_ARC
(14,4),-3.15454 # DEPENDENCYPART_ARC
(14,8),-0.171483 # DEPENDENCYPART_ARC
(14,9),-2.1232 # DEPENDENCYPART_ARC
(14,10),0.193031 # DEPENDENCYPART_ARC
(14,11),-0.37524 # DEPENDENCYPART_ARC
(14,12),-0.84173 # DEPENDENCYPART_ARC
(14,13),0.752952 # DEPENDENCYPART_ARC
(14,17),-1.66686 # DEPENDENCYPART_ARC
(14,18),-0.728786 # DEPENDENCYPART_ARC
(15,1),-0.978364 # DEPENDENCYPART_ARC
(15,2),-1.21355 # DEPENDENCYPART_ARC
(15,3),-0.219632 # DEPENDENCYPART_ARC
(15,4),-0.223638 # DEPENDENCYPART_ARC
(15,5),-2.29182 # DEPENDENCYPART_ARC
(15,6),0.956909 # DEPENDENCYPART_ARC
(15,7),-1.22421 # DEPENDENCYPART_ARC
(15,8),-0.903212 # DEPENDENCYPART_ARC
(15,9),0.849513 # DEPENDENCYPART_ARC
(15,10),0.273486 # DEPENDENCYPART_ARC
(15,11),0.485439 # DEPENDENCYPART_ARC
(15,12),2.48174 # DEPENDENCYPART_ARC
(15,13),1.75416 # DEPENDENCYPART_ARC
(15,14),3.64815 # DEPENDENCYPART_ARC
(15,16),1.23256 # DEPENDENCYPART_ARC
(15,17),0.455249 # DEPENDENCYPART_ARC
(15,18),1.76052 # DEPENDENCYPART_ARC
(15,19),1.77188 # DEPENDENCYPART_ARC
(16,7),-1.31379 # DEPENDENCYPART_ARC
(16,15),-0.165479 # DEPENDENCYPART_ARC
(16,18),-0.682001 # DEPENDENCYPART_ARC
(16,19),-0.557313 # DEPENDENCYPART_ARC
(17,12),-4.32668 # DEPENDENCYPART_ARC
(17,13),-0.359686 # DEPENDENCYPART_ARC
(17,14),-4.04821 # DEPENDENCYPART_ARC
(17,16),-0.991859 # DEPENDENCYPART_ARC
(18,1),-2.13827 # DEPENDENCYPART_ARC
(18,2),-1.32511 # DEPENDENCYPART_ARC
(18,3),-0.401781 # DEPENDENCYPART_ARC
(18,4),-1.54985 # DEPENDENCYPART_ARC
(18,6),-1.02737 # DEPENDENCYPART_ARC
(18,9),-0.544181 # DEPENDENCYPART_ARC
(18,10),0.135709 # DEPENDENCYPART_ARC
(18,11),-0.129058 # DEPENDENCYPART_ARC
(18,12),0.196647 # DEPENDENCYPART_ARC
(18,13),0.876243 # DEPENDENCYPART_ARC
(18,14),-0.0676493 # DEPENDENCYPART_ARC
(18,17),3.65424 # DEPENDENCYPART_ARC
(18,19),-0.107587 # DEPENDENCYPART_ARC
