# _root_ E társaság tulajdonosai 150_millió forintot keresnek a Márkus_Kft.-n , mondván , ekkora összegben helyeztek el náluk importletétet .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
(3,17),-2.92108 # DEPENDENCYPART_ARC
(3,18),1.01013 # DEPENDENCYPART_ARC
(4,1),-0.267775 # DEPENDENCYPART_ARC
(4,2),-0.553869 # DEPENDENCYPART_ARC
(4,3),-0.274749 # DEPENDENCYPART_ARC
(4,6),-0.346074 # DEPENDENCYPART_ARC
(4,8),-2.29231 # DEPENDENCYPART_ARC
(4,9),-0.781355 # DEPENDENCYPART_ARC
(4,11),-0.722761 # DEPENDENCYPART_ARC
(4,14),-1.41465 # DEPENDENCYPART_ARC
(4,18),-0.174725 # DEPENDENCYPART_ARC
(5,1),0.32718 # DEPENDENCYPART_ARC
(5,2),-0.102872 # DEPENDENCYPART_ARC
(5,3),-0.65442 # DEPENDENCYPART_ARC
(5,4),2.90423 # DEPENDENCYPART_ARC
(5,8),-1.69082 # DEPENDENCYPART_ARC
(5,9),-0.617463 # DEPENDENCYPART_ARC
(5,10),-1.26597 # DEPENDENCYPART_ARC
(5,14),-1.27056 # DEPENDENCYPART_ARC
(6,1),-0.230006 # DEPENDENCYPART_ARC
(6,2),1.00926 # DEPENDENCYPART_ARC
(6,3),2.4063 # DEPENDENCYPART_ARC
(6,4),0.0695916 # DEPENDENCYPART_ARC
(6,5),2.54935 # DEPENDENCYPART_ARC
(6,7),-0.398171 # DEPENDENCYPART_ARC
(6,8),2.35571 # DEPENDENCYPART_ARC
(6,9),1.24635 # DEPENDENCYPART_ARC
(6,10),0.876719 # DEPENDENCYPART_ARC
(6,11),1.64012 # DEPENDENCYPART_ARC
(6,12),-1.2718 # DEPENDENCYPART_ARC
(6,13),-0.811926 # DEPENDENCYPART_ARC
(6,14),0.753773 # DEPENDENCYPART_ARC
(6,15),-0.0902991 # DEPENDENCYPART_ARC
(6,16),-0.441218 # DEPENDENCYPART_ARC
(6,17),-1.24781 # DEPENDENCYPART_ARC
(6,18),1.99298 # DEPENDENCYPART_ARC
(8,7),2.34528 # DEPENDENCYPART_ARC
(8,9),-0.435236 # DEPENDENCYPART_ARC
(8,10),-1.1398 # DEPENDENCYPART_ARC
(8,11),-0.537285 # DEPENDENCYPART_ARC
(8,12),-2.36083 # DEPENDENCYPART_ARC
(8,13),-1.53275 # DEPENDENCYPART_ARC
(8,14),-0.923401 # DEPENDENCYPART_ARC
(8,17),-2.71452 # DEPENDENCYPART_ARC
(10,2),0.0752043 # DEPENDENCYPART_ARC
(10,3),0.0355828 # DEPENDENCYPART_ARC
(10,5),0.18651 # DEPENDENCYPART_ARC
(10,8),0.493404 # DEPENDENCYPART_ARC
(10,9),0.637805 # DEPENDENCYPART_ARC
(10,11),1.01227 # DEPENDENCYPART_ARC
(10,12),0.735604 # DEPENDENCYPART_ARC
(10,13),0.689473 # DEPENDENCYPART_ARC
(10,14),1.67977 # DEPENDENCYPART_ARC
(10,17),-0.352534 # DEPENDENCYPART_ARC
(10,18),1.32246 # DEPENDENCYPART_ARC
(12,2),-0.577882 # DEPENDENCYPART_ARC
(12,3),-0.712344 # DEPENDENCYPART_ARC
(12,5),-1.22502 # DEPENDENCYPART_ARC
(12,6),0.586593 # DEPENDENCYPART_ARC
(12,8),-0.982419 # DEPENDENCYPART_ARC
(12,9),0.202945 # DEPENDENCYPART_ARC
(12,10),0.112426 # DEPENDENCYPART_ARC
(12,11),0.116209 # DEPENDENCYPART_ARC
(12,13),0.113372 # DEPENDENCYPART_ARC
(12,14),0.00441924 # DEPENDENCYPART_ARC
(12,15),-0.253558 # DEPENDENCYPART_ARC
(12,16),-0.396979 # DEPENDENCYPART_ARC
(12,17),-0.723076 # DEPENDENCYPART_ARC
(12,18),0.119265 # DEPENDENCYPART_ARC
(13,1),-1.51711 # DEPENDENCYPART_ARC
(13,2),-3.57337 # DEPENDENCYPART_ARC
(13,3),-3.98958 # DEPENDENCYPART_ARC
(13,4),-1.03574 # DEPENDENCYPART_ARC
(13,5),-4.52086 # DEPENDENCYPART_ARC
(13,6),-2.435 # DEPENDENCYPART_ARC
(13,7),0.356569 # DEPENDENCYPART_ARC
(13,8),-1.423 # DEPENDENCYPART_ARC
(13,9),-0.164564 # DEPENDENCYPART_ARC
(13,10),-0.183479 # DEPENDENCYPART_ARC
(13,11),-0.303129 # DEPENDENCYPART_ARC
(13,12),2.10068 # DEPENDENCYPART_ARC
(13,17),-1.77752 # DEPENDENCYPART_ARC
(14,1),-2.17124 # DEPENDENCYPART_ARC
(14,2),-0.374594 # DEPENDENCYPART_ARC
(14,3),0.776425 # DEPENDENCYPART_ARC
(14,4),-1.42567 # DEPENDENCYPART_ARC
(14,5),-0.265031 # DEPENDENCYPART_ARC
(14,6),-0.5966 # DEPENDENCYPART_ARC
(14,7),-0.840603 # DEPENDENCYPART_ARC
(14,8),0.479058 # DEPENDENCYPART_ARC
(14,9),0.614969 # DEPENDENCYPART_ARC
(14,10),0.923223 # DEPENDENCYPART_ARC
(14,11),1.04939 # DEPENDENCYPART_ARC
(14,12),1.40293 # DEPENDENCYPART_ARC
(14,13),3.8457 # DEPENDENCYPART_ARC
(14,15),2.57408 # DEPENDENCYPART_ARC
(14,16),1.69143 # DEPENDENCYPART_ARC
(14,17),1.43031 # DEPENDENCYPART_ARC
(14,18),1.5157 # DEPENDENCYPART_ARC
(15,6),-1.09733 # DEPENDENCYPART_ARC
(15,13),-0.480212 # DEPENDENCYPART_ARC
(15,17),-0.986703 # DEPENDENCYPART_ARC
(15,18),-0.546462 # DEPENDENCYPART_ARC
(16,6),-0.294166 # DEPENDENCYPART_ARC
(16,11),-0.560824 # DEPENDENCYPART_ARC
(16,13),-0.187197 # DEPENDENCYPART_ARC
(16,17),-0.363342 # DEPENDENCYPART_ARC
(16,18),-0.121394 # DEPENDENCYPART_ARC
(17,7),-0.97994 # DEPENDENCYPART_ARC
(17,8),-3.16331 # DEPENDENCYPART_ARC
(17,10),-0.947393 # DEPENDENCYPART_ARC
(17,12),-1.2398 # DEPENDENCYPART_ARC
(17,13),-3.33304 # DEPENDENCYPART_ARC
(17,15),0.397241 # DEPENDENCYPART_ARC
(17,16),0.814518 # DEPENDENCYPART_ARC
(17,18),0.30125 # DEPENDENCYPART_ARC
