# _root_ Egyes hírek szerint S._József , akit ügyes jogásznak tartanak , a közelmúltban több állásajánlatot kapott a városban .
#goldHeads=2,3,15,15,15,9,8,9,15,15,12,15,14,15,0,17,15,15,
#predictedHeads=2,3,9,9,9,9,8,9,0,9,12,15,14,15,9,17,15,9,
(14,17),-1.86037 # DEPENDENCYPART_ARC
(15,1),-1.34565 # DEPENDENCYPART_ARC
(15,2),-0.96799 # DEPENDENCYPART_ARC
(15,3),0.967096 # DEPENDENCYPART_ARC
(15,4),-0.381868 # DEPENDENCYPART_ARC
(15,5),0.285459 # DEPENDENCYPART_ARC
(15,6),0.0627898 # DEPENDENCYPART_ARC
(15,7),-0.593131 # DEPENDENCYPART_ARC
(15,8),1.72332 # DEPENDENCYPART_ARC
(15,9),0.0517396 # DEPENDENCYPART_ARC
(15,10),0.975716 # DEPENDENCYPART_ARC
(15,11),-0.722873 # DEPENDENCYPART_ARC
(15,12),2.33368 # DEPENDENCYPART_ARC
(15,13),0.507363 # DEPENDENCYPART_ARC
(15,14),2.83564 # DEPENDENCYPART_ARC
(15,16),-0.329657 # DEPENDENCYPART_ARC
(15,17),2.83542 # DEPENDENCYPART_ARC
(15,18),1.60588 # DEPENDENCYPART_ARC
(17,9),-3.41754 # DEPENDENCYPART_ARC
(17,11),-0.857018 # DEPENDENCYPART_ARC
(17,12),-3.74379 # DEPENDENCYPART_ARC
(17,13),-1.07568 # DEPENDENCYPART_ARC
(17,14),-4.09725 # DEPENDENCYPART_ARC
(17,16),2.92758 # DEPENDENCYPART_ARC
(17,18),-0.892654 # DEPENDENCYPART_ARC
