# _root_ A tervgazdaságban , ahol nem működik valódi gazdasági kalkuláció , a központi tervezőnek nincs eszköze a versengő beruházási javaslatok közötti ésszerű választáshoz .
#goldHeads=2,14,14,6,6,14,9,9,6,14,13,13,14,0,14,19,19,19,20,22,22,14,14,
#predictedHeads=2,6,6,6,6,0,9,9,6,6,13,13,14,6,14,19,19,19,20,22,22,14,6,
(6,22),1.23899 # DEPENDENCYPART_ARC
(6,23),2.77113 # DEPENDENCYPART_ARC
(7,1),-1.80645 # DEPENDENCYPART_ARC
(7,2),-1.20479 # DEPENDENCYPART_ARC
(7,3),-0.78389 # DEPENDENCYPART_ARC
(7,4),-0.300667 # DEPENDENCYPART_ARC
(7,5),-0.311636 # DEPENDENCYPART_ARC
(7,6),-0.405751 # DEPENDENCYPART_ARC
(7,8),-0.937219 # DEPENDENCYPART_ARC
(7,9),-0.535737 # DEPENDENCYPART_ARC
(7,10),-0.622776 # DEPENDENCYPART_ARC
(7,14),-1.06104 # DEPENDENCYPART_ARC
(7,22),-2.25811 # DEPENDENCYPART_ARC
(8,1),-1.81622 # DEPENDENCYPART_ARC
(8,2),-1.61595 # DEPENDENCYPART_ARC
(8,3),-0.926181 # DEPENDENCYPART_ARC
(8,4),-0.611782 # DEPENDENCYPART_ARC
(8,5),-0.607383 # DEPENDENCYPART_ARC
(8,6),-0.936866 # DEPENDENCYPART_ARC
(8,7),0.867019 # DEPENDENCYPART_ARC
(9,1),0.3032 # DEPENDENCYPART_ARC
(9,2),-3.5398 # DEPENDENCYPART_ARC
(9,3),-0.467202 # DEPENDENCYPART_ARC
(9,4),-0.145296 # DEPENDENCYPART_ARC
(9,5),0.0967373 # DEPENDENCYPART_ARC
(9,6),-0.187979 # DEPENDENCYPART_ARC
(9,7),2.39722 # DEPENDENCYPART_ARC
(9,8),3.38586 # DEPENDENCYPART_ARC
(9,10),0.406465 # DEPENDENCYPART_ARC
(9,12),-0.738758 # DEPENDENCYPART_ARC
(9,13),-0.333444 # DEPENDENCYPART_ARC
(9,14),-0.490167 # DEPENDENCYPART_ARC
(9,19),-0.659057 # DEPENDENCYPART_ARC
(9,20),-1.37883 # DEPENDENCYPART_ARC
(9,22),-1.2281 # DEPENDENCYPART_ARC
(9,23),0.167248 # DEPENDENCYPART_ARC
(11,12),0.259857 # DEPENDENCYPART_ARC
(11,15),-1.22452 # DEPENDENCYPART_ARC
(11,17),-0.76024 # DEPENDENCYPART_ARC
(12,4),-1.69905 # DEPENDENCYPART_ARC
(12,7),-1.85477 # DEPENDENCYPART_ARC
(12,9),-2.6347 # DEPENDENCYPART_ARC
(12,11),0.21079 # DEPENDENCYPART_ARC
(13,1),-1.32794 # DEPENDENCYPART_ARC
(13,5),-0.374069 # DEPENDENCYPART_ARC
(13,6),-1.97119 # DEPENDENCYPART_ARC
(13,7),-0.0457358 # DEPENDENCYPART_ARC
(13,8),0.390625 # DEPENDENCYPART_ARC
(13,9),-0.956094 # DEPENDENCYPART_ARC
(13,10),0.110542 # DEPENDENCYPART_ARC
(13,11),2.22579 # DEPENDENCYPART_ARC
(13,12),3.38036 # DEPENDENCYPART_ARC
(13,15),-1.5385 # DEPENDENCYPART_ARC
(13,19),-1.44398 # DEPENDENCYPART_ARC
(13,22),-1.73594 # DEPENDENCYPART_ARC
(14,2),-0.652994 # DEPENDENCYPART_ARC
(14,3),0.947204 # DEPENDENCYPART_ARC
(14,4),1.27626 # DEPENDENCYPART_ARC
(14,5),0.548655 # DEPENDENCYPART_ARC
(14,6),0.225063 # DEPENDENCYPART_ARC
(14,7),-0.923854 # DEPENDENCYPART_ARC
(14,8),-0.734032 # DEPENDENCYPART_ARC
(14,9),0.573067 # DEPENDENCYPART_ARC
(14,10),1.53508 # DEPENDENCYPART_ARC
(14,11),-0.60951 # DEPENDENCYPART_ARC
(14,12),0.391888 # DEPENDENCYPART_ARC
(14,13),3.38234 # DEPENDENCYPART_ARC
(14,15),3.29114 # DEPENDENCYPART_ARC
(14,16),-0.638325 # DEPENDENCYPART_ARC
(14,17),-0.545315 # DEPENDENCYPART_ARC
(14,18),-0.535371 # DEPENDENCYPART_ARC
(14,19),0.367873 # DEPENDENCYPART_ARC
(14,20),-0.876831 # DEPENDENCYPART_ARC
(14,21),-0.999599 # DEPENDENCYPART_ARC
(14,22),1.79636 # DEPENDENCYPART_ARC
(14,23),1.92229 # DEPENDENCYPART_ARC
(15,11),-0.788521 # DEPENDENCYPART_ARC
(15,12),-0.0425847 # DEPENDENCYPART_ARC
(15,13),-0.715524 # DEPENDENCYPART_ARC
(15,14),-0.647572 # DEPENDENCYPART_ARC
(15,16),-1.4165 # DEPENDENCYPART_ARC
(15,17),-0.761729 # DEPENDENCYPART_ARC
(15,18),-0.691078 # DEPENDENCYPART_ARC
(15,19),-0.156346 # DEPENDENCYPART_ARC
(15,20),-0.98927 # DEPENDENCYPART_ARC
(15,22),-0.887724 # DEPENDENCYPART_ARC
(15,23),-0.0361038 # DEPENDENCYPART_ARC
(16,17),0.242517 # DEPENDENCYPART_ARC
(16,18),-0.0841835 # DEPENDENCYPART_ARC
(16,19),-1.03793 # DEPENDENCYPART_ARC
(16,20),-0.620137 # DEPENDENCYPART_ARC
(17,11),-1.77053 # DEPENDENCYPART_ARC
(17,15),-2.05768 # DEPENDENCYPART_ARC
(17,16),0.25401 # DEPENDENCYPART_ARC
(17,22),-1.63052 # DEPENDENCYPART_ARC
(18,11),-1.42122 # DEPENDENCYPART_ARC
(18,13),-3.09975 # DEPENDENCYPART_ARC
(18,15),-1.82255 # DEPENDENCYPART_ARC
(18,16),0.0380541 # DEPENDENCYPART_ARC
(18,17),1.6143 # DEPENDENCYPART_ARC
(18,22),-1.76508 # DEPENDENCYPART_ARC
(19,7),-0.943547 # DEPENDENCYPART_ARC
(19,8),-0.722082 # DEPENDENCYPART_ARC
(19,11),0.132474 # DEPENDENCYPART_ARC
(19,12),0.427744 # DEPENDENCYPART_ARC
(19,13),-2.72914 # DEPENDENCYPART_ARC
(19,14),-1.13109 # DEPENDENCYPART_ARC
(19,15),-1.3962 # DEPENDENCYPART_ARC
(19,16),2.34278 # DEPENDENCYPART_ARC
(19,17),2.82754 # DEPENDENCYPART_ARC
(19,18),3.7385 # DEPENDENCYPART_ARC
(19,20),-0.413635 # DEPENDENCYPART_ARC
(19,22),-0.945446 # DEPENDENCYPART_ARC
(19,23),-0.308506 # DEPENDENCYPART_ARC
(20,2),0.512943 # DEPENDENCYPART_ARC
(20,3),0.156104 # DEPENDENCYPART_ARC
(20,6),-0.35182 # DEPENDENCYPART_ARC
(20,9),-0.631861 # DEPENDENCYPART_ARC
(20,10),0.406559 # DEPENDENCYPART_ARC
(20,12),-0.205132 # DEPENDENCYPART_ARC
(20,13),-1.03773 # DEPENDENCYPART_ARC
(20,14),-0.108172 # DEPENDENCYPART_ARC
(20,15),-0.0810595 # DEPENDENCYPART_ARC
(20,16),0.846653 # DEPENDENCYPART_ARC
(20,17),1.03656 # DEPENDENCYPART_ARC
(20,18),1.12258 # DEPENDENCYPART_ARC
(20,19),2.08802 # DEPENDENCYPART_ARC
(20,21),-0.54835 # DEPENDENCYPART_ARC
(20,23),-0.415593 # DEPENDENCYPART_ARC
(21,15),-2.04831 # DEPENDENCYPART_ARC
(21,16),-0.778967 # DEPENDENCYPART_ARC
(21,17),-0.0929029 # DEPENDENCYPART_ARC
(21,18),-0.364802 # DEPENDENCYPART_ARC
(21,19),-0.408294 # DEPENDENCYPART_ARC
(21,20),0.916616 # DEPENDENCYPART_ARC
(22,2),-4.65918 # DEPENDENCYPART_ARC
(22,7),-1.1137 # DEPENDENCYPART_ARC
(22,8),-1.07666 # DEPENDENCYPART_ARC
(22,10),-1.0047 # DEPENDENCYPART_ARC
(22,11),-0.362422 # DEPENDENCYPART_ARC
(22,12),-0.054728 # DEPENDENCYPART_ARC
(22,13),-2.74534 # DEPENDENCYPART_ARC
(22,14),-1.13507 # DEPENDENCYPART_ARC
(22,15),-1.27174 # DEPENDENCYPART_ARC
(22,16),1.64884 # DEPENDENCYPART_ARC
(22,17),1.6226 # DEPENDENCYPART_ARC
(22,18),1.6709 # DEPENDENCYPART_ARC
(22,19),-0.048998 # DEPENDENCYPART_ARC
(22,20),2.79433 # DEPENDENCYPART_ARC
(22,21),3.40702 # DEPENDENCYPART_ARC
(22,23),-0.433012 # DEPENDENCYPART_ARC
