# _root_ Ez azért megoldható , mert a szív voltaképpen csupán egy pumpa , egyszerű izommunkát végez .
#goldHeads=5,5,5,5,0,7,9,9,5,11,9,9,14,15,9,5,
#predictedHeads=5,5,5,5,0,7,15,15,15,11,15,15,14,15,5,5,
(3,15),-0.148989 # DEPENDENCYPART_ARC
(3,16),1.20469 # DEPENDENCYPART_ARC
(5,1),1.06796 # DEPENDENCYPART_ARC
(5,2),1.77559 # DEPENDENCYPART_ARC
(5,3),1.07186 # DEPENDENCYPART_ARC
(5,4),1.24379 # DEPENDENCYPART_ARC
(5,7),-0.699429 # DEPENDENCYPART_ARC
(5,8),-0.449446 # DEPENDENCYPART_ARC
(5,9),-0.202309 # DEPENDENCYPART_ARC
(5,11),-1.23216 # DEPENDENCYPART_ARC
(5,12),-0.0936555 # DEPENDENCYPART_ARC
(5,13),-0.61501 # DEPENDENCYPART_ARC
(5,14),-1.86863 # DEPENDENCYPART_ARC
(5,15),0.647714 # DEPENDENCYPART_ARC
(5,16),1.71661 # DEPENDENCYPART_ARC
(7,1),-1.54031 # DEPENDENCYPART_ARC
(7,2),-1.62201 # DEPENDENCYPART_ARC
(7,3),-1.48606 # DEPENDENCYPART_ARC
(7,4),-0.445832 # DEPENDENCYPART_ARC
(7,5),-1.2307 # DEPENDENCYPART_ARC
(7,6),2.74554 # DEPENDENCYPART_ARC
(7,8),-0.733779 # DEPENDENCYPART_ARC
(7,9),-0.888088 # DEPENDENCYPART_ARC
(7,11),-1.05085 # DEPENDENCYPART_ARC
(7,15),-0.767771 # DEPENDENCYPART_ARC
(8,2),-0.808815 # DEPENDENCYPART_ARC
(8,3),-1.06222 # DEPENDENCYPART_ARC
(8,4),-0.709415 # DEPENDENCYPART_ARC
(8,5),-0.678923 # DEPENDENCYPART_ARC
(8,7),-0.18228 # DEPENDENCYPART_ARC
(8,9),-0.381572 # DEPENDENCYPART_ARC
(8,11),-0.49195 # DEPENDENCYPART_ARC
(8,12),-0.307716 # DEPENDENCYPART_ARC
(8,14),-1.22296 # DEPENDENCYPART_ARC
(8,15),-0.596465 # DEPENDENCYPART_ARC
(8,16),-0.422168 # DEPENDENCYPART_ARC
(9,2),-0.262826 # DEPENDENCYPART_ARC
(9,3),-0.243362 # DEPENDENCYPART_ARC
(9,4),-0.0601134 # DEPENDENCYPART_ARC
(9,5),0.054693 # DEPENDENCYPART_ARC
(9,7),0.265999 # DEPENDENCYPART_ARC
(9,8),0.533134 # DEPENDENCYPART_ARC
(9,11),0.485992 # DEPENDENCYPART_ARC
(9,12),0.5489 # DEPENDENCYPART_ARC
(9,13),0.0408722 # DEPENDENCYPART_ARC
(9,14),-0.231743 # DEPENDENCYPART_ARC
(9,15),-0.00840084 # DEPENDENCYPART_ARC
(9,16),0.365579 # DEPENDENCYPART_ARC
(10,13),-0.29903 # DEPENDENCYPART_ARC
(11,1),-2.09996 # DEPENDENCYPART_ARC
(11,2),-1.56977 # DEPENDENCYPART_ARC
(11,4),-0.559165 # DEPENDENCYPART_ARC
(11,5),-1.71985 # DEPENDENCYPART_ARC
(11,6),-0.14523 # DEPENDENCYPART_ARC
(11,7),-1.8172 # DEPENDENCYPART_ARC
(11,8),-0.737308 # DEPENDENCYPART_ARC
(11,9),-0.678123 # DEPENDENCYPART_ARC
(11,10),2.94087 # DEPENDENCYPART_ARC
(11,12),0.144729 # DEPENDENCYPART_ARC
(11,13),-0.756738 # DEPENDENCYPART_ARC
(11,14),-0.721162 # DEPENDENCYPART_ARC
(11,15),-0.253865 # DEPENDENCYPART_ARC
(11,16),-0.242447 # DEPENDENCYPART_ARC
(13,1),-1.9371 # DEPENDENCYPART_ARC
(13,2),-1.16634 # DEPENDENCYPART_ARC
(13,3),-1.78463 # DEPENDENCYPART_ARC
(13,5),-0.808413 # DEPENDENCYPART_ARC
(13,6),-1.02776 # DEPENDENCYPART_ARC
(13,7),-1.41882 # DEPENDENCYPART_ARC
(13,8),-0.265942 # DEPENDENCYPART_ARC
(13,9),-0.288911 # DEPENDENCYPART_ARC
(13,10),-0.190133 # DEPENDENCYPART_ARC
(13,11),-0.50425 # DEPENDENCYPART_ARC
(13,12),0.181471 # DEPENDENCYPART_ARC
(13,15),-0.477139 # DEPENDENCYPART_ARC
(13,16),-0.569391 # DEPENDENCYPART_ARC
(14,1),-1.55786 # DEPENDENCYPART_ARC
(14,3),-0.403738 # DEPENDENCYPART_ARC
(14,4),0.688086 # DEPENDENCYPART_ARC
(14,5),-0.607841 # DEPENDENCYPART_ARC
(14,6),-0.00518331 # DEPENDENCYPART_ARC
(14,7),-1.08896 # DEPENDENCYPART_ARC
(14,8),-0.0304656 # DEPENDENCYPART_ARC
(14,9),-0.202618 # DEPENDENCYPART_ARC
(14,10),1.60072 # DEPENDENCYPART_ARC
(14,11),-0.0584558 # DEPENDENCYPART_ARC
(14,12),0.570686 # DEPENDENCYPART_ARC
(14,13),3.26658 # DEPENDENCYPART_ARC
(14,16),-0.639588 # DEPENDENCYPART_ARC
(15,1),-0.0179265 # DEPENDENCYPART_ARC
(15,2),-0.100467 # DEPENDENCYPART_ARC
(15,3),-0.678537 # DEPENDENCYPART_ARC
(15,4),0.14803 # DEPENDENCYPART_ARC
(15,5),-0.21577 # DEPENDENCYPART_ARC
(15,6),-1.00893 # DEPENDENCYPART_ARC
(15,7),1.50897 # DEPENDENCYPART_ARC
(15,8),1.40388 # DEPENDENCYPART_ARC
(15,9),1.73645 # DEPENDENCYPART_ARC
(15,10),-0.279263 # DEPENDENCYPART_ARC
(15,11),1.35674 # DEPENDENCYPART_ARC
(15,12),1.49623 # DEPENDENCYPART_ARC
(15,13),0.7205 # DEPENDENCYPART_ARC
(15,14),3.1584 # DEPENDENCYPART_ARC
(15,16),1.4055 # DEPENDENCYPART_ARC
